"plh0186","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very rare","2007","(0) in school","in school","","","",""
"Very rare","2007","(0) in school","inadequately","","","",""
"Very rare","2007","(0) in school","general elemantary","","","",""
"Very rare","2007","(0) in school","middle vocational","","","",""
"Very rare","2007","(0) in school","vocational + Abi","","","",""
"Very rare","2007","(0) in school","higher vocational","","","",""
"Very rare","2007","(0) in school","higher education","","","",""
"Very rare","2007","(1a) inadequately completed","in school","","","",""
"Very rare","2007","(1a) inadequately completed","inadequately","8","","",""
"Very rare","2007","(1a) inadequately completed","general elemantary","","","",""
"Very rare","2007","(1a) inadequately completed","middle vocational","1","","",""
"Very rare","2007","(1a) inadequately completed","vocational + Abi","","","",""
"Very rare","2007","(1a) inadequately completed","higher vocational","","","",""
"Very rare","2007","(1a) inadequately completed","higher education","","","",""
"Very rare","2007","(1b) general elementary school","in school","","","",""
"Very rare","2007","(1b) general elementary school","inadequately","3","","",""
"Very rare","2007","(1b) general elementary school","general elemantary","82","0.0490695285061572","0.0387768540644192","0.0593622029478952"
"Very rare","2007","(1b) general elementary school","middle vocational","","","",""
"Very rare","2007","(1b) general elementary school","vocational + Abi","","","",""
"Very rare","2007","(1b) general elementary school","higher vocational","","","",""
"Very rare","2007","(1b) general elementary school","higher education","","","",""
"Very rare","2007","(1c) basic vocational qualification","in school","","","",""
"Very rare","2007","(1c) basic vocational qualification","inadequately","","","",""
"Very rare","2007","(1c) basic vocational qualification","general elemantary","","","",""
"Very rare","2007","(1c) basic vocational qualification","middle vocational","182","0.035440427397779","0.0304000990627262","0.0404807557328319"
"Very rare","2007","(1c) basic vocational qualification","vocational + Abi","","","",""
"Very rare","2007","(1c) basic vocational qualification","higher vocational","14","","",""
"Very rare","2007","(1c) basic vocational qualification","higher education","","","",""
"Very rare","2007","(2b) intermediate general qualification","in school","","","",""
"Very rare","2007","(2b) intermediate general qualification","inadequately","","","",""
"Very rare","2007","(2b) intermediate general qualification","general elemantary","6","","",""
"Very rare","2007","(2b) intermediate general qualification","middle vocational","","","",""
"Very rare","2007","(2b) intermediate general qualification","vocational + Abi","","","",""
"Very rare","2007","(2b) intermediate general qualification","higher vocational","","","",""
"Very rare","2007","(2b) intermediate general qualification","higher education","","","",""
"Very rare","2007","(2a) intermediate vocational","in school","","","",""
"Very rare","2007","(2a) intermediate vocational","inadequately","","","",""
"Very rare","2007","(2a) intermediate vocational","general elemantary","","","",""
"Very rare","2007","(2a) intermediate vocational","middle vocational","83","0.0238112644954098","0.0191998593559868","0.0284226696348328"
"Very rare","2007","(2a) intermediate vocational","vocational + Abi","","","",""
"Very rare","2007","(2a) intermediate vocational","higher vocational","18","","",""
"Very rare","2007","(2a) intermediate vocational","higher education","","","",""
"Very rare","2007","(2c_gen) general maturity certificate","in school","","","",""
"Very rare","2007","(2c_gen) general maturity certificate","inadequately","","","",""
"Very rare","2007","(2c_gen) general maturity certificate","general elemantary","","","",""
"Very rare","2007","(2c_gen) general maturity certificate","middle vocational","8","","",""
"Very rare","2007","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Very rare","2007","(2c_gen) general maturity certificate","higher vocational","","","",""
"Very rare","2007","(2c_gen) general maturity certificate","higher education","","","",""
"Very rare","2007","(2c_voc) vocational maturity certificate","in school","","","",""
"Very rare","2007","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Very rare","2007","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Very rare","2007","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Very rare","2007","(2c_voc) vocational maturity certificate","vocational + Abi","28","","",""
"Very rare","2007","(2c_voc) vocational maturity certificate","higher vocational","10","","",""
"Very rare","2007","(2c_voc) vocational maturity certificate","higher education","","","",""
"Very rare","2007","(3a) lower tertiary education","in school","","","",""
"Very rare","2007","(3a) lower tertiary education","inadequately","","","",""
"Very rare","2007","(3a) lower tertiary education","general elemantary","","","",""
"Very rare","2007","(3a) lower tertiary education","middle vocational","","","",""
"Very rare","2007","(3a) lower tertiary education","vocational + Abi","","","",""
"Very rare","2007","(3a) lower tertiary education","higher vocational","","","",""
"Very rare","2007","(3a) lower tertiary education","higher education","26","","",""
"Very rare","2007","(3b) higher tertiary education","in school","","","",""
"Very rare","2007","(3b) higher tertiary education","inadequately","","","",""
"Very rare","2007","(3b) higher tertiary education","general elemantary","","","",""
"Very rare","2007","(3b) higher tertiary education","middle vocational","","","",""
"Very rare","2007","(3b) higher tertiary education","vocational + Abi","","","",""
"Very rare","2007","(3b) higher tertiary education","higher vocational","","","",""
"Very rare","2007","(3b) higher tertiary education","higher education","48","0.0251656408037684","0.0192401238365287","0.0310911577710081"
"Rarely","2007","(0) in school","in school","12","","",""
"Rarely","2007","(0) in school","inadequately","","","",""
"Rarely","2007","(0) in school","general elemantary","","","",""
"Rarely","2007","(0) in school","middle vocational","","","",""
"Rarely","2007","(0) in school","vocational + Abi","","","",""
"Rarely","2007","(0) in school","higher vocational","","","",""
"Rarely","2007","(0) in school","higher education","","","",""
"Rarely","2007","(1a) inadequately completed","in school","","","",""
"Rarely","2007","(1a) inadequately completed","inadequately","31","0.1824985772206","0.125271302190051","0.23972585225115"
"Rarely","2007","(1a) inadequately completed","general elemantary","","","",""
"Rarely","2007","(1a) inadequately completed","middle vocational","6","","",""
"Rarely","2007","(1a) inadequately completed","vocational + Abi","","","",""
"Rarely","2007","(1a) inadequately completed","higher vocational","1","","",""
"Rarely","2007","(1a) inadequately completed","higher education","","","",""
"Rarely","2007","(1b) general elementary school","in school","","","",""
"Rarely","2007","(1b) general elementary school","inadequately","7","","",""
"Rarely","2007","(1b) general elementary school","general elemantary","279","0.175677564241482","0.15754519215329","0.193809936329674"
"Rarely","2007","(1b) general elementary school","middle vocational","","","",""
"Rarely","2007","(1b) general elementary school","vocational + Abi","","","",""
"Rarely","2007","(1b) general elementary school","higher vocational","","","",""
"Rarely","2007","(1b) general elementary school","higher education","","","",""
"Rarely","2007","(1c) basic vocational qualification","in school","","","",""
"Rarely","2007","(1c) basic vocational qualification","inadequately","","","",""
"Rarely","2007","(1c) basic vocational qualification","general elemantary","","","",""
"Rarely","2007","(1c) basic vocational qualification","middle vocational","612","0.126589819550929","0.117525121540247","0.135654517561611"
"Rarely","2007","(1c) basic vocational qualification","vocational + Abi","","","",""
"Rarely","2007","(1c) basic vocational qualification","higher vocational","36","0.0965980985100889","0.0696024376137601","0.123593759406418"
"Rarely","2007","(1c) basic vocational qualification","higher education","","","",""
"Rarely","2007","(2b) intermediate general qualification","in school","","","",""
"Rarely","2007","(2b) intermediate general qualification","inadequately","","","",""
"Rarely","2007","(2b) intermediate general qualification","general elemantary","33","0.054785378867685","0.0353012946688051","0.074269463066565"
"Rarely","2007","(2b) intermediate general qualification","middle vocational","","","",""
"Rarely","2007","(2b) intermediate general qualification","vocational + Abi","","","",""
"Rarely","2007","(2b) intermediate general qualification","higher vocational","","","",""
"Rarely","2007","(2b) intermediate general qualification","higher education","","","",""
"Rarely","2007","(2a) intermediate vocational","in school","","","",""
"Rarely","2007","(2a) intermediate vocational","inadequately","","","",""
"Rarely","2007","(2a) intermediate vocational","general elemantary","","","",""
"Rarely","2007","(2a) intermediate vocational","middle vocational","358","0.0946864151188763","0.0858308045589289","0.103542025678824"
"Rarely","2007","(2a) intermediate vocational","vocational + Abi","","","",""
"Rarely","2007","(2a) intermediate vocational","higher vocational","50","0.0702973206364192","0.0510966692491012","0.0894979720237373"
"Rarely","2007","(2a) intermediate vocational","higher education","","","",""
"Rarely","2007","(2c_gen) general maturity certificate","in school","","","",""
"Rarely","2007","(2c_gen) general maturity certificate","inadequately","","","",""
"Rarely","2007","(2c_gen) general maturity certificate","general elemantary","","","",""
"Rarely","2007","(2c_gen) general maturity certificate","middle vocational","40","0.0742415700057018","0.0562096285847399","0.0922735114266636"
"Rarely","2007","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Rarely","2007","(2c_gen) general maturity certificate","higher vocational","","","",""
"Rarely","2007","(2c_gen) general maturity certificate","higher education","","","",""
"Rarely","2007","(2c_voc) vocational maturity certificate","in school","","","",""
"Rarely","2007","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Rarely","2007","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Rarely","2007","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Rarely","2007","(2c_voc) vocational maturity certificate","vocational + Abi","96","0.0889175744679634","0.0726224784636844","0.105212670472242"
"Rarely","2007","(2c_voc) vocational maturity certificate","higher vocational","29","","",""
"Rarely","2007","(2c_voc) vocational maturity certificate","higher education","","","",""
"Rarely","2007","(3a) lower tertiary education","in school","","","",""
"Rarely","2007","(3a) lower tertiary education","inadequately","","","",""
"Rarely","2007","(3a) lower tertiary education","general elemantary","","","",""
"Rarely","2007","(3a) lower tertiary education","middle vocational","","","",""
"Rarely","2007","(3a) lower tertiary education","vocational + Abi","","","",""
"Rarely","2007","(3a) lower tertiary education","higher vocational","","","",""
"Rarely","2007","(3a) lower tertiary education","higher education","135","0.0953159918667967","0.0813978461731699","0.109234137560424"
"Rarely","2007","(3b) higher tertiary education","in school","","","",""
"Rarely","2007","(3b) higher tertiary education","inadequately","","","",""
"Rarely","2007","(3b) higher tertiary education","general elemantary","","","",""
"Rarely","2007","(3b) higher tertiary education","middle vocational","","","",""
"Rarely","2007","(3b) higher tertiary education","vocational + Abi","","","",""
"Rarely","2007","(3b) higher tertiary education","higher vocational","","","",""
"Rarely","2007","(3b) higher tertiary education","higher education","178","0.0779251806773435","0.0677842263838071","0.08806613497088"
"Sometimes","2007","(0) in school","in school","77","0.271492512284932","0.224289812438753","0.31869521213111"
"Sometimes","2007","(0) in school","inadequately","","","",""
"Sometimes","2007","(0) in school","general elemantary","","","",""
"Sometimes","2007","(0) in school","middle vocational","","","",""
"Sometimes","2007","(0) in school","vocational + Abi","","","",""
"Sometimes","2007","(0) in school","higher vocational","","","",""
"Sometimes","2007","(0) in school","higher education","","","",""
"Sometimes","2007","(1a) inadequately completed","in school","","","",""
"Sometimes","2007","(1a) inadequately completed","inadequately","78","0.427418756088031","0.3541237452231","0.500713766952961"
"Sometimes","2007","(1a) inadequately completed","general elemantary","","","",""
"Sometimes","2007","(1a) inadequately completed","middle vocational","16","","",""
"Sometimes","2007","(1a) inadequately completed","vocational + Abi","","","",""
