"plh0186","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"Often","2007","Not Employed","direct migration background","289","0.301331433941452","0.271015945063645","0.331646922819258","4"
"Often","2007","Not Employed","no migration background","2778","0.377720645381678","0.366247986231207","0.389193304532149","4"
"Often","2007","Not Employed","indirect migration background","99","0.433795809468859","0.370160326244555","0.497431292693164","4"
"Often","2007","Employed","no migration background","5342","0.472471846703202","0.463048849177149","0.481894844229255","4"
"Often","2007","Employed","direct migration background","529","0.40798959318968","0.3807011799495","0.435278006429859","4"
"Often","2007","Employed","indirect migration background","252","0.448835353203511","0.407343507198041","0.490327199208982","4"
"Rarely","2007","Not Employed","direct migration background","142","0.18544647496201","0.159767607843789","0.211125342080231","2"
"Rarely","2007","Not Employed","no migration background","833","0.135021871172306","0.126934811317162","0.14310893102745","2"
"Rarely","2007","Not Employed","indirect migration background","20","","","","2"
"Rarely","2007","Employed","no migration background","796","0.0827314642786535","0.0775319605712745","0.0879309679860326","2"
"Rarely","2007","Employed","direct migration background","108","0.105292769157654","0.0882504451715299","0.122335093143778","2"
"Rarely","2007","Employed","indirect migration background","34","0.0760417684725871","0.0539296259010176","0.0981539110441566","2"
"Sometimes","2007","Not Employed","indirect migration background","77","0.273283116777437","0.216061627534528","0.330504606020346","3"
"Sometimes","2007","Employed","indirect migration background","180","0.33261457425403","0.293310502065289","0.37191864644277","3"
"Sometimes","2007","Not Employed","direct migration background","348","0.401591236312883","0.369202213831562","0.433980258794205","3"
"Sometimes","2007","Employed","direct migration background","472","0.35971188755994","0.333064527850577","0.386359247269304","3"
"Sometimes","2007","Not Employed","no migration background","2511","0.381953040703409","0.370455584706924","0.393450496699893","3"
"Sometimes","2007","Employed","no migration background","3529","0.329634684312943","0.320762092389661","0.338507276236226","3"
"Very often","2007","Not Employed","no migration background","478","0.0628182156124233","0.057076512263074","0.0685599189617725","5"
