"plh0186","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Often","2007","West Germany","Female","3661","0.417168646653713","0.406469308639916","0.42786798466751","4"
"Often","2007","West Germany","Male","3392","0.438404131165012","0.427076628928629","0.449731633401394","4"
"Often","2007","East Germany","Female","1203","0.425589728849597","0.406617527764228","0.444561929934966","4"
"Often","2007","East Germany","Male","1033","0.406224946534464","0.386637230819379","0.42581266224955","4"
"Rarely","2007","West Germany","Female","792","0.108215806684059","0.101475108837669","0.114956504530448","2"
"Rarely","2007","West Germany","Male","627","0.0997338593590717","0.0928932993645232","0.10657441935362","2"
"Rarely","2007","East Germany","Female","279","0.136144626123095","0.122985355362536","0.149303896883655","2"
"Rarely","2007","East Germany","Male","235","0.106421496903837","0.094122475386168","0.118720518421506","2"
"Sometimes","2007","West Germany","Female","2713","0.341976920611149","0.331683763867525","0.352270077354774","3"
"Sometimes","2007","West Germany","Male","2620","0.359414894688169","0.348460929936909","0.370368859439428","3"
"Sometimes","2007","East Germany","Female","856","0.337550819735094","0.319405821993557","0.355695817476631","3"
"Sometimes","2007","East Germany","Male","928","0.388872515948521","0.369429704871523","0.40831532702552","3"
"Very often","2007","West Germany","Male","558","0.0735783882973332","0.0676181399004384","0.079538636694228","5"
"Very often","2007","East Germany","Female","213","0.0723399407953424","0.0623997537850587","0.082280127805626","5"
"Very often","2007","East Germany","Male","150","0.0637679284790814","0.0540229152033526","0.0735129417548101","5"
"Very often","2007","West Germany","Female","765","0.100790188866459","0.094257841477961","0.107322536254958","5"
"Very rare","2007","West Germany","Female","228","0.0318484371846198","0.0280382583257325","0.0356586160435072","1"
"Very rare","2007","West Germany","Male","174","0.028868726490415","0.025046312971636","0.0326911400091941","1"
"Very rare","2007","East Germany","Female","58","0.0283748844968714","0.0220035930937359","0.0347461759000069","1"
"Very rare","2007","East Germany","Male","69","0.0347131121340959","0.0274124121384274","0.0420138121297645","1"
"Often","2008","West Germany","Female","3482","0.428785752539694","0.41770429961059","0.439867205468797","4"
"Often","2008","West Germany","Male","3170","0.429496058205464","0.417823102367473","0.441169014043456","4"
"Often","2008","East Germany","Female","1104","0.412510551120475","0.393119991771125","0.431901110469825","4"
"Often","2008","East Germany","Male","1053","0.446117738638052","0.425837938848258","0.466397538427845","4"
"Rarely","2008","East Germany","Female","246","0.118124432036268","0.105411483382515","0.130837380690021","2"
"Rarely","2008","East Germany","Male","223","0.100682282557807","0.088406101362378","0.112958463753236","2"
"Rarely","2008","West Germany","Female","734","0.106514358365107","0.0996067948992246","0.11342192183099","2"
"Rarely","2008","West Germany","Male","568","0.100144843721272","0.0930658336869268","0.107223853755616","2"
"Sometimes","2008","West Germany","Female","2515","0.340928519746528","0.330314620930453","0.351542418562603","3"
"Sometimes","2008","West Germany","Male","2499","0.367471009349295","0.356101972206107","0.378840046492483","3"
"Sometimes","2008","East Germany","Female","875","0.36559099127898","0.346621521834633","0.384560460723327","3"
"Sometimes","2008","East Germany","Male","838","0.370468197845483","0.350766008327349","0.390170387363616","3"
"Very often","2008","West Germany","Female","704","0.0904424515756114","0.0840203337177307","0.0968645694334921","5"
"Very often","2008","West Germany","Male","523","0.0731931408326327","0.0670512550177277","0.0793350266475377","5"
"Very often","2008","East Germany","Female","189","0.0706765702734846","0.0605818579446601","0.0807712826023091","5"
"Very often","2008","East Germany","Male","141","0.0513847871883647","0.0423775310597039","0.0603920433170254","5"
"Very rare","2008","East Germany","Male","53","0.0313469937702941","0.0242379325715114","0.0384560549690767","1"
"Very rare","2008","West Germany","Female","227","0.0333289177730596","0.0293098346666403","0.0373480008794788","1"
"Very rare","2008","West Germany","Male","148","0.0296949478913364","0.0256921159501054","0.0336977798325673","1"
"Very rare","2008","East Germany","Female","62","0.0330974552907918","0.0260511505047519","0.0401437600768318","1"
"Often","2009","East Germany","Male","985","0.443275015218679","0.422440722735395","0.464109307701962","4"
"Often","2009","West Germany","Female","3131","0.420250409083795","0.408739018608885","0.431761799558705","4"
"Often","2009","West Germany","Male","2900","0.434205919997653","0.422085368124278","0.446326471871028","4"
"Often","2009","East Germany","Female","1050","0.414936422174117","0.395049457562895","0.434823386785338","4"
"Rarely","2009","East Germany","Male","202","0.100445126204319","0.0878384662415012","0.113051786167137","2"
"Rarely","2009","West Germany","Female","723","0.112340380609239","0.104975856889998","0.119704904328479","2"
"Rarely","2009","West Germany","Male","657","0.113716791279528","0.105953535702562","0.121480046856494","2"
"Rarely","2009","East Germany","Female","250","0.137263594627531","0.12337389234832","0.151153296906741","2"
"Sometimes","2009","East Germany","Male","828","0.360153583139058","0.340020813929061","0.380286352349055","3"
"Sometimes","2009","West Germany","Female","2383","0.344728880985077","0.333644719710089","0.355813042260064","3"
"Sometimes","2009","West Germany","Male","2231","0.356334044609625","0.344622767611302","0.368045321607949","3"
"Sometimes","2009","East Germany","Female","825","0.346694566898622","0.327485430360122","0.365903703437122","3"
"Very often","2009","East Germany","Male","109","0.0609745908288861","0.0509391860761342","0.0710099955816381","5"
"Very often","2009","West Germany","Female","608","0.0863124031747235","0.0797631925607008","0.0928616137887463","5"
"Very often","2009","West Germany","Male","467","0.0661164988631841","0.0600400954331184","0.0721929022932498","5"
"Very often","2009","East Germany","Female","178","0.0715203665729462","0.0611193150577899","0.0819214180881025","5"
"Very rare","2009","East Germany","Male","60","0.0351516846090583","0.0274280029242252","0.0428753662938915","1"
"Very rare","2009","West Germany","Female","218","0.0363679261471659","0.0320020804780803","0.0407337718162514","1"
"Very rare","2009","West Germany","Male","169","0.0296267452500094","0.0254804835932288","0.03377300690679","1"
"Very rare","2009","East Germany","Female","55","0.0295850497267842","0.0227460736936846","0.0364240257598838","1"
"Often","2010","East Germany","Male","967","0.47892282478427","0.456941136251556","0.500904513316983","4"
"Often","2010","West Germany","Female","2974","0.425148297871654","0.41321696879129","0.437079626952018","4"
"Often","2010","West Germany","Male","2759","0.423704424895338","0.411162337328943","0.436246512461733","4"
"Often","2010","East Germany","Female","966","0.40721597378551","0.386433716471111","0.427998231099908","4"
"Rarely","2010","East Germany","Male","168","0.0954508928746545","0.0825213452736174","0.108380440475692","2"
"Rarely","2010","West Germany","Male","513","0.103344402173964","0.0956180945248035","0.111070709823125","2"
"Rarely","2010","East Germany","Female","199","0.117404959961889","0.103788756495533","0.131021163428246","2"
"Rarely","2010","West Germany","Female","656","0.10918210793996","0.10165529896463","0.116708916915291","2"
"Sometimes","2010","East Germany","Male","682","0.336131825218357","0.315345725868417","0.356917924568297","3"
"Sometimes","2010","West Germany","Female","2186","0.345488909712634","0.334012230269606","0.356965589155662","3"
"Sometimes","2010","West Germany","Male","2120","0.374876796574236","0.362589883774184","0.387163709374288","3"
"Sometimes","2010","East Germany","Female","764","0.387537445681117","0.366929785907736","0.408145105454498","3"
"Very often","2010","East Germany","Male","122","0.0611039569104644","0.0505644406339783","0.0716434731869506","5"
"Very often","2010","West Germany","Female","592","0.0901866842594557","0.0832733421989313","0.0971000263199802","5"
"Very often","2010","West Germany","Male","433","0.0703898602941312","0.063897222671273","0.0768824979169895","5"
"Very often","2010","East Germany","Female","166","0.0655596147460494","0.0550901117598322","0.0760291177322666","5"
"Very rare","2010","East Germany","Male","45","0.0283905002122541","0.0210823131433637","0.0356986872811446","1"
"Very rare","2010","East Germany","Female","52","0.0222820058254344","0.0160386797960444","0.0285253318548243","1"
"Very rare","2010","West Germany","Female","187","0.0299940002162961","0.025877339297711","0.0341106611348813","1"
"Very rare","2010","West Germany","Male","138","0.0276845160623303","0.0235202568477975","0.0318487752768631","1"
"Often","2011","East Germany","Male","1017","0.40700382405207","0.387077378364677","0.426930269739464","4"
"Often","2011","East Germany","Female","1171","0.417148935003161","0.398103809404592","0.436194060601731","4"
"Often","2011","West Germany","Female","3927","0.442195711689386","0.431562259827091","0.452829163551681","4"
"Often","2011","West Germany","Male","3500","0.455920011040856","0.444615003793384","0.467225018288328","4"
"Rarely","2011","East Germany","Male","231","0.118882979403026","0.105755501853851","0.1320104569522","2"
"Rarely","2011","East Germany","Female","253","0.115284704230791","0.102949478905101","0.127619929556481","2"
"Rarely","2011","West Germany","Female","769","0.101786647563674","0.0953128183144641","0.108260476812883","2"
"Rarely","2011","West Germany","Male","658","0.0953760486710606","0.0887087663483748","0.102043330993746","2"
"Sometimes","2011","East Germany","Male","852","0.375971653506934","0.356325191227008","0.39561811578686","3"
"Sometimes","2011","East Germany","Female","815","0.345371179746684","0.327005792843336","0.363736566650032","3"
"Sometimes","2011","West Germany","Female","2609","0.324933647112063","0.314906055108089","0.334961239116037","3"
"Sometimes","2011","West Germany","Male","2489","0.343087127807687","0.33231128520077","0.353862970414604","3"
"Very often","2011","East Germany","Male","173","0.0675312155586567","0.0573529428417508","0.0777094882755626","5"
"Very often","2011","East Germany","Female","253","0.0867133043612212","0.0758438959372176","0.0975827127852249","5"
"Very often","2011","West Germany","Female","868","0.101967644059774","0.0954887143763242","0.108446573743225","5"
"Very often","2011","West Germany","Male","650","0.0780761277683187","0.0719863449469946","0.0841659105896428","5"
"Very rare","2011","East Germany","Male","62","0.030610327479313","0.0236233743351821","0.037597280623444","1"
"Very rare","2011","East Germany","Female","83","0.0354818766581422","0.0283366178907151","0.0426271354255693","1"
"Very rare","2011","West Germany","Female","207","0.0291163495751033","0.0255165515197605","0.032716147630446","1"
"Very rare","2011","West Germany","Male","159","0.0275406847120769","0.0238260319037276","0.0312553375204263","1"
"Often","2012","East Germany","Male","1132","0.47765878457593","0.457249592453922","0.498067976697938","4"
"Often","2012","East Germany","Female","1182","0.444114155405177","0.424870684072433","0.46335762673792","4"
"Often","2012","West Germany","Female","4046","0.463222493922938","0.452491699616525","0.473953288229351","4"
"Often","2012","West Germany","Male","3658","0.476709022318406","0.465302322185268","0.488115722451543","4"
"Rarely","2012","East Germany","Male","166","0.0854542510163954","0.0740317991824382","0.0968767028503526","2"
"Rarely","2012","East Germany","Female","225","0.0961452143205433","0.0847280968732182","0.107562331767868","2"
"Rarely","2012","West Germany","Female","677","0.090939699942219","0.0847522314525521","0.0971271684318859","2"
"Rarely","2012","West Germany","Male","554","0.0846597590770707","0.0783021838558571","0.0910173342982843","2"
"Sometimes","2012","East Germany","Male","803","0.352653673516417","0.333131312859589","0.372176034173246","3"
"Sometimes","2012","East Germany","Female","870","0.348779270687159","0.330321351400535","0.367237189973782","3"
"Sometimes","2012","West Germany","Female","2507","0.3158239038376","0.30582053359979","0.32582727407541","3"
"Sometimes","2012","West Germany","Male","2369","0.333053637638571","0.322289871330638","0.343817403946505","3"
"Very often","2012","East Germany","Male","149","0.0561171481770719","0.0467134945082003","0.0655208018459435","5"
"Very often","2012","East Germany","Female","216","0.0806092751745523","0.0700657492828262","0.0911528010662783","5"
"Very often","2012","West Germany","Female","894","0.107136184860437","0.100480379766832","0.113791989954042","5"
"Very often","2012","West Germany","Male","653","0.0847845074712432","0.0784226835058971","0.0911463314365894","5"
"Very rare","2012","East Germany","Male","51","0.0281161427141852","0.0213619284203633","0.0348703570080071","1"
"Very rare","2012","East Germany","Female","68","0.0303520844125692","0.0237078553491767","0.0369963134759617","1"
"Very rare","2012","West Germany","Male","131","0.020793073494709","0.0175342690636682","0.0240518779257498","1"
"Very rare","2012","West Germany","Female","171","0.0228777174368061","0.0196602015475969","0.0260952333260152","1"
"Often","2013","East Germany","Male","1229","0.43627091318146","0.417281532684564","0.455260293678355","4"
"Often","2013","East Germany","Female","1491","0.453656403454646","0.436226497400839","0.471086309508454","4"
"Often","2013","West Germany","Male","4688","0.488692418931989","0.478365143659894","0.499019694204084","4"
