"pgoeffd","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1985","Rural Area","Female","355","0.789464805362793","0.75150054284114","0.827429067884446","2"
"No","1985","Rural Area","Male","606","0.770204433476516","0.740431320944365","0.799977546008667","2"
"No","1985","Urban Area","Female","1348","0.701432710316996","0.680517061239616","0.722348359394377","2"
"No","1985","Urban Area","Male","2468","0.753363620877523","0.73818479165886","0.768542450096186","2"
"Yes","1985","Rural Area","Male","161","0.229795566523484","0.200022453991333","0.259568679055635","1"
"Yes","1985","Urban Area","Male","630","0.246636379122477","0.231457549903814","0.26181520834114","1"
"Yes","1985","Rural Area","Female","88","0.210535194637207","0.172570932115554","0.24849945715886","1"
"Yes","1985","Urban Area","Female","491","0.298567289683004","0.277651640605623","0.319482938760384","1"
"No","1986","Rural Area","Female","330","0.775445685294406","0.735819735449571","0.815071635139241","2"
"No","1986","Rural Area","Male","572","0.75803975585316","0.72699363089869","0.78908588080763","2"
"No","1986","Urban Area","Female","1248","0.697922273166469","0.676102068707531","0.719742477625407","2"
"No","1986","Urban Area","Male","2315","0.749875414163519","0.734145543403968","0.765605284923071","2"
"Yes","1986","Rural Area","Male","159","0.24196024414684","0.21091411919237","0.27300636910131","1"
"Yes","1986","Urban Area","Male","597","0.250124585836481","0.234394715076929","0.265854456596032","1"
"Yes","1986","Rural Area","Female","96","0.224554314705594","0.184928364860759","0.264180264550429","1"
"Yes","1986","Urban Area","Female","453","0.302077726833531","0.280257522374593","0.323897931292469","1"
"No","1987","Rural Area","Male","587","0.763486775958799","0.73289057809906","0.794082973818537","2"
"No","1987","Urban Area","Female","1277","0.697697903252063","0.676131471056433","0.719264335447693","2"
"No","1987","Urban Area","Male","2312","0.753485831839715","0.737810805736059","0.769160857943371","2"
"No","1987","Rural Area","Female","360","0.758720000098932","0.720038742065228","0.797401258132636","2"
"Yes","1987","Rural Area","Male","154","0.236513224041201","0.205917026181463","0.26710942190094","1"
"Yes","1987","Urban Area","Male","592","0.246514168160285","0.230839142056629","0.262189194263941","1"
"Yes","1987","Rural Area","Female","110","0.241279999901068","0.202598741867364","0.279961257934772","1"
"Yes","1987","Urban Area","Female","465","0.302302096747937","0.280735664552307","0.323868528943567","1"
"No","1988","Rural Area","Male","549","0.76859927155672","0.737063601173222","0.800134941940218","2"
"No","1988","Urban Area","Female","1293","0.701840362754333","0.680462771578531","0.723217953930134","2"
