"pgoeffd","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Yes","1984","Schleswig-Holstein","54","0.250295439313108","0.193943780219198","0.306647098407018"
"Yes","1984","Hamburg","50","0.275660598154757","0.210016378196645","0.34130481811287"
"Yes","1984","Lower Saxony","163","0.270122997489723","0.236476438781191","0.303769556198256"
"Yes","1984","Bremen","","","",""
"Yes","1984","North Rhine-Westphalia","387","0.253634130247293","0.233645081377968","0.273623179116617"
"Yes","1984","Hesse","167","0.265122834522412","0.233553962382948","0.296691706661877"
"Yes","1984","Rhineland-Palatinate,Saarland","99","0.23825452422461","0.199067193294767","0.277441855154454"
"Yes","1984","Baden-Württemberg","234","0.208412763802227","0.187455891197065","0.229369636407389"
"Yes","1984","Bavaria","251","0.22047339849613","0.197664156738992","0.243282640253269"
"Yes","1984","Berlin","88","0.383022240143696","0.324382386427686","0.441662093859707"
"Yes","1984","Brandenburg","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","","","",""
"Yes","1984","Saxony","","","",""
"Yes","1984","Saxony-Anhalt","","","",""
"Yes","1984","Thuringia","","","",""
"No","1984","Schleswig-Holstein","173","0.749704560686892","0.693352901592982","0.806056219780802"
"No","1984","Hamburg","128","0.724339401845242","0.65869518188713","0.789983621803355"
"No","1984","Lower Saxony","506","0.729877002510277","0.696230443801744","0.763523561218809"
"No","1984","Bremen","45","0.810303668197711","0.705734276885887","0.914873059509535"
"No","1984","North Rhine-Westphalia","1433","0.746365869752707","0.726376820883382","0.766354918622032"
"No","1984","Hesse","584","0.734877165477588","0.703308293338123","0.766446037617052"
"No","1984","Rhineland-Palatinate,Saarland","355","0.76174547577539","0.722558144845546","0.800932806705233"
"No","1984","Baden-Württemberg","1209","0.791587236197773","0.770630363592611","0.812544108802935"
"No","1984","Bavaria","1018","0.77952660150387","0.756717359746731","0.802335843261008"
"No","1984","Berlin","176","0.616977759856304","0.558337906140293","0.675617613572314"
"No","1984","Brandenburg","","","",""
"No","1984","Mecklenburg-Western Pomerania","","","",""
"No","1984","Saxony","","","",""
"No","1984","Saxony-Anhalt","","","",""
"No","1984","Thuringia","","","",""
"Yes","1985","Schleswig-Holstein","50","0.275160177723404","0.212638032827238","0.337682322619569"
"Yes","1985","Hamburg","44","0.261127655962037","0.192637100512043","0.329618211412031"
"Yes","1985","Lower Saxony","144","0.285315182296905","0.247644952337745","0.322985412256065"
"Yes","1985","Bremen","","","",""
"Yes","1985","North Rhine-Westphalia","362","0.26508348357757","0.243354280627663","0.286812686527476"
"Yes","1985","Hesse","153","0.274691945874518","0.239974685920708","0.309409205828327"
"Yes","1985","Rhineland-Palatinate,Saarland","94","0.267299362246101","0.224145501626921","0.310453222865281"
"Yes","1985","Baden-Württemberg","210","0.209218724791063","0.186812963634811","0.231624485947315"
"Yes","1985","Bavaria","224","0.225247312182352","0.200583020472721","0.249911603891982"
"Yes","1985","Berlin","80","0.41994268765926","0.353189976638033","0.486695398680487"
"Yes","1985","Brandenburg","","","",""
"Yes","1985","Mecklenburg-Western Pomerania","","","",""
"Yes","1985","Saxony","","","",""
"Yes","1985","Saxony-Anhalt","","","",""
"Yes","1985","Thuringia","","","",""
"No","1985","Schleswig-Holstein","146","0.724839822276596","0.662317677380431","0.787361967172762"
"No","1985","Hamburg","114","0.738872344037963","0.670381788587969","0.807362899487957"
"No","1985","Lower Saxony","408","0.714684817703095","0.677014587743935","0.752355047662255"
"No","1985","Bremen","30","0.738161456595098","0.600183960970364","0.876138952219832"
"No","1985","North Rhine-Westphalia","1223","0.73491651642243","0.713187313472524","0.756645719372337"
"No","1985","Hesse","482","0.725308054125482","0.690590794171673","0.760025314079292"
"No","1985","Rhineland-Palatinate,Saarland","310","0.732700637753899","0.689546777134719","0.775854498373079"
"No","1985","Baden-Württemberg","1056","0.790781275208937","0.768375514052685","0.81318703636519"
"No","1985","Bavaria","878","0.774752687817649","0.750088396108018","0.799416979527279"
"No","1985","Berlin","130","0.58005731234074","0.513304601319513","0.646810023361967"
"No","1985","Brandenburg","","","",""
"No","1985","Mecklenburg-Western Pomerania","","","",""
"No","1985","Saxony","","","",""
"No","1985","Saxony-Anhalt","","","",""
"No","1985","Thuringia","","","",""
"Yes","1986","Schleswig-Holstein","46","0.271560991899804","0.206586614184869","0.336535369614739"
"Yes","1986","Hamburg","36","0.266970825798617","0.190926126460186","0.343015525137049"
"Yes","1986","Lower Saxony","140","0.278325395084583","0.241005506602456","0.31564528356671"
"Yes","1986","Bremen","","","",""
"Yes","1986","North Rhine-Westphalia","348","0.268553520634209","0.245919931931331","0.291187109337086"
"Yes","1986","Hesse","140","0.294164773063295","0.256855415012091","0.331474131114498"
"Yes","1986","Rhineland-Palatinate,Saarland","87","0.252471573442904","0.209629582729982","0.295313564155826"
"Yes","1986","Baden-Württemberg","209","0.225591392802218","0.202011555487708","0.249171230116727"
"Yes","1986","Bavaria","219","0.240180627858703","0.213912724734565","0.266448530982841"
"Yes","1986","Berlin","74","0.408974971369576","0.341007460707757","0.476942482031396"
"Yes","1986","Brandenburg","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","","","",""
"Yes","1986","Saxony","","","",""
"Yes","1986","Saxony-Anhalt","","","",""
"Yes","1986","Thuringia","","","",""
"No","1986","Schleswig-Holstein","134","0.728439008100196","0.663464630385261","0.793413385815131"
"No","1986","Hamburg","94","0.733029174201383","0.656984474862951","0.809073873539814"
"No","1986","Lower Saxony","414","0.721674604915417","0.68435471643329","0.758994493397544"
"No","1986","Bremen","35","0.820616660319717","0.703176298599562","0.938057022039871"
"No","1986","North Rhine-Westphalia","1125","0.731446479365791","0.708812890662914","0.754080068068669"
"No","1986","Hesse","433","0.705835226936705","0.668525868885502","0.743144584987909"
"No","1986","Rhineland-Palatinate,Saarland","308","0.747528426557096","0.704686435844174","0.790370417270019"
"No","1986","Baden-Württemberg","998","0.774408607197782","0.750828769883273","0.797988444512292"
"No","1986","Bavaria","797","0.759819372141297","0.733551469017159","0.786087275265435"
"No","1986","Berlin","127","0.591025028630424","0.523057517968604","0.658992539292243"
"No","1986","Brandenburg","","","",""
"No","1986","Mecklenburg-Western Pomerania","","","",""
"No","1986","Saxony","","","",""
"No","1986","Saxony-Anhalt","","","",""
"No","1986","Thuringia","","","",""
"Yes","1987","Schleswig-Holstein","49","0.279688874499303","0.214118223499759","0.345259525498846"
"Yes","1987","Hamburg","30","0.238118434295698","0.161910935141027","0.314325933450369"
"Yes","1987","Lower Saxony","153","0.293729888075618","0.256821112166845","0.330638663984392"
"Yes","1987","Bremen","","","",""
"Yes","1987","North Rhine-Westphalia","372","0.283798258698448","0.260898901494901","0.306697615901995"
"Yes","1987","Hesse","126","0.255812560424303","0.220812964885801","0.290812155962805"
"Yes","1987","Rhineland-Palatinate,Saarland","78","0.234380260056848","0.192392105285465","0.276368414828231"
"Yes","1987","Baden-Württemberg","207","0.219518459824443","0.196079597757403","0.242957321891483"
"Yes","1987","Bavaria","219","0.233955048724363","0.208262968173805","0.259647129274921"
"Yes","1987","Berlin","81","0.422768229482776","0.357041123725043","0.488495335240509"
"Yes","1987","Brandenburg","","","",""
"Yes","1987","Mecklenburg-Western Pomerania","","","",""
"Yes","1987","Saxony","","","",""
"Yes","1987","Saxony-Anhalt","","","",""
"Yes","1987","Thuringia","","","",""
"No","1987","Schleswig-Holstein","131","0.720311125500697","0.654740474501153","0.78588177650024"
"No","1987","Hamburg","90","0.761881565704302","0.685674066549631","0.838089064858973"
"No","1987","Lower Saxony","432","0.706270111924382","0.669361336015608","0.743178887833155"
"No","1987","Bremen","31","0.78637344016627","0.654307973365969","0.918438906966572"
"No","1987","North Rhine-Westphalia","1117","0.716201741301552","0.693302384098005","0.739101098505099"
"No","1987","Hesse","471","0.744187439575697","0.709187844037195","0.779187035114199"
"No","1987","Rhineland-Palatinate,Saarland","313","0.765619739943152","0.723631585171769","0.807607894714535"
"No","1987","Baden-Württemberg","991","0.780481540175557","0.757042678108517","0.803920402242597"
"No","1987","Bavaria","824","0.766044951275637","0.740352870725079","0.791737031826195"
"No","1987","Berlin","136","0.577231770517224","0.511504664759491","0.642958876274957"
"No","1987","Brandenburg","","","",""
"No","1987","Mecklenburg-Western Pomerania","","","",""
"No","1987","Saxony","","","",""
"No","1987","Saxony-Anhalt","","","",""
"No","1987","Thuringia","","","",""
"Yes","1988","Schleswig-Holstein","47","0.293595832468525","0.227066462894536","0.360125202042513"
"Yes","1988","Hamburg","","","",""
"Yes","1988","Lower Saxony","140","0.287722630335086","0.250127458211029","0.325317802459143"
"Yes","1988","Bremen","","","",""
"Yes","1988","North Rhine-Westphalia","357","0.277765840547613","0.254884966185235","0.30064671490999"
"Yes","1988","Hesse","121","0.255021321436597","0.219363704724785","0.290678938148409"
"Yes","1988","Rhineland-Palatinate,Saarland","68","0.214924678798711","0.173569748613323","0.256279608984098"
"Yes","1988","Baden-Württemberg","204","0.223255650158042","0.199535768351952","0.246975531964131"
"Yes","1988","Bavaria","205","0.224880281339421","0.199170200100192","0.250590362578651"
"Yes","1988","Berlin","77","0.410927082473583","0.345161939026662","0.476692225920505"
"Yes","1988","Brandenburg","","","",""
"Yes","1988","Mecklenburg-Western Pomerania","","","",""
"Yes","1988","Saxony","","","",""
"Yes","1988","Saxony-Anhalt","","","",""
"Yes","1988","Thuringia","","","",""
"No","1988","Schleswig-Holstein","133","0.706404167531475","0.639874797957486","0.772933537105464"
"No","1988","Hamburg","84","0.796486638682632","0.721923395322681","0.871049882042583"
"No","1988","Lower Saxony","417","0.712277369664914","0.674682197540857","0.749872541788971"
"No","1988","Bremen","36","0.744484582138408","0.617052657162591","0.871916507114224"
"No","1988","North Rhine-Westphalia","1115","0.722234159452387","0.69935328509001","0.745115033814765"
"No","1988","Hesse","453","0.744978678563403","0.709321061851591","0.780636295275215"
"No","1988","Rhineland-Palatinate,Saarland","311","0.78507532120129","0.743720391015902","0.826430251386677"
"No","1988","Baden-Württemberg","980","0.776744349841958","0.753024468035869","0.800464231648048"
"No","1988","Bavaria","808","0.775119718660579","0.749409637421349","0.800829799899808"
"No","1988","Berlin","138","0.589072917526417","0.523307774079495","0.654838060973338"
"No","1988","Brandenburg","","","",""
"No","1988","Mecklenburg-Western Pomerania","","","",""
"No","1988","Saxony","","","",""
"No","1988","Saxony-Anhalt","","","",""
"No","1988","Thuringia","","","",""
"Yes","1989","Schleswig-Holstein","48","0.298933597416671","0.230913005236289","0.366954189597053"
"Yes","1989","Hamburg","","","",""
"Yes","1989","Lower Saxony","145","0.284981157138253","0.247660717644074","0.322301596632431"
"Yes","1989","Bremen","","","",""
"Yes","1989","North Rhine-Westphalia","352","0.26656956943399","0.244155937156228","0.288983201711753"
"Yes","1989","Hesse","126","0.263870932986751","0.228546901865281","0.299194964108221"
"Yes","1989","Rhineland-Palatinate,Saarland","68","0.186009689726437","0.147685065986828","0.224334313466047"
"Yes","1989","Baden-Württemberg","202","0.21608742501609","0.192752161954685","0.239422688077494"
"Yes","1989","Bavaria","214","0.234639319915544","0.208859321679811","0.260419318151278"
"Yes","1989","Berlin","73","0.394980676035554","0.329939142637964","0.460022209433145"
"Yes","1989","Brandenburg","","","",""
"Yes","1989","Mecklenburg-Western Pomerania","","","",""
"Yes","1989","Saxony","","","",""
"Yes","1989","Saxony-Anhalt","","","",""
"Yes","1989","Thuringia","","","",""
"No","1989","Schleswig-Holstein","126","0.701066402583329","0.633045810402947","0.769086994763711"
"No","1989","Hamburg","97","0.851699254088374","0.787575064640414","0.915823443536334"
"No","1989","Lower Saxony","417","0.715018842861747","0.677698403367569","0.752339282355926"
"No","1989","Bremen","39","0.739724505562253","0.615593830985364","0.863855180139142"
"No","1989","North Rhine-Westphalia","1143","0.73343043056601","0.711016798288247","0.755844062843772"
"No","1989","Hesse","472","0.736129067013249","0.700805035891779","0.771453098134719"
"No","1989","Rhineland-Palatinate,Saarland","328","0.813990310273563","0.775665686533953","0.852314934013172"
"No","1989","Baden-Württemberg","993","0.78391257498391","0.760577311922506","0.807247838045315"
"No","1989","Bavaria","824","0.765360680084456","0.739580681848722","0.791140678320189"
"No","1989","Berlin","144","0.605019323964446","0.539977790566855","0.670060857362036"
"No","1989","Brandenburg","","","",""
"No","1989","Mecklenburg-Western Pomerania","","","",""
"No","1989","Saxony","","","",""
"No","1989","Saxony-Anhalt","","","",""
"No","1989","Thuringia","","","",""
"Yes","1990","Schleswig-Holstein","46","0.291637299762473","0.221861685980225","0.361412913544721"
"Yes","1990","Hamburg","","","",""
"Yes","1990","Lower Saxony","137","0.281111601866318","0.243370031872539","0.318853171860097"
"Yes","1990","Bremen","","","",""
"Yes","1990","North Rhine-Westphalia","354","0.270613987193412","0.247856128939664","0.293371845447159"
"Yes","1990","Hesse","134","0.267100958686587","0.231490255910774","0.302711661462401"
"Yes","1990","Rhineland-Palatinate,Saarland","65","0.204212312913525","0.162627566281406","0.245797059545644"
"Yes","1990","Baden-Württemberg","200","0.21585540671406","0.192301452474429","0.239409360953691"
"Yes","1990","Bavaria","196","0.226732245850465","0.200767328655962","0.252697163044968"
"Yes","1990","Berlin","179","0.440388331152627","0.39285455004595","0.487922112259305"
"Yes","1990","Brandenburg","187","0.351135562396495","0.311280207021373","0.390990917771618"
"Yes","1990","Mecklenburg-Western Pomerania","125","0.328043813990583","0.281267175058546","0.374820452922621"
"Yes","1990","Saxony","312","0.300249595902122","0.272064855971746","0.328434335832499"
"Yes","1990","Saxony-Anhalt","217","0.35569531118168","0.317643001942355","0.393747620421005"
"Yes","1990","Thuringia","161","0.286533141575902","0.248746257683875","0.324320025467929"
"No","1990","Schleswig-Holstein","117","0.708362700237527","0.638587086455279","0.778138314019775"
"No","1990","Hamburg","80","0.844747363909022","0.772678921157146","0.916815806660898"
"No","1990","Lower Saxony","408","0.718888398133682","0.681146828139903","0.756629968127461"
"No","1990","Bremen","37","0.815553658355377","0.699629178427484","0.93147813828327"
"No","1990","North Rhine-Westphalia","1110","0.729386012806588","0.706628154552841","0.752143871060336"
"No","1990","Hesse","459","0.732899041313413","0.697288338537599","0.768509744089227"
"No","1990","Rhineland-Palatinate,Saarland","296","0.795787687086475","0.754202940454356","0.837372433718593"
"No","1990","Baden-Württemberg","972","0.78414459328594","0.760590639046309","0.80769854752557"
"No","1990","Bavaria","803","0.773267754149535","0.747302836955032","0.799232671344038"
"No","1990","Berlin","240","0.559611668847373","0.512077887740695","0.60714544995405"
"No","1990","Brandenburg","364","0.648864437603504","0.609009082228382","0.688719792978627"
"No","1990","Mecklenburg-Western Pomerania","262","0.671956186009417","0.625179547077379","0.718732824941454"
"No","1990","Saxony","704","0.699750404097878","0.671565664167501","0.727935144028254"
"No","1990","Saxony-Anhalt","391","0.64430468881832","0.606252379578995","0.682356998057645"
"No","1990","Thuringia","389","0.713466858424098","0.675679974532071","0.751253742316125"
