"pgoeffd","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1984","(Married) couple without C. ","Female","423","0.717937709271257","0.681283428182321","0.754591990360192","2"
"No","1984","(Married) couple without C. ","Male","600","0.724788573310101","0.693742732486907","0.755834414133295","2"
"No","1984","1-pers.-HH","Female","174","0.700957450773176","0.643975859668792","0.75793904187756","2"
"No","1984","1-pers.-HH","Male","284","0.700315866187786","0.654132982258994","0.746498750116579","2"
"No","1984","Couple + C. GT 16 ","Female","355","0.73083278189755","0.690389424986615","0.771276138808484","2"
"No","1984","Couple + C. GT 16 ","Male","643","0.80585616022099","0.778044420642388","0.833667899799591","2"
"No","1984","Couple + C. LE 16 ","Female","489","0.714819897766175","0.679921898332242","0.749717897200109","2"
"No","1984","Couple + C. LE 16 ","Male","1174","0.766870789802218","0.744986474697054","0.788755104907382","2"
"No","1984","Couple + C. LE and GT 16","Female","300","0.794265898815379","0.752795543250052","0.835736254380706","2"
"No","1984","Couple + C. LE and GT 16","Male","588","0.797814853519605","0.768272533457657","0.827357173581553","2"
"No","1984","Single parent ","Female","143","0.720806453165522","0.657352381069886","0.784260525261158","2"
"No","1984","Single parent ","Male","117","0.861453513706751","0.802959776016829","0.919947251396673","2"
"Yes","1984","(Married) couple without C. ","Female","156","0.282062290728743","0.245408009639808","0.318716571817679","1"
"Yes","1984","(Married) couple without C. ","Male","195","0.275211426689899","0.244165585866705","0.306257267513093","1"
"Yes","1984","Couple + C. LE 16 ","Male","260","0.233129210197782","0.211244895092618","0.255013525302946","1"
"Yes","1984","1-pers.-HH","Male","94","0.299684133812214","0.253501249883421","0.345867017741006","1"
"Yes","1984","1-pers.-HH","Female","74","0.299042549226824","0.24206095812244","0.356024140331208","1"
"Yes","1984","Couple + C. GT 16 ","Female","107","0.26916721810245","0.228723861191516","0.309610575013385","1"
"Yes","1984","Couple + C. GT 16 ","Male","134","0.19414383977901","0.166332100200408","0.221955579357612","1"
"Yes","1984","Couple + C. LE 16 ","Female","154","0.285180102233825","0.250282102799891","0.320078101667758","1"
"Yes","1984","Couple + C. LE and GT 16","Female","65","0.205734101184621","0.164263745619294","0.247204456749948","1"
"Yes","1984","Couple + C. LE and GT 16","Male","122","0.202185146480395","0.172642826418447","0.231727466542343","1"
"Yes","1984","Single parent ","Female","49","0.279193546834478","0.215739474738842","0.342647618930115","1"
"Yes","1984","Single parent ","Male","17","","","","1"
"No","1985","(Married) couple without C. ","Female","375","0.7094868831431","0.670390348102657","0.748583418183543","2"
"No","1985","(Married) couple without C. ","Male","512","0.708274456509641","0.674480136885094","0.742068776134189","2"
"No","1985","1-pers.-HH","Female","146","0.65678909534388","0.594051155074333","0.719527035613428","2"
"No","1985","1-pers.-HH","Male","226","0.664744756929872","0.612446023434065","0.717043490425679","2"
"No","1985","Couple + C. GT 16 ","Female","339","0.717035411078372","0.675647001360261","0.758423820796483","2"
"No","1985","Couple + C. GT 16 ","Male","601","0.796477874293925","0.767488979377235","0.825466769210614","2"
"No","1985","Couple + C. LE 16 ","Female","385","0.715452982239395","0.676408741961596","0.754497222517195","2"
"No","1985","Couple + C. LE 16 ","Male","988","0.775953239261669","0.75245030691544","0.799456171607898","2"
"No","1985","Couple + C. LE and GT 16","Female","219","0.797348292484142","0.749577460293499","0.845119124674785","2"
"No","1985","Couple + C. LE and GT 16","Male","486","0.792061352201476","0.759202960523044","0.824919743879907","2"
"No","1985","Single parent ","Female","141","0.756644224799118","0.694302460847995","0.81898598875024","2"
"No","1985","Single parent ","Male","96","0.830708357662318","0.761564927898276","0.89985178742636","2"
"Yes","1985","(Married) couple without C. ","Female","143","0.2905131168569","0.251416581816457","0.329609651897343","1"
"Yes","1985","(Married) couple without C. ","Male","183","0.291725543490359","0.257931223865811","0.325519863114906","1"
"Yes","1985","1-pers.-HH","Female","74","0.34321090465612","0.280472964386572","0.405948844925667","1"
"Yes","1985","1-pers.-HH","Male","87","0.335255243070128","0.282956509574321","0.387553976565934","1"
"Yes","1985","Couple + C. LE 16 ","Male","221","0.224046760738331","0.200543828392102","0.24754969308456","1"
"Yes","1985","Couple + C. GT 16 ","Female","116","0.282964588921628","0.241576179203517","0.324352998639739","1"
"Yes","1985","Couple + C. GT 16 ","Male","140","0.203522125706075","0.174533230789386","0.232511020622764","1"
"Yes","1985","Couple + C. LE 16 ","Female","128","0.284547017760604","0.245502777482805","0.323591258038404","1"
"Yes","1985","Couple + C. LE and GT 16","Female","53","0.202651707515858","0.154880875325215","0.250422539706501","1"
"Yes","1985","Couple + C. LE and GT 16","Male","100","0.207938647798524","0.175080256120093","0.240797039476956","1"
"Yes","1985","Single parent ","Female","41","0.243355775200882","0.18101401124976","0.305697539152005","1"
"Yes","1985","Single parent ","Male","17","","","","1"
"No","1986","Couple + C. GT 16 ","Female","342","0.736153946371854","0.695524725204262","0.776783167539446","2"
"No","1986","Couple + C. GT 16 ","Male","620","0.797998966341638","0.76943587798207","0.826562054701206","2"
"No","1986","Couple + C. LE 16 ","Female","322","0.688197929863617","0.644716779605719","0.731679080121515","2"
"No","1986","Couple + C. LE 16 ","Male","875","0.771116743416947","0.746014702453665","0.79621878438023","2"
"No","1986","Couple + C. LE and GT 16","Female","188","0.730782355472003","0.675354723587815","0.786209987356191","2"
"No","1986","Couple + C. LE and GT 16","Male","433","0.780721395450179","0.745362280255684","0.816080510644675","2"
"No","1986","(Married) couple without C. ","Female","390","0.733266463913783","0.695508157536061","0.771024770291506","2"
"No","1986","(Married) couple without C. ","Male","500","0.711564415476926","0.677463599264129","0.745665231689722","2"
"No","1986","1-pers.-HH","Female","134","0.648297868626635","0.582449168950331","0.71414656830294","2"
"No","1986","1-pers.-HH","Male","207","0.644932348767851","0.590232382317595","0.699632315218108","2"
"No","1986","Single parent ","Female","123","0.722394235264911","0.653856848240611","0.790931622289211","2"
"No","1986","Single parent ","Male","88","0.813884441963532","0.740140064298911","0.887628819628152","2"
"Yes","1986","(Married) couple without C. ","Female","137","0.266733536086217","0.228975229708494","0.30449184246394","1"
"Yes","1986","(Married) couple without C. ","Male","178","0.288435584523074","0.254334768310278","0.322536400735871","1"
"Yes","1986","Couple + C. LE 16 ","Male","201","0.228883256583053","0.20378121561977","0.253985297546335","1"
"Yes","1986","1-pers.-HH","Female","68","0.351702131373365","0.28585343169706","0.417550831049669","1"
"Yes","1986","1-pers.-HH","Male","87","0.355067651232149","0.300367684781892","0.409767617682405","1"
"Yes","1986","Couple + C. GT 16 ","Female","110","0.263846053628146","0.223216832460554","0.304475274795738","1"
"Yes","1986","Couple + C. GT 16 ","Male","139","0.202001033658362","0.173437945298794","0.23056412201793","1"
"Yes","1986","Couple + C. LE 16 ","Female","114","0.311802070136383","0.268320919878485","0.355283220394281","1"
"Yes","1986","Couple + C. LE and GT 16","Female","58","0.269217644527997","0.213790012643809","0.324645276412185","1"
"Yes","1986","Couple + C. LE and GT 16","Male","93","0.21927860454982","0.183919489355324","0.254637719744316","1"
"Yes","1986","Single parent ","Female","41","0.277605764735089","0.209068377710789","0.346143151759388","1"
"Yes","1986","Single parent ","Male","19","","","","1"
"No","1987","Couple + C. GT 16 ","Female","359","0.722377181241952","0.682562838981796","0.762191523502108","2"
"No","1987","Couple + C. GT 16 ","Male","640","0.774555781525279","0.74556282218504","0.803548740865518","2"
"No","1987","Couple + C. LE 16 ","Female","321","0.701852639876841","0.658815670679305","0.744889609074376","2"
"No","1987","Couple + C. LE 16 ","Male","869","0.783675273438316","0.75887701026141","0.808473536615221","2"
"No","1987","Couple + C. LE and GT 16","Female","201","0.749124234746358","0.696122777799356","0.80212569169336","2"
"No","1987","Couple + C. LE and GT 16","Male","398","0.781348154746706","0.744486621598659","0.818209687894754","2"
"No","1987","(Married) couple without C. ","Female","397","0.739268845961109","0.701820831524377","0.77671686039784","2"
"No","1987","(Married) couple without C. ","Male","499","0.709218759561983","0.675061226008639","0.743376293115326","2"
"No","1987","1-pers.-HH","Female","135","0.616409132781026","0.55048512383944","0.682333141722611","2"
"No","1987","1-pers.-HH","Male","226","0.697568271267944","0.645593271157491","0.749543271378396","2"
"No","1987","Single parent ","Female","130","0.733168311661746","0.667067862186052","0.79926876113744","2"
"No","1987","Single parent ","Male","92","0.84522722266477","0.776695724155126","0.913758721174413","2"
"Yes","1987","(Married) couple without C. ","Male","180","0.290781240438018","0.256623706884674","0.324938773991361","1"
"Yes","1987","(Married) couple without C. ","Female","131","0.260731154038891","0.22328313960216","0.298179168475623","1"
"Yes","1987","1-pers.-HH","Male","74","0.302431728732056","0.250456728621604","0.354406728842509","1"
"Yes","1987","1-pers.-HH","Female","74","0.383590867218974","0.317666858277389","0.449514876160559","1"
"Yes","1987","Couple + C. LE 16 ","Male","190","0.216324726561684","0.191526463384778","0.24112298973859","1"
"Yes","1987","Couple + C. GT 16 ","Female","127","0.277622818758048","0.237808476497892","0.317437161018204","1"
"Yes","1987","Couple + C. GT 16 ","Male","158","0.225444218474721","0.196451259134482","0.25443717781496","1"
"Yes","1987","Couple + C. LE 16 ","Female","113","0.298147360123159","0.255110390925624","0.341184329320695","1"
"Yes","1987","Couple + C. LE and GT 16","Female","56","0.250875765253642","0.19787430830664","0.303877222200644","1"
"Yes","1987","Couple + C. LE and GT 16","Male","85","0.218651845253294","0.181790312105246","0.255513378401341","1"
"Yes","1987","Single parent ","Female","42","0.266831688338254","0.20073123886256","0.332932137813948","1"
"Yes","1987","Single parent ","Male","15","","","","1"
"No","1988","(Married) couple without C. ","Female","411","0.736705166350313","0.699524109095053","0.773886223605574","2"
