"pgoeffd","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No","1988","Single parent ","(3b) higher tertiary education","2","","",""
"No","1988","Couple + C. LE 16 ","(0) in school","","","",""
"No","1988","Couple + C. LE 16 ","(1a) inadequately completed","101","0.953122271661307","0.913621158328258","0.992623384994357"
"No","1988","Couple + C. LE 16 ","(1b) general elementary school","215","0.897863679847552","0.859145987444317","0.936581372250787"
"No","1988","Couple + C. LE 16 ","(1c) basic vocational qualification","473","0.808022438546712","0.775603894403556","0.840440982689867"
"No","1988","Couple + C. LE 16 ","(2b) intermediate general qualification","12","","",""
"No","1988","Couple + C. LE 16 ","(2a) intermediate vocational","162","0.709592995217538","0.651305105239366","0.767880885195711"
"No","1988","Couple + C. LE 16 ","(2c_gen) general maturity certificate","24","","",""
"No","1988","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","52","0.709256495059847","0.602109445357081","0.816403544762613"
"No","1988","Couple + C. LE 16 ","(3a) lower tertiary education","38","0.739600384614061","0.617958869122583","0.861241900105538"
"No","1988","Couple + C. LE 16 ","(3b) higher tertiary education","61","0.465138639733145","0.379066012891226","0.551211266575063"
"No","1988","Couple + C. GT 16 ","(0) in school","3","","",""
"No","1988","Couple + C. GT 16 ","(1a) inadequately completed","61","0.833563245557955","0.74567770196058","0.921448789155331"
"No","1988","Couple + C. GT 16 ","(1b) general elementary school","227","0.805227986003906","0.758250532078263","0.852205439929549"
"No","1988","Couple + C. GT 16 ","(1c) basic vocational qualification","421","0.817830759795211","0.784132919572448","0.851528600017973"
"No","1988","Couple + C. GT 16 ","(2b) intermediate general qualification","72","0.667389538406084","0.575504446528724","0.759274630283444"
"No","1988","Couple + C. GT 16 ","(2a) intermediate vocational","119","0.664248602359404","0.596012624634414","0.732484580084394"
"No","1988","Couple + C. GT 16 ","(2c_gen) general maturity certificate","30","0.665130157804029","0.522400316005489","0.80785999960257"
"No","1988","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","30","0.725091428398542","0.588429769281999","0.861753087515085"
"No","1988","Couple + C. GT 16 ","(3a) lower tertiary education","28","","",""
"No","1988","Couple + C. GT 16 ","(3b) higher tertiary education","23","","",""
"No","1988","Couple + C. LE and GT 16","(0) in school","1","","",""
"No","1988","Couple + C. LE and GT 16","(1a) inadequately completed","61","0.84574002091162","0.762309122938412","0.929170918884829"
"No","1988","Couple + C. LE and GT 16","(1b) general elementary school","169","0.87361743472823","0.826119645514019","0.921115223942441"
"No","1988","Couple + C. LE and GT 16","(1c) basic vocational qualification","183","0.795698329547631","0.74229894943209","0.849097709663172"
"No","1988","Couple + C. LE and GT 16","(2b) intermediate general qualification","36","0.858556804090484","0.75439957668677","0.962714031494198"
"No","1988","Couple + C. LE and GT 16","(2a) intermediate vocational","43","0.762252472720892","0.64974686457656","0.874758080865224"
"No","1988","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","10","","",""
"No","1988","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","7","","",""
"No","1988","Couple + C. LE and GT 16","(3a) lower tertiary education","6","","",""
"No","1988","Couple + C. LE and GT 16","(3b) higher tertiary education","7","","",""
"Yes","1989","1-pers.-HH","(0) in school","","","",""
"Yes","1989","1-pers.-HH","(1a) inadequately completed","3","","",""
"Yes","1989","1-pers.-HH","(1b) general elementary school","13","","",""
"Yes","1989","1-pers.-HH","(1c) basic vocational qualification","36","0.235214854667404","0.168227963116903","0.302201746217905"
"Yes","1989","1-pers.-HH","(2b) intermediate general qualification","6","","",""
"Yes","1989","1-pers.-HH","(2a) intermediate vocational","28","","",""
"Yes","1989","1-pers.-HH","(2c_gen) general maturity certificate","7","","",""
"Yes","1989","1-pers.-HH","(2c_voc) vocational maturity certificate","13","","",""
"Yes","1989","1-pers.-HH","(3a) lower tertiary education","12","","",""
"Yes","1989","1-pers.-HH","(3b) higher tertiary education","35","0.616220957178352","0.493171040029452","0.739270874327252"
"Yes","1989","(Married) couple without C. ","(0) in school","","","",""
"Yes","1989","(Married) couple without C. ","(1a) inadequately completed","5","","",""
"Yes","1989","(Married) couple without C. ","(1b) general elementary school","31","0.227439087105559","0.165510570881051","0.289367603330067"
"Yes","1989","(Married) couple without C. ","(1c) basic vocational qualification","99","0.214582788249363","0.178453874693246","0.250711701805479"
"Yes","1989","(Married) couple without C. ","(2b) intermediate general qualification","13","","",""
"Yes","1989","(Married) couple without C. ","(2a) intermediate vocational","76","0.31072985406211","0.252661515185429","0.368798192938791"
"Yes","1989","(Married) couple without C. ","(2c_gen) general maturity certificate","8","","",""
"Yes","1989","(Married) couple without C. ","(2c_voc) vocational maturity certificate","10","","",""
"Yes","1989","(Married) couple without C. ","(3a) lower tertiary education","13","","",""
"Yes","1989","(Married) couple without C. ","(3b) higher tertiary education","38","0.350453504817131","0.254511980539275","0.446395029094988"
"Yes","1989","Single parent ","(0) in school","1","","",""
"Yes","1989","Single parent ","(1a) inadequately completed","2","","",""
"Yes","1989","Single parent ","(1b) general elementary school","7","","",""
"Yes","1989","Single parent ","(1c) basic vocational qualification","16","","",""
"Yes","1989","Single parent ","(2b) intermediate general qualification","5","","",""
"Yes","1989","Single parent ","(2a) intermediate vocational","11","","",""
"Yes","1989","Single parent ","(2c_gen) general maturity certificate","6","","",""
"Yes","1989","Single parent ","(2c_voc) vocational maturity certificate","4","","",""
"Yes","1989","Single parent ","(3a) lower tertiary education","","","",""
"Yes","1989","Single parent ","(3b) higher tertiary education","7","","",""
"Yes","1989","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","1989","Couple + C. LE 16 ","(1a) inadequately completed","13","","",""
"Yes","1989","Couple + C. LE 16 ","(1b) general elementary school","19","","",""
"Yes","1989","Couple + C. LE 16 ","(1c) basic vocational qualification","99","0.189349360327595","0.157381838494856","0.221316882160334"
"Yes","1989","Couple + C. LE 16 ","(2b) intermediate general qualification","5","","",""
"Yes","1989","Couple + C. LE 16 ","(2a) intermediate vocational","71","0.299666525000017","0.24033275982545","0.359000290174584"
"Yes","1989","Couple + C. LE 16 ","(2c_gen) general maturity certificate","4","","",""
"Yes","1989","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","12","","",""
"Yes","1989","Couple + C. LE 16 ","(3a) lower tertiary education","12","","",""
"Yes","1989","Couple + C. LE 16 ","(3b) higher tertiary education","63","0.549445266929143","0.460792682193425","0.638097851664862"
"Yes","1989","Couple + C. GT 16 ","(0) in school","","","",""
"Yes","1989","Couple + C. GT 16 ","(1a) inadequately completed","9","","",""
"Yes","1989","Couple + C. GT 16 ","(1b) general elementary school","44","0.174235659159732","0.130951033420777","0.217520284898687"
"Yes","1989","Couple + C. GT 16 ","(1c) basic vocational qualification","93","0.211007730400351","0.174917230127658","0.247098230673044"
"Yes","1989","Couple + C. GT 16 ","(2b) intermediate general qualification","23","","",""
"Yes","1989","Couple + C. GT 16 ","(2a) intermediate vocational","62","0.339268802700533","0.269714746891491","0.408822858509574"
"Yes","1989","Couple + C. GT 16 ","(2c_gen) general maturity certificate","13","","",""
"Yes","1989","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","14","","",""
"Yes","1989","Couple + C. GT 16 ","(3a) lower tertiary education","8","","",""
"Yes","1989","Couple + C. GT 16 ","(3b) higher tertiary education","24","","",""
"Yes","1989","Couple + C. LE and GT 16","(0) in school","1","","",""
"Yes","1989","Couple + C. LE and GT 16","(1a) inadequately completed","10","","",""
"Yes","1989","Couple + C. LE and GT 16","(1b) general elementary school","18","","",""
"Yes","1989","Couple + C. LE and GT 16","(1c) basic vocational qualification","31","0.201425818833585","0.146524046842881","0.256327590824288"
"Yes","1989","Couple + C. LE and GT 16","(2b) intermediate general qualification","5","","",""
"Yes","1989","Couple + C. LE and GT 16","(2a) intermediate vocational","10","","",""
"Yes","1989","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","3","","",""
"Yes","1989","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","3","","",""
"Yes","1989","Couple + C. LE and GT 16","(3a) lower tertiary education","2","","",""
"Yes","1989","Couple + C. LE and GT 16","(3b) higher tertiary education","13","","",""
"No","1989","1-pers.-HH","(0) in school","","","",""
"No","1989","1-pers.-HH","(1a) inadequately completed","28","","",""
"No","1989","1-pers.-HH","(1b) general elementary school","63","0.799266004756015","0.709213161407504","0.889318848104525"
"No","1989","1-pers.-HH","(1c) basic vocational qualification","118","0.764785145332596","0.697798253782095","0.831772036883097"
"No","1989","1-pers.-HH","(2b) intermediate general qualification","13","","",""
"No","1989","1-pers.-HH","(2a) intermediate vocational","60","0.686971349732363","0.590083768993877","0.783858930470849"
"No","1989","1-pers.-HH","(2c_gen) general maturity certificate","14","","",""
"No","1989","1-pers.-HH","(2c_voc) vocational maturity certificate","31","0.627170012918383","0.484290548618227","0.770049477218539"
"No","1989","1-pers.-HH","(3a) lower tertiary education","18","","",""
"No","1989","1-pers.-HH","(3b) higher tertiary education","25","","",""
"No","1989","(Married) couple without C. ","(0) in school","","","",""
"No","1989","(Married) couple without C. ","(1a) inadequately completed","43","0.926279586935456","0.852354405521667","1.00020476834924"
"No","1989","(Married) couple without C. ","(1b) general elementary school","145","0.772560912894441","0.710632396669933","0.834489429118949"
"No","1989","(Married) couple without C. ","(1c) basic vocational qualification","397","0.785417211750637","0.749288298194521","0.821546125306754"
"No","1989","(Married) couple without C. ","(2b) intermediate general qualification","19","","",""
"No","1989","(Married) couple without C. ","(2a) intermediate vocational","168","0.68927014593789","0.631201807061209","0.747338484814571"
"No","1989","(Married) couple without C. ","(2c_gen) general maturity certificate","17","","",""
"No","1989","(Married) couple without C. ","(2c_voc) vocational maturity certificate","66","0.869629539176589","0.79392916314224","0.945329915210939"
"No","1989","(Married) couple without C. ","(3a) lower tertiary education","31","0.687266308200877","0.550281749287293","0.82425086711446"
"No","1989","(Married) couple without C. ","(3b) higher tertiary education","57","0.649546495182868","0.553604970905012","0.745488019460725"
"No","1989","Single parent ","(0) in school","3","","",""
"No","1989","Single parent ","(1a) inadequately completed","16","","",""
"No","1989","Single parent ","(1b) general elementary school","50","0.889787276668147","0.808491192766381","0.971083360569913"
"No","1989","Single parent ","(1c) basic vocational qualification","85","0.858695081977778","0.790761341057139","0.926628822898417"
"No","1989","Single parent ","(2b) intermediate general qualification","19","","",""
"No","1989","Single parent ","(2a) intermediate vocational","25","","",""
"No","1989","Single parent ","(2c_gen) general maturity certificate","9","","",""
"No","1989","Single parent ","(2c_voc) vocational maturity certificate","6","","",""
"No","1989","Single parent ","(3a) lower tertiary education","3","","",""
"No","1989","Single parent ","(3b) higher tertiary education","5","","",""
"No","1989","Couple + C. LE 16 ","(0) in school","1","","",""
"No","1989","Couple + C. LE 16 ","(1a) inadequately completed","104","0.936415558132317","0.892201039391448","0.980630076873185"
"No","1989","Couple + C. LE 16 ","(1b) general elementary school","230","0.899894464993887","0.862614692504309","0.937174237483464"
"No","1989","Couple + C. LE 16 ","(1c) basic vocational qualification","478","0.810650639672405","0.778683117839666","0.842618161505144"
"No","1989","Couple + C. LE 16 ","(2b) intermediate general qualification","13","","",""
"No","1989","Couple + C. LE 16 ","(2a) intermediate vocational","158","0.700333474999983","0.640999709825417","0.75966724017455"
"No","1989","Couple + C. LE 16 ","(2c_gen) general maturity certificate","20","","",""
"No","1989","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","50","0.755605360697975","0.648639399211845","0.862571322184106"
"No","1989","Couple + C. LE 16 ","(3a) lower tertiary education","37","0.753045686620104","0.632300723920674","0.873790649319535"
"No","1989","Couple + C. LE 16 ","(3b) higher tertiary education","58","0.450554733070857","0.361902148335138","0.539207317806575"
"No","1989","Couple + C. GT 16 ","(0) in school","5","","",""
"No","1989","Couple + C. GT 16 ","(1a) inadequately completed","64","0.808040245424158","0.717694386751931","0.898386104096385"
"No","1989","Couple + C. GT 16 ","(1b) general elementary school","251","0.825764340840268","0.782479715101313","0.869048966579223"
"No","1989","Couple + C. GT 16 ","(1c) basic vocational qualification","398","0.788992269599649","0.752901769326956","0.825082769872342"
"No","1989","Couple + C. GT 16 ","(2b) intermediate general qualification","77","0.744155065251046","0.658634960586176","0.829675169915915"
"No","1989","Couple + C. GT 16 ","(2a) intermediate vocational","116","0.660731197299467","0.591177141490426","0.730285253108509"
"No","1989","Couple + C. GT 16 ","(2c_gen) general maturity certificate","32","0.664243531065416","0.526263037103422","0.80222402502741"
"No","1989","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","33","0.678236552684929","0.544682180212336","0.811790925157523"
"No","1989","Couple + C. GT 16 ","(3a) lower tertiary education","24","","",""
"No","1989","Couple + C. GT 16 ","(3b) higher tertiary education","26","","",""
"No","1989","Couple + C. LE and GT 16","(0) in school","","","",""
"No","1989","Couple + C. LE and GT 16","(1a) inadequately completed","53","0.890641175349144","0.813576364311858","0.96770598638643"
"No","1989","Couple + C. LE and GT 16","(1b) general elementary school","164","0.876597466211154","0.828814342092359","0.92438059032995"
"No","1989","Couple + C. LE and GT 16","(1c) basic vocational qualification","174","0.798574181166415","0.743672409175712","0.853475953157119"
"No","1989","Couple + C. LE and GT 16","(2b) intermediate general qualification","30","0.86977782435876","0.758281459633245","0.981274189084275"
"No","1989","Couple + C. LE and GT 16","(2a) intermediate vocational","54","0.842925961620837","0.753779312402931","0.932072610838743"
"No","1989","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","12","","",""
"No","1989","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","10","","",""
"No","1989","Couple + C. LE and GT 16","(3a) lower tertiary education","8","","",""
"No","1989","Couple + C. LE and GT 16","(3b) higher tertiary education","9","","",""
"Yes","1990","1-pers.-HH","(0) in school","","","",""
"Yes","1990","1-pers.-HH","(1a) inadequately completed","4","","",""
"Yes","1990","1-pers.-HH","(1b) general elementary school","17","","",""
"Yes","1990","1-pers.-HH","(1c) basic vocational qualification","43","0.225333597880608","0.165451414947564","0.285215780813653"
"Yes","1990","1-pers.-HH","(2b) intermediate general qualification","6","","",""
"Yes","1990","1-pers.-HH","(2a) intermediate vocational","41","0.298207829016751","0.219869153746761","0.376546504286741"
"Yes","1990","1-pers.-HH","(2c_gen) general maturity certificate","5","","",""
"Yes","1990","1-pers.-HH","(2c_voc) vocational maturity certificate","14","","",""
"Yes","1990","1-pers.-HH","(3a) lower tertiary education","11","","",""
"Yes","1990","1-pers.-HH","(3b) higher tertiary education","37","0.610246610939741","0.486845206048498","0.733648015830985"
"Yes","1990","(Married) couple without C. ","(0) in school","","","",""
"Yes","1990","(Married) couple without C. ","(1a) inadequately completed","5","","",""
"Yes","1990","(Married) couple without C. ","(1b) general elementary school","46","0.265745791396926","0.206700498540621","0.324791084253232"
"Yes","1990","(Married) couple without C. ","(1c) basic vocational qualification","172","0.218155390360026","0.189338123601727","0.246972657118325"
"Yes","1990","(Married) couple without C. ","(2b) intermediate general qualification","15","","",""
"Yes","1990","(Married) couple without C. ","(2a) intermediate vocational","105","0.30806201098386","0.260303197651173","0.355820824316547"
"Yes","1990","(Married) couple without C. ","(2c_gen) general maturity certificate","9","","",""
"Yes","1990","(Married) couple without C. ","(2c_voc) vocational maturity certificate","16","","",""
"Yes","1990","(Married) couple without C. ","(3a) lower tertiary education","64","0.441791463685201","0.362054103493516","0.521528823876886"
"Yes","1990","(Married) couple without C. ","(3b) higher tertiary education","73","0.460909171595677","0.380329021807751","0.541489321383602"
"Yes","1990","Single parent ","(0) in school","","","",""
"Yes","1990","Single parent ","(1a) inadequately completed","1","","",""
"Yes","1990","Single parent ","(1b) general elementary school","12","","",""
"Yes","1990","Single parent ","(1c) basic vocational qualification","25","","",""
"Yes","1990","Single parent ","(2b) intermediate general qualification","4","","",""
"Yes","1990","Single parent ","(2a) intermediate vocational","33","0.432739961329327","0.330943661798346","0.534536260860308"
"Yes","1990","Single parent ","(2c_gen) general maturity certificate","6","","",""
"Yes","1990","Single parent ","(2c_voc) vocational maturity certificate","7","","",""
"Yes","1990","Single parent ","(3a) lower tertiary education","14","","",""
"Yes","1990","Single parent ","(3b) higher tertiary education","15","","",""
"Yes","1990","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","1990","Couple + C. LE 16 ","(1a) inadequately completed","5","","",""
"Yes","1990","Couple + C. LE 16 ","(1b) general elementary school","20","","",""
"Yes","1990","Couple + C. LE 16 ","(1c) basic vocational qualification","147","0.197869393610004","0.169526834675357","0.226211952544651"
"Yes","1990","Couple + C. LE 16 ","(2b) intermediate general qualification","8","","",""
"Yes","1990","Couple + C. LE 16 ","(2a) intermediate vocational","285","0.308986061839557","0.278864552901947","0.339107570777167"
"Yes","1990","Couple + C. LE 16 ","(2c_gen) general maturity certificate","5","","",""
"Yes","1990","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","20","","",""
"Yes","1990","Couple + C. LE 16 ","(3a) lower tertiary education","133","0.381576222533492","0.326048716550392","0.437103728516592"
"Yes","1990","Couple + C. LE 16 ","(3b) higher tertiary education","138","0.513935978103513","0.454208634488767","0.57366332171826"
"Yes","1990","Couple + C. GT 16 ","(0) in school","","","",""
"Yes","1990","Couple + C. GT 16 ","(1a) inadequately completed","11","","",""
"Yes","1990","Couple + C. GT 16 ","(1b) general elementary school","46","0.174776734687893","0.130839301193142","0.218714168182644"
"Yes","1990","Couple + C. GT 16 ","(1c) basic vocational qualification","156","0.247719797536717","0.215648713056858","0.279790882016576"
"Yes","1990","Couple + C. GT 16 ","(2b) intermediate general qualification","36","0.261067777016265","0.18831274913105","0.33382280490148"
"Yes","1990","Couple + C. GT 16 ","(2a) intermediate vocational","101","0.281549631154868","0.235025664676584","0.328073597633152"
"Yes","1990","Couple + C. GT 16 ","(2c_gen) general maturity certificate","18","","",""
"Yes","1990","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","18","","",""
"Yes","1990","Couple + C. GT 16 ","(3a) lower tertiary education","42","0.339952525114142","0.253750827424866","0.426154222803418"
"Yes","1990","Couple + C. GT 16 ","(3b) higher tertiary education","46","0.531857710412655","0.425150168619817","0.638565252205493"
"Yes","1990","Couple + C. LE and GT 16","(0) in school","1","","",""
"Yes","1990","Couple + C. LE and GT 16","(1a) inadequately completed","13","","",""
"Yes","1990","Couple + C. LE and GT 16","(1b) general elementary school","21","","",""
"Yes","1990","Couple + C. LE and GT 16","(1c) basic vocational qualification","49","0.24943081556247","0.194575393756157","0.304286237368784"
"Yes","1990","Couple + C. LE and GT 16","(2b) intermediate general qualification","16","","",""
"Yes","1990","Couple + C. LE and GT 16","(2a) intermediate vocational","28","","",""
"Yes","1990","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","4","","",""
"Yes","1990","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","3","","",""
"Yes","1990","Couple + C. LE and GT 16","(3a) lower tertiary education","27","","",""
"Yes","1990","Couple + C. LE and GT 16","(3b) higher tertiary education","23","","",""
"No","1990","1-pers.-HH","(0) in school","","","",""
"No","1990","1-pers.-HH","(1a) inadequately completed","23","","",""
"No","1990","1-pers.-HH","(1b) general elementary school","68","0.798451077634481","0.713169932354333","0.88373222291463"
"No","1990","1-pers.-HH","(1c) basic vocational qualification","144","0.774666402119392","0.714784219186347","0.834548585052436"
"No","1990","1-pers.-HH","(2b) intermediate general qualification","19","","",""
"No","1990","1-pers.-HH","(2a) intermediate vocational","90","0.701792170983249","0.623453495713259","0.780130846253239"
"No","1990","1-pers.-HH","(2c_gen) general maturity certificate","12","","",""
"No","1990","1-pers.-HH","(2c_voc) vocational maturity certificate","33","0.684097887850456","0.551194959052765","0.817000816648147"
"No","1990","1-pers.-HH","(3a) lower tertiary education","29","","",""
"No","1990","1-pers.-HH","(3b) higher tertiary education","23","","",""
"No","1990","(Married) couple without C. ","(0) in school","","","",""
"No","1990","(Married) couple without C. ","(1a) inadequately completed","41","0.849915505932666","0.746704748725622","0.953126263139709"
"No","1990","(Married) couple without C. ","(1b) general elementary school","169","0.734254208603074","0.675208915746768","0.793299501459379"
"No","1990","(Married) couple without C. ","(1c) basic vocational qualification","617","0.781844609639974","0.753027342881675","0.810661876398273"
"No","1990","(Married) couple without C. ","(2b) intermediate general qualification","23","","",""
"No","1990","(Married) couple without C. ","(2a) intermediate vocational","254","0.69193798901614","0.644179175683453","0.739696802348827"
"No","1990","(Married) couple without C. ","(2c_gen) general maturity certificate","16","","",""
"No","1990","(Married) couple without C. ","(2c_voc) vocational maturity certificate","66","0.841744030133522","0.762746913822842","0.920741146444201"
"No","1990","(Married) couple without C. ","(3a) lower tertiary education","85","0.558208536314799","0.478471176123114","0.637945896506484"
"No","1990","(Married) couple without C. ","(3b) higher tertiary education","74","0.539090828404323","0.458510678616398","0.619670978192249"
"No","1990","Single parent ","(0) in school","1","","",""
"No","1990","Single parent ","(1a) inadequately completed","10","","",""
"No","1990","Single parent ","(1b) general elementary school","54","0.799077170961236","0.70240863813779","0.895745703784683"
"No","1990","Single parent ","(1c) basic vocational qualification","112","0.833653377307875","0.771296040567549","0.8960107140482"
"No","1990","Single parent ","(2b) intermediate general qualification","25","","",""
"No","1990","Single parent ","(2a) intermediate vocational","58","0.567260038670673","0.465463739139692","0.669056338201654"
"No","1990","Single parent ","(2c_gen) general maturity certificate","8","","",""
"No","1990","Single parent ","(2c_voc) vocational maturity certificate","8","","",""
"No","1990","Single parent ","(3a) lower tertiary education","14","","",""
"No","1990","Single parent ","(3b) higher tertiary education","12","","",""
"No","1990","Couple + C. LE 16 ","(0) in school","","","",""
"No","1990","Couple + C. LE 16 ","(1a) inadequately completed","95","0.96407055446626","0.927592828382577","1.00054828054994"
"No","1990","Couple + C. LE 16 ","(1b) general elementary school","235","0.901349832335267","0.864750462669739","0.937949202000794"
"No","1990","Couple + C. LE 16 ","(1c) basic vocational qualification","612","0.802130606389996","0.773788047455349","0.830473165324643"
"No","1990","Couple + C. LE 16 ","(2b) intermediate general qualification","19","","",""
"No","1990","Couple + C. LE 16 ","(2a) intermediate vocational","619","0.691013938160443","0.660892429222833","0.721135447098053"
"No","1990","Couple + C. LE 16 ","(2c_gen) general maturity certificate","23","","",""
"No","1990","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","73","0.719259801131985","0.627932249984742","0.810587352279228"
"No","1990","Couple + C. LE 16 ","(3a) lower tertiary education","161","0.618423777466508","0.562896271483408","0.673951283449608"
"No","1990","Couple + C. LE 16 ","(3b) higher tertiary education","131","0.486064021896487","0.42633667828174","0.545791365511233"
"No","1990","Couple + C. GT 16 ","(0) in school","2","","",""
"No","1990","Couple + C. GT 16 ","(1a) inadequately completed","76","0.877978592170272","0.809200766230011","0.946756418110532"
"No","1990","Couple + C. GT 16 ","(1b) general elementary school","241","0.825223265312107","0.781285831817356","0.869160698806858"
"No","1990","Couple + C. GT 16 ","(1c) basic vocational qualification","540","0.752280202463283","0.720209117983424","0.784351286943142"
"No","1990","Couple + C. GT 16 ","(2b) intermediate general qualification","104","0.738932222983735","0.66617719509852","0.81168725086895"
"No","1990","Couple + C. GT 16 ","(2a) intermediate vocational","258","0.718450368845132","0.671926402366848","0.764974335323416"
"No","1990","Couple + C. GT 16 ","(2c_gen) general maturity certificate","27","","",""
"No","1990","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","42","0.724282550842368","0.61120963202617","0.837355469658567"
"No","1990","Couple + C. GT 16 ","(3a) lower tertiary education","74","0.660047474885858","0.573845777196582","0.746249172575134"
"No","1990","Couple + C. GT 16 ","(3b) higher tertiary education","38","0.468142289587345","0.361434747794507","0.574849831380183"
"No","1990","Couple + C. LE and GT 16","(0) in school","1","","",""
"No","1990","Couple + C. LE and GT 16","(1a) inadequately completed","49","0.8451895982102","0.755150862756979","0.935228333663422"
"No","1990","Couple + C. LE and GT 16","(1b) general elementary school","150","0.867495057148652","0.816679162053393","0.918310952243912"
"No","1990","Couple + C. LE and GT 16","(1c) basic vocational qualification","190","0.75056918443753","0.695713762631216","0.805424606243843"
"No","1990","Couple + C. LE and GT 16","(2b) intermediate general qualification","47","0.71457826665953","0.603059941694385","0.826096591624675"
"No","1990","Couple + C. LE and GT 16","(2a) intermediate vocational","112","0.79557335596823","0.728770821814994","0.862375890121467"
"No","1990","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","8","","",""
"No","1990","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","11","","",""
"No","1990","Couple + C. LE and GT 16","(3a) lower tertiary education","34","0.554325085006402","0.429594047496626","0.679056122516177"
"No","1990","Couple + C. LE and GT 16","(3b) higher tertiary education","16","","",""
"Yes","1991","1-pers.-HH","(0) in school","","","",""
"Yes","1991","1-pers.-HH","(1a) inadequately completed","3","","",""
"Yes","1991","1-pers.-HH","(1b) general elementary school","18","","",""
"Yes","1991","1-pers.-HH","(1c) basic vocational qualification","37","0.219752166384191","0.156950274949879","0.282554057818502"
"Yes","1991","1-pers.-HH","(2b) intermediate general qualification","6","","",""
"Yes","1991","1-pers.-HH","(2a) intermediate vocational","43","0.27290715165645","0.200897316212232","0.344916987100667"
"Yes","1991","1-pers.-HH","(2c_gen) general maturity certificate","3","","",""
"Yes","1991","1-pers.-HH","(2c_voc) vocational maturity certificate","14","","",""
"Yes","1991","1-pers.-HH","(3a) lower tertiary education","9","","",""
"Yes","1991","1-pers.-HH","(3b) higher tertiary education","41","0.66252479001641","0.545763248244029","0.77928633178879"
"Yes","1991","(Married) couple without C. ","(0) in school","","","",""
"Yes","1991","(Married) couple without C. ","(1a) inadequately completed","7","","",""
"Yes","1991","(Married) couple without C. ","(1b) general elementary school","50","0.327997154200316","0.260886764559507","0.395107543841124"
"Yes","1991","(Married) couple without C. ","(1c) basic vocational qualification","152","0.232855231718494","0.201700784639387","0.2640096787976"
"Yes","1991","(Married) couple without C. ","(2b) intermediate general qualification","13","","",""
"Yes","1991","(Married) couple without C. ","(2a) intermediate vocational","102","0.298788575984848","0.250348198740066","0.34722895322963"
"Yes","1991","(Married) couple without C. ","(2c_gen) general maturity certificate","8","","",""
"Yes","1991","(Married) couple without C. ","(2c_voc) vocational maturity certificate","28","","",""
"Yes","1991","(Married) couple without C. ","(3a) lower tertiary education","49","0.426937182366816","0.339166134986631","0.514708229747001"
"Yes","1991","(Married) couple without C. ","(3b) higher tertiary education","70","0.491331190946475","0.40761826359169","0.575044118301261"
"Yes","1991","Single parent ","(0) in school","","","",""
"Yes","1991","Single parent ","(1a) inadequately completed","3","","",""
"Yes","1991","Single parent ","(1b) general elementary school","9","","",""
"Yes","1991","Single parent ","(1c) basic vocational qualification","30","0.200945517129731","0.134805258035111","0.267085776224352"
"Yes","1991","Single parent ","(2b) intermediate general qualification","7","","",""
"Yes","1991","Single parent ","(2a) intermediate vocational","29","","",""
"Yes","1991","Single parent ","(2c_gen) general maturity certificate","1","","",""
"Yes","1991","Single parent ","(2c_voc) vocational maturity certificate","7","","",""
"Yes","1991","Single parent ","(3a) lower tertiary education","11","","",""
"Yes","1991","Single parent ","(3b) higher tertiary education","16","","",""
"Yes","1991","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","1991","Couple + C. LE 16 ","(1a) inadequately completed","8","","",""
"Yes","1991","Couple + C. LE 16 ","(1b) general elementary school","25","","",""
"Yes","1991","Couple + C. LE 16 ","(1c) basic vocational qualification","140","0.206466220009031","0.177322418530942","0.235610021487121"
"Yes","1991","Couple + C. LE 16 ","(2b) intermediate general qualification","6","","",""
"Yes","1991","Couple + C. LE 16 ","(2a) intermediate vocational","244","0.2982116876237","0.26714528359096","0.32927809165644"
"Yes","1991","Couple + C. LE 16 ","(2c_gen) general maturity certificate","8","","",""
"Yes","1991","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","20","","",""
"Yes","1991","Couple + C. LE 16 ","(3a) lower tertiary education","120","0.377276380699266","0.320401111250491","0.43415165014804"
