"pgoeffd","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No","1984","1-pers.-HH","(2b) intermediate general qualification","9","","",""
"No","1984","1-pers.-HH","(2a) intermediate vocational","75","0.710537148554681","0.625786786769029","0.795287510340333"
"No","1984","1-pers.-HH","(2c_gen) general maturity certificate","11","","",""
"No","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","27","","",""
"No","1984","1-pers.-HH","(3a) lower tertiary education","14","","",""
"No","1984","1-pers.-HH","(3b) higher tertiary education","21","","",""
"No","1984","(Married) couple without C. ","(0) in school","","","",""
"No","1984","(Married) couple without C. ","(1a) inadequately completed","77","0.85912891520109","0.786027032483017","0.932230797919164"
"No","1984","(Married) couple without C. ","(1b) general elementary school","191","0.835398737657059","0.786837743412762","0.883959731901355"
"No","1984","(Married) couple without C. ","(1c) basic vocational qualification","435","0.765602775370459","0.73045409910644","0.800751451634479"
"No","1984","(Married) couple without C. ","(2b) intermediate general qualification","15","","",""
"No","1984","(Married) couple without C. ","(2a) intermediate vocational","147","0.639469956845726","0.577551103652642","0.701388810038811"
"No","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","17","","",""
"No","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","57","0.768483571596139","0.672379799977982","0.864587343214297"
"No","1984","(Married) couple without C. ","(3a) lower tertiary education","41","0.68490399010788","0.56636577455062","0.80344220566514"
"No","1984","(Married) couple without C. ","(3b) higher tertiary education","37","0.43384510138837","0.328485622988212","0.539204579788528"
"No","1984","Single parent ","(0) in school","","","",""
"No","1984","Single parent ","(1a) inadequately completed","23","","",""
"No","1984","Single parent ","(1b) general elementary school","72","0.840836830238199","0.763519647956537","0.918154012519861"
"No","1984","Single parent ","(1c) basic vocational qualification","105","0.847010783519957","0.783905174195963","0.91011639284395"
"No","1984","Single parent ","(2b) intermediate general qualification","8","","",""
"No","1984","Single parent ","(2a) intermediate vocational","28","","",""
"No","1984","Single parent ","(2c_gen) general maturity certificate","9","","",""
"No","1984","Single parent ","(2c_voc) vocational maturity certificate","6","","",""
"No","1984","Single parent ","(3a) lower tertiary education","2","","",""
"No","1984","Single parent ","(3b) higher tertiary education","5","","",""
"No","1984","Couple + C. LE 16 ","(0) in school","1","","",""
"No","1984","Couple + C. LE 16 ","(1a) inadequately completed","204","0.917960076453175","0.881697281788245","0.954222871118105"
"No","1984","Couple + C. LE 16 ","(1b) general elementary school","324","0.840014891475185","0.802457897799885","0.877571885150485"
"No","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","688","0.799062611787773","0.771867813151668","0.826257410423877"
"No","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","15","","",""
"No","1984","Couple + C. LE 16 ","(2a) intermediate vocational","199","0.732899847025181","0.679928614528687","0.785871079521674"
"No","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","25","","",""
"No","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","73","0.739710522176419","0.650047498229516","0.829373546123322"
"No","1984","Couple + C. LE 16 ","(3a) lower tertiary education","42","0.69549538787538","0.579051544753518","0.811939230997241"
"No","1984","Couple + C. LE 16 ","(3b) higher tertiary education","69","0.395832753532136","0.320758894387859","0.470906612676413"
"No","1984","Couple + C. GT 16 ","(0) in school","1","","",""
"No","1984","Couple + C. GT 16 ","(1a) inadequately completed","89","0.895504497090229","0.834312424894091","0.956696569286366"
"No","1984","Couple + C. GT 16 ","(1b) general elementary school","193","0.786131184186938","0.733817737570823","0.838444630803053"
"No","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","435","0.836410077610861","0.804243553310264","0.868576601911458"
"No","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","54","0.680320227025074","0.574776669164226","0.785863784885923"
"No","1984","Couple + C. GT 16 ","(2a) intermediate vocational","115","0.711900294626158","0.642588497346035","0.78121209190628"
"No","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","28","","",""
"No","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","27","","",""
"No","1984","Couple + C. GT 16 ","(3a) lower tertiary education","26","","",""
"No","1984","Couple + C. GT 16 ","(3b) higher tertiary education","24","","",""
"No","1984","Couple + C. LE and GT 16","(0) in school","","","",""
"No","1984","Couple + C. LE and GT 16","(1a) inadequately completed","114","0.870994433894334","0.81381063023443","0.928178237554238"
"No","1984","Couple + C. LE and GT 16","(1b) general elementary school","258","0.868737247812419","0.829804581822156","0.907669913802682"
"No","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","335","0.833114879213265","0.796436165937622","0.869793592488907"
"No","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","51","0.779254244935286","0.677642508552267","0.880865981318305"
"No","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","69","0.722932461211366","0.632458032266624","0.813406890156109"
"No","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","16","","",""
"No","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","14","","",""
"No","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","12","","",""
"No","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","13","","",""
"Yes","1985","1-pers.-HH","(0) in school","","","",""
"Yes","1985","1-pers.-HH","(1a) inadequately completed","4","","",""
"Yes","1985","1-pers.-HH","(1b) general elementary school","11","","",""
"Yes","1985","1-pers.-HH","(1c) basic vocational qualification","38","0.264891984888807","0.196516867098753","0.333267102678861"
"Yes","1985","1-pers.-HH","(2b) intermediate general qualification","3","","",""
"Yes","1985","1-pers.-HH","(2a) intermediate vocational","34","0.321055296059944","0.229087111133261","0.413023480986626"
"Yes","1985","1-pers.-HH","(2c_gen) general maturity certificate","5","","",""
"Yes","1985","1-pers.-HH","(2c_voc) vocational maturity certificate","23","","",""
"Yes","1985","1-pers.-HH","(3a) lower tertiary education","8","","",""
"Yes","1985","1-pers.-HH","(3b) higher tertiary education","35","0.626442600299231","0.49974354078037","0.753141659818093"
"Yes","1985","(Married) couple without C. ","(0) in school","","","",""
"Yes","1985","(Married) couple without C. ","(1a) inadequately completed","5","","",""
"Yes","1985","(Married) couple without C. ","(1b) general elementary school","31","0.191251641983233","0.135033244915301","0.247470039051164"
"Yes","1985","(Married) couple without C. ","(1c) basic vocational qualification","120","0.250473367761289","0.212795133075306","0.288151602447273"
"Yes","1985","(Married) couple without C. ","(2b) intermediate general qualification","5","","",""
"Yes","1985","(Married) couple without C. ","(2a) intermediate vocational","83","0.369732490091178","0.306374421852273","0.433090558330082"
"Yes","1985","(Married) couple without C. ","(2c_gen) general maturity certificate","4","","",""
"Yes","1985","(Married) couple without C. ","(2c_voc) vocational maturity certificate","13","","",""
"Yes","1985","(Married) couple without C. ","(3a) lower tertiary education","17","","",""
"Yes","1985","(Married) couple without C. ","(3b) higher tertiary education","45","0.578086299442979","0.467053971016525","0.689118627869433"
"Yes","1985","Single parent ","(0) in school","","","",""
"Yes","1985","Single parent ","(1a) inadequately completed","1","","",""
"Yes","1985","Single parent ","(1b) general elementary school","11","","",""
"Yes","1985","Single parent ","(1c) basic vocational qualification","19","","",""
"Yes","1985","Single parent ","(2b) intermediate general qualification","4","","",""
"Yes","1985","Single parent ","(2a) intermediate vocational","13","","",""
"Yes","1985","Single parent ","(2c_gen) general maturity certificate","","","",""
"Yes","1985","Single parent ","(2c_voc) vocational maturity certificate","2","","",""
"Yes","1985","Single parent ","(3a) lower tertiary education","","","",""
"Yes","1985","Single parent ","(3b) higher tertiary education","6","","",""
"Yes","1985","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","1985","Couple + C. LE 16 ","(1a) inadequately completed","12","","",""
"Yes","1985","Couple + C. LE 16 ","(1b) general elementary school","32","0.137986526540629","0.098223948187613","0.177749104893645"
"Yes","1985","Couple + C. LE 16 ","(1c) basic vocational qualification","121","0.195702629330461","0.165948695424768","0.225456563236153"
"Yes","1985","Couple + C. LE 16 ","(2b) intermediate general qualification","2","","",""
"Yes","1985","Couple + C. LE 16 ","(2a) intermediate vocational","63","0.264106307673351","0.208331331018121","0.319881284328582"
"Yes","1985","Couple + C. LE 16 ","(2c_gen) general maturity certificate","5","","",""
"Yes","1985","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","14","","",""
"Yes","1985","Couple + C. LE 16 ","(3a) lower tertiary education","16","","",""
"Yes","1985","Couple + C. LE 16 ","(3b) higher tertiary education","84","0.581194750533628","0.500891894840178","0.661497606227078"
"Yes","1985","Couple + C. GT 16 ","(0) in school","","","",""
"Yes","1985","Couple + C. GT 16 ","(1a) inadequately completed","4","","",""
"Yes","1985","Couple + C. GT 16 ","(1b) general elementary school","46","0.220960531687126","0.16791470238644","0.274006360987812"
"Yes","1985","Couple + C. GT 16 ","(1c) basic vocational qualification","78","0.187294074511467","0.152134286121335","0.222453862901599"
"Yes","1985","Couple + C. GT 16 ","(2b) intermediate general qualification","19","","",""
"Yes","1985","Couple + C. GT 16 ","(2a) intermediate vocational","54","0.288973897206341","0.221428288582487","0.356519505830196"
"Yes","1985","Couple + C. GT 16 ","(2c_gen) general maturity certificate","4","","",""
"Yes","1985","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","9","","",""
"Yes","1985","Couple + C. GT 16 ","(3a) lower tertiary education","7","","",""
"Yes","1985","Couple + C. GT 16 ","(3b) higher tertiary education","33","0.58486234570348","0.460182757206517","0.709541934200442"
"Yes","1985","Couple + C. LE and GT 16","(0) in school","","","",""
"Yes","1985","Couple + C. LE and GT 16","(1a) inadequately completed","17","","",""
"Yes","1985","Couple + C. LE and GT 16","(1b) general elementary school","23","","",""
"Yes","1985","Couple + C. LE and GT 16","(1c) basic vocational qualification","50","0.173315833345447","0.132289458435641","0.214342208255252"
"Yes","1985","Couple + C. LE and GT 16","(2b) intermediate general qualification","10","","",""
"Yes","1985","Couple + C. LE and GT 16","(2a) intermediate vocational","24","","",""
"Yes","1985","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","3","","",""
"Yes","1985","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","6","","",""
"Yes","1985","Couple + C. LE and GT 16","(3a) lower tertiary education","3","","",""
"Yes","1985","Couple + C. LE and GT 16","(3b) higher tertiary education","16","","",""
"No","1985","1-pers.-HH","(0) in school","","","",""
"No","1985","1-pers.-HH","(1a) inadequately completed","42","0.953074685353957","0.891961314482665","1.01418805622525"
"No","1985","1-pers.-HH","(1b) general elementary school","67","0.800540140834979","0.711861281063247","0.889219000606711"
"No","1985","1-pers.-HH","(1c) basic vocational qualification","122","0.735108015111193","0.666732897321139","0.803483132901247"
"No","1985","1-pers.-HH","(2b) intermediate general qualification","4","","",""
"No","1985","1-pers.-HH","(2a) intermediate vocational","65","0.678944703940056","0.586976519013374","0.770912888866739"
"No","1985","1-pers.-HH","(2c_gen) general maturity certificate","13","","",""
"No","1985","1-pers.-HH","(2c_voc) vocational maturity certificate","23","","",""
"No","1985","1-pers.-HH","(3a) lower tertiary education","11","","",""
"No","1985","1-pers.-HH","(3b) higher tertiary education","21","","",""
"No","1985","(Married) couple without C. ","(0) in school","","","",""
"No","1985","(Married) couple without C. ","(1a) inadequately completed","62","0.940399874060315","0.883711949173674","0.997087798946957"
"No","1985","(Married) couple without C. ","(1b) general elementary school","157","0.808748358016767","0.752529960948836","0.864966755084699"
"No","1985","(Married) couple without C. ","(1c) basic vocational qualification","388","0.749526632238711","0.711848397552727","0.787204866924694"
"No","1985","(Married) couple without C. ","(2b) intermediate general qualification","11","","",""
"No","1985","(Married) couple without C. ","(2a) intermediate vocational","140","0.630267509908822","0.566909441669918","0.693625578147726"
"No","1985","(Married) couple without C. ","(2c_gen) general maturity certificate","8","","",""
