"pgoeffd","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1984","Full Time","(0) in school","1","","",""
"Yes","1984","Full Time","(1a) inadequately completed","52","0.115232438810067","0.0888806251099598","0.141584252510174"
"Yes","1984","Full Time","(1b) general elementary school","117","0.152015779997714","0.129695834990129","0.174335725005299"
"Yes","1984","Full Time","(1c) basic vocational qualification","408","0.20506313846918","0.188264288253583","0.221861988684777"
"Yes","1984","Full Time","(2b) intermediate general qualification","36","0.308587477146815","0.226284949103246","0.390890005190383"
"Yes","1984","Full Time","(2a) intermediate vocational","234","0.314101472225381","0.280591098725267","0.347611845725496"
"Yes","1984","Full Time","(2c_gen) general maturity certificate","14","","",""
"Yes","1984","Full Time","(2c_voc) vocational maturity certificate","65","0.340532322104247","0.279943837954293","0.401120806254202"
"Yes","1984","Full Time","(3a) lower tertiary education","51","0.315505617761045","0.244597719769614","0.386413515752476"
"Yes","1984","Full Time","(3b) higher tertiary education","164","0.584657974190727","0.528614668572116","0.640701279809338"
"Yes","1984","Part Time","(0) in school","","","",""
"Yes","1984","Part Time","(1a) inadequately completed","10","","",""
"Yes","1984","Part Time","(1b) general elementary school","60","0.177975523813757","0.139210968676608","0.216740078950905"
"Yes","1984","Part Time","(1c) basic vocational qualification","75","0.166130872208866","0.132517525298548","0.199744219119184"
"Yes","1984","Part Time","(2b) intermediate general qualification","20","","",""
"Yes","1984","Part Time","(2a) intermediate vocational","50","0.266320360025885","0.204118604164059","0.328522115887712"
"Yes","1984","Part Time","(2c_gen) general maturity certificate","15","","",""
"Yes","1984","Part Time","(2c_voc) vocational maturity certificate","18","","",""
"Yes","1984","Part Time","(3a) lower tertiary education","8","","",""
"Yes","1984","Part Time","(3b) higher tertiary education","75","0.691876042198643","0.606366228599533","0.777385855797754"
"Yes","1984","Not Working","(0) in school","","","",""
"Yes","1984","Not Working","(1a) inadequately completed","","","",""
"Yes","1984","Not Working","(1b) general elementary school","5","","",""
"Yes","1984","Not Working","(1c) basic vocational qualification","2","","",""
"Yes","1984","Not Working","(2b) intermediate general qualification","2","","",""
"Yes","1984","Not Working","(2a) intermediate vocational","2","","",""
"Yes","1984","Not Working","(2c_gen) general maturity certificate","4","","",""
"Yes","1984","Not Working","(2c_voc) vocational maturity certificate","1","","",""
"Yes","1984","Not Working","(3a) lower tertiary education","","","",""
"Yes","1984","Not Working","(3b) higher tertiary education","9","","",""
"No","1984","Full Time","(0) in school","","","",""
"No","1984","Full Time","(1a) inadequately completed","512","0.884767561189933","0.858415747489826","0.91111937489004"
"No","1984","Full Time","(1b) general elementary school","877","0.847984220002286","0.825664274994701","0.870304165009871"
"No","1984","Full Time","(1c) basic vocational qualification","1811","0.79493686153082","0.778138011315223","0.811735711746417"
"No","1984","Full Time","(2b) intermediate general qualification","85","0.691412522853185","0.609109994809617","0.773715050896753"
"No","1984","Full Time","(2a) intermediate vocational","503","0.685898527774619","0.652388154274504","0.719408901274734"
"No","1984","Full Time","(2c_gen) general maturity certificate","57","0.709164319462472","0.603527285700199","0.814801353224746"
"No","1984","Full Time","(2c_voc) vocational maturity certificate","170","0.659467677895752","0.598879193745798","0.720056162045707"
"No","1984","Full Time","(3a) lower tertiary education","114","0.684494382238955","0.613586484247524","0.755402280230386"
"No","1984","Full Time","(3b) higher tertiary education","133","0.415342025809273","0.359298720190662","0.471385331427884"
"No","1984","Part Time","(0) in school","2","","",""
"No","1984","Part Time","(1a) inadequately completed","83","0.917897433528905","0.862104132022222","0.973690735035589"
"No","1984","Part Time","(1b) general elementary school","314","0.822024476186243","0.783259921049095","0.860789031323392"
