"pgoeffd","year","age_gr","n","percent","lower_confidence","upper_confidence"
"No","1984","16-34 y.","2339","0.769957675794604","0.7546718218529","0.785243529736308"
"No","1984","35-65 y.","3243","0.738697752737821","0.725362998227803","0.752032507247838"
"No","1984","66 and older","45","0.938953934477454","0.870507608018021","1.00740026093689"
"Yes","1984","16-34 y.","573","0.230042324205396","0.214756470263692","0.2453281781471"
"Yes","1984","35-65 y.","927","0.261302247262179","0.247967492752162","0.274637001772197"
"Yes","1984","66 and older","2","","",""
"No","1985","16-34 y.","1962","0.765655131956493","0.748936687086028","0.782373576826958"
"No","1985","35-65 y.","2783","0.724338404392957","0.709838018334293","0.738838790451622"
"No","1985","66 and older","32","0.958052254417269","0.889654785250849","1.02644972358369"
"Yes","1985","16-34 y.","504","0.234344868043507","0.217626423173042","0.251063312913972"
"Yes","1985","35-65 y.","865","0.275661595607043","0.261161209548378","0.290161981665707"
"Yes","1985","66 and older","1","","",""
"No","1986","16-34 y.","1870","0.765049534151852","0.747915392023597","0.782183676280107"
"No","1986","35-65 y.","2575","0.716940791336935","0.70179190848616","0.73208967418771"
"No","1986","66 and older","20","","",""
"Yes","1986","16-34 y.","482","0.234950465848148","0.217816323719893","0.252084607976403"
"Yes","1986","35-65 y.","822","0.283059208663065","0.26791032581229","0.298208091513839"
"Yes","1986","66 and older","1","","",""
"No","1987","16-34 y.","1944","0.762589535593937","0.745699654585799","0.779479416602075"
"No","1987","35-65 y.","2569","0.720015160386959","0.704909829239797","0.735120491534121"
"No","1987","66 and older","23","","",""
"Yes","1987","16-34 y.","494","0.237410464406063","0.220520583397925","0.254300345414201"
"Yes","1987","35-65 y.","825","0.279984839613041","0.264879508465879","0.295090170760203"
"Yes","1987","66 and older","2","","",""
"No","1988","16-34 y.","1970","0.780997945325743","0.764513703269546","0.797482187381939"
"No","1988","35-65 y.","2479","0.714343278494691","0.698895853003087","0.729790703986296"
"No","1988","66 and older","26","","",""
"Yes","1988","16-34 y.","448","0.219002054674257","0.202517812618061","0.235486296730453"
"Yes","1988","35-65 y.","806","0.285656721505309","0.270209296013704","0.301104146996913"
"Yes","1988","66 and older","2","","",""
"No","1989","16-34 y.","2078","0.786484922497073","0.770592243211481","0.802377601782665"
"No","1989","35-65 y.","2477","0.721190594269934","0.705778858308028","0.73660233023184"
"No","1989","66 and older","28","","",""
"Yes","1989","16-34 y.","476","0.213515077502927","0.197622398217335","0.229407756788519"
"Yes","1989","35-65 y.","775","0.278809405730066","0.26339766976816","0.294221141691972"
"Yes","1989","66 and older","7","","",""
"No","1990","16-34 y.","2879","0.757838589789916","0.74423406327903","0.771443116300802"
"No","1990","35-65 y.","3713","0.706898062027953","0.694418972770334","0.719377151285572"
"No","1990","66 and older","40","0.849441922696443","0.74827318113672","0.950610664256167"
"Yes","1990","16-34 y.","930","0.242161410210084","0.228556883699198","0.25576593672097"
"Yes","1990","35-65 y.","1398","0.293101937972047","0.280622848714428","0.305581027229666"
"Yes","1990","66 and older","8","","",""
"No","1991","16-34 y.","2781","0.749454520712346","0.735438888838899","0.763470152585793"
"No","1991","35-65 y.","3670","0.717683460101725","0.705171735942942","0.730195184260508"
"No","1991","66 and older","35","0.89933970439432","0.804910404056855","0.993769004731785"
"Yes","1991","16-34 y.","891","0.250545479287654","0.236529847414207","0.264561111161101"
"Yes","1991","35-65 y.","1302","0.282316539898275","0.269804815739492","0.294828264057058"
"Yes","1991","66 and older","4","","",""
"No","1992","16-34 y.","2495","0.735400425914864","0.720462778768359","0.750338073061369"
"No","1992","35-65 y.","3351","0.705040629969235","0.691932024609643","0.718149235328827"
"No","1992","66 and older","23","","",""
"Yes","1992","16-34 y.","855","0.264599574085136","0.249661926938631","0.279537221231641"
"Yes","1992","35-65 y.","1298","0.294959370030765","0.281850764671173","0.308067975390357"
"Yes","1992","66 and older","2","","",""
"No","1993","16-34 y.","2510","0.748780456086501","0.734056164956141","0.76350474721686"
"No","1993","35-65 y.","3276","0.712767282808965","0.699567762599373","0.725966803018557"
"No","1993","66 and older","24","","",""
"Yes","1993","16-34 y.","823","0.251219543913499","0.23649525278314","0.265943835043859"
"Yes","1993","35-65 y.","1238","0.287232717191035","0.274033196981443","0.300432237400627"
"Yes","1993","66 and older","3","","",""
"No","1994","16-34 y.","2331","0.743163428900326","0.727729219796126","0.758597638004526"
"No","1994","35-65 y.","3086","0.709864165679787","0.696288661772358","0.723439669587216"
"No","1994","66 and older","22","","",""
"Yes","1994","16-34 y.","747","0.256836571099674","0.241402361995474","0.272270780203874"
"Yes","1994","35-65 y.","1207","0.290135834320213","0.276560330412784","0.303711338227642"
"Yes","1994","66 and older","1","","",""
"No","1995","16-34 y.","2541","0.759990386301902","0.745401016050894","0.77457975655291"
"No","1995","35-65 y.","3276","0.705842523982194","0.692579236351014","0.719105811613373"
"No","1995","66 and older","29","","",""
"Yes","1995","16-34 y.","751","0.240009613698098","0.22542024344709","0.254598983949106"
"Yes","1995","35-65 y.","1258","0.294157476017806","0.280894188386627","0.307420763648986"
"Yes","1995","66 and older","2","","",""
"No","1996","16-34 y.","2327","0.753620305862218","0.738249547817998","0.768991063906438"
"No","1996","35-65 y.","3194","0.709707679080245","0.696318921967103","0.723096436193387"
"No","1996","66 and older","30","0.819493829218748","0.68623623379561","0.952751424641886"
"Yes","1996","16-34 y.","692","0.246379694137782","0.231008936093562","0.261750452182002"
"Yes","1996","35-65 y.","1221","0.290292320919755","0.276903563806613","0.303681078032897"
"Yes","1996","66 and older","2","","",""
"No","1997","16-34 y.","2315","0.758127619254856","0.742806891606659","0.773448346903052"
