"pgoeffd","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1985","Full Time","Rural Area","731","0.768244561758116","0.741081861687264","0.795407261828968","2"
"No","1985","Full Time","Urban Area","2960","0.729441803736676","0.715337414374211","0.743546193099141","2"
"No","1985","Not Working","Rural Area","16","","","","2"
"No","1985","Not Working","Urban Area","60","0.781929610063684","0.68969691306207","0.874162307065299","2"
"No","1985","Part Time","Rural Area","214","0.809448794748601","0.762074073458322","0.856823516038879","2"
"No","1985","Part Time","Urban Area","796","0.743224282182387","0.716788189364573","0.769660375000201","2"
"Yes","1985","Full Time","Rural Area","196","0.231755438241884","0.204592738171032","0.258918138312736","1"
"Yes","1985","Full Time","Urban Area","851","0.270558196263324","0.256453806900859","0.284662585625789","1"
"Yes","1985","Not Working","Rural Area","3","","","","1"
"Yes","1985","Not Working","Urban Area","17","","","","1"
"Yes","1985","Part Time","Rural Area","50","0.190551205251399","0.143176483961121","0.237925926541678","1"
"Yes","1985","Part Time","Urban Area","253","0.256775717817613","0.230339624999799","0.283211810635427","1"
"No","1986","Full Time","Rural Area","719","0.769087638197759","0.741752315237656","0.796422961157863","2"
"No","1986","Full Time","Urban Area","2831","0.730189785880554","0.715768495113564","0.744611076647543","2"
"No","1986","Not Working","Rural Area","13","","","","2"
"No","1986","Not Working","Urban Area","38","0.690780200632335","0.561374431422704","0.820185969841965","2"
"No","1986","Part Time","Rural Area","170","0.748460140418273","0.69189073462905","0.805029546207496","2"
"No","1986","Part Time","Urban Area","694","0.731389954759708","0.702826361164681","0.759953548354734","2"
"Yes","1986","Full Time","Urban Area","808","0.269810214119446","0.255388923352457","0.284231504886436","1"
"Yes","1986","Full Time","Rural Area","194","0.230912361802241","0.203577038842137","0.258247684762344","1"
"Yes","1986","Not Working","Urban Area","11","","","","1"
"Yes","1986","Not Working","Rural Area","5","","","","1"
"Yes","1986","Part Time","Rural Area","56","0.251539859581727","0.194970453792504","0.30810926537095","1"
"Yes","1986","Part Time","Urban Area","231","0.268610045240292","0.240046451645266","0.297173638835319","1"
"No","1987","Full Time","Rural Area","720","0.765087533169021","0.737588254778155","0.792586811559888","2"
"No","1987","Full Time","Urban Area","2827","0.734276092739953","0.719892779685591","0.748659405794315","2"
"No","1987","Not Working","Rural Area","14","","","","2"
"No","1987","Not Working","Urban Area","48","0.674617060875277","0.560718703274057","0.788515418476496","2"
"No","1987","Part Time","Rural Area","213","0.755019951444679","0.704464235471722","0.805575667417637","2"
"No","1987","Part Time","Urban Area","714","0.726597497960779","0.698373825213789","0.75482117070777","2"
"Yes","1987","Full Time","Rural Area","193","0.234912466830979","0.207413188440112","0.262411745221845","1"
"Yes","1987","Full Time","Urban Area","796","0.265723907260047","0.251340594205685","0.280107220314409","1"
"Yes","1987","Not Working","Urban Area","17","","","","1"
"Yes","1987","Not Working","Rural Area","6","","","","1"
"Yes","1987","Part Time","Rural Area","65","0.244980048555321","0.194424332582363","0.295535764528278","1"
"Yes","1987","Part Time","Urban Area","244","0.273402502039221","0.24517882929223","0.301626174786211","1"
"No","1988","Full Time","Rural Area","674","0.773274148057041","0.744975391054653","0.801572905059428","2"
"No","1988","Full Time","Urban Area","2745","0.73419232346409","0.719575766408197","0.748808880519982","2"
"No","1988","Not Working","Rural Area","15","","","","2"
"No","1988","Not Working","Urban Area","60","0.775649670962995","0.681863791222107","0.869435550703884","2"
"No","1988","Part Time","Rural Area","213","0.751959150598703","0.701008201391005","0.802910099806402","2"
"No","1988","Part Time","Urban Area","768","0.743136682564494","0.71613850222436","0.770134862904628","2"
"Yes","1988","Full Time","Rural Area","167","0.226725851942959","0.198427094940572","0.255024608945347","1"
"Yes","1988","Full Time","Urban Area","764","0.26580767653591","0.251191119480018","0.280424233591803","1"
"Yes","1988","Not Working","Rural Area","8","","","","1"
"Yes","1988","Not Working","Urban Area","16","","","","1"
"Yes","1988","Part Time","Rural Area","63","0.248040849401297","0.197089900193598","0.298991798608995","1"
"Yes","1988","Part Time","Urban Area","238","0.256863317435506","0.229865137095372","0.28386149777564","1"
"No","1989","Full Time","Rural Area","677","0.769260711087203","0.740971173764697","0.797550248409709","2"
"No","1989","Full Time","Urban Area","2829","0.747149749678297","0.732888053188654","0.76141144616794","2"
"No","1989","Not Working","Rural Area","14","","","","2"
"No","1989","Not Working","Urban Area","82","0.763116618923435","0.679784803468078","0.846448434378791","2"
"No","1989","Part Time","Rural Area","206","0.725605585906273","0.672963693678288","0.778247478134258","2"
"No","1989","Part Time","Urban Area","775","0.746571948826871","0.719943287492881","0.773200610160861","2"
"Yes","1989","Full Time","Rural Area","175","0.230739288912797","0.202449751590291","0.259028826235303","1"
"Yes","1989","Full Time","Urban Area","739","0.252850250321703","0.23858855383206","0.267111946811346","1"
"Yes","1989","Not Working","Rural Area","6","","","","1"
"Yes","1989","Not Working","Urban Area","18","","","","1"
"Yes","1989","Part Time","Rural Area","70","0.274394414093727","0.221752521865742","0.327036306321712","1"
"Yes","1989","Part Time","Urban Area","250","0.253428051173129","0.226799389839139","0.280056712507119","1"
"No","1990","Full Time","Rural Area","674","0.754762493524369","0.725924593306989","0.783600393741749","2"
"No","1990","Full Time","Urban Area","2722","0.748184861936887","0.733652493013056","0.762717230860718","2"
"No","1990","Not Working","Rural Area","12","","","","2"
"No","1990","Not Working","Urban Area","51","0.767490823738924","0.6670869938389","0.867894653638947","2"
"No","1990","Part Time","Rural Area","206","0.755319575325652","0.704136258201204","0.8065028924501","2"
"No","1990","Part Time","Urban Area","743","0.735916941132336","0.70857999366889","0.763253888595781","2"
"Yes","1990","Full Time","Rural Area","181","0.245237506475631","0.216399606258252","0.274075406693011","1"
"Yes","1990","Full Time","Urban Area","705","0.251815138063113","0.237282769139282","0.266347506986944","1"
"Yes","1990","Not Working","Rural Area","1","","","","1"
"Yes","1990","Not Working","Urban Area","17","","","","1"
"Yes","1990","Part Time","Rural Area","65","0.244680424674348","0.1934971075499","0.295863741798796","1"
"Yes","1990","Part Time","Urban Area","256","0.264083058867664","0.236746111404219","0.29142000633111","1"
"No","1991","Full Time","Rural Area","675","0.74881621815435","0.719914513696368","0.777717922612332","2"
"No","1991","Full Time","Urban Area","2711","0.746409874926901","0.73191541130711","0.760904338546692","2"
"No","1991","Not Working","Rural Area","21","","","","2"
"No","1991","Not Working","Urban Area","88","0.824983791628959","0.752986187327438","0.896981395930481","2"
"No","1991","Part Time","Rural Area","237","0.746514036667797","0.697774283596995","0.795253789738599","2"
"No","1991","Part Time","Urban Area","803","0.730214156621098","0.703557358081758","0.756870955160439","2"
"Yes","1991","Full Time","Rural Area","190","0.25118378184565","0.222282077387668","0.280085486303632","1"
"Yes","1991","Full Time","Urban Area","750","0.253590125073099","0.239095661453308","0.26808458869289","1"
"Yes","1991","Not Working","Rural Area","4","","","","1"
"Yes","1991","Not Working","Urban Area","19","","","","1"
"Yes","1991","Part Time","Rural Area","69","0.253485963332203","0.204746210261401","0.302225716403005","1"
"Yes","1991","Part Time","Urban Area","262","0.269785843378901","0.243129044839561","0.296442641918242","1"
"No","1992","Full Time","Rural Area","1438","0.714151343210275","0.694418868062829","0.733883818357721","2"
"No","1992","Not Working","Rural Area","29","","","","2"
"No","1992","Not Working","Urban Area","58","0.71690634393914","0.613562897399813","0.820249790478467","2"
"No","1992","Part Time","Rural Area","373","0.668829215143298","0.630658939712776","0.706999490573821","2"
"No","1992","Full Time","Urban Area","3123","0.730855468491957","0.717312682565608","0.744398254418306","2"
"No","1992","Part Time","Urban Area","790","0.702735407532075","0.67581127063169","0.729659544432459","2"
"Yes","1992","Full Time","Rural Area","576","0.285848656789725","0.266116181642279","0.305581131937171","1"
