"pgoeffd","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Yes","1984","Schleswig-Holstein","lower secondary degree","","","",""
"Yes","1984","Schleswig-Holstein","secondary school degree","","","",""
"Yes","1984","Schleswig-Holstein","college entrance qualification","","","",""
"Yes","1984","Schleswig-Holstein","Other degree","","","",""
"Yes","1984","Schleswig-Holstein","no degree/no degree yet","","","",""
"Yes","1984","Hamburg","lower secondary degree","","","",""
"Yes","1984","Hamburg","secondary school degree","","","",""
"Yes","1984","Hamburg","college entrance qualification","","","",""
"Yes","1984","Hamburg","Other degree","","","",""
"Yes","1984","Hamburg","no degree/no degree yet","","","",""
"Yes","1984","Lower Saxony","lower secondary degree","71","0.205898859469834","0.164012611634351","0.247785107305316"
"Yes","1984","Lower Saxony","secondary school degree","40","0.286916593086664","0.212256842852232","0.361576343321096"
"Yes","1984","Lower Saxony","college entrance qualification","45","0.574762724267381","0.465745654080565","0.683779794454198"
"Yes","1984","Lower Saxony","Other degree","","","",""
"Yes","1984","Lower Saxony","no degree/no degree yet","","","",""
"Yes","1984","Bremen","lower secondary degree","","","",""
"Yes","1984","Bremen","secondary school degree","","","",""
"Yes","1984","Bremen","college entrance qualification","","","",""
"Yes","1984","Bremen","Other degree","","","",""
"Yes","1984","Bremen","no degree/no degree yet","","","",""
"Yes","1984","North Rhine-Westphalia","lower secondary degree","143","0.187978493763476","0.160972639782412","0.214984347744539"
"Yes","1984","North Rhine-Westphalia","secondary school degree","89","0.304976272213667","0.252878361727053","0.35707418270028"
"Yes","1984","North Rhine-Westphalia","college entrance qualification","109","0.475070728748123","0.410949820985312","0.539191636510933"
"Yes","1984","North Rhine-Westphalia","Other degree","33","0.141352964504603","0.100763373873922","0.181942555135284"
"Yes","1984","North Rhine-Westphalia","no degree/no degree yet","","","",""
"Yes","1984","Hesse","lower secondary degree","63","0.231685876752144","0.183783269982386","0.279588483521902"
"Yes","1984","Hesse","secondary school degree","39","0.299894574386843","0.220514933066388","0.379274215707298"
"Yes","1984","Hesse","college entrance qualification","36","0.396258960740992","0.294641582733976","0.497876338748007"
"Yes","1984","Hesse","Other degree","","","",""
"Yes","1984","Hesse","no degree/no degree yet","","","",""
"Yes","1984","Rhineland-Palatinate,Saarland","lower secondary degree","50","0.192268073779984","0.144458480452573","0.240077667107394"
"Yes","1984","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"Yes","1984","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"Yes","1984","Rhineland-Palatinate,Saarland","Other degree","","","",""
"Yes","1984","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"Yes","1984","Baden-Württemberg","lower secondary degree","109","0.18382488254811","0.153792382549871","0.213857382546349"
"Yes","1984","Baden-Württemberg","secondary school degree","39","0.233873684112969","0.170797427973121","0.296949940252816"
"Yes","1984","Baden-Württemberg","college entrance qualification","50","0.390141909003015","0.306292093336353","0.473991724669676"
"Yes","1984","Baden-Württemberg","Other degree","","","",""
"Yes","1984","Baden-Württemberg","no degree/no degree yet","","","",""
"Yes","1984","Bavaria","lower secondary degree","97","0.155271984355776","0.126991762190796","0.183552206520756"
"Yes","1984","Bavaria","secondary school degree","73","0.292672141265452","0.235582902502816","0.349761380028087"
"Yes","1984","Bavaria","college entrance qualification","61","0.449948772545744","0.367541189277089","0.532356355814399"
"Yes","1984","Bavaria","Other degree","","","",""
"Yes","1984","Bavaria","no degree/no degree yet","","","",""
"Yes","1984","Berlin","lower secondary degree","35","0.362302319464854","0.271227319854536","0.453377319075172"
