"pgoeffd","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1984","inadequately","Male","320","0.914717964842436","0.885330932171002","0.944104997513869","2"
"No","1984","inadequately","Female","218","0.860416760034018","0.817372079833093","0.903461440234943","2"
"No","1984","higher education","Male","257","0.551628292295258","0.505931600628043","0.597324983962473","2"
"No","1984","higher education","Female","56","0.325632498662462","0.254130479485855","0.397134517839069","2"
"No","1984","in school","Female","1","","","","2"
"No","1984","general elemantary","Male","750","0.866217968765103","0.843114480700214","0.889321456829993","2"
"No","1984","higher vocational","Female","68","0.449548175854056","0.369405283724238","0.529691067983873","2"
"No","1984","general elemantary","Female","642","0.778968841388788","0.750161331238466","0.807776351539111","2"
"No","1984","in school","Male","1","","","","2"
"No","1984","higher vocational","Male","228","0.750978971978863","0.702446761717927","0.799511182239799","2"
"No","1984","middle vocational","Male","1912","0.781854525272352","0.765227674489811","0.798481376054892","2"
"No","1984","middle vocational","Female","962","0.784746152026295","0.761540454513527","0.807951849539063","2"
"No","1984","vocational + Abi","Male","119","0.844329742393164","0.784059969225937","0.904599515560391","2"
"No","1984","vocational + Abi","Female","59","0.798731566657947","0.707379055829183","0.890084077486711","2"
"Yes","1984","in school","Male","1","","","","1"
"Yes","1984","in school","Female","","","","","1"
"Yes","1984","inadequately","Male","27","","","","1"
"Yes","1984","inadequately","Female","31","0.139583239965982","0.0965385597650565","0.182627920166907","1"
"Yes","1984","general elemantary","Male","84","0.133782031234897","0.110678543170007","0.156885519299786","1"
"Yes","1984","general elemantary","Female","155","0.221031158611212","0.192223648460889","0.249838668761534","1"
"Yes","1984","middle vocational","Male","458","0.218145474727648","0.201518623945108","0.234772325510189","1"
"Yes","1984","middle vocational","Female","243","0.215253847973705","0.192048150460937","0.238459545486472","1"
"Yes","1984","vocational + Abi","Male","20","","","","1"
"Yes","1984","vocational + Abi","Female","15","","","","1"
"Yes","1984","higher vocational","Male","77","0.249021028021137","0.200488817760201","0.297553238282073","1"
"Yes","1984","higher vocational","Female","80","0.550451824145944","0.470308932016127","0.630594716275762","1"
"Yes","1984","higher education","Male","198","0.448371707704742","0.402675016037527","0.494068399371957","1"
"Yes","1984","higher education","Female","109","0.674367501337538","0.602865482160931","0.745869520514145","1"
"No","1985","general elemantary","Male","628","0.858832551401025","0.833166449439323","0.884498653362727","2"
"No","1985","general elemantary","Female","527","0.781932405989641","0.750333187384767","0.813531624594515","2"
"No","1985","inadequately","Female","167","0.869416541620715","0.82175638016447","0.91707670307696","2"
"No","1985","inadequately","Male","248","0.919609119723283","0.886995613830592","0.952222625615973","2"
"No","1985","in school","Female","","","","","2"
"No","1985","in school","Male","2","","","","2"
"No","1985","higher vocational","Female","58","0.415501813264217","0.332061920428634","0.4989417060998","2"
"No","1985","higher education","Male","234","0.55150097542194","0.503651416748716","0.599350534095163","2"
"No","1985","higher vocational","Male","207","0.746879016932376","0.695859635030154","0.797898398834598","2"
"No","1985","higher education","Female","53","0.352304718192259","0.27710316017219","0.427506276212327","2"
"No","1985","middle vocational","Male","1631","0.7682747396981","0.750023238858192","0.786526240538008","2"
"No","1985","middle vocational","Female","831","0.772625528394913","0.747417364671136","0.797833692118691","2"
"No","1985","vocational + Abi","Male","99","0.862983474385076","0.799582404836223","0.926384543933929","2"
"No","1985","vocational + Abi","Female","46","0.735929449565307","0.623443012310829","0.848415886819785","2"
"Yes","1985","in school","Male","","","","","1"
"Yes","1985","in school","Female","","","","","1"
"Yes","1985","inadequately","Male","19","","","","1"
"Yes","1985","inadequately","Female","25","","","","1"
"Yes","1985","general elemantary","Male","79","0.141167448598975","0.115501346637273","0.166833550560677","1"
"Yes","1985","general elemantary","Female","129","0.218067594010359","0.186468375405485","0.249666812615233","1"
"Yes","1985","middle vocational","Male","422","0.2317252603019","0.213473759461992","0.249976761141808","1"
"Yes","1985","middle vocational","Female","231","0.227374471605087","0.202166307881309","0.252582635328864","1"
"Yes","1985","vocational + Abi","Male","14","","","","1"
"Yes","1985","vocational + Abi","Female","13","","","","1"
"Yes","1985","higher vocational","Male","72","0.253120983067624","0.202101601165402","0.304140364969846","1"
"Yes","1985","higher vocational","Female","76","0.584498186735783","0.5010582939002","0.667938079571367","1"
"Yes","1985","higher education","Male","181","0.44849902457806","0.400649465904837","0.496348583251284","1"
"Yes","1985","higher education","Female","102","0.647695281807741","0.572493723787673","0.72289683982781","1"
"No","1986","in school","Female","","","","","2"
"No","1986","inadequately","Male","212","0.888960001337648","0.84835635773256","0.929563644942737","2"
"No","1986","higher education","Female","48","0.335931082096448","0.258787728255124","0.413074435937771","2"
"No","1986","inadequately","Female","140","0.876958435952224","0.826218422314898","0.92769844958955","2"
"No","1986","higher vocational","Female","55","0.451980076436516","0.362560536756529","0.541399616116503","2"
"No","1986","general elemantary","Male","596","0.849530366041199","0.822458102103951","0.876602629978447","2"
"No","1986","general elemantary","Female","491","0.771995550348629","0.738837453705739","0.805153646991518","2"
"No","1986","higher education","Male","232","0.557212312748581","0.509073590655946","0.605351034841216","2"
"No","1986","in school","Male","2","","","","2"
"No","1986","higher vocational","Male","182","0.728700895894921","0.67369489623291","0.783706895556933","2"
"No","1986","middle vocational","Male","1544","0.766925883428867","0.748136522488884","0.785715244368849","2"
"No","1986","middle vocational","Female","772","0.762638517193306","0.736228723850536","0.789048310536076","2"
"No","1986","vocational + Abi","Male","94","0.850164945328694","0.782538818538103","0.917791072119285","2"
"No","1986","vocational + Abi","Female","50","0.738842522966346","0.632055473717827","0.845629572214866","2"
"Yes","1986","in school","Male","","","","","1"
"Yes","1986","in school","Female","","","","","1"
"Yes","1986","inadequately","Male","18","","","","1"
"Yes","1986","inadequately","Female","21","","","","1"
"Yes","1986","general elemantary","Male","74","0.150469633958801","0.123397370021553","0.177541897896049","1"
"Yes","1986","general elemantary","Female","124","0.228004449651371","0.194846353008482","0.261162546294261","1"
"Yes","1986","middle vocational","Male","401","0.233074116571133","0.214284755631151","0.251863477511116","1"
"Yes","1986","middle vocational","Female","225","0.237361482806694","0.210951689463924","0.263771276149464","1"
"Yes","1986","vocational + Abi","Male","13","","","","1"
"Yes","1986","vocational + Abi","Female","15","","","","1"
"Yes","1986","higher vocational","Male","69","0.271299104105079","0.216293104443067","0.32630510376709","1"
"Yes","1986","higher vocational","Female","64","0.548019923563484","0.458600383883497","0.637439463243471","1"
"Yes","1986","higher education","Male","177","0.442787687251419","0.394648965158784","0.490926409344054","1"
"Yes","1986","higher education","Female","96","0.664068917903552","0.586925564062229","0.741212271744876","1"
"No","1987","inadequately","Male","201","0.896492941753111","0.85605600354196","0.936929879964261","2"
"No","1987","in school","Female","3","","","","2"
"No","1987","higher education","Female","53","0.358675806332249","0.281923344377904","0.435428268286593","2"
"No","1987","inadequately","Female","143","0.8791655349465","0.829129253354117","0.929201816538883","2"
"No","1987","higher vocational","Female","52","0.429056553607741","0.34123077841138","0.516882328804101","2"
"No","1987","general elemantary","Female","505","0.759263856200082","0.726089327278089","0.792438385122074","2"
