"pgoeffd","year","n","percent","lower_confidence","upper_confidence","value"
"No","1984","5627","0.753461072701793","0.743456306494228","0.763465838909357","2"
"Yes","1984","1502","0.246538927298207","0.236534161090643","0.256543693505772","1"
"No","1985","4777","0.743122610911318","0.732200422561852","0.754044799260783","2"
"Yes","1985","1370","0.256877389088682","0.245955200739217","0.267799577438148","1"
"No","1986","4465","0.737931003656495","0.726584138709262","0.749277868603728","2"
"Yes","1986","1305","0.262068996343505","0.250722131396272","0.273415861290738","1"
"No","1987","4536","0.738704408718861","0.727452871384854","0.749955946052868","2"
"Yes","1987","1321","0.261295591281139","0.250044053947132","0.272547128615146","1"
"No","1988","4475","0.743270532675667","0.731961011858706","0.754580053492628","2"
"Yes","1988","1256","0.256729467324333","0.245419946507372","0.268038988141294","1"
"No","1989","4583","0.749510046763333","0.738398145516971","0.760621948009695","2"
"Yes","1989","1258","0.250489953236667","0.239378051990305","0.261601854483029","1"
"No","1990","6632","0.728605702736592","0.719402331656693","0.737809073816492","2"
"Yes","1990","2336","0.271394297263408","0.262190926183508","0.280597668343307","1"
"No","1991","6486","0.731709270895025","0.722389927768754","0.741028614021296","2"
"Yes","1991","2197","0.268290729104975","0.258971385978704","0.277610072231246","1"
"No","1992","5869","0.717844676927312","0.707997494194356","0.727691859660268","2"
"Yes","1992","2155","0.282155323072688","0.272308140339732","0.292002505805644","1"
"No","1993","5810","0.727654181182897","0.717821470595602","0.737486891770192","2"
"Yes","1993","2064","0.272345818817103","0.262513108229808","0.282178529404398","1"
"No","1994","5439","0.723443151279191","0.71324778620242","0.733638516355962","2"
"Yes","1994","1955","0.276556848720809","0.266361483644038","0.28675221379758","1"
"No","1995","5846","0.72700058553411","0.717149866037003","0.736851305031217","2"
"Yes","1995","2011","0.27299941446589","0.263148694968783","0.282850133962997","1"
"No","1996","5551","0.726301382562039","0.716187944117585","0.736414821006494","2"
"Yes","1996","1915","0.273698617437961","0.263585178993506","0.283812055882415","1"
"No","1997","5493","0.731667299377833","0.72156091363371","0.741773685121956","2"
"Yes","1997","1891","0.268332700622167","0.258226314878044","0.27843908636629","1"
"No","1998","6044","0.73270556678999","0.72307695822536","0.74233417535462","2"
"Yes","1998","2071","0.26729443321001","0.25766582464538","0.27692304177464","1"
"No","1999","5607","0.738345132047483","0.728387058740413","0.748303205354553","2"
"Yes","1999","1877","0.261654867952517","0.251696794645447","0.271612941259587","1"
"No","2000","10481","0.763793043974261","0.756708931585316","0.770877156363206","2"
"Yes","2000","3329","0.236206956025739","0.229122843636794","0.243291068414684","1"
"No","2001","8973","0.762006933642885","0.754343047362315","0.769670819923455","2"
"Yes","2001","2888","0.237993066357115","0.230329180076545","0.245656952637685","1"
"No","2002","9946","0.764918144143381","0.757728135806584","0.772108152480177","2"
"Yes","2002","3416","0.235081855856619","0.227891847519823","0.242271864193416","1"
"No","2003","8717","0.751564114428116","0.743776562163974","0.759351666692259","2"
"Yes","2003","3110","0.248435885571884","0.240648333307741","0.256223437836026","1"
"No","2004","9055","0.759464949447943","0.751871382001987","0.767058516893898","2"
"Yes","2004","3115","0.240535050552057","0.232941483106102","0.248128617998013","1"
"No","2005","8044","0.756830124958833","0.748765439937685","0.76489480997998","2"
"Yes","2005","2826","0.243169875041167","0.23510519002002","0.251234560062315","1"
"No","2006","8224","0.756052999334059","0.748088383969004","0.764017614699115","2"
"Yes","2006","2945","0.243947000665941","0.235982385300885","0.251911616030996","1"
"No","2007","8620","0.767464752531301","0.759746785636056","0.775182719426545","2"
"Yes","2007","2889","0.232535247468699","0.224817280573455","0.240253214363944","1"
"No","2008","7818","0.770361274765897","0.762296331914433","0.778426217617362","2"
"Yes","2008","2630","0.229638725234103","0.221573782382638","0.237703668085567","1"
"No","2009","7672","0.773777396040533","0.765668322953385","0.78188646912768","2"
"Yes","2009","2554","0.226222603959467","0.21811353087232","0.234331677046615","1"
"No","2010","10295","0.765528397820422","0.7583808800219","0.772675915618944","2"
"Yes","2010","3202","0.234471602179578","0.227324084381056","0.2416191199781","1"
"No","2011","12184","0.761472494330747","0.754895503279882","0.768049485381612","2"
"Yes","2011","3946","0.238527505669253","0.231950514618388","0.245104496720118","1"
"No","2012","11909","0.758905088979702","0.752228820874783","0.765581357084621","2"
"Yes","2012","3860","0.241094911020298","0.234418642915379","0.247771179125217","1"
"No","2013","13264","0.751487272311351","0.745061012002973","0.757913532619729","2"
"Yes","2013","4108","0.248512727688649","0.242086467380271","0.254938987997027","1"
"No","2014","11655","0.744329690214298","0.737441840168152","0.751217540260444","2"
"Yes","2014","3754","0.255670309785702","0.248782459739556","0.262558159831848","1"
"No","2015","11639","0.751086865691831","0.744233575253354","0.757940156130309","2"
"Yes","2015","3652","0.248913134308168","0.242059843869691","0.255766424746646","1"
"No","2016","10904","0.748566339477334","0.741481444922818","0.755651234031849","2"
"Yes","2016","3500","0.251433660522666","0.244348765968151","0.258518555077182","1"
"No","2017","12496","0.749722889656408","0.743117615064452","0.756328164248363","2"
"Yes","2017","4025","0.250277110343592","0.243671835751637","0.256882384935548","1"
"No","2018","11919","0.741803852929512","0.734978125458475","0.748629580400549","2"
"Yes","2018","3873","0.258196147070488","0.251370419599451","0.265021874541525","1"
"No","2019","11542","0.740686965541855","0.73373761269937","0.747636318384339","2"
"Yes","2019","3736","0.259313034458145","0.25236368161566","0.26626238730063","1"
