"pgoeffd","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1984","Schleswig-Holstein","(0) in school","","","",""
"Yes","1984","Schleswig-Holstein","(1a) inadequately completed","","","",""
"Yes","1984","Schleswig-Holstein","(1b) general elementary school","","","",""
"Yes","1984","Schleswig-Holstein","(1c) basic vocational qualification","","","",""
"Yes","1984","Schleswig-Holstein","(2b) intermediate general qualification","","","",""
"Yes","1984","Schleswig-Holstein","(2a) intermediate vocational","","","",""
"Yes","1984","Schleswig-Holstein","(2c_gen) general maturity certificate","","","",""
"Yes","1984","Schleswig-Holstein","(2c_voc) vocational maturity certificate","","","",""
"Yes","1984","Schleswig-Holstein","(3a) lower tertiary education","","","",""
"Yes","1984","Schleswig-Holstein","(3b) higher tertiary education","","","",""
"Yes","1984","Hamburg","(0) in school","","","",""
"Yes","1984","Hamburg","(1a) inadequately completed","","","",""
"Yes","1984","Hamburg","(1b) general elementary school","","","",""
"Yes","1984","Hamburg","(1c) basic vocational qualification","","","",""
"Yes","1984","Hamburg","(2b) intermediate general qualification","","","",""
"Yes","1984","Hamburg","(2a) intermediate vocational","","","",""
"Yes","1984","Hamburg","(2c_gen) general maturity certificate","","","",""
"Yes","1984","Hamburg","(2c_voc) vocational maturity certificate","","","",""
"Yes","1984","Hamburg","(3a) lower tertiary education","","","",""
"Yes","1984","Hamburg","(3b) higher tertiary education","","","",""
"Yes","1984","Lower Saxony","(0) in school","","","",""
"Yes","1984","Lower Saxony","(1a) inadequately completed","","","",""
"Yes","1984","Lower Saxony","(1b) general elementary school","","","",""
"Yes","1984","Lower Saxony","(1c) basic vocational qualification","57","0.214252952935497","0.166700835380317","0.261805070490677"
"Yes","1984","Lower Saxony","(2b) intermediate general qualification","","","",""
"Yes","1984","Lower Saxony","(2a) intermediate vocational","","","",""
"Yes","1984","Lower Saxony","(2c_gen) general maturity certificate","","","",""
"Yes","1984","Lower Saxony","(2c_voc) vocational maturity certificate","","","",""
"Yes","1984","Lower Saxony","(3a) lower tertiary education","","","",""
"Yes","1984","Lower Saxony","(3b) higher tertiary education","35","0.670575133713249","0.542828833545496","0.798321433881003"
"Yes","1984","Bremen","(0) in school","","","",""
"Yes","1984","Bremen","(1a) inadequately completed","","","",""
"Yes","1984","Bremen","(1b) general elementary school","","","",""
"Yes","1984","Bremen","(1c) basic vocational qualification","","","",""
"Yes","1984","Bremen","(2b) intermediate general qualification","","","",""
"Yes","1984","Bremen","(2a) intermediate vocational","","","",""
"Yes","1984","Bremen","(2c_gen) general maturity certificate","","","",""
"Yes","1984","Bremen","(2c_voc) vocational maturity certificate","","","",""
"Yes","1984","Bremen","(3a) lower tertiary education","","","",""
"Yes","1984","Bremen","(3b) higher tertiary education","","","",""
