"pgoeffd","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1984","Not Employed","in school","","","",""
"Yes","1984","Not Employed","inadequately","","","",""
"Yes","1984","Not Employed","general elemantary","7","","",""
"Yes","1984","Not Employed","middle vocational","5","","",""
"Yes","1984","Not Employed","vocational + Abi","","","",""
"Yes","1984","Not Employed","higher vocational","4","","",""
"Yes","1984","Not Employed","higher education","9","","",""
"Yes","1984","Employed","in school","1","","",""
"Yes","1984","Employed","inadequately","58","0.108125858895199","0.0830257272519757","0.133225990538422"
"Yes","1984","Employed","general elemantary","232","0.184301401324904","0.165122335857854","0.203480466791954"
"Yes","1984","Employed","middle vocational","696","0.220222116616273","0.206497319193791","0.233946914038755"
"Yes","1984","Employed","vocational + Abi","35","0.18532546943419","0.131873994200606","0.238776944667774"
"Yes","1984","Employed","higher vocational","153","0.344021783367092","0.299734949127936","0.388308617606247"
"Yes","1984","Employed","higher education","298","0.507801800769633","0.467931753528126","0.547671848011139"
"No","1984","Not Employed","in school","1","","",""
"No","1984","Not Employed","inadequately","8","","",""
"No","1984","Not Employed","general elemantary","54","0.874148147357255","0.790913239939449","0.957383054775061"
"No","1984","Not Employed","middle vocational","68","0.939910887866886","0.885394396821448","0.994427378912325"
"No","1984","Not Employed","vocational + Abi","10","","",""
"No","1984","Not Employed","higher vocational","7","","",""
"No","1984","Not Employed","higher education","7","","",""
"No","1984","Employed","in school","1","","",""
"No","1984","Employed","inadequately","530","0.891874141104801","0.866774009461578","0.916974272748024"
"No","1984","Employed","general elemantary","1338","0.815698598675096","0.796519533208046","0.834877664142146"
"No","1984","Employed","middle vocational","2806","0.779777883383727","0.766053085961245","0.793502680806209"
"No","1984","Employed","vocational + Abi","168","0.81467453056581","0.761223055332226","0.868126005799394"
"No","1984","Employed","higher vocational","289","0.655978216632908","0.611691382393753","0.700265050872064"
"No","1984","Employed","higher education","306","0.492198199230367","0.452328151988861","0.532068246471874"
"Yes","1985","Not Employed","in school","","","",""
"Yes","1985","Not Employed","inadequately","2","","",""
"Yes","1985","Not Employed","general elemantary","7","","",""
"Yes","1985","Not Employed","middle vocational","6","","",""
"Yes","1985","Not Employed","vocational + Abi","","","",""
"Yes","1985","Not Employed","higher vocational","","","",""
"Yes","1985","Not Employed","higher education","5","","",""
"Yes","1985","Employed","in school","","","",""
"Yes","1985","Employed","inadequately","42","0.0894001236992459","0.0631547344682603","0.115645512930232"
"Yes","1985","Employed","general elemantary","201","0.181920055978428","0.161187137795623","0.202652974161234"
"Yes","1985","Employed","middle vocational","647","0.231058175618778","0.216150305698206","0.24596604553935"
"Yes","1985","Employed","vocational + Abi","27","","",""
"Yes","1985","Employed","higher vocational","148","0.35983835556875","0.313437527439462","0.406239183698037"
"Yes","1985","Employed","higher education","278","0.503105241774711","0.461731167555728","0.544479315993695"
"No","1985","Not Employed","in school","1","","",""
"No","1985","Not Employed","inadequately","3","","",""
"No","1985","Not Employed","general elemantary","26","","",""
"No","1985","Not Employed","middle vocational","38","0.848519312424037","0.742586317120872","0.954452307727201"
"No","1985","Not Employed","vocational + Abi","","","",""
"No","1985","Not Employed","higher vocational","2","","",""
"No","1985","Not Employed","higher education","4","","",""
"No","1985","Employed","in school","1","","",""
"No","1985","Employed","inadequately","412","0.910599876300754","0.884354487069768","0.93684526553174"
"No","1985","Employed","general elemantary","1129","0.818079944021572","0.797347025838766","0.838812862204377"
"No","1985","Employed","middle vocational","2424","0.768941824381222","0.75403395446065","0.783849694301794"
"No","1985","Employed","vocational + Abi","145","0.814038655718134","0.755892940049972","0.872184371386296"
"No","1985","Employed","higher vocational","263","0.64016164443125","0.593760816301963","0.686562472560538"
"No","1985","Employed","higher education","283","0.496894758225288","0.455520684006305","0.538268832444272"
"Yes","1986","Not Employed","in school","","","",""
"Yes","1986","Not Employed","inadequately","2","","",""
"Yes","1986","Not Employed","general elemantary","3","","",""
"Yes","1986","Not Employed","middle vocational","7","","",""
"Yes","1986","Not Employed","vocational + Abi","1","","",""
"Yes","1986","Not Employed","higher vocational","","","",""
"Yes","1986","Not Employed","higher education","3","","",""
"Yes","1986","Employed","in school","","","",""
"Yes","1986","Employed","inadequately","37","0.111099554453047","0.0797495823098501","0.142449526596243"
"Yes","1986","Employed","general elemantary","195","0.192583721322663","0.170862223155189","0.214305219490138"
"Yes","1986","Employed","middle vocational","619","0.234115175842074","0.218740717197179","0.249489634486969"
"Yes","1986","Employed","vocational + Abi","27","","",""
"Yes","1986","Employed","higher vocational","133","0.361097439006867","0.312023185694869","0.410171692318866"
"Yes","1986","Employed","higher education","270","0.500991060610251","0.45905178538973","0.542930335830771"
"No","1986","Not Employed","in school","2","","",""
"No","1986","Not Employed","inadequately","3","","",""
"No","1986","Not Employed","general elemantary","16","","",""
"No","1986","Not Employed","middle vocational","21","","",""
"No","1986","Not Employed","vocational + Abi","1","","",""
"No","1986","Not Employed","higher vocational","2","","",""
"No","1986","Not Employed","higher education","4","","",""
"No","1986","Employed","in school","","","",""
"No","1986","Employed","inadequately","349","0.888900445546953","0.857550473403757","0.92025041769015"
"No","1986","Employed","general elemantary","1071","0.807416278677337","0.785694780509862","0.829137776844811"
"No","1986","Employed","middle vocational","2295","0.765884824157926","0.750510365513031","0.781259282802821"
"No","1986","Employed","vocational + Abi","143","0.811568753583458","0.752784264267609","0.870353242899308"
"No","1986","Employed","higher vocational","235","0.638902560993133","0.589828307681134","0.687976814305131"
"No","1986","Employed","higher education","276","0.499008939389749","0.457069664169229","0.54094821461027"
"Yes","1987","Not Employed","in school","","","",""
"Yes","1987","Not Employed","inadequately","","","",""
"Yes","1987","Not Employed","general elemantary","3","","",""
"Yes","1987","Not Employed","middle vocational","13","","",""
"Yes","1987","Not Employed","vocational + Abi","1","","",""
"Yes","1987","Not Employed","higher vocational","1","","",""
"Yes","1987","Not Employed","higher education","4","","",""
"Yes","1987","Employed","in school","","","",""
"Yes","1987","Employed","inadequately","37","0.109967927964949","0.0785540572159341","0.141381798713965"
"Yes","1987","Employed","general elemantary","204","0.197592178921239","0.175854954754696","0.219329403087782"
"Yes","1987","Employed","middle vocational","619","0.232116884569052","0.216910365429841","0.247323403708264"
"Yes","1987","Employed","vocational + Abi","31","0.223421982533572","0.161530773890138","0.285313191177006"
"Yes","1987","Employed","higher vocational","134","0.366459197245044","0.316547000339732","0.416371394150355"
"Yes","1987","Employed","higher education","263","0.483860725929424","0.441904783622447","0.525816668236402"
"No","1987","Not Employed","in school","4","","",""
"No","1987","Not Employed","inadequately","","","",""
"No","1987","Not Employed","general elemantary","21","","",""
"No","1987","Not Employed","middle vocational","26","","",""
"No","1987","Not Employed","vocational + Abi","4","","",""
"No","1987","Not Employed","higher vocational","2","","",""
"No","1987","Not Employed","higher education","5","","",""
"No","1987","Employed","in school","1","","",""
"No","1987","Employed","inadequately","344","0.89003207203505","0.858618201286035","0.921445942784066"
"No","1987","Employed","general elemantary","1085","0.802407821078761","0.780670596912218","0.824145045245304"
"No","1987","Employed","middle vocational","2342","0.767883115430948","0.752676596291736","0.783089634570159"
"No","1987","Employed","vocational + Abi","143","0.776578017466428","0.714686808822994","0.838469226109862"
"No","1987","Employed","higher vocational","224","0.633540802754956","0.583628605849645","0.683452999660268"
"No","1987","Employed","higher education","282","0.516139274070576","0.474183331763598","0.558095216377554"
"Yes","1988","Not Employed","in school","","","",""
"Yes","1988","Not Employed","inadequately","2","","",""
"Yes","1988","Not Employed","general elemantary","9","","",""
"Yes","1988","Not Employed","middle vocational","9","","",""
"Yes","1988","Not Employed","vocational + Abi","","","",""
"Yes","1988","Not Employed","higher vocational","2","","",""
"Yes","1988","Not Employed","higher education","1","","",""
"Yes","1988","Employed","in school","","","",""
"Yes","1988","Employed","inadequately","33","0.0835059162566741","0.0542290568801457","0.112782775633202"
"Yes","1988","Employed","general elemantary","192","0.182160079225875","0.161178548421515","0.203141610030235"
"Yes","1988","Employed","middle vocational","594","0.233136979514279","0.217640624578027","0.248633334450532"
"Yes","1988","Employed","vocational + Abi","27","","",""
"Yes","1988","Employed","higher vocational","127","0.357509694194775","0.30779426605123","0.40722512233832"
"Yes","1988","Employed","higher education","246","0.471193835913597","0.428616431323321","0.513771240503874"
"No","1988","Not Employed","in school","2","","",""
"No","1988","Not Employed","inadequately","7","","",""
"No","1988","Not Employed","general elemantary","20","","",""
"No","1988","Not Employed","middle vocational","30","0.835177406756037","0.718734368781455","0.951620444730619"
"No","1988","Not Employed","vocational + Abi","4","","",""
"No","1988","Not Employed","higher vocational","3","","",""
"No","1988","Not Employed","higher education","8","","",""
"No","1988","Employed","in school","4","","",""
"No","1988","Employed","inadequately","310","0.916494083743326","0.887217224366798","0.945770943119854"
"No","1988","Employed","general elemantary","1108","0.817839920774125","0.796858389969765","0.838821451578485"
"No","1988","Employed","middle vocational","2266","0.766863020485721","0.751366665549468","0.782359375421973"
"No","1988","Employed","vocational + Abi","135","0.775099850451233","0.710806762901076","0.83939293800139"
"No","1988","Employed","higher vocational","230","0.642490305805225","0.59277487766168","0.69220573394877"
"No","1988","Employed","higher education","282","0.528806164086403","0.486228759496126","0.571383568676679"
"Yes","1989","Not Employed","in school","1","","",""
"Yes","1989","Not Employed","inadequately","3","","",""
"Yes","1989","Not Employed","general elemantary","5","","",""
"Yes","1989","Not Employed","middle vocational","12","","",""
"Yes","1989","Not Employed","vocational + Abi","","","",""
"Yes","1989","Not Employed","higher vocational","1","","",""
"Yes","1989","Not Employed","higher education","2","","",""
"Yes","1989","Employed","in school","1","","",""
"Yes","1989","Employed","inadequately","34","0.0861420777153196","0.0559616033887514","0.116322552041888"
"Yes","1989","Employed","general elemantary","197","0.193570373497978","0.172158883010431","0.214981863985525"
"Yes","1989","Employed","middle vocational","609","0.230907171827212","0.215595955648755","0.24621838800567"
"Yes","1989","Employed","vocational + Abi","20","","",""
"Yes","1989","Employed","higher vocational","121","0.334540572432621","0.28532008307404","0.383761061791202"
"Yes","1989","Employed","higher education","241","0.45398256441622","0.412106002513944","0.495859126318496"
"No","1989","Not Employed","in school","2","","",""
"No","1989","Not Employed","inadequately","6","","",""
"No","1989","Not Employed","general elemantary","33","0.871470628142043","0.765060280405608","0.977880975878478"
"No","1989","Not Employed","middle vocational","40","0.713235841194291","0.590315025434492","0.836156656954091"
"No","1989","Not Employed","vocational + Abi","4","","",""
"No","1989","Not Employed","higher vocational","1","","",""
"No","1989","Not Employed","higher education","7","","",""
"No","1989","Employed","in school","8","","",""
"No","1989","Employed","inadequately","298","0.91385792228468","0.883677447958112","0.944038396611249"
"No","1989","Employed","general elemantary","1111","0.806429626502022","0.785018136014475","0.827841116989569"
"No","1989","Employed","middle vocational","2301","0.769092828172788","0.75378161199433","0.784404044351245"
"No","1989","Employed","vocational + Abi","163","0.850804549178124","0.799184877445593","0.902424220910656"
"No","1989","Employed","higher vocational","232","0.665459427567379","0.616238938208798","0.71467991692596"
"No","1989","Employed","higher education","302","0.54601743558378","0.504140873681504","0.587893997486056"
"Yes","1990","Not Employed","in school","","","",""
"Yes","1990","Not Employed","inadequately","2","","",""
"Yes","1990","Not Employed","general elemantary","6","","",""
"Yes","1990","Not Employed","middle vocational","6","","",""
"Yes","1990","Not Employed","vocational + Abi","","","",""
"Yes","1990","Not Employed","higher vocational","","","",""
"Yes","1990","Not Employed","higher education","3","","",""
"Yes","1990","Employed","in school","1","","",""
"Yes","1990","Employed","inadequately","31","0.0914820842551819","0.0603301573368747","0.122634011173489"
"Yes","1990","Employed","general elemantary","192","0.196310508770775","0.174193399837578","0.218427617703972"
"Yes","1990","Employed","middle vocational","593","0.23340216586389","0.217820481911657","0.248983849816123"
