"pgoeffd","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1984","66 and older","higher vocational","6","","","","2"
"No","1984","66 and older","higher education","7","","","","2"
"No","1984","66 and older","general elemantary","12","","","","2"
"No","1984","66 and older","inadequately","","","","","2"
"No","1984","66 and older","in school","","","","","2"
"No","1984","66 and older","middle vocational","18","","","","2"
"No","1984","66 and older","vocational + Abi","2","","","","2"
"No","1984","16-34 y.","higher vocational","90","0.549173983780162","0.472787986773312","0.625559980787013","2"
"No","1984","16-34 y.","higher education","97","0.458488079192435","0.389432125382118","0.527544033002751","2"
"No","1984","16-34 y.","inadequately","140","0.870383382558693","0.816986987903904","0.923779777213483","2"
"No","1984","16-34 y.","general elemantary","670","0.846516406622067","0.820940296622492","0.872092516621643","2"
"No","1984","16-34 y.","in school","2","","","","2"
"No","1984","16-34 y.","middle vocational","1237","0.799209850086028","0.779024780872839","0.819394919299216","2"
"No","1984","16-34 y.","vocational + Abi","94","0.873334687319149","0.810607557231884","0.936061817406413","2"
"No","1984","35-65 y.","in school","","","","","2"
"No","1984","35-65 y.","inadequately","398","0.908908099024128","0.882143762905907","0.93567243514235","2"
"No","1984","35-65 y.","general elemantary","710","0.79196112735053","0.764753591375056","0.819168663326005","2"
"No","1984","35-65 y.","middle vocational","1619","0.769027330465401","0.750752006185909","0.787302654744894","2"
"No","1984","35-65 y.","vocational + Abi","82","0.760455239297945","0.678030108479728","0.842880370116161","2"
"No","1984","35-65 y.","higher vocational","200","0.701117422019147","0.647877844466461","0.754356999571833","2"
"No","1984","35-65 y.","higher education","209","0.500702790469225","0.452481076738659","0.548924504199791","2"
"Yes","1984","16-34 y.","in school","1","","","","1"
"Yes","1984","16-34 y.","inadequately","12","","","","1"
"Yes","1984","16-34 y.","general elemantary","93","0.153483593377933","0.127907483378357","0.179059703377508","1"
"Yes","1984","16-34 y.","middle vocational","276","0.200790149913972","0.180605080700784","0.220975219127161","1"
"Yes","1984","16-34 y.","vocational + Abi","14","","","","1"
"Yes","1984","16-34 y.","higher vocational","73","0.450826016219838","0.374440019212987","0.527212013226688","1"
"Yes","1984","16-34 y.","higher education","103","0.541511920807565","0.472455966997248","0.610567874617881","1"
"Yes","1984","35-65 y.","in school","","","","","1"
"Yes","1984","35-65 y.","inadequately","46","0.0910919009758718","0.0643275648576502","0.117856237094093","1"
"Yes","1984","35-65 y.","general elemantary","145","0.208038872649469","0.180831336673995","0.235246408624944","1"
"Yes","1984","35-65 y.","middle vocational","424","0.230972669534599","0.212697345255106","0.249247993814091","1"
"Yes","1984","35-65 y.","vocational + Abi","21","","","","1"
"Yes","1984","35-65 y.","higher vocational","84","0.298882577980853","0.245643000428167","0.352122155533539","1"
"Yes","1984","35-65 y.","higher education","204","0.499297209530775","0.451075495800209","0.547518923261341","1"
"Yes","1984","66 and older","in school","","","","","1"
"Yes","1984","66 and older","inadequately","","","","","1"
"Yes","1984","66 and older","general elemantary","1","","","","1"
"Yes","1984","66 and older","middle vocational","1","","","","1"
"Yes","1984","66 and older","vocational + Abi","","","","","1"
"Yes","1984","66 and older","higher vocational","","","","","1"
"Yes","1984","66 and older","higher education","","","","","1"
"No","1985","66 and older","general elemantary","6","","","","2"
"No","1985","66 and older","inadequately","","","","","2"
"No","1985","66 and older","in school","","","","","2"
"No","1985","66 and older","higher vocational","5","","","","2"
"No","1985","66 and older","higher education","5","","","","2"
"No","1985","16-34 y.","higher vocational","76","0.521856410634399","0.440551126843873","0.603161694424926","2"
"No","1985","66 and older","middle vocational","15","","","","2"
"No","1985","66 and older","vocational + Abi","1","","","","2"
"No","1985","16-34 y.","higher education","101","0.564252798806052","0.491409055717498","0.637096541894605","2"
"No","1985","35-65 y.","middle vocational","1406","0.763406094348325","0.743761962723989","0.783050225972661","2"
"No","1985","16-34 y.","middle vocational","1041","0.774421740313123","0.751718910790646","0.7971245698356","2"
"No","1985","35-65 y.","vocational + Abi","65","0.730982297985637","0.635581303032434","0.82638329293884","2"
