"pgoeffd","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"No","1984","16-34 y.","Not Employed","111","0.837404437908079","0.774693363210058","0.900115512606099","2"
"No","1984","35-65 y.","Not Employed","43","0.909283494718925","0.826286573059967","0.992280416377883","2"
"No","1984","16-34 y.","Employed","2228","0.766755661151134","0.751032572285097","0.78247875001717","2"
"No","1984","35-65 y.","Employed","3200","0.736831964778263","0.723392265206277","0.750271664350249","2"
"No","1984","66 and older","Not Employed","3","","","","2"
"No","1984","66 and older","Employed","42","0.935836870342301","0.863432530492338","1.00824121019226","2"
"Yes","1984","16-34 y.","Not Employed","22","","","","1"
"Yes","1984","16-34 y.","Employed","551","0.233244338848866","0.21752124998283","0.248967427714903","1"
"Yes","1984","35-65 y.","Not Employed","3","","","","1"
"Yes","1984","35-65 y.","Employed","924","0.263168035221737","0.249728335649751","0.276607734793723","1"
"Yes","1984","66 and older","Not Employed","","","","","1"
"Yes","1984","66 and older","Employed","2","","","","1"
"No","1985","16-34 y.","Not Employed","52","0.709254002423678","0.602874772755958","0.815633232091398","2"
"No","1985","16-34 y.","Employed","1910","0.766858934621696","0.749928355509086","0.783789513734306","2"
"No","1985","35-65 y.","Not Employed","22","","","","2"
"No","1985","35-65 y.","Employed","2761","0.723050297997405","0.708480997451476","0.737619598543334","2"
"No","1985","66 and older","Not Employed","2","","","","2"
"No","1985","66 and older","Employed","30","0.957620808425615","0.886705439720075","1.02853617713115","2"
"Yes","1985","16-34 y.","Not Employed","18","","","","1"
"Yes","1985","16-34 y.","Employed","486","0.233141065378304","0.216210486265694","0.250071644490914","1"
"Yes","1985","35-65 y.","Not Employed","2","","","","1"
"Yes","1985","35-65 y.","Employed","863","0.276949702002595","0.262380401456666","0.291519002548524","1"
"Yes","1985","66 and older","Not Employed","","","","","1"
"Yes","1985","66 and older","Employed","1","","","","1"
"No","1986","16-34 y.","Employed","1827","0.765357667584227","0.748031261811102","0.782684073357352","2"
"No","1986","16-34 y.","Not Employed","43","0.749854984373054","0.634340676787554","0.865369291958553","2"
"No","1986","35-65 y.","Employed","2567","0.717526367466282","0.702357931455602","0.732694803476963","2"
"No","1986","35-65 y.","Not Employed","8","","","","2"
"No","1986","66 and older","Not Employed","","","","","2"
"No","1986","66 and older","Employed","20","","","","2"
"Yes","1986","16-34 y.","Not Employed","11","","","","1"
"Yes","1986","16-34 y.","Employed","471","0.234642332415773","0.217315926642648","0.251968738188898","1"
"Yes","1986","35-65 y.","Not Employed","5","","","","1"
"Yes","1986","35-65 y.","Employed","817","0.282473632533718","0.267305196523037","0.297642068544398","1"
"Yes","1986","66 and older","Not Employed","","","","","1"
"Yes","1986","66 and older","Employed","1","","","","1"
"No","1987","16-34 y.","Not Employed","38","0.559212301260235","0.432527306938982","0.685897295581488","2"
"No","1987","16-34 y.","Employed","1906","0.767161332908553","0.750178044893353","0.784144620923754","2"
"No","1987","35-65 y.","Employed","2545","0.718481097135687","0.703292295736572","0.733669898534802","2"
"No","1987","35-65 y.","Not Employed","24","","","","2"
"No","1987","66 and older","Not Employed","","","","","2"
"No","1987","66 and older","Employed","23","","","","2"
"Yes","1987","16-34 y.","Not Employed","21","","","","1"
"Yes","1987","16-34 y.","Employed","473","0.232838667091447","0.215855379076246","0.249821955106647","1"
"Yes","1987","35-65 y.","Not Employed","2","","","","1"
"Yes","1987","35-65 y.","Employed","823","0.281518902864313","0.266330101465198","0.296707704263428","1"
"Yes","1987","66 and older","Not Employed","","","","","1"
"Yes","1987","66 and older","Employed","2","","","","1"
"No","1988","16-34 y.","Not Employed","52","0.788970404421964","0.691987391008008","0.885953417835921","2"
"No","1988","16-34 y.","Employed","1918","0.780784748123821","0.764057858007175","0.797511638240467","2"
"No","1988","35-65 y.","Not Employed","23","","","","2"
"No","1988","35-65 y.","Employed","2456","0.714689530262916","0.699174348023288","0.730204712502543","2"
"No","1988","66 and older","Not Employed","","","","","2"
"No","1988","66 and older","Employed","26","","","","2"
"Yes","1988","16-34 y.","Not Employed","16","","","","1"
"Yes","1988","16-34 y.","Employed","432","0.219215251876179","0.202488361759533","0.235942141992825","1"
"Yes","1988","35-65 y.","Not Employed","8","","","","1"
"Yes","1988","35-65 y.","Employed","798","0.285310469737084","0.269795287497457","0.300825651976712","1"
"Yes","1988","66 and older","Not Employed","","","","","1"
"Yes","1988","66 and older","Employed","2","","","","1"
"No","1989","16-34 y.","Not Employed","71","0.797018671865164","0.711511819249359","0.882525524480968","2"
"No","1989","16-34 y.","Employed","2007","0.786101292059628","0.769926791409954","0.802275792709302","2"
"No","1989","35-65 y.","Not Employed","25","","","","2"
"No","1989","35-65 y.","Employed","2452","0.721320131481925","0.705831807386027","0.736808455577822","2"
"No","1989","66 and older","Not Employed","","","","","2"
"No","1989","66 and older","Employed","28","","","","2"
"Yes","1989","16-34 y.","Not Employed","14","","","","1"
"Yes","1989","16-34 y.","Employed","462","0.213898707940372","0.197724207290698","0.230073208590046","1"
"Yes","1989","35-65 y.","Not Employed","8","","","","1"
"Yes","1989","35-65 y.","Employed","767","0.278679868518075","0.263191544422178","0.294168192613973","1"
"Yes","1989","66 and older","Not Employed","2","","","","1"
"Yes","1989","66 and older","Employed","5","","","","1"
"No","1990","16-34 y.","Not Employed","40","0.78249664208489","0.672463013368271","0.892530270801509","2"
"No","1990","16-34 y.","Employed","1922","0.784652249029288","0.768137636268993","0.801166861789582","2"
"No","1990","35-65 y.","Not Employed","21","","","","2"
