"pgoeffd","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1984","Not Employed","1-pers.-HH","10","","","","2"
"No","1984","Not Employed","(Married) couple without C. ","15","","","","2"
"No","1984","Employed","(Married) couple without C. ","1008","0.719972584907169","0.696073762508926","0.743871407305411","2"
"No","1984","Not Employed","Couple + C. LE 16 ","34","0.878752436916266","0.774969472102826","0.982535401729706","2"
"No","1984","Not Employed","Single parent ","9","","","","2"
"No","1984","Not Employed","Couple + C. GT 16 ","34","0.837520020116229","0.72320175571985","0.951838284512607","2"
"No","1984","Not Employed","Couple + C. LE and GT 16","39","0.941468170125","0.870474060398744","1.01246227985126","2"
"No","1984","Employed","1-pers.-HH","448","0.699705595998338","0.663389122222162","0.736022069774515","2"
"No","1984","Employed","Single parent ","251","0.775654036611686","0.729660404397985","0.821647668825387","2"
"No","1984","Employed","Couple + C. LE 16 ","1629","0.749134727854574","0.730318190117136","0.767951265592012","2"
"No","1984","Employed","Couple + C. GT 16 ","964","0.776969367889436","0.753406795293147","0.800531940485726","2"
"No","1984","Employed","Couple + C. LE and GT 16","849","0.791762548583018","0.767001169569572","0.816523927596465","2"
"Yes","1984","Not Employed","1-pers.-HH","4","","","","1"
"Yes","1984","Not Employed","(Married) couple without C. ","3","","","","1"
"Yes","1984","Not Employed","Single parent ","1","","","","1"
"Yes","1984","Not Employed","Couple + C. LE 16 ","4","","","","1"
"Yes","1984","Not Employed","Couple + C. GT 16 ","6","","","","1"
"Yes","1984","Not Employed","Couple + C. LE and GT 16","3","","","","1"
"Yes","1984","Employed","1-pers.-HH","164","0.300294404001662","0.263977930225485","0.336610877777838","1"
"Yes","1984","Employed","(Married) couple without C. ","348","0.280027415092831","0.256128592694589","0.303926237491074","1"
"Yes","1984","Employed","Single parent ","65","0.224345963388314","0.178352331174613","0.270339595602015","1"
"Yes","1984","Employed","Couple + C. LE 16 ","410","0.250865272145426","0.232048734407988","0.269681809882864","1"
"Yes","1984","Employed","Couple + C. GT 16 ","235","0.223030632110564","0.199468059514274","0.246593204706853","1"
"Yes","1984","Employed","Couple + C. LE and GT 16","184","0.208237451416982","0.183476072403535","0.232998830430429","1"
"No","1985","Not Employed","1-pers.-HH","5","","","","2"
"No","1985","Not Employed","(Married) couple without C. ","9","","","","2"
"No","1985","Not Employed","Single parent ","5","","","","2"
"No","1985","Not Employed","Couple + C. LE 16 ","15","","","","2"
"No","1985","Employed","(Married) couple without C. ","878","0.708042272626587","0.682328478160289","0.733756067092885","2"
"No","1985","Not Employed","Couple + C. GT 16 ","14","","","","2"
"No","1985","Not Employed","Couple + C. LE and GT 16","15","","","","2"
"No","1985","Employed","1-pers.-HH","367","0.660691805695433","0.620229385749364","0.701154225641502","2"
"No","1985","Employed","Single parent ","232","0.785368061985933","0.738032998794036","0.83270312517783","2"
"No","1985","Employed","Couple + C. LE 16 ","1358","0.756979961213112","0.73662727148064","0.777332650945583","2"
"No","1985","Employed","Couple + C. GT 16 ","926","0.768515340110964","0.744398714786016","0.792631965435912","2"
"No","1985","Employed","Couple + C. LE and GT 16","690","0.793344508436252","0.765946342237493","0.820742674635011","2"
"Yes","1985","Not Employed","1-pers.-HH","2","","","","1"
"Yes","1985","Not Employed","(Married) couple without C. ","3","","","","1"
"Yes","1985","Not Employed","Single parent ","1","","","","1"
"Yes","1985","Not Employed","Couple + C. LE 16 ","1","","","","1"
"Yes","1985","Not Employed","Couple + C. GT 16 ","7","","","","1"
"Yes","1985","Not Employed","Couple + C. LE and GT 16","4","","","","1"
"Yes","1985","Employed","1-pers.-HH","159","0.339308194304567","0.298845774358498","0.379770614250636","1"
"Yes","1985","Employed","(Married) couple without C. ","323","0.291957727373413","0.266243932907115","0.317671521839711","1"
"Yes","1985","Employed","Single parent ","57","0.214631938014067","0.16729687482217","0.261967001205964","1"
"Yes","1985","Employed","Couple + C. LE 16 ","348","0.243020038786888","0.222667349054417","0.26337272851936","1"
"Yes","1985","Employed","Couple + C. GT 16 ","249","0.231484659889036","0.207368034564088","0.255601285213984","1"
"Yes","1985","Employed","Couple + C. LE and GT 16","149","0.206655491563748","0.179257325364989","0.234053657762507","1"
"No","1986","Not Employed","1-pers.-HH","3","","","","2"
"No","1986","Not Employed","(Married) couple without C. ","3","","","","2"
"No","1986","Employed","(Married) couple without C. ","887","0.722261114824372","0.696909597336594","0.74761263231215","2"
"No","1986","Not Employed","Single parent ","6","","","","2"
"No","1986","Not Employed","Couple + C. LE 16 ","7","","","","2"
"No","1986","Not Employed","Couple + C. GT 16 ","12","","","","2"
"No","1986","Not Employed","Couple + C. LE and GT 16","13","","","","2"
"No","1986","Employed","1-pers.-HH","338","0.644711882241081","0.60242178161946","0.687001982862702","2"
"No","1986","Employed","Single parent ","205","0.753832332606365","0.701966895818447","0.805697769394283","2"
"No","1986","Employed","Couple + C. LE 16 ","1190","0.749046214473744","0.727134550697686","0.770957878249802","2"
"No","1986","Employed","Couple + C. GT 16 ","950","0.77653145595601","0.752912980305221","0.800149931606799","2"
"No","1986","Employed","Couple + C. LE and GT 16","608","0.767689592352562","0.737526368109285","0.79785281659584","2"
"Yes","1986","Not Employed","Couple + C. GT 16 ","4","","","","1"
"Yes","1986","Not Employed","Couple + C. LE and GT 16","6","","","","1"
"Yes","1986","Employed","1-pers.-HH","154","0.355288117758919","0.312998017137298","0.39757821838054","1"
"Yes","1986","Employed","(Married) couple without C. ","312","0.277738885175628","0.25238736768785","0.303090402663406","1"
"Yes","1986","Employed","Single parent ","60","0.246167667393635","0.194302230605717","0.298033104181552","1"
"Yes","1986","Employed","Couple + C. LE 16 ","314","0.250953785526256","0.229042121750198","0.272865449302314","1"
"Yes","1986","Not Employed","1-pers.-HH","1","","","","1"
"Yes","1986","Not Employed","(Married) couple without C. ","3","","","","1"
"Yes","1986","Not Employed","Single parent ","","","","","1"
"Yes","1986","Not Employed","Couple + C. LE 16 ","1","","","","1"
"Yes","1986","Employed","Couple + C. GT 16 ","245","0.22346854404399","0.199850068393201","0.24708701969478","1"
"Yes","1986","Employed","Couple + C. LE and GT 16","145","0.232310407647438","0.20214718340416","0.262473631890715","1"
"No","1987","Not Employed","(Married) couple without C. ","4","","","","2"
"No","1987","Not Employed","1-pers.-HH","4","","","","2"
"No","1987","Not Employed","Couple + C. LE 16 ","19","","","","2"
"No","1987","Not Employed","Single parent ","7","","","","2"
"No","1987","Employed","(Married) couple without C. ","892","0.725070303758828","0.699777213074305","0.750363394443352","2"
