"pgoeffd","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","1984","Full Time","1-pers.-HH","140","0.309809795842525","0.269677410713711","0.349942180971339"
"Yes","1984","Full Time","(Married) couple without C. ","286","0.286409572685459","0.259814273885897","0.313004871485022"
"Yes","1984","Full Time","Single parent ","48","0.230685111759003","0.17727653655008","0.284093686967927"
"Yes","1984","Full Time","Couple + C. LE 16 ","304","0.246879329030321","0.225724657049689","0.268034001010953"
"Yes","1984","Full Time","Couple + C. GT 16 ","178","0.219508027302534","0.192703399698762","0.246312654906305"
"Yes","1984","Full Time","Couple + C. LE and GT 16","141","0.216879857134465","0.187995113249261","0.245764601019669"
"Yes","1984","Part Time","1-pers.-HH","24","","",""
"Yes","1984","Part Time","(Married) couple without C. ","62","0.254350320836788","0.199929623803746","0.308771017869831"
"Yes","1984","Part Time","Single parent ","17","","",""
"Yes","1984","Part Time","Couple + C. LE 16 ","106","0.263634802190419","0.222605491047579","0.304664113333259"
"Yes","1984","Part Time","Couple + C. GT 16 ","57","0.233219787290704","0.183950869918645","0.282488704662764"
"Yes","1984","Part Time","Couple + C. LE and GT 16","43","0.183825784052108","0.135906990079666","0.231744578024551"
"Yes","1984","Not Working","1-pers.-HH","4","","",""
"Yes","1984","Not Working","(Married) couple without C. ","3","","",""
"Yes","1984","Not Working","Single parent ","1","","",""
"Yes","1984","Not Working","Couple + C. LE 16 ","4","","",""
"Yes","1984","Not Working","Couple + C. GT 16 ","6","","",""
"Yes","1984","Not Working","Couple + C. LE and GT 16","3","","",""
"No","1984","Full Time","1-pers.-HH","370","0.690190204157475","0.650057819028661","0.730322589286289"
"No","1984","Full Time","(Married) couple without C. ","824","0.713590427314541","0.686995128514978","0.740185726114103"
"No","1984","Full Time","Single parent ","191","0.769314888240997","0.715906313032073","0.82272346344992"
"No","1984","Full Time","Couple + C. LE 16 ","1292","0.753120670969679","0.731965998989047","0.774275342950311"
"No","1984","Full Time","Couple + C. GT 16 ","738","0.780491972697467","0.753687345093695","0.807296600301238"
"No","1984","Full Time","Couple + C. LE and GT 16","641","0.783120142865535","0.754235398980331","0.812004886750739"
"No","1984","Part Time","1-pers.-HH","78","0.74421568493211","0.659544747244657","0.828886622619564"
"No","1984","Part Time","(Married) couple without C. ","184","0.745649679163212","0.691228982130169","0.800070376196254"
"No","1984","Part Time","Single parent ","60","0.79250117787819","0.701925727020663","0.883076628735717"
"No","1984","Part Time","Couple + C. LE 16 ","337","0.736365197809581","0.695335886666741","0.777394508952421"
"No","1984","Part Time","Couple + C. GT 16 ","226","0.766780212709296","0.717511295337236","0.816049130081355"
"No","1984","Part Time","Couple + C. LE and GT 16","208","0.816174215947892","0.768255421975449","0.864093009920334"
"No","1984","Not Working","1-pers.-HH","10","","",""
"No","1984","Not Working","(Married) couple without C. ","15","","",""
"No","1984","Not Working","Single parent ","9","","",""
"No","1984","Not Working","Couple + C. LE 16 ","34","0.878752436916266","0.774969472102826","0.982535401729706"
"No","1984","Not Working","Couple + C. GT 16 ","34","0.837520020116229","0.72320175571985","0.951838284512607"
"No","1984","Not Working","Couple + C. LE and GT 16","39","0.941468170125","0.870474060398744","1.01246227985126"
"Yes","1985","Full Time","1-pers.-HH","134","0.349583180312648","0.304773214887798","0.394393145737497"
"Yes","1985","Full Time","(Married) couple without C. ","276","0.306098051429044","0.277432994885989","0.3347631079721"
"Yes","1985","Full Time","Single parent ","39","0.20571426635235","0.15229999144297","0.259128541261729"
"Yes","1985","Full Time","Couple + C. LE 16 ","254","0.239963647499241","0.216819876209391","0.26310741878909"
"Yes","1985","Full Time","Couple + C. GT 16 ","185","0.234178275759586","0.206356155041611","0.262000396477561"
"Yes","1985","Full Time","Couple + C. LE and GT 16","117","0.209881401136002","0.178671504040192","0.241091298231812"
"Yes","1985","Part Time","1-pers.-HH","25","","",""
"Yes","1985","Part Time","(Married) couple without C. ","47","0.230329597104979","0.17311014556295","0.287549048647007"
"Yes","1985","Part Time","Single parent ","18","","",""
"Yes","1985","Part Time","Couple + C. LE 16 ","94","0.252334488703627","0.20966194464136","0.295007032765894"
"Yes","1985","Part Time","Couple + C. GT 16 ","64","0.223627591479725","0.17525232164495","0.2720028613145"
"Yes","1985","Part Time","Couple + C. LE and GT 16","32","0.196153067183456","0.138933251036683","0.253372883330229"
"Yes","1985","Not Working","1-pers.-HH","2","","",""
"Yes","1985","Not Working","(Married) couple without C. ","3","","",""
"Yes","1985","Not Working","Single parent ","1","","",""
"Yes","1985","Not Working","Couple + C. LE 16 ","1","","",""
"Yes","1985","Not Working","Couple + C. GT 16 ","7","","",""
"Yes","1985","Not Working","Couple + C. LE and GT 16","4","","",""
"No","1985","Full Time","1-pers.-HH","301","0.650416819687352","0.605606854262502","0.695226785112201"
"No","1985","Full Time","(Married) couple without C. ","717","0.693901948570956","0.6652368920279","0.722567005114011"
"No","1985","Full Time","Single parent ","181","0.79428573364765","0.740871458738271","0.84770000855703"
"No","1985","Full Time","Couple + C. LE 16 ","1054","0.76003635250076","0.73689258121091","0.783180123790609"
"No","1985","Full Time","Couple + C. GT 16 ","705","0.765821724240414","0.737999603522439","0.793643844958389"
"No","1985","Full Time","Couple + C. LE and GT 16","537","0.790118598863998","0.758908701768188","0.821328495959808"
"No","1985","Part Time","1-pers.-HH","66","0.703780412569787","0.609969606215859","0.797591218923716"
"No","1985","Part Time","(Married) couple without C. ","161","0.769670402895021","0.712450951352993","0.82688985443705"
"No","1985","Part Time","Single parent ","51","0.761079465102737","0.660463873068385","0.861695057137089"
"No","1985","Part Time","Couple + C. LE 16 ","304","0.747665511296373","0.704992967234106","0.79033805535864"
"No","1985","Part Time","Couple + C. GT 16 ","221","0.776372408520275","0.7279971386855","0.82474767835505"
"No","1985","Part Time","Couple + C. LE and GT 16","153","0.803846932816544","0.746627116669771","0.861066748963317"
"No","1985","Not Working","1-pers.-HH","5","","",""
"No","1985","Not Working","(Married) couple without C. ","9","","",""
"No","1985","Not Working","Single parent ","5","","",""
"No","1985","Not Working","Couple + C. LE 16 ","15","","",""
"No","1985","Not Working","Couple + C. GT 16 ","14","","",""
"No","1985","Not Working","Couple + C. LE and GT 16","15","","",""
"Yes","1986","Full Time","1-pers.-HH","135","0.369940850682636","0.323878226904116","0.416003474461155"
"Yes","1986","Full Time","(Married) couple without C. ","258","0.281123742397182","0.253078102871836","0.309169381922528"
"Yes","1986","Full Time","Single parent ","39","0.224820179256229","0.166672234368116","0.282968124144342"
"Yes","1986","Full Time","Couple + C. LE 16 ","232","0.240681058176243","0.216473401295572","0.264888715056914"
"Yes","1986","Full Time","Couple + C. GT 16 ","180","0.216009807970135","0.189374637948905","0.242644977991366"
"Yes","1986","Full Time","Couple + C. LE and GT 16","113","0.231483100462083","0.197449457262383","0.265516743661782"
"Yes","1986","Part Time","1-pers.-HH","19","","",""
"Yes","1986","Part Time","(Married) couple without C. ","54","0.262177491471191","0.20297311488098","0.321381868061403"
"Yes","1986","Part Time","Single parent ","21","","",""
"Yes","1986","Part Time","Couple + C. LE 16 ","82","0.28725125107725","0.236553747556789","0.337948754597711"
"Yes","1986","Part Time","Couple + C. GT 16 ","65","0.246266116062672","0.195621061513031","0.296911170612313"
"Yes","1986","Part Time","Couple + C. LE and GT 16","32","0.235058642972842","0.16996231784784","0.300154968097843"
