"pgoeffd","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1984","Couple + C. LE and GT 16","vocational + Abi","13","","","","2"
"No","1984","1-pers.-HH","general elemantary","98","0.840109155399789","0.771927701363564","0.908290609436013","2"
"No","1984","1-pers.-HH","vocational + Abi","23","","","","2"
"No","1984","1-pers.-HH","middle vocational","232","0.744607580536739","0.695906291023569","0.79330887004991","2"
"No","1984","Couple + C. GT 16 ","general elemantary","246","0.756162829639182","0.708363163682294","0.803962495596071","2"
"No","1984","Couple + C. GT 16 ","middle vocational","542","0.813575597657199","0.783727988198411","0.843423207115986","2"
"No","1984","(Married) couple without C. ","vocational + Abi","44","0.873408209081412","0.782149481378446","0.964666936784377","2"
"No","1984","Couple + C. LE and GT 16","higher vocational","35","0.812131134179468","0.695381816784318","0.928880451574617","2"
"No","1984","Couple + C. LE and GT 16","higher education","25","","","","2"
"No","1984","1-pers.-HH","inadequately","48","0.9663607253964","0.916385353403987","1.01633609738881","2"
"No","1984","(Married) couple without C. ","higher vocational","58","0.644936379456202","0.547152851198037","0.742719907714366","2"
"No","1984","(Married) couple without C. ","higher education","78","0.543385861174731","0.462028718115231","0.62474300423423","2"
"No","1984","Couple + C. GT 16 ","inadequately","78","0.884873652549513","0.817021032311495","0.952726272787532","2"
"No","1984","Couple + C. GT 16 ","vocational + Abi","21","","","","2"
"No","1984","Couple + C. LE and GT 16","middle vocational","398","0.804199120687556","0.76884707693371","0.839551164441402","2"
"No","1984","1-pers.-HH","higher vocational","20","","","","2"
"No","1984","Couple + C. GT 16 ","higher vocational","56","0.722690438909357","0.622699348431131","0.822681529387584","2"
"No","1984","1-pers.-HH","in school","","","","","2"
"No","1984","1-pers.-HH","higher education","35","0.424541061928742","0.318206103467578","0.530876020389907","2"
"No","1984","(Married) couple without C. ","middle vocational","562","0.730865341977434","0.69918760847586","0.762543075479009","2"
"No","1984","Couple + C. GT 16 ","in school","1","","","","2"
"No","1984","Couple + C. GT 16 ","higher education","50","0.599575820492364","0.492870079998501","0.706281560986228","2"
"No","1984","Couple + C. LE and GT 16","in school","","","","","2"
"No","1984","Couple + C. LE and GT 16","inadequately","106","0.896307905606583","0.842211350184461","0.950404461028706","2"
"No","1984","Couple + C. LE and GT 16","general elemantary","306","0.841935880542749","0.803717680784795","0.880154080300704","2"
"No","1984","(Married) couple without C. ","in school","","","","","2"
"No","1984","(Married) couple without C. ","inadequately","71","0.866835380262926","0.792385185430443","0.941285575095408","2"
"No","1984","(Married) couple without C. ","general elemantary","205","0.81149340747532","0.762717497106805","0.860269317843834","2"
"No","1984","Single parent ","in school","","","","","2"
"No","1984","Single parent ","inadequately","24","","","","2"
"No","1984","Single parent ","general elemantary","77","0.796500913322269","0.715965508554509","0.877036318090028","2"
"No","1984","Single parent ","middle vocational","133","0.798548072148525","0.737163050450006","0.859933093847044","2"
"No","1984","Single parent ","vocational + Abi","4","","","","2"
"No","1984","Single parent ","higher vocational","14","","","","2"
"No","1984","Single parent ","higher education","7","","","","2"
"No","1984","Couple + C. LE 16 ","in school","","","","","2"
"No","1984","Couple + C. LE 16 ","inadequately","174","0.909967152695541","0.869268068123175","0.950666237267907","2"
