"pgoeffd","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1984","West Germany","5627","0.753461072701793","0.743456306494228","0.763465838909357","2"
"No","1984","East Germany","","","","","2"
"Yes","1984","West Germany","1502","0.246538927298207","0.236534161090643","0.256543693505772","1"
"Yes","1984","East Germany","","","","","1"
"No","1985","West Germany","4777","0.743122610911318","0.732200422561852","0.754044799260783","2"
"No","1985","East Germany","","","","","2"
"Yes","1985","West Germany","1370","0.256877389088682","0.245955200739217","0.267799577438148","1"
"Yes","1985","East Germany","","","","","1"
"No","1986","West Germany","4465","0.737931003656495","0.726584138709262","0.749277868603728","2"
"No","1986","East Germany","","","","","2"
"Yes","1986","West Germany","1305","0.262068996343505","0.250722131396272","0.273415861290738","1"
"Yes","1986","East Germany","","","","","1"
"No","1987","West Germany","4536","0.738704408718861","0.727452871384854","0.749955946052868","2"
"No","1987","East Germany","","","","","2"
"Yes","1987","West Germany","1321","0.261295591281139","0.250044053947132","0.272547128615146","1"
"Yes","1987","East Germany","","","","","1"
"No","1988","West Germany","4475","0.743270532675667","0.731961011858706","0.754580053492628","2"
"No","1988","East Germany","","","","","2"
"Yes","1988","West Germany","1256","0.256729467324333","0.245419946507372","0.268038988141294","1"
"Yes","1988","East Germany","","","","","1"
"No","1989","West Germany","4583","0.749510046763333","0.738398145516971","0.760621948009695","2"
"No","1989","East Germany","","","","","2"
"Yes","1989","West Germany","1258","0.250489953236667","0.239378051990305","0.261601854483029","1"
"Yes","1989","East Germany","","","","","1"
"No","1990","West Germany","4408","0.748116356760278","0.736780280113053","0.759452433407504","2"
"No","1990","East Germany","2224","0.665329822731191","0.649314814208688","0.681344831253693","2"
"Yes","1990","West Germany","1225","0.251883643239722","0.240547566592496","0.263219719886947","1"
"Yes","1990","East Germany","1111","0.334670177268809","0.318655168746307","0.350685185791312","1"
"No","1991","West Germany","4564","0.746170587753991","0.735028867102499","0.757312308405483","2"
"No","1991","East Germany","1922","0.679248628677788","0.662027237473402","0.696470019882175","2"
"Yes","1991","West Germany","1297","0.253829412246009","0.242687691594517","0.264971132897501","1"
"Yes","1991","East Germany","900","0.320751371322212","0.303529980117825","0.337972762526599","1"
"No","1992","West Germany","4314","0.737557992151856","0.726033876187711","0.749082108116","2"
"No","1992","East Germany","1555","0.638073419205395","0.618946818734517","0.657200019676274","2"
"Yes","1992","West Germany","1285","0.262442007848144","0.250917891884","0.273966123812289","1"
"Yes","1992","East Germany","870","0.361926580794605","0.342799980323726","0.381053181265483","1"
"No","1993","West Germany","4356","0.743878607268618","0.732473914364279","0.755283300172958","2"
"No","1993","East Germany","1454","0.65647943756312","0.636844320824998","0.676114554301242","2"
"Yes","1993","West Germany","1271","0.256121392731382","0.244716699827042","0.267526085635721","1"
"Yes","1993","East Germany","793","0.34352056243688","0.323885445698758","0.363155679175002","1"
"No","1994","West Germany","4012","0.736180910486205","0.724247370949902","0.748114450022509","2"
"No","1994","East Germany","1427","0.668455569576833","0.64857945025884","0.688331688894827","2"
"Yes","1994","West Germany","1227","0.263819089513795","0.251885549977491","0.275752629050098","1"
"Yes","1994","East Germany","728","0.331544430423167","0.311668311105173","0.35142054974116","1"
"No","1995","West Germany","4345","0.737427934559764","0.725959191076475","0.748896678043053","2"
"No","1995","East Germany","1501","0.682118115065638","0.662668898368286","0.70156733176299","2"
"Yes","1995","West Germany","1310","0.262572065440236","0.251103321956947","0.274040808923525","1"
"Yes","1995","East Germany","701","0.317881884934362","0.29843266823701","0.337331101631714","1"
"No","1996","West Germany","4125","0.734997993177858","0.723214836368697","0.746781149987019","2"
"No","1996","East Germany","1426","0.687107550144523","0.667166880209689","0.707048220079356","2"
"Yes","1996","West Germany","1264","0.265002006822142","0.253218850012981","0.276785163631303","1"
"Yes","1996","East Germany","651","0.312892449855477","0.292951779920644","0.332833119790311","1"
"No","1997","West Germany","4077","0.74058867640431","0.728819421165896","0.752357931642725","2"
"No","1997","East Germany","1416","0.690830430009558","0.670853873116716","0.7108069869024","2"
"Yes","1997","West Germany","1251","0.25941132359569","0.247642068357275","0.271180578834104","1"
"Yes","1997","East Germany","640","0.309169569990442","0.2891930130976","0.329146126883284","1"
"No","1998","West Germany","4544","0.742163345928244","0.731055753884953","0.753270937971535","2"
"No","1998","East Germany","1500","0.689426946915535","0.669899339685561","0.708954554145508","2"
"Yes","1998","West Germany","1414","0.257836654071756","0.246729062028465","0.268944246115047","1"
"Yes","1998","East Germany","657","0.310573053084465","0.291045445854492","0.330100660314439","1"
"No","1999","West Germany","4186","0.748298011360379","0.736768536072028","0.75982748664873","2"
"No","1999","East Germany","1421","0.691986058715512","0.671957004225146","0.712015113205878","2"
"Yes","1999","West Germany","1257","0.251701988639621","0.24017251335127","0.263231463927972","1"
"Yes","1999","East Germany","620","0.308013941284488","0.287984886794122","0.328042995774854","1"
"No","2000","West Germany","8152","0.770110723446261","0.762102260441714","0.778119186450807","2"
"No","2000","East Germany","2329","0.733658684756111","0.718357233135644","0.748960136376577","2"
"Yes","2000","West Germany","2452","0.229889276553739","0.221880813549193","0.237897739558286","1"
"Yes","2000","East Germany","877","0.266341315243889","0.251039863623423","0.281642766864356","1"
"No","2001","West Germany","6942","0.768766020210363","0.760079962208385","0.77745207821234","2"
"No","2001","East Germany","2031","0.729566425173058","0.713143229952258","0.745989620393857","2"
"Yes","2001","West Germany","2109","0.231233979789637","0.22254792178766","0.239920037791615","1"
"Yes","2001","East Germany","779","0.270433574826942","0.254010379606143","0.286856770047742","1"
"No","2002","West Germany","7830","0.769216862571179","0.76113050033704","0.777303224805319","2"
"No","2002","East Germany","2116","0.743635068374014","0.727833459811065","0.759436676936962","2"
"Yes","2002","West Germany","2599","0.23078313742882","0.222696775194681","0.23886949966296","1"
"Yes","2002","East Germany","817","0.256364931625986","0.240563323063038","0.272166540188935","1"
"No","2003","West Germany","6871","0.75594497389175","0.747176607090737","0.764713340692764","2"
"No","2003","East Germany","1846","0.729098229922577","0.712044868565132","0.746151591280023","2"
"Yes","2003","West Germany","2347","0.24405502610825","0.235286659307236","0.252823392909263","1"
