"pgoeffd","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"No","1984","(Married) couple without C. ","1023","0.721932891049863","0.698242187966398","0.745623594133329"
"No","1984","1-pers.-HH","458","0.700615648636092","0.664738709056545","0.73649258821564"
"No","1984","Couple + C. GT 16 ","998","0.778909156850561","0.755802281556201","0.802016032144921"
"No","1984","Couple + C. LE 16 ","1663","0.751373849701067","0.732785908777402","0.769961790624732"
"No","1984","Couple + C. LE and GT 16","888","0.796611665214137","0.772549749008038","0.820673581420236"
"No","1984","Single parent ","260","0.779555609625957","0.734555624789236","0.824555594462679"
"Yes","1984","(Married) couple without C. ","351","0.278067108950137","0.254376405866671","0.301757812033602"
"Yes","1984","1-pers.-HH","168","0.299384351363908","0.26350741178436","0.335261290943455"
"Yes","1984","Couple + C. GT 16 ","241","0.221090843149439","0.197983967855079","0.244197718443799"
"Yes","1984","Couple + C. LE 16 ","414","0.248626150298933","0.230038209375268","0.267214091222598"
"Yes","1984","Couple + C. LE and GT 16","187","0.203388334785863","0.179326418579764","0.227450250991962"
"Yes","1984","Single parent ","66","0.220444390374043","0.175444405537321","0.265444375210764"
"No","1985","(Married) couple without C. ","887","0.708784642499117","0.683217512648725","0.734351772349509"
"No","1985","1-pers.-HH","372","0.661009565771373","0.620822890243694","0.701196241299052"
"No","1985","Couple + C. GT 16 ","940","0.766793495564184","0.742827689479617","0.790759301648751"
"No","1985","Couple + C. LE 16 ","1373","0.758552548326528","0.738339320718563","0.778765775934494"
"No","1985","Couple + C. LE and GT 16","705","0.793775965464239","0.766703796053364","0.820848134875114"
"No","1985","Single parent ","237","0.785707061252549","0.7388827560917","0.832531366413398"
"Yes","1985","(Married) couple without C. ","326","0.291215357500883","0.265648227650492","0.316782487351275"
"Yes","1985","1-pers.-HH","161","0.338990434228627","0.298803758700948","0.379177109756306"
"Yes","1985","Couple + C. GT 16 ","256","0.233206504435816","0.209240698351249","0.257172310520383"
"Yes","1985","Couple + C. LE 16 ","349","0.241447451673472","0.221234224065506","0.261660679281437"
"Yes","1985","Couple + C. LE and GT 16","153","0.206224034535761","0.179151865124886","0.233296203946636"
"Yes","1985","Single parent ","58","0.214292938747451","0.167468633586602","0.2611172439083"
"No","1986","(Married) couple without C. ","890","0.720861526846136","0.695534142518262","0.74618891117401"
"No","1986","1-pers.-HH","341","0.646469743313942","0.604397598876847","0.688541887751036"
"No","1986","Couple + C. GT 16 ","962","0.775138968076551","0.751625163504679","0.798652772648422"
"No","1986","Couple + C. LE 16 ","1197","0.748733427542515","0.726870759297224","0.770596095787805"
"No","1986","Couple + C. LE and GT 16","621","0.764331562721795","0.734392992985549","0.794270132458041"
"No","1986","Single parent ","211","0.759645928598758","0.70877205642808","0.810519800769436"
"Yes","1986","(Married) couple without C. ","315","0.279138473153864","0.25381108882599","0.304465857481738"
"Yes","1986","1-pers.-HH","155","0.353530256686058","0.311458112248964","0.395602401123153"
"Yes","1986","Couple + C. GT 16 ","249","0.224861031923449","0.201347227351577","0.248374836495321"
"Yes","1986","Couple + C. LE 16 ","315","0.251266572457485","0.229403904212195","0.273129240702776"
"Yes","1986","Couple + C. LE and GT 16","151","0.235668437278205","0.205729867541959","0.265607007014451"
"Yes","1986","Single parent ","60","0.240354071401242","0.189480199230565","0.29122794357192"
"No","1987","(Married) couple without C. ","896","0.722148543417311","0.696878030047452","0.74741905678717"
"No","1987","1-pers.-HH","361","0.659896974546145","0.618741035425818","0.701052913666471"
"No","1987","Couple + C. GT 16 ","999","0.754913158550093","0.731385751066983","0.778440566033203"
"No","1987","Couple + C. LE 16 ","1190","0.761078316194039","0.739448110725369","0.782708521662708"
"No","1987","Couple + C. LE and GT 16","599","0.770110288236588","0.739794528133806","0.800426048339369"
"No","1987","Single parent ","222","0.776983553091363","0.72813852670793","0.825828579474795"
"Yes","1987","(Married) couple without C. ","311","0.277851456582689","0.25258094321283","0.303121969952548"
"Yes","1987","1-pers.-HH","148","0.340103025453855","0.298947086333529","0.381258964574182"
"Yes","1987","Couple + C. GT 16 ","285","0.245086841449907","0.221559433966797","0.268614248933017"
"Yes","1987","Couple + C. LE 16 ","303","0.238921683805961","0.217291478337292","0.260551889274631"
"Yes","1987","Couple + C. LE and GT 16","141","0.229889711763412","0.199573951660631","0.260205471866194"
"Yes","1987","Single parent ","57","0.223016446908637","0.174171420525205","0.27186147329207"
"No","1988","(Married) couple without C. ","917","0.732916985190243","0.70797761574645","0.757856354634037"
"No","1988","1-pers.-HH","340","0.672485825376741","0.630236912549161","0.714734738204321"
"No","1988","Couple + C. GT 16 ","1032","0.748382317426096","0.725069680438147","0.771694954414045"
"No","1988","Couple + C. LE 16 ","1160","0.758460614038794","0.736498156205529","0.780423071872058"
"No","1988","Couple + C. LE and GT 16","536","0.79209147785238","0.760773619914986","0.823409335789774"
"No","1988","Single parent ","239","0.781884562165822","0.735075814864604","0.82869330946704"
"Yes","1988","(Married) couple without C. ","292","0.267083014809757","0.242143645365963","0.29202238425355"
"Yes","1988","1-pers.-HH","134","0.327514174623259","0.285265261795679","0.369763087450839"
"Yes","1988","Couple + C. GT 16 ","299","0.251617682573904","0.228305045585955","0.274930319561853"
"Yes","1988","Couple + C. LE 16 ","299","0.241539385961206","0.219576928127942","0.263501843794471"
"Yes","1988","Couple + C. LE and GT 16","109","0.20790852214762","0.176590664210226","0.239226380085014"
"Yes","1988","Single parent ","60","0.218115437834178","0.17130669053296","0.264924185135396"
"No","1989","(Married) couple without C. ","959","0.747486718544967","0.723459852650589","0.771513584439344"
"No","1989","1-pers.-HH","375","0.685827391780368","0.646234000496261","0.725420783064475"
"No","1989","Couple + C. GT 16 ","1051","0.750657538035232","0.727536570944174","0.773778505126289"
"No","1989","Couple + C. LE 16 ","1170","0.760378841963913","0.738573054275104","0.782184629652721"
"No","1989","Couple + C. LE and GT 16","530","0.810460846657685","0.779807086377934","0.841114606937436"
"No","1989","Single parent ","228","0.77866283703092","0.730633229701801","0.82669244436004"
"Yes","1989","(Married) couple without C. ","297","0.252513281455033","0.228486415560656","0.276540147349411"
"Yes","1989","1-pers.-HH","153","0.314172608219632","0.274579216935525","0.353765999503739"
"Yes","1989","Couple + C. GT 16 ","294","0.249342461964768","0.226221494873711","0.272463429055826"
"Yes","1989","Couple + C. LE 16 ","302","0.239621158036087","0.217815370347279","0.261426945724896"
"Yes","1989","Couple + C. LE and GT 16","98","0.189539153342315","0.158885393062564","0.220192913622066"
"Yes","1989","Single parent ","59","0.22133716296908","0.17330755563996","0.269366770298199"
"No","1990","(Married) couple without C. ","1363","0.718957697628667","0.698589682281321","0.739325712976014"
"No","1990","1-pers.-HH","449","0.711249476627249","0.675805647098101","0.746693306156397"
"No","1990","Couple + C. GT 16 ","1429","0.734688227732484","0.714883224042339","0.754493231422629"
"No","1990","Couple + C. LE 16 ","1989","0.725653910420785","0.709001959690524","0.742305861151045"
"No","1990","Couple + C. LE and GT 16","636","0.750985135351206","0.721422680897932","0.78054758980448"
"No","1990","Single parent ","308","0.716163252010801","0.673299127928332","0.75902737609327"
"Yes","1990","(Married) couple without C. ","508","0.281042302371333","0.260674287023986","0.301410317718679"
"Yes","1990","1-pers.-HH","179","0.288750523372751","0.253306693843604","0.324194352901899"
"Yes","1990","Couple + C. GT 16 ","480","0.265311772267516","0.245506768577371","0.285116775957661"
"Yes","1990","Couple + C. LE 16 ","769","0.274346089579215","0.257694138848955","0.290998040309476"
"Yes","1990","Couple + C. LE and GT 16","186","0.249014864648794","0.21945241019552","0.278577319102068"
"Yes","1990","Single parent ","117","0.283836747989199","0.24097262390673","0.326700872071668"
"No","1991","(Married) couple without C. ","1245","0.701427764430845","0.679875627713045","0.722979901148645"
"No","1991","1-pers.-HH","448","0.709896458794323","0.674261350114586","0.74553156747406"
"No","1991","Couple + C. GT 16 ","1413","0.757085558882963","0.737564994303415","0.776606123462512"
"No","1991","Couple + C. LE 16 ","1950","0.724714749991128","0.707728047636576","0.741701452345679"
"No","1991","Couple + C. LE and GT 16","675","0.775225072854531","0.747326197058175","0.803123948650888"
"No","1991","Single parent ","315","0.731350166779045","0.689356656762779","0.773343676795311"
"Yes","1991","(Married) couple without C. ","487","0.298572235569155","0.277020098851355","0.320124372286955"
"Yes","1991","1-pers.-HH","175","0.290103541205677","0.25446843252594","0.325738649885414"
"Yes","1991","Couple + C. GT 16 ","441","0.242914441117037","0.223393876537488","0.262435005696585"
"Yes","1991","Couple + C. LE 16 ","706","0.275285250008872","0.258298547654321","0.292271952363424"
"Yes","1991","Couple + C. LE and GT 16","185","0.224774927145469","0.196876051349112","0.252673802941825"
"Yes","1991","Single parent ","113","0.268649833220955","0.226656323204689","0.310643343237221"
"No","1992","(Married) couple without C. ","1173","0.69419486004276","0.671882051982811","0.716507668102709"
"No","1992","1-pers.-HH","415","0.699378514171624","0.66244221415019","0.736314814193058"
"No","1992","Couple + C. GT 16 ","1281","0.738444710219907","0.717681313515632","0.759208106924182"
"No","1992","Couple + C. LE 16 ","1739","0.719552239664464","0.701617432048753","0.737487047280176"
"No","1992","Couple + C. LE and GT 16","602","0.752078485390596","0.721910284207827","0.782246686573365"
"No","1992","Single parent ","278","0.688356376038586","0.642564587290652","0.734148164786521"
"Yes","1992","(Married) couple without C. ","465","0.30580513995724","0.283492331897291","0.328117948017189"
"Yes","1992","1-pers.-HH","177","0.300621485828376","0.263685185806942","0.33755778584981"
"Yes","1992","Couple + C. GT 16 ","440","0.261555289780093","0.240791893075818","0.282318686484368"
"Yes","1992","Couple + C. LE 16 ","671","0.280447760335535","0.262512952719824","0.298382567951247"
"Yes","1992","Couple + C. LE and GT 16","185","0.247921514609404","0.217753313426635","0.278089715792173"
"Yes","1992","Single parent ","115","0.311643623961414","0.265851835213479","0.357435412709348"
"No","1993","(Married) couple without C. ","1189","0.70789340904026","0.686031544760584","0.729755273319936"
"No","1993","1-pers.-HH","454","0.685242242056759","0.649317731308501","0.721166752805018"
"No","1993","Couple + C. GT 16 ","1229","0.766457303282882","0.745784603498221","0.787130003067543"
"No","1993","Couple + C. LE 16 ","1689","0.735784944924378","0.717761706238569","0.753808183610187"
"No","1993","Couple + C. LE and GT 16","607","0.735367081321819","0.705080984081886","0.765653178561753"
"No","1993","Single parent ","256","0.70884379812543","0.662109785325902","0.755577810924957"
"Yes","1993","(Married) couple without C. ","473","0.29210659095974","0.270244726680064","0.313968455239416"
"Yes","1993","1-pers.-HH","188","0.314757757943241","0.278833247194982","0.350682268691499"
"Yes","1993","Couple + C. GT 16 ","380","0.233542696717118","0.212869996932457","0.254215396501779"
"Yes","1993","Couple + C. LE 16 ","610","0.264215055075621","0.246191816389813","0.28223829376143"
"Yes","1993","Couple + C. LE and GT 16","208","0.264632918678181","0.234346821438247","0.294919015918114"
"Yes","1993","Single parent ","107","0.29115620187457","0.244422189075043","0.337890214674098"
"No","1994","(Married) couple without C. ","1182","0.705988825148386","0.684052308353244","0.727925341943527"
"No","1994","1-pers.-HH","422","0.684046564055006","0.647214440895579","0.720878687214432"
"No","1994","Couple + C. GT 16 ","1114","0.753710142999569","0.731677700959483","0.775742585039654"
"No","1994","Couple + C. LE 16 ","1581","0.742648190001026","0.724038662882072","0.76125771711998"
"No","1994","Couple + C. LE and GT 16","561","0.733018543530078","0.701587862427372","0.764449224632784"
"No","1994","Single parent ","228","0.701003196580968","0.65130592310813","0.750700470053805"
"Yes","1994","(Married) couple without C. ","475","0.294011174851614","0.272074658056472","0.315947691646756"
"Yes","1994","1-pers.-HH","190","0.315953435944994","0.279121312785568","0.352785559104421"
"Yes","1994","Couple + C. GT 16 ","355","0.246289857000431","0.224257414960346","0.268322299040517"
"Yes","1994","Couple + C. LE 16 ","539","0.257351809998974","0.23874228288002","0.275961337117928"
"Yes","1994","Couple + C. LE and GT 16","200","0.266981456469922","0.235550775367216","0.298412137572628"
"Yes","1994","Single parent ","98","0.298996803419032","0.249299529946195","0.34869407689187"
"No","1995","(Married) couple without C. ","1301","0.716565034729183","0.695745723513493","0.737384345944874"
"No","1995","1-pers.-HH","476","0.695319818394742","0.660178359223643","0.73046127756584"
"No","1995","Couple + C. GT 16 ","1159","0.744227909641589","0.722387711889822","0.766068107393357"
"No","1995","Couple + C. LE 16 ","1709","0.74927955557102","0.731322510784436","0.767236600357603"
"No","1995","Couple + C. LE and GT 16","605","0.734578306462769","0.704151169635172","0.765005443290366"
"No","1995","Single parent ","248","0.711841480518375","0.664926239086693","0.758756721950056"
"Yes","1995","(Married) couple without C. ","499","0.283434965270817","0.262615654055126","0.304254276486507"
"Yes","1995","1-pers.-HH","183","0.304680181605258","0.26953872243416","0.339821640776357"
"Yes","1995","Couple + C. GT 16 ","374","0.255772090358411","0.233931892606643","0.277612288110178"
"Yes","1995","Couple + C. LE 16 ","529","0.25072044442898","0.232763399642397","0.268677489215564"
"Yes","1995","Couple + C. LE and GT 16","204","0.265421693537231","0.234994556709634","0.295848830364828"
"Yes","1995","Single parent ","110","0.288158519481625","0.241243278049944","0.335073760913307"
"No","1996","(Married) couple without C. ","1233","0.712334274761053","0.690947581706182","0.733720967815924"
"No","1996","1-pers.-HH","463","0.680993721758772","0.645353813664535","0.716633629853008"
"No","1996","Couple + C. GT 16 ","1061","0.748273174930566","0.725595638170253","0.77095071169088"
"No","1996","Couple + C. LE 16 ","1597","0.755177733652712","0.736712555538768","0.773642911766656"
"No","1996","Couple + C. LE and GT 16","636","0.765482957511996","0.736535985527937","0.794429929496055"
"No","1996","Single parent ","251","0.66203558578189","0.613967948518032","0.710103223045749"
"Yes","1996","(Married) couple without C. ","488","0.287665725238947","0.266279032184076","0.309052418293819"
"Yes","1996","1-pers.-HH","194","0.319006278241228","0.283366370146992","0.354646186335465"
"Yes","1996","Couple + C. GT 16 ","346","0.251726825069434","0.22904928830912","0.274404361829747"
"Yes","1996","Couple + C. LE 16 ","486","0.244822266347288","0.226357088233345","0.263287444461232"
"Yes","1996","Couple + C. LE and GT 16","187","0.234517042488004","0.205570070503945","0.263464014472063"
"Yes","1996","Single parent ","121","0.33796441421811","0.289896776954251","0.386032051481968"
"No","1997","(Married) couple without C. ","1246","0.713194695237205","0.692010954137907","0.734378436336502"
"No","1997","1-pers.-HH","442","0.699711992341653","0.66428198376393","0.735142000919377"
"No","1997","Couple + C. GT 16 ","1109","0.743776019091361","0.721228549076446","0.766323489106277"
"No","1997","Couple + C. LE 16 ","1544","0.765122527039619","0.746520390906952","0.783724663172286"
"No","1997","Couple + C. LE and GT 16","592","0.752363421996269","0.722264164735104","0.782462679257433"
"No","1997","Single parent ","266","0.701238357797915","0.65472562335367","0.747751092242161"
"Yes","1997","(Married) couple without C. ","505","0.286805304762795","0.265621563663498","0.307989045862093"
"Yes","1997","1-pers.-HH","201","0.300288007658347","0.264857999080623","0.33571801623607"
"Yes","1997","Couple + C. GT 16 ","331","0.256223980908638","0.233676510893723","0.278771450923554"
"Yes","1997","Couple + C. LE 16 ","451","0.234877472960381","0.216275336827714","0.253479609093048"
"Yes","1997","Couple + C. LE and GT 16","198","0.247636578003731","0.217537320742567","0.277735835264896"
"Yes","1997","Single parent ","106","0.298761642202085","0.252248907757839","0.34527437664633"
"No","1998","(Married) couple without C. ","1466","0.728982313625678","0.709574890329832","0.748389736921525"
"No","1998","1-pers.-HH","537","0.684882835407175","0.652175782700316","0.717589888114034"
"No","1998","Couple + C. GT 16 ","1191","0.745810566053797","0.724321118184513","0.767300013923081"
"No","1998","Couple + C. LE 16 ","1673","0.766231893361902","0.748400215698769","0.784063571025035"
"No","1998","Couple + C. LE and GT 16","598","0.746325197987429","0.716136153818927","0.77651424215593"
"No","1998","Single parent ","286","0.679133951727441","0.633614501035161","0.72465340241972"
