"pgoeffd","year","education","n","percent","lower_confidence","upper_confidence"
"No","1984","college entrance qualification","445","0.549319179326835","0.514883565693806","0.583754792959864"
"No","1984","lower secondary degree","2684","0.807533647647892","0.794058302181333","0.821008993114452"
"No","1984","no degree/no degree yet","608","0.886744647590297","0.86278435537891","0.910704939801685"
"No","1984","Other degree","977","0.882927187444954","0.86383196938902","0.902022405500888"
"No","1984","secondary school degree","865","0.702710875473107","0.677126153350654","0.72829559759556"
"Yes","1984","college entrance qualification","357","0.450680820673165","0.416245207040136","0.485116434306194"
"Yes","1984","lower secondary degree","604","0.192466352352108","0.178991006885548","0.205941697818668"
"Yes","1984","no degree/no degree yet","64","0.113255352409703","0.0892950601983153","0.13721564462109"
"Yes","1984","Other degree","112","0.117072812555046","0.0979775944991122","0.136168030610979"
"Yes","1984","secondary school degree","361","0.297289124526893","0.27170440240444","0.322873846649346"
"No","1985","college entrance qualification","397","0.546815491742961","0.510454160457274","0.583176823028649"
"No","1985","lower secondary degree","2277","0.795066561669699","0.780186890134353","0.809946233205046"
"No","1985","no degree/no degree yet","461","0.897482492790234","0.871131243392172","0.923833742188296"
"No","1985","Other degree","790","0.883699253478638","0.862577987241961","0.904820519715315"
"No","1985","secondary school degree","791","0.698053490115651","0.671356132204728","0.724750848026574"
"Yes","1985","college entrance qualification","323","0.453184508257039","0.416823176971351","0.489545839542727"
"Yes","1985","lower secondary degree","550","0.204933438330301","0.190053766794954","0.219813109865647"
"Yes","1985","no degree/no degree yet","48","0.102517507209766","0.0761662578117037","0.128868756607828"
"Yes","1985","Other degree","95","0.116300746521362","0.0951794802846847","0.137422012758039"
"Yes","1985","secondary school degree","345","0.301946509884349","0.275249151973426","0.328643867795272"
"No","1986","college entrance qualification","398","0.548532390132256","0.51210710578976","0.584957674474753"
"No","1986","lower secondary degree","2130","0.790432706962741","0.774933791304806","0.805931622620677"
"No","1986","no degree/no degree yet","391","0.881738073369816","0.851392472977647","0.912083673761986"
"No","1986","Other degree","740","0.895173879760731","0.874168742704771","0.916179016816692"
"No","1986","secondary school degree","747","0.695674943766445","0.66825879191394","0.72309109561895"
"Yes","1986","college entrance qualification","319","0.451467609867744","0.415042325525247","0.48789289421024"
"Yes","1986","lower secondary degree","519","0.209567293037259","0.194068377379323","0.225066208695194"
"Yes","1986","no degree/no degree yet","44","0.118261926630184","0.0879163262380141","0.148607527022354"
"Yes","1986","Other degree","77","0.104826120239269","0.0838209831833081","0.12583125729523"
"Yes","1986","secondary school degree","335","0.304325056233555","0.27690890438105","0.33174120808606"
"No","1987","college entrance qualification","416","0.552725680514989","0.516925864856147","0.588525496173832"
"No","1987","lower secondary degree","2172","0.795241986786065","0.779970236696819","0.810513736875311"
"No","1987","no degree/no degree yet","389","0.891335806602207","0.861920202611329","0.920751410593084"
"No","1987","Other degree","719","0.889307121010144","0.867579230734014","0.911035011286274"
"No","1987","secondary school degree","768","0.690020430821145","0.662874285637116","0.717166576005174"
"Yes","1987","college entrance qualification","325","0.447274319485011","0.411474503826168","0.483074135143853"
"Yes","1987","lower secondary degree","510","0.204758013213935","0.189486263124689","0.220029763303181"
"Yes","1987","no degree/no degree yet","41","0.108664193397793","0.0792485894069156","0.138079797388671"
"Yes","1987","Other degree","82","0.110692878989856","0.0889649887137257","0.132420769265986"
"Yes","1987","secondary school degree","347","0.309979569178855","0.282833423994826","0.337125714362884"
"No","1988","college entrance qualification","432","0.57213464680181","0.536582624672987","0.607686668930632"
"No","1988","lower secondary degree","2146","0.797358732387099","0.781981638666716","0.812735826107482"
"No","1988","no degree/no degree yet","355","0.917844933809679","0.890730420556069","0.94495944706329"
"No","1988","Other degree","669","0.89413830376775","0.872001347221679","0.916275260313821"
"No","1988","secondary school degree","785","0.700928040724465","0.674065903780056","0.727790177668875"
"Yes","1988","college entrance qualification","312","0.427865353198191","0.392313331069368","0.463417375327013"
"Yes","1988","lower secondary degree","479","0.202641267612901","0.187264173892519","0.218018361333284"
"Yes","1988","no degree/no degree yet","39","0.0821550661903209","0.0550405529367103","0.109269579443931"
"Yes","1988","Other degree","73","0.10586169623225","0.0837247396861789","0.127998652778321"
"Yes","1988","secondary school degree","331","0.299071959275534","0.272209822331125","0.325934096219944"
"No","1989","college entrance qualification","490","0.601810547190592","0.567931149529807","0.635689944851377"
"No","1989","lower secondary degree","2155","0.800429192544693","0.785165831662475","0.815692553426911"
"No","1989","no degree/no degree yet","350","0.89219701945018","0.861612947165111","0.92278109173525"
"No","1989","Other degree","678","0.897487058571786","0.875735457226071","0.919238659917502"
"No","1989","secondary school degree","810","0.703198601175376","0.676725364057703","0.729671838293049"
"Yes","1989","college entrance qualification","312","0.398189452809408","0.364310055148623","0.432068850470193"
"Yes","1989","lower secondary degree","479","0.199570807455307","0.184307446573089","0.214834168337525"
"Yes","1989","no degree/no degree yet","45","0.10780298054982","0.0772189082647501","0.13838705283489"
"Yes","1989","Other degree","69","0.102512941428214","0.0807613400824981","0.124264542773929"
"Yes","1989","secondary school degree","334","0.296801398824624","0.270328161706951","0.323274635942296"
"No","1990","college entrance qualification","723","0.597450076889714","0.570021101027202","0.624879052752226"
"No","1990","lower secondary degree","2877","0.78371339833533","0.770340325936175","0.797086470734486"
"No","1990","no degree/no degree yet","337","0.894473815245501","0.863460988705459","0.925486641785543"
"No","1990","Other degree","669","0.891079793375743","0.868678855060573","0.913480731690913"
"No","1990","secondary school degree","1915","0.681826833391466","0.664708869158582","0.698944797624351"
"Yes","1990","college entrance qualification","505","0.402549923110286","0.375120947247774","0.429978898972798"
"Yes","1990","lower secondary degree","764","0.21628660166467","0.202913529265514","0.229659674063825"
