"pgoeffd","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2012","66 and older","Female","56","0.867078076277045","0.785174373731664","0.948981778822426","2"
"Yes","2012","16-34 y.","Male","276","0.161978679960377","0.145139781120878","0.178817578799876","1"
"Yes","2012","16-34 y.","Female","433","0.253023178414211","0.233324145141228","0.272722211687194","1"
"Yes","2012","35-65 y.","Male","1273","0.217569418543567","0.206980266912757","0.228158570174378","1"
"Yes","2012","35-65 y.","Female","1854","0.304706860962608","0.293096049002018","0.316317672923197","1"
"Yes","2012","66 and older","Male","14","","","","1"
"Yes","2012","66 and older","Female","10","","","","1"
"No","2013","16-34 y.","Male","2044","0.85489586627709","0.840646746170611","0.869144986383569","2"
"No","2013","16-34 y.","Female","1819","0.712273673037213","0.694225925266144","0.730321420808281","2"
"No","2013","35-65 y.","Male","4793","0.775227725728731","0.764698715321737","0.785756736135724","2"
"No","2013","35-65 y.","Female","4481","0.689943103663998","0.678625792673638","0.701260414654358","2"
"No","2013","66 and older","Male","63","0.817369179953902","0.729339647595679","0.905398712312126","2"
"No","2013","66 and older","Female","64","0.79952690856534","0.711796998593612","0.887256818537069","2"
"Yes","2013","16-34 y.","Male","303","0.14510413372291","0.130855013616431","0.159353253829389","1"
"Yes","2013","16-34 y.","Female","598","0.287726326962787","0.269678579191719","0.305774074733856","1"
"Yes","2013","35-65 y.","Male","1245","0.224772274271269","0.214243263864276","0.235301284678262","1"
"Yes","2013","35-65 y.","Female","1935","0.310056896336002","0.298739585345642","0.321374207326362","1"
"Yes","2013","66 and older","Male","11","","","","1"
"Yes","2013","66 and older","Female","16","","","","1"
"No","2014","16-34 y.","Male","1733","0.832167638874166","0.815821713926551","0.848513563821781","2"
"No","2014","16-34 y.","Female","1543","0.702086031088252","0.682336577671589","0.721835484504915","2"
"No","2014","35-65 y.","Male","4202","0.770884733189462","0.75961805283716","0.782151413541765","2"
"No","2014","35-65 y.","Female","4013","0.686566440080114","0.674626955752689","0.698505924407538","2"
"No","2014","66 and older","Male","93","0.840838018721654","0.772473999614018","0.909202037829289","2"
"No","2014","66 and older","Female","71","0.79798459658578","0.713616556291348","0.882352636880212","2"
"Yes","2014","16-34 y.","Male","275","0.167832361125834","0.151486436178219","0.184178286073449","1"
"Yes","2014","16-34 y.","Female","517","0.297913968911748","0.278164515495085","0.317663422328411","1"
"Yes","2014","35-65 y.","Male","1143","0.229115266810538","0.217848586458235","0.24038194716284","1"
"Yes","2014","35-65 y.","Female","1786","0.313433559919886","0.301494075592462","0.325373044247311","1"
"Yes","2014","66 and older","Male","17","","","","1"
"Yes","2014","66 and older","Female","16","","","","1"
"No","2015","16-34 y.","Male","1795","0.847183091967154","0.831764610792875","0.862601573141433","2"
"No","2015","16-34 y.","Female","1590","0.723846384314449","0.70451128340445","0.743181485224447","2"
"No","2015","35-65 y.","Male","4160","0.781641990058401","0.770448610557793","0.792835369559008","2"
"No","2015","35-65 y.","Female","3926","0.679094971790657","0.666982417802607","0.691207525778708","2"
"No","2015","66 and older","Male","101","0.885495519527245","0.828992377332984","0.941998661721505","2"
"No","2015","66 and older","Female","67","0.773223620887319","0.683674791562193","0.862772450212445","2"
"Yes","2015","16-34 y.","Male","297","0.152816908032846","0.137398426858567","0.168235389207125","1"
"Yes","2015","16-34 y.","Female","464","0.276153615685551","0.256818514775553","0.29548871659555","1"
"Yes","2015","35-65 y.","Male","1073","0.218358009941599","0.207164630440992","0.229551389442206","1"
"Yes","2015","35-65 y.","Female","1780","0.320905028209343","0.308792474221292","0.333017582197393","1"
"Yes","2015","66 and older","Male","21","","","","1"
"Yes","2015","66 and older","Female","17","","","","1"
"No","2016","16-34 y.","Male","1700","0.814985001757646","0.798013497715368","0.831956505799925","2"
"No","2016","16-34 y.","Female","1367","0.731138488062082","0.710656317426127","0.751620658698037","2"
"No","2016","35-65 y.","Male","3888","0.780985330079043","0.769423026425468","0.792547633732618","2"
"No","2016","35-65 y.","Female","3775","0.685517827037507","0.673207760501664","0.697827893573351","2"
"No","2016","66 and older","Male","91","0.84616425318109","0.779642323544641","0.912686182817539","2"
"No","2016","66 and older","Female","83","0.8099051478776","0.733000896521299","0.8868093992339","2"
"Yes","2016","16-34 y.","Male","311","0.185014998242354","0.168043494200075","0.201986502284632","1"
"Yes","2016","16-34 y.","Female","433","0.268861511937918","0.248379341301963","0.289343682573873","1"
"Yes","2016","35-65 y.","Female","1690","0.314482172962493","0.302172106426649","0.326792239498336","1"
"Yes","2016","35-65 y.","Male","1027","0.219014669920957","0.207452366267382","0.230576973574532","1"
"Yes","2016","66 and older","Male","22","","","","1"
"Yes","2016","66 and older","Female","17","","","","1"
"No","2017","16-34 y.","Male","2140","0.828170873954657","0.813348039103104","0.842993708806211","2"
"No","2017","16-34 y.","Female","1515","0.727121029710821","0.707791495278234","0.746450564143408","2"
"No","2017","35-65 y.","Male","4411","0.78124884935335","0.770411774939795","0.792085923766904","2"
"No","2017","35-65 y.","Female","4221","0.681334797664097","0.669685508676714","0.692984086651479","2"
"No","2017","66 and older","Male","106","0.828437840466628","0.765308896630733","0.891566784302524","2"
"No","2017","66 and older","Female","103","0.85825006042029","0.795844134596103","0.920655986244477","2"
"Yes","2017","16-34 y.","Male","348","0.171829126045343","0.157006291193789","0.186651960896896","1"
"Yes","2017","16-34 y.","Female","525","0.272878970289179","0.253549435856592","0.292208504721766","1"
"Yes","2017","35-65 y.","Female","1925","0.318665202335903","0.307015913348521","0.330314491323286","1"
"Yes","2017","35-65 y.","Male","1179","0.21875115064665","0.207914076233095","0.229588225060205","1"
"Yes","2017","66 and older","Female","17","","","","1"
"Yes","2017","66 and older","Male","31","0.171562159533371","0.108433215697476","0.234691103369267","1"
"No","2018","16-34 y.","Male","2177","0.812402084315847","0.797261690788203","0.827542477843491","2"
"No","2018","16-34 y.","Female","1471","0.729057602128467","0.709401529157539","0.748713675099394","2"
"No","2018","35-65 y.","Male","4100","0.769572897760164","0.758148163580546","0.780997631939782","2"
"No","2018","35-65 y.","Female","3961","0.675643182279867","0.663591321186785","0.687695043372949","2"
"No","2018","66 and older","Male","115","0.843591622493298","0.783846830505198","0.903336414481397","2"
"No","2018","66 and older","Female","95","0.845521864493532","0.780035468347421","0.911008260639642","2"
"Yes","2018","16-34 y.","Male","377","0.187597915684153","0.17245752215651","0.202738309211797","1"
"Yes","2018","16-34 y.","Female","493","0.270942397871533","0.251286324900606","0.290598470842461","1"
"Yes","2018","35-65 y.","Male","1119","0.230427102239836","0.219002368060218","0.241851836419454","1"
"Yes","2018","35-65 y.","Female","1835","0.324356817720133","0.312304956627051","0.336408678813215","1"
"Yes","2018","66 and older","Male","27","","","","1"
"Yes","2018","66 and older","Female","22","","","","1"
"No","2019","16-34 y.","Male","2024","0.802895095631676","0.786916209160313","0.81887398210304","2"
"No","2019","16-34 y.","Female","1362","0.719275726029841","0.698766214436572","0.73978523762311","2"
"No","2019","35-65 y.","Male","3989","0.775593000865163","0.764090068092334","0.787095933637993","2"
"No","2019","35-65 y.","Female","3910","0.679612729159378","0.667484063004","0.691741395314757","2"
"No","2019","66 and older","Male","141","0.853967193883542","0.799920146176799","0.908014241590286","2"
"No","2019","66 and older","Female","113","0.739960574323266","0.668562256553795","0.811358892092737","2"
"Yes","2019","16-34 y.","Male","357","0.197104904368324","0.18112601789696","0.213083790839687","1"
"Yes","2019","16-34 y.","Female","482","0.280724273970159","0.26021476237689","0.301233785563428","1"
"Yes","2019","35-65 y.","Male","1064","0.224406999134836","0.212904066362007","0.235909931907666","1"
"Yes","2019","66 and older","Male","23","","","","1"
"Yes","2019","35-65 y.","Female","1776","0.320387270840622","0.308258604685243","0.332515936996","1"
"Yes","2019","66 and older","Female","32","0.260039425676734","0.188641107907263","0.331437743446205","1"
