"pgoeffd","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1988","16-34 y.","Female","787","0.747352019413734","0.720632923505632","0.774071115321836","2"
"No","1988","35-65 y.","Male","1629","0.731300047181077","0.712331811160592","0.750268283201562","2"
"No","1988","35-65 y.","Female","850","0.684971771098318","0.658545626669355","0.711397915527281","2"
"No","1988","66 and older","Male","17","","","","2"
"No","1988","66 and older","Female","9","","","","2"
"Yes","1988","16-34 y.","Male","219","0.192777873424554","0.17212886480061","0.213426882048498","1"
"Yes","1988","16-34 y.","Female","229","0.252647980586266","0.225928884678164","0.279367076494368","1"
"Yes","1988","35-65 y.","Male","469","0.268699952818923","0.249731716798438","0.287668188839408","1"
"Yes","1988","35-65 y.","Female","337","0.315028228901682","0.288602084472719","0.341454373330645","1"
"Yes","1988","66 and older","Male","2","","","","1"
"Yes","1988","66 and older","Female","","","","","1"
"No","1989","16-34 y.","Male","1234","0.812210867176119","0.792205469962503","0.832216264389736","2"
"No","1989","16-34 y.","Female","844","0.754835418088658","0.72929724409045","0.780373592086866","2"
"No","1989","35-65 y.","Male","1589","0.742124757103569","0.723089867936612","0.761159646270527","2"
"No","1989","35-65 y.","Female","888","0.686494468229219","0.660494310196712","0.712494626261726","2"
"No","1989","66 and older","Male","17","","","","2"
"No","1989","66 and older","Female","11","","","","2"
"Yes","1989","16-34 y.","Male","230","0.187789132823881","0.167783735610264","0.207794530037497","1"
"Yes","1989","16-34 y.","Female","246","0.245164581911342","0.219626407913134","0.270702755909549","1"
"Yes","1989","35-65 y.","Male","440","0.257875242896431","0.238840353729473","0.276910132063389","1"
"Yes","1989","35-65 y.","Female","335","0.313505531770781","0.287505373738274","0.339505689803288","1"
"Yes","1989","66 and older","Male","5","","","","1"
"Yes","1989","66 and older","Female","2","","","","1"
"No","1990","16-34 y.","Male","1701","0.795715935413273","0.778472066346406","0.81295980448014","2"
"No","1990","16-34 y.","Female","1178","0.71127972676881","0.689794699219988","0.732764754317633","2"
"No","1990","35-65 y.","Male","2318","0.745380069807405","0.729790915740993","0.760969223873817","2"
"No","1990","35-65 y.","Female","1395","0.649151111148285","0.62879302585881","0.669509196437761","2"
"No","1990","66 and older","Male","24","","","","2"
"No","1990","66 and older","Female","16","","","","2"
"Yes","1990","16-34 y.","Male","399","0.204284064586727","0.18704019551986","0.221527933653595","1"
"Yes","1990","16-34 y.","Female","531","0.288720273231189","0.267235245682367","0.310205300780012","1"
"Yes","1990","35-65 y.","Male","682","0.254619930192595","0.239030776126183","0.270209084259007","1"
"Yes","1990","35-65 y.","Female","716","0.350848888851715","0.330490803562239","0.37120697414119","1"
"Yes","1990","66 and older","Male","5","","","","1"
"Yes","1990","66 and older","Female","3","","","","1"
"No","1991","16-34 y.","Male","1684","0.792370129601255","0.774854593074204","0.809885666128305","2"
"No","1991","16-34 y.","Female","1097","0.694895359131514","0.672417772264034","0.717372945998994","2"
"No","1991","35-65 y.","Male","2272","0.754373910993219","0.738709834204407","0.770037987782031","2"
"No","1991","35-65 y.","Female","1398","0.664522300786712","0.644187278648959","0.684857322924465","2"
"No","1991","66 and older","Male","20","","","","2"
"No","1991","66 and older","Female","15","","","","2"
"Yes","1991","16-34 y.","Male","376","0.207629870398745","0.190114333871695","0.225145406925796","1"
"Yes","1991","35-65 y.","Male","629","0.245626089006781","0.229962012217969","0.261290165795593","1"
"Yes","1991","35-65 y.","Female","673","0.335477699213288","0.315142677075535","0.355812721351041","1"
"Yes","1991","66 and older","Male","4","","","","1"
"Yes","1991","16-34 y.","Female","515","0.305104640868486","0.282627054001006","0.327582227735966","1"
"Yes","1991","66 and older","Female","","","","","1"
"No","1992","16-34 y.","Male","1545","0.793348137294189","0.775132198754869","0.811564075833508","2"
"No","1992","16-34 y.","Female","950","0.658898930675171","0.634514325692587","0.683283535657756","2"
"No","1992","35-65 y.","Male","2103","0.744581346487499","0.728228621801976","0.760934071173022","2"
"No","1992","35-65 y.","Female","1248","0.646370165807402","0.624968275459164","0.66777205615564","2"
"No","1992","66 and older","Male","17","","","","2"
"No","1992","66 and older","Female","6","","","","2"
"Yes","1992","16-34 y.","Male","353","0.206651862705812","0.188435924166492","0.224867801245131","1"
"Yes","1992","35-65 y.","Male","629","0.255418653512501","0.239065928826978","0.271771378198024","1"
"Yes","1992","35-65 y.","Female","669","0.353629834192598","0.33222794384436","0.375031724540836","1"
"Yes","1992","66 and older","Male","1","","","","1"
"Yes","1992","16-34 y.","Female","502","0.341101069324829","0.316716464342244","0.365485674307413","1"
"Yes","1992","66 and older","Female","1","","","","1"
"No","1993","16-34 y.","Male","1531","0.805085848128636","0.787126679723314","0.823045016533957","2"
