"pgoeffd","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1988","(1b) general elementary school","West Germany","139","0.158806984667876","0.137227556975046","0.180386412360706"
"Yes","1988","(1b) general elementary school","East Germany","","","",""
"Yes","1988","(1c) basic vocational qualification","West Germany","389","0.208911320194806","0.191679235823387","0.226143404566224"
"Yes","1988","(1c) basic vocational qualification","East Germany","","","",""
"Yes","1988","(2b) intermediate general qualification","West Germany","63","0.291153278843362","0.233315590322714","0.348990967364009"
"Yes","1988","(2b) intermediate general qualification","East Germany","","","",""
"Yes","1988","(2a) intermediate vocational","West Germany","257","0.30442568331406","0.273232667459949","0.335618699168171"
"Yes","1988","(2a) intermediate vocational","East Germany","","","",""
"Yes","1988","(2c_gen) general maturity certificate","West Germany","34","0.321398529213157","0.242326108827677","0.400470949598638"
"Yes","1988","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","1988","(2c_voc) vocational maturity certificate","West Germany","69","0.324512291940798","0.266005694911111","0.383018888970485"
"Yes","1988","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","1988","(3a) lower tertiary education","West Germany","44","0.294354944231674","0.224603213848625","0.364106674614723"
"Yes","1988","(3a) lower tertiary education","East Germany","","","",""
"Yes","1988","(3b) higher tertiary education","West Germany","203","0.548576753781508","0.498075247130176","0.59907826043284"
"Yes","1988","(3b) higher tertiary education","East Germany","","","",""
"No","1988","(0) in school","West Germany","","","",""
"No","1988","(0) in school","East Germany","","","",""
"No","1988","(1a) inadequately completed","West Germany","355","0.915459940325828","0.887990429381194","0.942929451270462"
"No","1988","(1a) inadequately completed","East Germany","","","",""
"No","1988","(1b) general elementary school","West Germany","963","0.841193015332124","0.819613587639294","0.862772443024954"
"No","1988","(1b) general elementary school","East Germany","","","",""
"No","1988","(1c) basic vocational qualification","West Germany","1749","0.791088679805194","0.773856595433776","0.808320764176613"
"No","1988","(1c) basic vocational qualification","East Germany","","","",""
"No","1988","(2b) intermediate general qualification","West Germany","174","0.708846721156638","0.651009032635991","0.766684409677286"
"No","1988","(2b) intermediate general qualification","East Germany","","","",""
"No","1988","(2a) intermediate vocational","West Germany","579","0.69557431668594","0.664381300831829","0.726767332540051"
"No","1988","(2a) intermediate vocational","East Germany","","","",""
"No","1988","(2c_gen) general maturity certificate","West Germany","100","0.678601470786843","0.599529050401362","0.757673891172323"
"No","1988","(2c_gen) general maturity certificate","East Germany","","","",""
"No","1988","(2c_voc) vocational maturity certificate","West Germany","177","0.675487708059202","0.616981111029515","0.733994305088888"
"No","1988","(2c_voc) vocational maturity certificate","East Germany","","","",""
"No","1988","(3a) lower tertiary education","West Germany","120","0.705645055768326","0.635893325385277","0.775396786151375"
"No","1988","(3a) lower tertiary education","East Germany","","","",""
"No","1988","(3b) higher tertiary education","West Germany","170","0.451423246218492","0.40092173956716","0.501924752869824"
"No","1988","(3b) higher tertiary education","East Germany","","","",""
"Yes","1989","(0) in school","West Germany","","","",""
"Yes","1989","(0) in school","East Germany","","","",""
"Yes","1989","(1a) inadequately completed","West Germany","43","0.110381719935781","0.0792413535558395","0.141522086315723"
"Yes","1989","(1a) inadequately completed","East Germany","","","",""
"Yes","1989","(1b) general elementary school","West Germany","143","0.16552354183136","0.143767383306757","0.187279700355963"
"Yes","1989","(1b) general elementary school","East Germany","","","",""
"Yes","1989","(1c) basic vocational qualification","West Germany","384","0.201968901219605","0.18492744708006","0.219010355359151"
"Yes","1989","(1c) basic vocational qualification","East Germany","","","",""
"Yes","1989","(2b) intermediate general qualification","West Germany","60","0.274466677876013","0.217773199044508","0.331160156707517"
"Yes","1989","(2b) intermediate general qualification","East Germany","","","",""
"Yes","1989","(2a) intermediate vocational","West Germany","265","0.305403062742199","0.27469203531786","0.336114090166538"
"Yes","1989","(2a) intermediate vocational","East Germany","","","",""
"Yes","1989","(2c_gen) general maturity certificate","West Germany","43","0.321563008523435","0.248962889903699","0.394163127143172"
"Yes","1989","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","1989","(2c_voc) vocational maturity certificate","West Germany","59","0.263965094744814","0.210895275268375","0.317034914221254"
"Yes","1989","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","1989","(3a) lower tertiary education","West Germany","48","0.298453692212911","0.230070319417356","0.366837065008466"
"Yes","1989","(3a) lower tertiary education","East Germany","","","",""
"Yes","1989","(3b) higher tertiary education","West Germany","195","0.526179474797961","0.47597641596553","0.576382533630391"
"Yes","1989","(3b) higher tertiary education","East Germany","","","",""
"No","1989","(0) in school","West Germany","","","",""
"No","1989","(0) in school","East Germany","","","",""
"No","1989","(1a) inadequately completed","West Germany","346","0.889618280064219","0.858477913684277","0.920758646444161"
"No","1989","(1a) inadequately completed","East Germany","","","",""
"No","1989","(1b) general elementary school","West Germany","978","0.83447645816864","0.812720299644037","0.856232616693243"
"No","1989","(1b) general elementary school","East Germany","","","",""
"No","1989","(1c) basic vocational qualification","West Germany","1748","0.798031098780395","0.780989644640849","0.81507255291994"
"No","1989","(1c) basic vocational qualification","East Germany","","","",""
"No","1989","(2b) intermediate general qualification","West Germany","178","0.725533322123987","0.668839843292483","0.782226800955492"
"No","1989","(2b) intermediate general qualification","East Germany","","","",""
"No","1989","(2a) intermediate vocational","West Germany","599","0.694596937257801","0.663885909833462","0.72530796468214"
"No","1989","(2a) intermediate vocational","East Germany","","","",""
"No","1989","(2c_gen) general maturity certificate","West Germany","116","0.678436991476565","0.605836872856828","0.751037110096301"
"No","1989","(2c_gen) general maturity certificate","East Germany","","","",""
"No","1989","(2c_voc) vocational maturity certificate","West Germany","206","0.736034905255186","0.682965085778746","0.789104724731626"
"No","1989","(2c_voc) vocational maturity certificate","East Germany","","","",""
"No","1989","(3a) lower tertiary education","West Germany","124","0.701546307787089","0.633162934991534","0.769929680582644"
"No","1989","(3a) lower tertiary education","East Germany","","","",""
"No","1989","(3b) higher tertiary education","West Germany","185","0.473820525202039","0.423617466369609","0.52402358403447"
"No","1989","(3b) higher tertiary education","East Germany","","","",""
"Yes","1990","(0) in school","West Germany","","","",""
"Yes","1990","(0) in school","East Germany","","","",""
"Yes","1990","(1a) inadequately completed","West Germany","38","0.100701883777128","0.0701211951845421","0.131282572369715"
"Yes","1990","(1a) inadequately completed","East Germany","","","",""
"Yes","1990","(1b) general elementary school","West Germany","138","0.165905539185763","0.14353255609809","0.188278522273437"
"Yes","1990","(1b) general elementary school","East Germany","34","0.317519803630072","0.23423075457334","0.400808852686804"
"Yes","1990","(1c) basic vocational qualification","West Germany","365","0.202603779994889","0.185195976601682","0.220011583388097"
"Yes","1990","(1c) basic vocational qualification","East Germany","248","0.269150477264782","0.240962144253361","0.297338810276203"
"Yes","1990","(2b) intermediate general qualification","West Germany","61","0.290151891753731","0.229769036943608","0.350534746563854"
"Yes","1990","(2b) intermediate general qualification","East Germany","","","",""
"Yes","1990","(2a) intermediate vocational","West Germany","264","0.309236820456059","0.278347450160222","0.340126190751896"
"Yes","1990","(2a) intermediate vocational","East Germany","354","0.287797433978675","0.262382354980954","0.313212512976397"
"Yes","1990","(2c_gen) general maturity certificate","West Germany","42","0.330152288892497","0.253343301422953","0.406961276362041"
"Yes","1990","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","1990","(2c_voc) vocational maturity certificate","West Germany","67","0.275535408203476","0.221538672348374","0.329532144058579"
"Yes","1990","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","1990","(3a) lower tertiary education","West Germany","48","0.279451312704352","0.214614161874442","0.344288463534262"
"Yes","1990","(3a) lower tertiary education","East Germany","254","0.470980143511995","0.428683248668418","0.513277038355572"
"Yes","1990","(3b) higher tertiary education","West Germany","183","0.519459072586933","0.46770465368294","0.571213491490926"
"Yes","1990","(3b) higher tertiary education","East Germany","167","0.572518576799706","0.516444011999865","0.628593141599547"
"No","1990","(0) in school","West Germany","","","",""
"No","1990","(0) in school","East Germany","","","",""
"No","1990","(1a) inadequately completed","West Germany","334","0.899298116222872","0.868717427630285","0.929878804815458"
"No","1990","(1a) inadequately completed","East Germany","","","",""
"No","1990","(1b) general elementary school","West Germany","924","0.834094460814237","0.811721477726563","0.85646744390191"
"No","1990","(1b) general elementary school","East Germany","86","0.682480196369928","0.599191147313196","0.76576924542666"
"No","1990","(1c) basic vocational qualification","West Germany","1683","0.797396220005111","0.779988416611903","0.814804023398318"
"No","1990","(1c) basic vocational qualification","East Germany","703","0.730849522735218","0.702661189723797","0.759037855746639"
"No","1990","(2b) intermediate general qualification","West Germany","156","0.709848108246269","0.649465253436146","0.770230963056392"
"No","1990","(2b) intermediate general qualification","East Germany","94","0.778230741096534","0.704208834102206","0.852252648090862"
"No","1990","(2a) intermediate vocational","West Germany","596","0.690763179543941","0.659873809248104","0.721652549839778"
"No","1990","(2a) intermediate vocational","East Germany","865","0.712202566021325","0.686787487023603","0.737617645019046"
"No","1990","(2c_gen) general maturity certificate","West Germany","102","0.669847711107503","0.593038723637959","0.746656698577047"
"No","1990","(2c_gen) general maturity certificate","East Germany","","","",""
"No","1990","(2c_voc) vocational maturity certificate","West Germany","196","0.724464591796524","0.670467855941421","0.778461327651626"
"No","1990","(2c_voc) vocational maturity certificate","East Germany","54","0.824597871726084","0.734862827796058","0.91433291565611"
"No","1990","(3a) lower tertiary education","West Germany","136","0.720548687295648","0.655711536465738","0.785385838125558"
"No","1990","(3a) lower tertiary education","East Germany","281","0.529019856488005","0.486722961644428","0.571316751331582"
"No","1990","(3b) higher tertiary education","West Germany","175","0.480540927413067","0.428786508509073","0.53229534631706"
"No","1990","(3b) higher tertiary education","East Germany","132","0.427481423200294","0.371406858400453","0.483555988000135"
"Yes","1991","(0) in school","West Germany","","","",""
"Yes","1991","(0) in school","East Germany","","","",""
"Yes","1991","(1a) inadequately completed","West Germany","46","0.135351608572735","0.10117970234504","0.16952351480043"
"Yes","1991","(1a) inadequately completed","East Germany","","","",""
"Yes","1991","(1b) general elementary school","West Germany","157","0.184703175544529","0.161687070641512","0.207719280447546"
"Yes","1991","(1b) general elementary school","East Germany","","","",""
"Yes","1991","(1c) basic vocational qualification","West Germany","367","0.199520582331095","0.182407627107364","0.216633537554826"
"Yes","1991","(1c) basic vocational qualification","East Germany","173","0.26271215706064","0.230452949730691","0.29497136439059"
"Yes","1991","(2b) intermediate general qualification","West Germany","60","0.295813072291809","0.234947196444093","0.356678948139525"
"Yes","1991","(2b) intermediate general qualification","East Germany","32","0.326864797117495","0.233995901723533","0.419733692511457"
"Yes","1991","(2a) intermediate vocational","West Germany","279","0.297864468576868","0.267936882040682","0.327792055113055"
"Yes","1991","(2a) intermediate vocational","East Germany","287","0.261808939416438","0.235710684515805","0.287907194317071"
"Yes","1991","(2c_gen) general maturity certificate","West Germany","42","0.275514478252824","0.20671618694166","0.344312769563988"
"Yes","1991","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","1991","(2c_voc) vocational maturity certificate","West Germany","81","0.291783870668791","0.24034386462576","0.343223876711821"
"Yes","1991","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","1991","(3a) lower tertiary education","West Germany","49","0.267185629161303","0.204432563975691","0.329938694346914"
"Yes","1991","(3a) lower tertiary education","East Germany","226","0.453998663741803","0.409870302313922","0.498127025169684"
"Yes","1991","(3b) higher tertiary education","West Germany","191","0.520568653325525","0.470272970849209","0.570864335801841"
"Yes","1991","(3b) higher tertiary education","East Germany","136","0.514590111163449","0.454302072477426","0.574878149849472"
"No","1991","(0) in school","West Germany","","","",""
"No","1991","(0) in school","East Germany","","","",""
"No","1991","(1a) inadequately completed","West Germany","339","0.864648391427265","0.83047648519957","0.89882029765496"
"No","1991","(1a) inadequately completed","East Germany","","","",""
"No","1991","(1b) general elementary school","West Germany","935","0.815296824455471","0.792280719552454","0.838312929358488"
"No","1991","(1b) general elementary school","East Germany","50","0.690473065514199","0.582940127709303","0.798006003319095"
"No","1991","(1c) basic vocational qualification","West Germany","1728","0.800479417668905","0.783366462445174","0.817592372892636"
"No","1991","(1c) basic vocational qualification","East Germany","542","0.737287842939359","0.70502863560941","0.769547050269309"
"No","1991","(2b) intermediate general qualification","West Germany","156","0.704186927708191","0.643321051860475","0.765052803555907"
"No","1991","(2b) intermediate general qualification","East Germany","66","0.673135202882505","0.580266307488543","0.766004098276467"
"No","1991","(2a) intermediate vocational","West Germany","618","0.702135531423132","0.672207944886945","0.732063117959318"
"No","1991","(2a) intermediate vocational","East Germany","803","0.738191060583562","0.712092805682929","0.764289315484195"
"No","1991","(2c_gen) general maturity certificate","West Germany","120","0.724485521747176","0.655687230436012","0.79328381305834"
"No","1991","(2c_gen) general maturity certificate","East Germany","","","",""
"No","1991","(2c_voc) vocational maturity certificate","West Germany","219","0.708216129331209","0.656776123288179","0.75965613537424"
"No","1991","(2c_voc) vocational maturity certificate","East Germany","46","0.774177462737889","0.66657108862262","0.881783836853159"
"No","1991","(3a) lower tertiary education","West Germany","142","0.732814370838697","0.670061305653086","0.795567436024309"
"No","1991","(3a) lower tertiary education","East Germany","263","0.546001336258197","0.501872974830316","0.590129697686078"
"No","1991","(3b) higher tertiary education","West Germany","188","0.479431346674475","0.42913566419816","0.529727029150791"
"No","1991","(3b) higher tertiary education","East Germany","128","0.485409888836551","0.425121850150528","0.545697927522574"
"Yes","1992","(0) in school","West Germany","","","",""
"Yes","1992","(0) in school","East Germany","","","",""
"Yes","1992","(1a) inadequately completed","West Germany","44","0.166684845512713","0.126595243250248","0.206774447775178"
"Yes","1992","(1a) inadequately completed","East Germany","","","",""
"Yes","1992","(1b) general elementary school","West Germany","145","0.171234550433136","0.147909330471195","0.194559770395076"
"Yes","1992","(1b) general elementary school","East Germany","","","",""
"Yes","1992","(1c) basic vocational qualification","West Germany","353","0.198450982721318","0.180971653468567","0.215930311974068"
"Yes","1992","(1c) basic vocational qualification","East Germany","162","0.312641387859719","0.273722110836605","0.351560664882833"
"Yes","1992","(2b) intermediate general qualification","West Germany","59","0.265309880865459","0.205597105715833","0.325022656015085"
"Yes","1992","(2b) intermediate general qualification","East Germany","","","",""
"Yes","1992","(2a) intermediate vocational","West Germany","290","0.320684784755143","0.290072396699871","0.351297172810416"
"Yes","1992","(2a) intermediate vocational","East Germany","289","0.307173589008344","0.277776341000939","0.336570837015749"
"Yes","1992","(2c_gen) general maturity certificate","West Germany","42","0.322596529485708","0.248280952985924","0.396912105985492"
"Yes","1992","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","1992","(2c_voc) vocational maturity certificate","West Germany","91","0.35230490019084","0.297978051490018","0.406631748891663"
"Yes","1992","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","1992","(3a) lower tertiary education","West Germany","50","0.28730526449053","0.22362999474627","0.35098053423479"
"Yes","1992","(3a) lower tertiary education","East Germany","214","0.486129532834795","0.43916107564114","0.53309799002845"
"Yes","1992","(3b) higher tertiary education","West Germany","186","0.511985715913219","0.46119061700369","0.562780814822747"
"Yes","1992","(3b) higher tertiary education","East Germany","133","0.551624629013915","0.489223007280997","0.614026250746833"
"No","1992","(0) in school","West Germany","","","",""
"No","1992","(0) in school","East Germany","","","",""
