"pgoeffd","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1984","16-34 y.","West Germany","573","0.230042324205396","0.214756470263692","0.2453281781471"
"Yes","1984","16-34 y.","East Germany","","","",""
"Yes","1984","35-65 y.","West Germany","927","0.261302247262179","0.247967492752162","0.274637001772197"
"Yes","1984","35-65 y.","East Germany","","","",""
"Yes","1984","66 and older","West Germany","","","",""
"Yes","1984","66 and older","East Germany","","","",""
"No","1984","16-34 y.","West Germany","2339","0.769957675794604","0.7546718218529","0.785243529736308"
"No","1984","16-34 y.","East Germany","","","",""
"No","1984","35-65 y.","West Germany","3243","0.738697752737821","0.725362998227803","0.752032507247838"
"No","1984","35-65 y.","East Germany","","","",""
"No","1984","66 and older","West Germany","45","0.938953934477454","0.870507608018021","1.00740026093689"
"No","1984","66 and older","East Germany","","","",""
"Yes","1985","16-34 y.","West Germany","504","0.234344868043507","0.217626423173042","0.251063312913972"
"Yes","1985","16-34 y.","East Germany","","","",""
"Yes","1985","35-65 y.","West Germany","865","0.275661595607043","0.261161209548378","0.290161981665707"
"Yes","1985","35-65 y.","East Germany","","","",""
"Yes","1985","66 and older","West Germany","","","",""
"Yes","1985","66 and older","East Germany","","","",""
"No","1985","16-34 y.","West Germany","1962","0.765655131956493","0.748936687086028","0.782373576826958"
"No","1985","16-34 y.","East Germany","","","",""
"No","1985","35-65 y.","West Germany","2783","0.724338404392957","0.709838018334293","0.738838790451622"
"No","1985","35-65 y.","East Germany","","","",""
"No","1985","66 and older","West Germany","32","0.958052254417269","0.889654785250849","1.02644972358369"
"No","1985","66 and older","East Germany","","","",""
"Yes","1986","16-34 y.","West Germany","482","0.234950465848148","0.217816323719893","0.252084607976403"
"Yes","1986","16-34 y.","East Germany","","","",""
"Yes","1986","35-65 y.","West Germany","822","0.283059208663065","0.26791032581229","0.298208091513839"
"Yes","1986","35-65 y.","East Germany","","","",""
"Yes","1986","66 and older","West Germany","","","",""
"Yes","1986","66 and older","East Germany","","","",""
"No","1986","16-34 y.","West Germany","1870","0.765049534151852","0.747915392023597","0.782183676280107"
"No","1986","16-34 y.","East Germany","","","",""
"No","1986","35-65 y.","West Germany","2575","0.716940791336935","0.70179190848616","0.73208967418771"
"No","1986","35-65 y.","East Germany","","","",""
"No","1986","66 and older","West Germany","","","",""
"No","1986","66 and older","East Germany","","","",""
"Yes","1987","16-34 y.","West Germany","494","0.237410464406063","0.220520583397925","0.254300345414201"
"Yes","1987","16-34 y.","East Germany","","","",""
"Yes","1987","35-65 y.","West Germany","825","0.279984839613041","0.264879508465879","0.295090170760203"
"Yes","1987","35-65 y.","East Germany","","","",""
"Yes","1987","66 and older","West Germany","","","",""
"Yes","1987","66 and older","East Germany","","","",""
"No","1987","16-34 y.","West Germany","1944","0.762589535593937","0.745699654585799","0.779479416602075"
"No","1987","16-34 y.","East Germany","","","",""
