"pgoeffd","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1985","Employed","Rural Area","945","0.777739724525227","0.754127316711273","0.801352132339181","2"
"No","1985","Employed","Urban Area","3756","0.732585393515051","0.720141632933659","0.745029154096442","2"
"No","1985","Not Employed","Rural Area","16","","","","2"
"No","1985","Not Employed","Urban Area","60","0.781929610063684","0.68969691306207","0.874162307065299","2"
"Yes","1985","Employed","Urban Area","1104","0.267414606484949","0.254970845903558","0.279858367066341","1"
"Yes","1985","Not Employed","Urban Area","17","","","","1"
"Yes","1985","Employed","Rural Area","246","0.222260275474773","0.198647867660819","0.245872683288727","1"
"Yes","1985","Not Employed","Rural Area","3","","","","1"
"No","1986","Employed","Rural Area","889","0.764824840093523","0.740194923266653","0.789454756920393","2"
"No","1986","Employed","Urban Area","3525","0.730440753856256","0.717567305719062","0.743314201993451","2"
"No","1986","Not Employed","Rural Area","13","","","","2"
"No","1986","Not Employed","Urban Area","38","0.690780200632335","0.561374431422704","0.820185969841965","2"
"Yes","1986","Employed","Urban Area","1039","0.269559246143744","0.256685798006549","0.282432694280938","1"
"Yes","1986","Not Employed","Urban Area","11","","","","1"
"Yes","1986","Employed","Rural Area","250","0.235175159906477","0.210545243079607","0.259805076733347","1"
"Yes","1986","Not Employed","Rural Area","5","","","","1"
"No","1987","Employed","Urban Area","3541","0.732620816543329","0.719804259680055","0.745437373406603","2"
"No","1987","Not Employed","Rural Area","14","","","","2"
"No","1987","Not Employed","Urban Area","48","0.674617060875277","0.560718703274057","0.788515418476496","2"
"No","1987","Employed","Rural Area","933","0.762655987988322","0.738493275171496","0.786818700805147","2"
"Yes","1987","Employed","Urban Area","1040","0.267379183456671","0.254562626593397","0.280195740319945","1"
"Yes","1987","Not Employed","Urban Area","17","","","","1"
"Yes","1987","Employed","Rural Area","258","0.237344012011678","0.213181299194853","0.261506724828504","1"
"Yes","1987","Not Employed","Rural Area","6","","","","1"
"No","1988","Employed","Urban Area","3513","0.736208811364677","0.72335446903527","0.749063153694085","2"
"No","1988","Not Employed","Rural Area","15","","","","2"
"No","1988","Not Employed","Urban Area","60","0.775649670962995","0.681863791222107","0.869435550703884","2"
"No","1988","Employed","Rural Area","887","0.767869303043624","0.743110397370491","0.792628208716758","2"
"Yes","1988","Employed","Urban Area","1002","0.263791188635323","0.250936846305915","0.27664553096473","1"
"Yes","1988","Not Employed","Urban Area","16","","","","1"
"Yes","1988","Employed","Rural Area","230","0.232130696956376","0.207371791283242","0.256889602629509","1"
"Yes","1988","Not Employed","Rural Area","8","","","","1"
"No","1989","Employed","Urban Area","3604","0.747017279387288","0.734445098484472","0.759589460290104","2"
"No","1989","Employed","Rural Area","883","0.758287348855761","0.73330345435863","0.783271243352893","2"
"No","1989","Not Employed","Rural Area","14","","","","2"
"No","1989","Not Employed","Urban Area","82","0.763116618923435","0.679784803468078","0.846448434378791","2"
"Yes","1989","Employed","Rural Area","245","0.241712651144239","0.216728756647107","0.26669654564137","1"
"Yes","1989","Employed","Urban Area","989","0.252982720612712","0.240410539709896","0.265554901515528","1"
"Yes","1989","Not Employed","Urban Area","18","","","","1"
"Yes","1989","Not Employed","Rural Area","6","","","","1"
"No","1990","Employed","Urban Area","3465","0.745311769753591","0.732476180415853","0.758147359091328","2"
"No","1990","Not Employed","Urban Area","51","0.767490823738924","0.6670869938389","0.867894653638947","2"
"No","1990","Employed","Rural Area","880","0.754901511710111","0.729777189200612","0.78002583421961","2"
"No","1990","Not Employed","Rural Area","12","","","","2"
"Yes","1990","Not Employed","Urban Area","17","","","","1"
"Yes","1990","Employed","Rural Area","246","0.245098488289889","0.21997416578039","0.270222810799388","1"
"Yes","1990","Employed","Urban Area","961","0.254688230246409","0.241852640908671","0.267523819584147","1"
"Yes","1990","Not Employed","Rural Area","1","","","","1"
"No","1991","Employed","Urban Area","3514","0.742443744303979","0.729704060655138","0.755183427952821","2"
"No","1991","Not Employed","Urban Area","88","0.824983791628959","0.752986187327438","0.896981395930481","2"
"No","1991","Employed","Rural Area","912","0.748188151101292","0.723327463433685","0.773048838768899","2"
"No","1991","Not Employed","Rural Area","21","","","","2"
"Yes","1991","Not Employed","Urban Area","19","","","","1"
"Yes","1991","Employed","Rural Area","259","0.251811848898708","0.226951161231101","0.276672536566315","1"
"Yes","1991","Employed","Urban Area","1012","0.257556255696021","0.244816572047179","0.270295939344862","1"
"Yes","1991","Not Employed","Rural Area","4","","","","1"
"No","1992","Employed","Urban Area","3913","0.724728059845405","0.712619559704381","0.73683655998643","2"
"No","1992","Not Employed","Urban Area","58","0.71690634393914","0.613562897399813","0.820249790478467","2"
"No","1992","Employed","Rural Area","1811","0.703029269971056","0.685459258527242","0.720599281414871","2"
"No","1992","Not Employed","Rural Area","29","","","","2"
"Yes","1992","Employed","Rural Area","787","0.296970730028943","0.279400718585129","0.314540741472758","1"
"Yes","1992","Employed","Urban Area","1314","0.275271940154595","0.26316344001357","0.287380440295619","1"
"Yes","1992","Not Employed","Rural Area","17","","","","1"
"Yes","1992","Not Employed","Urban Area","15","","","","1"
"No","1993","Employed","Urban Area","3891","0.733524957578451","0.721477023868399","0.745572891288504","2"
"No","1993","Not Employed","Urban Area","88","0.740637501095184","0.660182674089821","0.821092328100547","2"
"No","1993","Employed","Rural Area","1791","0.715166455652118","0.697565730833038","0.732767180471198","2"
"No","1993","Not Employed","Rural Area","40","0.625321261722306","0.503852586261694","0.746789937182917","2"
"Yes","1993","Employed","Rural Area","735","0.284833544347882","0.267232819528802","0.302434269166962","1"
"Yes","1993","Employed","Urban Area","1282","0.266475042421549","0.254427108711496","0.278522976131601","1"
"Yes","1993","Not Employed","Rural Area","21","","","","1"
"Yes","1993","Not Employed","Urban Area","26","","","","1"
"No","1994","Employed","Rural Area","1708","0.706879064986188","0.688735780042945","0.725022349929431","2"
"No","1994","Employed","Urban Area","3625","0.728555354540956","0.716032078873392","0.741078630208519","2"
"No","1994","Not Employed","Urban Area","74","0.832979870007907","0.75676216998858","0.909197570027234","2"
"No","1994","Not Employed","Rural Area","32","0.691009230539022","0.547812608688897","0.834205852389147","2"
"Yes","1994","Employed","Rural Area","710","0.293120935013812","0.274977650070569","0.311264219957055","1"
"Yes","1994","Employed","Urban Area","1219","0.271444645459044","0.258921369791481","0.283967921126608","1"
"Yes","1994","Not Employed","Rural Area","8","","","","1"
"Yes","1994","Not Employed","Urban Area","18","","","","1"
"No","1995","Not Employed","Urban Area","98","0.807965379342391","0.736591171354959","0.879339587329823","2"
"No","1995","Employed","Rural Area","1850","0.708259160997201","0.690752919183429","0.725765402810972","2"
"No","1995","Employed","Urban Area","3842","0.732122687645989","0.719944683038487","0.744300692253491","2"
"No","1995","Not Employed","Rural Area","56","0.819822903801992","0.72978841847111","0.909857389132875","2"
"Yes","1995","Employed","Urban Area","1238","0.267877312354011","0.255699307746509","0.280055316961513","1"
"Yes","1995","Not Employed","Rural Area","14","","","","1"
"Yes","1995","Not Employed","Urban Area","19","","","","1"
"Yes","1995","Employed","Rural Area","740","0.2917408390028","0.274234597189028","0.309247080816571","1"
"No","1996","Not Employed","Urban Area","67","0.823947174515732","0.741512040375535","0.906382308655929","2"
"No","1996","Employed","Rural Area","1793","0.728804419434716","0.711275363734417","0.746333475135015","2"
"No","1996","Employed","Urban Area","3658","0.724468870252149","0.711920745973532","0.737016994530766","2"
"No","1996","Not Employed","Rural Area","33","0.6709110202122","0.530467083110373","0.811354957314027","2"
"Yes","1996","Employed","Urban Area","1212","0.275531129747851","0.262983005469234","0.288079254026468","1"
"Yes","1996","Not Employed","Rural Area","10","","","","1"
"Yes","1996","Not Employed","Urban Area","15","","","","1"
"Yes","1996","Employed","Rural Area","678","0.271195580565284","0.253666524864985","0.288724636265583","1"
"No","1997","Employed","Rural Area","1788","0.732333123290858","0.714844496046574","0.749821750535142","2"
"No","1997","Employed","Urban Area","3609","0.728655574096938","0.716080417681239","0.741230730512637","2"
"No","1997","Not Employed","Rural Area","29","","","","2"
"No","1997","Not Employed","Urban Area","67","0.912836714020355","0.849419867623783","0.976253560416926","2"
"Yes","1997","Employed","Urban Area","1194","0.271344425903062","0.258769269487363","0.283919582318761","1"
"Yes","1997","Employed","Rural Area","674","0.267666876709142","0.250178249464858","0.285155503953426","1"
"Yes","1997","Not Employed","Rural Area","14","","","","1"
"Yes","1997","Not Employed","Urban Area","9","","","","1"
"No","1998","Employed","Rural Area","1956","0.71972749402472","0.702805229097754","0.736649758951687","2"
"No","1998","Employed","Urban Area","3993","0.74097674723557","0.729155389399371","0.752798105071769","2"
"No","1998","Not Employed","Rural Area","36","0.746868344931846","0.622561679127981","0.871175010735711","2"
"No","1998","Not Employed","Urban Area","59","0.554060062298506","0.449005365642542","0.65911475895447","2"
