"pgoeffd","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","1985","16-34 y.","Urban Area","417","0.24707996118165","0.228028932838461","0.266130989524839"
"Yes","1985","16-34 y.","Rural Area","87","0.190909974801534","0.156357223813434","0.225462725789634"
"Yes","1985","35-65 y.","Urban Area","703","0.284167800843316","0.267862029571916","0.300473572114717"
"Yes","1985","35-65 y.","Rural Area","162","0.246332492118612","0.214616688512562","0.278048295724662"
"Yes","1985","66 and older","Urban Area","1","","",""
"Yes","1985","66 and older","Rural Area","","","",""
"No","1985","16-34 y.","Urban Area","1552","0.75292003881835","0.733869010475161","0.771971067161539"
"No","1985","16-34 y.","Rural Area","410","0.809090025198466","0.774537274210366","0.843642776186566"
"No","1985","35-65 y.","Urban Area","2236","0.715832199156684","0.699526427885283","0.732137970428084"
"No","1985","35-65 y.","Rural Area","547","0.753667507881388","0.721951704275338","0.785383311487438"
"No","1985","66 and older","Urban Area","28","","",""
"No","1985","66 and older","Rural Area","4","","",""
"Yes","1986","16-34 y.","Urban Area","388","0.244799729925423","0.225280545275334","0.264318914575512"
"Yes","1986","16-34 y.","Rural Area","94","0.203081749582476","0.167388958122582","0.238774541042371"
"Yes","1986","35-65 y.","Urban Area","661","0.289405932154132","0.272401104025943","0.30641076028232"
"Yes","1986","35-65 y.","Rural Area","161","0.260907902715852","0.227532219508273","0.294283585923431"
"Yes","1986","66 and older","Urban Area","1","","",""
"Yes","1986","66 and older","Rural Area","","","",""
"No","1986","16-34 y.","Urban Area","1476","0.755200270074577","0.735681085424488","0.774719454724666"
"No","1986","16-34 y.","Rural Area","394","0.796918250417524","0.761225458957629","0.832611041877418"
"No","1986","35-65 y.","Urban Area","2071","0.710594067845868","0.69358923971768","0.727598895974057"
"No","1986","35-65 y.","Rural Area","504","0.739092097284148","0.705716414076569","0.772467780491727"
"No","1986","66 and older","Urban Area","16","","",""
"No","1986","66 and older","Rural Area","4","","",""
"Yes","1987","16-34 y.","Urban Area","392","0.243856306542552","0.22462393391516","0.263088679169944"
"Yes","1987","16-34 y.","Rural Area","102","0.216797408294254","0.181482234520056","0.252112582068452"
"Yes","1987","35-65 y.","Urban Area","663","0.286896687774853","0.269870307604304","0.303923067945402"
"Yes","1987","35-65 y.","Rural Area","162","0.256310358569028","0.223567493042754","0.289053224095301"
"Yes","1987","66 and older","Urban Area","2","","",""
"Yes","1987","66 and older","Rural Area","","","",""
"No","1987","16-34 y.","Urban Area","1523","0.756143693457448","0.736911320830056","0.77537606608484"
"No","1987","16-34 y.","Rural Area","421","0.783202591705746","0.747887417931548","0.818517765479944"
"No","1987","35-65 y.","Urban Area","2048","0.713103312225147","0.696076932054598","0.730129692395696"
"No","1987","35-65 y.","Rural Area","521","0.743689641430972","0.710946775904699","0.776432506957246"
"No","1987","66 and older","Urban Area","18","","",""
"No","1987","66 and older","Rural Area","5","","",""
"Yes","1988","16-34 y.","Urban Area","360","0.225539042496235","0.206859377663343","0.244218707329127"
"Yes","1988","16-34 y.","Rural Area","88","0.196990913201643","0.161953759512912","0.232028066890374"
"Yes","1988","35-65 y.","Urban Area","657","0.291769400402316","0.274452173985891","0.309086626818742"
"Yes","1988","35-65 y.","Rural Area","149","0.263139413036617","0.228971113450258","0.297307712622976"
"Yes","1988","66 and older","Urban Area","1","","",""
"Yes","1988","66 and older","Rural Area","1","","",""
"No","1988","16-34 y.","Urban Area","1563","0.774460957503765","0.755781292670873","0.793140622336657"
"No","1988","16-34 y.","Rural Area","407","0.803009086798357","0.767971933109626","0.838046240487088"
"No","1988","35-65 y.","Urban Area","1990","0.708230599597684","0.690913373181258","0.725547826014109"
"No","1988","35-65 y.","Rural Area","489","0.736860586963383","0.702692287377024","0.771028886549742"
"No","1988","66 and older","Urban Area","20","","",""
"No","1988","66 and older","Rural Area","6","","",""
"Yes","1989","16-34 y.","Urban Area","374","0.213590781750336","0.195875335921286","0.231306227579386"
"Yes","1989","16-34 y.","Rural Area","102","0.213238587713003","0.177264661128153","0.249212514297854"
"Yes","1989","35-65 y.","Urban Area","629","0.282835238583591","0.26557004194219","0.300100435224991"
"Yes","1989","35-65 y.","Rural Area","146","0.264155698882656","0.229945097446671","0.298366300318641"
"Yes","1989","66 and older","Urban Area","4","","",""
"Yes","1989","66 and older","Rural Area","3","","",""
"No","1989","16-34 y.","Urban Area","1682","0.786409218249664","0.768693772420614","0.804124664078714"
"No","1989","16-34 y.","Rural Area","396","0.786761412286997","0.750787485702146","0.822735338871847"
"No","1989","35-65 y.","Urban Area","1985","0.717164761416409","0.699899564775008","0.73442995805781"
"No","1989","35-65 y.","Rural Area","492","0.735844301117344","0.701633699681359","0.770054902553329"
"No","1989","66 and older","Urban Area","19","","",""
"No","1989","66 and older","Rural Area","9","","",""
"Yes","1990","16-34 y.","Urban Area","550","0.23788551594261","0.220868450913753","0.254902580971468"
"Yes","1990","16-34 y.","Rural Area","370","0.250908232250869","0.227934581750077","0.273881882751661"
"Yes","1990","35-65 y.","Urban Area","859","0.293376626853732","0.277662509712444","0.30909074399502"
"Yes","1990","35-65 y.","Rural Area","530","0.29273788598943","0.272025845346379","0.313449926632481"
"Yes","1990","66 and older","Urban Area","4","","",""
"Yes","1990","66 and older","Rural Area","4","","",""
"No","1990","16-34 y.","Urban Area","1855","0.76211448405739","0.745097419028532","0.779131549086247"
"No","1990","16-34 y.","Rural Area","998","0.749091767749131","0.726118117248339","0.772065418249923"
"No","1990","35-65 y.","Urban Area","2366","0.706623373146268","0.69090925600498","0.722337490287556"
"No","1990","35-65 y.","Rural Area","1324","0.70726211401057","0.686550073367519","0.727974154653621"
"No","1990","66 and older","Urban Area","23","","",""
"No","1990","66 and older","Rural Area","17","","",""
"Yes","1991","16-34 y.","Urban Area","540","0.246632308725057","0.229311053945823","0.26395356350429"
"Yes","1991","16-34 y.","Rural Area","340","0.257854945328808","0.233729321764117","0.281980568893499"
"Yes","1991","35-65 y.","Urban Area","823","0.28150087458562","0.265981689750552","0.297020059420687"
"Yes","1991","35-65 y.","Rural Area","472","0.284850883416576","0.263483577354852","0.3062181894783"
"Yes","1991","66 and older","Urban Area","1","","",""
"Yes","1991","66 and older","Rural Area","3","","",""
"No","1991","16-34 y.","Urban Area","1839","0.753367691274943","0.73604643649571","0.770688946054177"
"No","1991","16-34 y.","Rural Area","923","0.742145054671192","0.718019431106501","0.766270678235883"
"No","1991","35-65 y.","Urban Area","2403","0.71849912541438","0.702979940579313","0.734018310249448"
"No","1991","35-65 y.","Rural Area","1242","0.715149116583424","0.6937818105217","0.736516422645148"
"No","1991","66 and older","Urban Area","22","","",""
"No","1991","66 and older","Rural Area","13","","",""
"Yes","1992","16-34 y.","Urban Area","513","0.256824832522086","0.238577325673172","0.275072339371"
"Yes","1992","16-34 y.","Rural Area","331","0.282326094062363","0.255773763744482","0.308878424380244"
"Yes","1992","35-65 y.","Urban Area","815","0.288753014999486","0.272748363723661","0.304757666275311"
"Yes","1992","35-65 y.","Rural Area","472","0.310734705487814","0.287567956117653","0.333901454857975"
"Yes","1992","66 and older","Urban Area","1","","",""
"Yes","1992","66 and older","Rural Area","1","","",""
"No","1992","16-34 y.","Urban Area","1689","0.743175167477914","0.724927660629","0.761422674326828"
"No","1992","16-34 y.","Rural Area","773","0.717673905937637","0.691121575619756","0.744226236255518"
"No","1992","35-65 y.","Urban Area","2265","0.711246985000514","0.695242333724689","0.727251636276339"
"No","1992","35-65 y.","Rural Area","1061","0.689265294512186","0.666098545142025","0.712432043882347"
"No","1992","66 and older","Urban Area","17","","",""
"No","1992","66 and older","Rural Area","6","","",""
"Yes","1993","16-34 y.","Urban Area","510","0.243149130598238","0.225328337475282","0.260969923721194"
"Yes","1993","16-34 y.","Rural Area","313","0.269383494174795","0.243249576949507","0.295517411400083"
"Yes","1993","35-65 y.","Urban Area","795","0.281235423715266","0.265260990477498","0.297209856953034"
"Yes","1993","35-65 y.","Rural Area","443","0.302535214422098","0.279061011001128","0.326009417843068"
"Yes","1993","66 and older","Urban Area","3","","",""
