"pgoeffd","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"No","1984","direct migration background","Female","651","0.786578603346921","0.75762017657582","0.815537030118023"
"No","1984","direct migration background","Male","1389","0.894951893767587","0.879502103562616","0.910401683972558"
"No","1984","indirect migration background","Female","30","0.827195465368448","0.696200458572993","0.958190472163903"
"No","1984","indirect migration background","Male","30","0.756077276890676","0.613804013998267","0.898350539783084"
"No","1984","no migration background","Female","1337","0.723421869809964","0.703049932321262","0.743793807298666"
"No","1984","no migration background","Male","2190","0.750755340601","0.735086938778678","0.766423742423322"
"Yes","1984","direct migration background","Female","118","0.213421396653079","0.184462969881977","0.24237982342418"
"Yes","1984","direct migration background","Male","124","0.105048106232413","0.0895983160274418","0.120497896437384"
"Yes","1984","indirect migration background","Female","","","",""
"Yes","1984","indirect migration background","Male","","","",""
"Yes","1984","no migration background","Female","515","0.276578130190036","0.256206192701334","0.296950067678738"
"Yes","1984","no migration background","Male","738","0.249244659399","0.233576257576678","0.264913061221322"
"No","1985","direct migration background","Female","515","0.790645416419171","0.758385770109379","0.822905062728963"
"No","1985","direct migration background","Male","1146","0.905977583862641","0.889765537200406","0.922189630524876"
"No","1985","indirect migration background","Female","","","",""
"No","1985","indirect migration background","Male","","","",""
"No","1985","no migration background","Female","1162","0.712850912535201","0.69096752306419","0.734734302006213"
"No","1985","no migration background","Male","1901","0.737746042193837","0.72079625123824","0.754695833149435"
"Yes","1985","direct migration background","Female","96","0.209354583580829","0.177094937271037","0.241614229890621"
"Yes","1985","direct migration background","Male","99","0.0940224161373589","0.0778103694751239","0.110234462799594"
"Yes","1985","indirect migration background","Female","","","",""
"Yes","1985","indirect migration background","Male","","","",""
"Yes","1985","no migration background","Female","480","0.287149087464798","0.265265697993787","0.30903247693581"
"Yes","1985","no migration background","Male","686","0.262253957806163","0.245304166850565","0.27920374876176"
"No","1986","direct migration background","Female","462","0.796686261949608","0.762866101168323","0.830506422730893"
"No","1986","direct migration background","Male","1077","0.899659262004269","0.882421124679044","0.916897399329494"
"No","1986","indirect migration background","Female","33","0.651201502406252","0.499670571089093","0.802732433723411"
"No","1986","indirect migration background","Male","30","0.672679138816372","0.523486596354077","0.821871681278667"
"No","1986","no migration background","Female","1083","0.706974791622754","0.684279367391252","0.729670215854257"
"No","1986","no migration background","Male","1780","0.732152068054235","0.714573801900765","0.749730334207704"
"Yes","1986","direct migration background","Female","82","0.203313738050392","0.169493577269107","0.237133898831677"
"Yes","1986","direct migration background","Male","90","0.100340737995731","0.0831026006705062","0.117578875320956"
"Yes","1986","indirect migration background","Female","","","",""
"Yes","1986","indirect migration background","Male","","","",""
"Yes","1986","no migration background","Female","462","0.293025208377246","0.270329784145743","0.315720632608748"
"Yes","1986","no migration background","Male","658","0.267847931945765","0.250269665792296","0.285426198099234"
"No","1987","direct migration background","Female","482","0.787261799968288","0.753811770994714","0.820711828941862"
"No","1987","direct migration background","Male","1054","0.896608290059826","0.878988098886029","0.914228481233623"
"No","1987","indirect migration background","Female","33","0.701674362034753","0.556205719570201","0.847143004499305"
"No","1987","indirect migration background","Male","33","0.753458541030437","0.623112421412858","0.883804660648017"
"No","1987","no migration background","Female","1122","0.70335945999231","0.680970816690794","0.725748103293826"
"No","1987","no migration background","Male","1812","0.736243220408087","0.718815267414621","0.753671173401552"
"Yes","1987","direct migration background","Female","93","0.212738200031712","0.179288171058138","0.246188229005286"
"Yes","1987","direct migration background","Male","93","0.103391709940174","0.0857715187663775","0.121011901113971"
"Yes","1987","indirect migration background","Female","","","",""
"Yes","1987","indirect migration background","Male","","","",""
"Yes","1987","no migration background","Female","477","0.29664054000769","0.274251896706174","0.319029183309206"
"Yes","1987","no migration background","Male","644","0.263756779591913","0.246328826598448","0.281184732585379"
"No","1988","direct migration background","Female","477","0.773979018047575","0.739822324620654","0.808135711474495"
"No","1988","direct migration background","Male","1013","0.910990579129995","0.894085789420944","0.927895368839047"
"No","1988","indirect migration background","Female","41","0.812340431535224","0.703019218420431","0.921661644650016"
"No","1988","indirect migration background","Male","57","0.870774022101445","0.788590310745629","0.95295773345726"
"No","1988","no migration background","Female","1128","0.707370909416588","0.684986688970862","0.729755129862314"
"No","1988","no migration background","Male","1759","0.741579998198107","0.723936910825621","0.759223085570594"
"Yes","1988","direct migration background","Female","99","0.226020981952426","0.191864288525505","0.260177675379346"
"Yes","1988","direct migration background","Male","77","0.0890094208700045","0.0721046311609529","0.105914210579056"
"Yes","1988","indirect migration background","Female","","","",""
"Yes","1988","indirect migration background","Male","","","",""
"Yes","1988","no migration background","Female","459","0.292629090583412","0.270244870137686","0.315013311029138"
"Yes","1988","no migration background","Male","606","0.258420001801893","0.240776914429406","0.276063089174379"
"No","1989","direct migration background","Female","488","0.721738428670881","0.685820272822249","0.757656584519514"
"No","1989","direct migration background","Male","1004","0.901172374935713","0.883390499027833","0.918954250843594"
"No","1989","indirect migration background","Female","54","0.81217901734347","0.717230245936026","0.907127788750913"
"No","1989","indirect migration background","Male","64","0.878937924503038","0.802522288767525","0.955353560238552"
"No","1989","no migration background","Female","1201","0.718404751189622","0.696787561881268","0.740021940497976"
"No","1989","no migration background","Male","1772","0.751514136228742","0.73409062615428","0.768937646303205"
"Yes","1989","direct migration background","Female","110","0.278261571329119","0.242343415480486","0.314179727177751"
"Yes","1989","direct migration background","Male","78","0.0988276250642868","0.0810457491564063","0.116609500972167"
"Yes","1989","indirect migration background","Female","","","",""
"Yes","1989","indirect migration background","Male","","","",""
"Yes","1989","no migration background","Female","462","0.281595248810378","0.259978059502024","0.303212438118732"
"Yes","1989","no migration background","Male","591","0.248485863771258","0.231062353696795","0.26590937384572"
"No","1990","direct migration background","Female","504","0.728772017472703","0.693888611095715","0.763655423849691"
"No","1990","direct migration background","Male","998","0.889373594971125","0.870743903326366","0.908003286615885"
"No","1990","indirect migration background","Female","60","0.870001936046854","0.792321725403281","0.947682146690427"
"No","1990","indirect migration background","Male","80","0.897027998292583","0.833164744527553","0.960891252057614"
"No","1990","no migration background","Female","2025","0.670741798458293","0.654312391515744","0.687171205400842"
