"pgoeffd","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"No","1984","Part Time","indirect migration background","12","","","","2"
"No","1984","Not Working","indirect migration background","6","","","","2"
"No","1984","Full Time","no migration background","2590","0.731035401063232","0.716455074454335","0.745615727672128","2"
"No","1984","Part Time","no migration background","833","0.75667453562233","0.731374840254119","0.781974230990541","2"
"No","1984","Part Time","direct migration background","323","0.790530098455268","0.749829340404061","0.831230856506475","2"
"No","1984","Not Working","direct migration background","47","0.879884226202869","0.791523514150987","0.968244938254752","2"
"No","1984","Full Time","indirect migration background","42","0.796352225987371","0.681221406770801","0.911483045203942","2"
"No","1984","Not Working","no migration background","104","0.864026938178106","0.803205280065803","0.924848596290409","2"
"No","1984","Full Time","direct migration background","1670","0.874812279551477","0.859715978650934","0.889908580452019","2"
"Yes","1984","Full Time","no migration background","963","0.268964598936768","0.254384272327872","0.283544925545665","1"
"Yes","1984","Full Time","direct migration background","176","0.125187720448523","0.110091419547981","0.140284021349066","1"
"Yes","1984","Full Time","indirect migration background","5","","","","1"
"Yes","1984","Part Time","no migration background","272","0.24332546437767","0.218025769009459","0.268625159745881","1"
"Yes","1984","Part Time","direct migration background","61","0.209469901544732","0.168769143493525","0.250170659595939","1"
"Yes","1984","Part Time","indirect migration background","","","","","1"
"Yes","1984","Not Working","no migration background","18","","","","1"
"Yes","1984","Not Working","direct migration background","5","","","","1"
"Yes","1984","Not Working","indirect migration background","2","","","","1"
"No","1985","Part Time","indirect migration background","13","","","","2"
"No","1985","Not Working","indirect migration background","1","","","","2"
"No","1985","Full Time","no migration background","2288","0.720466346671568","0.704895630477335","0.736037062865801","2"
"No","1985","Full Time","indirect migration background","39","0.726449970112879","0.594732618126814","0.858167322098945","2"
"No","1985","Part Time","no migration background","728","0.751848315114359","0.72473581837937","0.778960811849347","2"
"No","1985","Part Time","direct migration background","269","0.813842139028338","0.771262070962566","0.85642220709411","2"
"No","1985","Not Working","direct migration background","28","","","","2"
"No","1985","Not Working","no migration background","47","0.757072315930763","0.651174987478483","0.862969644383044","2"
"No","1985","Full Time","direct migration background","1364","0.879925001695783","0.863491968817841","0.896358034573726","2"
"Yes","1985","Full Time","no migration background","903","0.279533653328432","0.263962937134199","0.295104369522665","1"
"Yes","1985","Full Time","direct migration background","139","0.120074998304217","0.103641965426274","0.136508031182159","1"
"Yes","1985","Full Time","indirect migration background","5","","","","1"
"Yes","1985","Part Time","no migration background","247","0.248151684885641","0.221039188150653","0.27526418162063","1"
"Yes","1985","Part Time","direct migration background","52","0.186157860971662","0.14357779290589","0.228737929037434","1"
"Yes","1985","Part Time","indirect migration background","4","","","","1"
"Yes","1985","Not Working","no migration background","16","","","","1"
"Yes","1985","Not Working","direct migration background","4","","","","1"
"Yes","1985","Not Working","indirect migration background","","","","","1"
"No","1986","Full Time","indirect migration background","43","0.715573973778124","0.590526470797698","0.84062147675855","2"
"No","1986","Full Time","no migration background","2212","0.721469250647238","0.70563789083569","0.737300610458786","2"
"No","1986","Part Time","direct migration background","225","0.828542301504273","0.783332947813929","0.873751655194617","2"
"No","1986","Part Time","indirect migration background","19","","","","2"
"No","1986","Not Working","no migration background","31","0.701118444767295","0.565859185028284","0.836377704506306","2"
"No","1986","Not Working","direct migration background","19","","","","2"
"No","1986","Not Working","indirect migration background","1","","","","2"
"No","1986","Part Time","no migration background","620","0.72737195280364","0.697592613993478","0.757151291613803","2"
"No","1986","Full Time","direct migration background","1295","0.874375227117455","0.857149210574799","0.89160124366011","2"
"Yes","1986","Full Time","no migration background","868","0.278530749352762","0.262699389541214","0.29436210916431","1"
"Yes","1986","Full Time","direct migration background","127","0.125624772882545","0.10839875633989","0.142850789425201","1"
"Yes","1986","Full Time","indirect migration background","7","","","","1"
"Yes","1986","Part Time","no migration background","239","0.27262804719636","0.242848708386197","0.302407386006523","1"
"Yes","1986","Part Time","direct migration background","42","0.171457698495727","0.126248344805383","0.216667052186071","1"
"Yes","1986","Part Time","indirect migration background","6","","","","1"
"Yes","1986","Not Working","no migration background","13","","","","1"
"Yes","1986","Not Working","direct migration background","3","","","","1"
"Yes","1986","Not Working","indirect migration background","","","","","1"
"No","1987","Full Time","no migration background","2224","0.723106953218089","0.707294027919502","0.738919878516677","2"
"No","1987","Full Time","indirect migration background","45","0.720869578101636","0.602320363454123","0.83941879274915","2"
"No","1987","Part Time","indirect migration background","21","","","","2"
"No","1987","Part Time","direct migration background","239","0.809274655639487","0.764057705532471","0.854491605746504","2"
"No","1987","Not Working","direct migration background","19","","","","2"
"No","1987","Not Working","indirect migration background","","","","","2"
"No","1987","Part Time","no migration background","667","0.725279814864105","0.696467330226994","0.754092299501217","2"
"No","1987","Not Working","no migration background","43","0.703111669039809","0.584502194987771","0.821721143091847","2"
"No","1987","Full Time","direct migration background","1278","0.877248090896243","0.860089355684501","0.894406826107984","2"
"Yes","1987","Full Time","no migration background","852","0.276893046781911","0.261080121483323","0.292705972080498","1"
"Yes","1987","Full Time","direct migration background","127","0.122751909103757","0.105593173892016","0.139910644315499","1"
"Yes","1987","Full Time","indirect migration background","10","","","","1"
"Yes","1987","Part Time","no migration background","255","0.274720185135895","0.245907700498783","0.303532669773006","1"
"Yes","1987","Part Time","direct migration background","51","0.190725344360513","0.145508394253496","0.235942294467529","1"
"Yes","1987","Part Time","indirect migration background","3","","","","1"
"Yes","1987","Not Working","no migration background","14","","","","1"
"Yes","1987","Not Working","direct migration background","8","","","","1"
"Yes","1987","Not Working","indirect migration background","1","","","","1"
"No","1988","Full Time","no migration background","2154","0.722898245262579","0.706780147441775","0.739016343083382","2"
"No","1988","Part Time","no migration background","682","0.743258603567108","0.715092288857696","0.77142491827652","2"
"No","1988","Part Time","indirect migration background","33","0.76986937621069","0.637766730029981","0.901972022391399","2"
"No","1988","Part Time","direct migration background","266","0.758749672762106","0.711799633105367","0.805699712418845","2"
"No","1988","Not Working","no migration background","51","0.750594343209835","0.646210828356611","0.854977858063059","2"
"No","1988","Full Time","indirect migration background","61","0.898018355657634","0.82661359666249","0.969423114652778","2"
"No","1988","Not Working","direct migration background","20","","","","2"
"No","1988","Not Working","indirect migration background","4","","","","2"
"No","1988","Full Time","direct migration background","1204","0.893267607680795","0.876604169756032","0.909931045605557","2"
"Yes","1988","Full Time","no migration background","808","0.277101754737421","0.260983656916618","0.293219852558225","1"
"Yes","1988","Full Time","direct migration background","115","0.106732392319205","0.0900689543944428","0.123395830243968","1"
"Yes","1988","Full Time","indirect migration background","8","","","","1"
"Yes","1988","Part Time","no migration background","242","0.256741396432892","0.228575081723481","0.284907711142304","1"
"Yes","1988","Part Time","direct migration background","53","0.241250327237894","0.194300287581155","0.288200366894633","1"
"Yes","1988","Part Time","indirect migration background","6","","","","1"
"Yes","1988","Not Working","no migration background","15","","","","1"
"Yes","1988","Not Working","direct migration background","8","","","","1"
"Yes","1988","Not Working","indirect migration background","1","","","","1"
"No","1989","Part Time","indirect migration background","29","","","","2"
"No","1989","Full Time","no migration background","2208","0.734817107329127","0.719023640432967","0.750610574225287","2"
"No","1989","Part Time","no migration background","703","0.745624687811981","0.717901603757039","0.773347771866924","2"
"No","1989","Part Time","direct migration background","249","0.708142128117783","0.658017579893475","0.75826667634209","2"
"No","1989","Not Working","no migration background","62","0.767465298732401","0.673107893763704","0.861822703701098","2"
"No","1989","Full Time","indirect migration background","86","0.909576009941946","0.851600377319374","0.967551642564518","2"
"No","1989","Not Working","direct migration background","31","0.673055065661485","0.525831140431415","0.820278990891556","2"
"No","1989","Not Working","indirect migration background","3","","","","2"
"No","1989","Full Time","direct migration background","1212","0.873124289879236","0.85520307570742","0.891045504051052","2"
"Yes","1989","Full Time","no migration background","793","0.265182892670873","0.249389425774713","0.280976359567033","1"
"Yes","1989","Full Time","direct migration background","113","0.126875710120764","0.108954495948948","0.144796924292581","1"
"Yes","1989","Full Time","indirect migration background","8","","","","1"
"Yes","1989","Part Time","no migration background","245","0.254375312188019","0.226652228133076","0.282098396242961","1"
"Yes","1989","Part Time","direct migration background","67","0.291857871882217","0.24173332365791","0.341982420106525","1"
"Yes","1989","Part Time","indirect migration background","8","","","","1"
"Yes","1989","Not Working","no migration background","15","","","","1"
"Yes","1989","Not Working","direct migration background","8","","","","1"
"Yes","1989","Not Working","indirect migration background","1","","","","1"
"No","1990","Part Time","indirect migration background","50","0.863463958206038","0.777299346560395","0.949628569851682","2"
"No","1990","Full Time","no migration background","2133","0.732959694162007","0.716843879582865","0.74907550874115","2"
"No","1990","Part Time","no migration background","661","0.73346693012013","0.704802664958933","0.762131195281327","2"
"No","1990","Part Time","direct migration background","238","0.775007312458516","0.727356074835249","0.822658550081783","2"
"No","1990","Not Working","no migration background","37","0.784547029559423","0.668238060409949","0.900855998708898","2"
"No","1990","Not Working","direct migration background","25","","","","2"
"No","1990","Not Working","indirect migration background","1","","","","2"
"No","1990","Full Time","indirect migration background","87","0.899676941412586","0.839264002231289","0.960089880593883","2"
"No","1990","Full Time","direct migration background","1176","0.858181067726063","0.839158313163612","0.877203822288513","2"
"Yes","1990","Full Time","no migration background","762","0.267040305837992","0.25092449125885","0.283156120417135","1"
"Yes","1990","Full Time","direct migration background","116","0.141818932273937","0.122796177711487","0.160841686836388","1"
"Yes","1990","Full Time","indirect migration background","8","","","","1"
"Yes","1990","Part Time","no migration background","253","0.26653306987987","0.237868804718673","0.295197335041067","1"
"Yes","1990","Part Time","direct migration background","57","0.224992687541484","0.177341449918217","0.272643925164751","1"
"Yes","1990","Part Time","indirect migration background","11","","","","1"
"Yes","1990","Not Working","no migration background","11","","","","1"
"Yes","1990","Not Working","direct migration background","7","","","","1"
"Yes","1990","Not Working","indirect migration background","","","","","1"
"No","1991","Part Time","indirect migration background","59","0.875952643648693","0.798732049035953","0.953173238261433","2"
"No","1991","Full Time","no migration background","2122","0.726459762902865","0.710274501828503","0.742645023977227","2"
"No","1991","Full Time","indirect migration background","112","0.902423024337765","0.850402845029703","0.954443203645827","2"
"No","1991","Part Time","no migration background","712","0.724424781564018","0.696422372662399","0.752427190465638","2"
"No","1991","Part Time","direct migration background","269","0.776015627293102","0.730549190188478","0.821482064397727","2"
"No","1991","Not Working","no migration background","59","0.822375821814481","0.734701408493064","0.910050235135899","2"
"No","1991","Not Working","direct migration background","38","0.85288398967211","0.74938960556174","0.956378373782481","2"
"No","1991","Not Working","indirect migration background","12","","","","2"
"No","1991","Full Time","direct migration background","1152","0.86927968168178","0.850863053068853","0.887696310294707","2"
"Yes","1991","Part Time","direct migration background","54","0.223984372706898","0.178517935602273","0.269450809811522","1"
"Yes","1991","Part Time","indirect migration background","11","","","","1"
"Yes","1991","Not Working","no migration background","14","","","","1"
"Yes","1991","Not Working","direct migration background","7","","","","1"
"Yes","1991","Not Working","indirect migration background","2","","","","1"
"Yes","1991","Full Time","no migration background","792","0.273540237097135","0.257354976022773","0.289725498171497","1"
"Yes","1991","Full Time","direct migration background","135","0.13072031831822","0.112303689705293","0.149136946931147","1"
"Yes","1991","Full Time","indirect migration background","13","","","","1"
"Yes","1991","Part Time","no migration background","266","0.275575218435982","0.247572809534362","0.303577627337601","1"
"No","1992","Part Time","indirect migration background","49","0.778085741102808","0.677067978521151","0.879103503684465","2"
"No","1992","Full Time","no migration background","3341","0.70878725069001","0.695883482983958","0.721691018396061","2"
"No","1992","Full Time","indirect migration background","137","0.861111007073581","0.806667545956471","0.915554468190691","2"
"No","1992","Part Time","no migration background","895","0.684834417517628","0.660070353008058","0.709598482027199","2"
"No","1992","Part Time","direct migration background","230","0.743794676850382","0.693465505845917","0.794123847854846","2"
"No","1992","Not Working","no migration background","68","0.651867915034891","0.55657419022605","0.747161639843733","2"
"No","1992","Not Working","direct migration background","17","","","","2"
"No","1992","Not Working","indirect migration background","4","","","","2"
"No","1992","Full Time","direct migration background","1128","0.841632913490598","0.82162477716559","0.861641049815607","2"
"Yes","1992","Part Time","direct migration background","59","0.256205323149618","0.205876152145154","0.306534494154083","1"
"Yes","1992","Part Time","indirect migration background","16","","","","1"
"Yes","1992","Not Working","no migration background","28","","","","1"
"Yes","1992","Not Working","direct migration background","3","","","","1"
"Yes","1992","Not Working","indirect migration background","2","","","","1"
"Yes","1992","Full Time","no migration background","1421","0.29121274930999","0.278308981603939","0.304116517016042","1"
"Yes","1992","Full Time","direct migration background","151","0.158367086509402","0.138358950184393","0.17837522283441","1"
"Yes","1992","Full Time","indirect migration background","18","","","","1"
"Yes","1992","Part Time","no migration background","457","0.315165582482372","0.290401517972801","0.339929646991942","1"
"No","1993","Part Time","indirect migration background","84","0.820385990283292","0.746610748220825","0.894161232345758","2"
"No","1993","Full Time","no migration background","3246","0.714707957994428","0.701687200785562","0.727728715203293","2"
"No","1993","Full Time","direct migration background","1074","0.847262759161132","0.826968369942767","0.867557148379498","2"
"No","1993","Full Time","indirect migration background","152","0.868095473969463","0.817377297477372","0.918813650461555","2"
"No","1993","Part Time","no migration background","902","0.705779406775036","0.681131119186093","0.730427694363979","2"
"No","1993","Part Time","direct migration background","224","0.735819886331863","0.684542634336057","0.787097138327668","2"
"No","1993","Not Working","no migration background","88","0.654850568267892","0.573126288741254","0.736574847794531","2"
"No","1993","Not Working","direct migration background","29","","","","2"
"No","1993","Not Working","indirect migration background","11","","","","2"
"Yes","1993","Part Time","direct migration background","60","0.264180113668137","0.212902861672332","0.315457365663943","1"
"Yes","1993","Part Time","indirect migration background","20","","","","1"
"Yes","1993","Not Working","no migration background","42","0.345149431732108","0.263425152205469","0.426873711258746","1"
"Yes","1993","Not Working","direct migration background","3","","","","1"
"Yes","1993","Not Working","indirect migration background","2","","","","1"
"Yes","1993","Full Time","no migration background","1374","0.285292042005572","0.272271284796707","0.298312799214438","1"
"Yes","1993","Full Time","direct migration background","133","0.152737240838868","0.132442851620502","0.173031630057233","1"
"Yes","1993","Full Time","indirect migration background","19","","","","1"
"Yes","1993","Part Time","no migration background","411","0.294220593224964","0.269572305636021","0.318868880813907","1"
"No","1994","Full Time","no migration background","3074","0.705951796549114","0.692498688394339","0.71940490470389","2"
"No","1994","Part Time","indirect migration background","53","0.812187856665566","0.717962844180794","0.906412869150338","2"
"No","1994","Full Time","direct migration background","915","0.834867305120258","0.812191916459052","0.857542693781465","2"
"No","1994","Full Time","indirect migration background","173","0.788901457424762","0.732901589339533","0.84490132550999","2"
"No","1994","Part Time","no migration background","890","0.705858081258181","0.680847133170859","0.730869029345503","2"
"No","1994","Part Time","direct migration background","228","0.812241115442782","0.76658093072123","0.857901300164334","2"
"No","1994","Not Working","no migration background","75","0.809159200658367","0.72929369998745","0.889024701329284","2"
"No","1994","Not Working","direct migration background","21","","","","2"
"No","1994","Not Working","indirect migration background","10","","","","2"
"Yes","1994","Part Time","direct migration background","53","0.187758884557218","0.142098699835666","0.23341906927877","1"
"Yes","1994","Part Time","indirect migration background","13","","","","1"
"Yes","1994","Not Working","no migration background","18","","","","1"
"Yes","1994","Not Working","direct migration background","3","","","","1"
"Yes","1994","Not Working","indirect migration background","5","","","","1"
"Yes","1994","Full Time","no migration background","1332","0.294048203450886","0.28059509529611","0.307501311605661","1"
"Yes","1994","Full Time","direct migration background","115","0.165132694879742","0.142457306218535","0.187808083540948","1"
"Yes","1994","Full Time","indirect migration background","31","0.211098542575239","0.15509867449001","0.267098410660467","1"
"Yes","1994","Part Time","no migration background","385","0.294141918741819","0.269130970654497","0.319152866829141","1"
"No","1995","Full Time","no migration background","3115","0.70806142432491","0.694615268654898","0.721507579994922","2"
"No","1995","Part Time","indirect migration background","92","0.796005254446918","0.720701053207932","0.871309455685904","2"
"No","1995","Full Time","direct migration background","984","0.828301471908375","0.806225349812472","0.850377594004278","2"
"No","1995","Full Time","indirect migration background","161","0.834593883348055","0.78134130141115","0.88784646528496","2"
"No","1995","Part Time","no migration background","1022","0.713322445444636","0.690102665178585","0.736542225710687","2"
"No","1995","Part Time","direct migration background","318","0.768120404951012","0.726916205030453","0.809324604871571","2"
"No","1995","Not Working","no migration background","114","0.802951788871209","0.737296530012864","0.868607047729554","2"
"No","1995","Not Working","direct migration background","28","","","","2"
"No","1995","Not Working","indirect migration background","12","","","","2"
"Yes","1995","Part Time","direct migration background","85","0.231879595048988","0.190675395128429","0.273083794969548","1"
"Yes","1995","Part Time","indirect migration background","18","","","","1"
"Yes","1995","Not Working","no migration background","27","","","","1"
"Yes","1995","Not Working","direct migration background","5","","","","1"
"Yes","1995","Not Working","indirect migration background","1","","","","1"
"Yes","1995","Full Time","no migration background","1277","0.29193857567509","0.278492420005078","0.305384731345103","1"
"Yes","1995","Full Time","direct migration background","137","0.171698528091625","0.149622405995722","0.193774650187528","1"
"Yes","1995","Full Time","indirect migration background","26","","","","1"
"Yes","1995","Part Time","no migration background","435","0.286677554555364","0.263457774289313","0.309897334821415","1"
"No","1996","Full Time","no migration background","3033","0.70961516864289","0.695999701012251","0.723230636273528","2"
"No","1996","Part Time","indirect migration background","78","0.910834705869922","0.851628013965803","0.970041397774042","2"
"No","1996","Full Time","direct migration background","824","0.820161979481443","0.795727361250058","0.844596597712829","2"
"No","1996","Full Time","indirect migration background","180","0.856807062267463","0.808741356276182","0.904872768258744","2"
"No","1996","Part Time","no migration background","988","0.703654700770121","0.679743144581889","0.727566256958354","2"
"No","1996","Part Time","direct migration background","348","0.81775632649796","0.781183005871241","0.85432964712468","2"
"No","1996","Not Working","no migration background","68","0.757182299563456","0.667081454938774","0.847283144188138","2"
"No","1996","Not Working","direct migration background","19","","","","2"
"No","1996","Not Working","indirect migration background","13","","","","2"
"Yes","1996","Part Time","direct migration background","80","0.18224367350204","0.14567035287532","0.218816994128759","1"
"Yes","1996","Part Time","indirect migration background","11","","","","1"
"Yes","1996","Not Working","no migration background","19","","","","1"
"Yes","1996","Not Working","direct migration background","6","","","","1"
"Yes","1996","Not Working","indirect migration background","","","","","1"
"Yes","1996","Full Time","no migration background","1237","0.29038483135711","0.276769363726472","0.304000298987749","1"
"Yes","1996","Full Time","direct migration background","125","0.179838020518557","0.155403402287171","0.204272638749942","1"
"Yes","1996","Full Time","indirect migration background","24","","","","1"
"Yes","1996","Part Time","no migration background","413","0.296345299229878","0.272433743041646","0.320256855418111","1"
"No","1997","Part Time","indirect migration background","93","0.823973987968275","0.753442303582216","0.894505672354334","2"
"No","1997","Full Time","no migration background","3017","0.713582581419096","0.699957124286323","0.727208038551869","2"
"No","1997","Full Time","direct migration background","790","0.812495638729836","0.787135968550357","0.837855308909315","2"
"No","1997","Full Time","indirect migration background","190","0.794986046968749","0.741517609022603","0.848454484914895","2"
"No","1997","Part Time","no migration background","999","0.725706471990049","0.702360737937669","0.749052206042428","2"
"No","1997","Part Time","direct migration background","308","0.767111296309781","0.72526967945321","0.808952913166352","2"
"No","1997","Not Working","no migration background","61","0.821625608693121","0.738255797653495","0.904995419732747","2"
"No","1997","Not Working","direct migration background","18","","","","2"
"No","1997","Not Working","indirect migration background","17","","","","2"
"Yes","1997","Part Time","direct migration background","84","0.232888703690219","0.191047086833648","0.27473032054679","1"
"Yes","1997","Part Time","indirect migration background","19","","","","1"
"Yes","1997","Not Working","no migration background","20","","","","1"
"Yes","1997","Not Working","direct migration background","1","","","","1"
"Yes","1997","Not Working","indirect migration background","2","","","","1"
"Yes","1997","Full Time","no migration background","1212","0.286417418580904","0.272791961448131","0.300042875713677","1"
