"pgoeffd","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Yes","1986","35-65 y.","Other degree","62","0.112759068036486","0.0876587226767146","0.137859413396257"
"Yes","1986","35-65 y.","no degree/no degree yet","36","0.117202333493305","0.0829106774926079","0.151493989494002"
"Yes","1986","66 and older","lower secondary degree","1","","",""
"Yes","1986","66 and older","secondary school degree","","","",""
"Yes","1986","66 and older","college entrance qualification","","","",""
"Yes","1986","66 and older","Other degree","","","",""
"Yes","1986","66 and older","no degree/no degree yet","","","",""
"No","1986","16-34 y.","lower secondary degree","910","0.830714956580886","0.808203437710491","0.85322647545128"
"No","1986","16-34 y.","secondary school degree","432","0.703745521333358","0.667658518191268","0.739832524475448"
"No","1986","16-34 y.","college entrance qualification","220","0.66143987705196","0.610460187891401","0.712419566212519"
"No","1986","16-34 y.","Other degree","192","0.913146300086467","0.874782001527657","0.951510598645276"
"No","1986","16-34 y.","no degree/no degree yet","89","0.879905640186873","0.815214980433274","0.944596299940472"
"No","1986","35-65 y.","lower secondary degree","1213","0.76857369439328","0.747745245393587","0.789402143392974"
"No","1986","35-65 y.","secondary school degree","310","0.680843136096798","0.638336892235667","0.723349379957929"
"No","1986","35-65 y.","college entrance qualification","170","0.444994014059268","0.394895123422125","0.49509290469641"
"No","1986","35-65 y.","Other degree","548","0.887240931963514","0.862140586603743","0.912341277323285"
"No","1986","35-65 y.","no degree/no degree yet","302","0.882797666506695","0.848506010505998","0.917089322507392"
"No","1986","66 and older","lower secondary degree","7","","",""
"No","1986","66 and older","secondary school degree","5","","",""
"No","1986","66 and older","college entrance qualification","8","","",""
"No","1986","66 and older","Other degree","","","",""
"No","1986","66 and older","no degree/no degree yet","","","",""
"Yes","1987","16-34 y.","lower secondary degree","146","0.159518947819945","0.137751705061528","0.181286190578362"
"Yes","1987","16-34 y.","secondary school degree","196","0.306472301176197","0.271030243101051","0.341914359251342"
"Yes","1987","16-34 y.","college entrance qualification","116","0.342961399446048","0.293300726937547","0.392622071954548"
"Yes","1987","16-34 y.","Other degree","15","","",""
"Yes","1987","16-34 y.","no degree/no degree yet","7","","",""
"Yes","1987","35-65 y.","lower secondary degree","362","0.228290432741937","0.207613865815875","0.248966999668"
"Yes","1987","35-65 y.","secondary school degree","151","0.317784467249574","0.275326984895199","0.360241949603949"
"Yes","1987","35-65 y.","college entrance qualification","209","0.552455064873343","0.502460465131589","0.602449664615097"
"Yes","1987","35-65 y.","Other degree","67","0.120549469960589","0.0946041659540488","0.14649477396713"
"Yes","1987","35-65 y.","no degree/no degree yet","34","0.111795893655684","0.0778999004882648","0.145691886823103"
"Yes","1987","66 and older","lower secondary degree","2","","",""
"Yes","1987","66 and older","secondary school degree","","","",""
"Yes","1987","66 and older","college entrance qualification","","","",""
"Yes","1987","66 and older","Other degree","","","",""
"Yes","1987","66 and older","no degree/no degree yet","","","",""
"No","1987","16-34 y.","lower secondary degree","941","0.840481052180055","0.818713809421638","0.862248294938472"
"No","1987","16-34 y.","secondary school degree","454","0.693527698823803","0.658085640748658","0.728969756898949"
"No","1987","16-34 y.","college entrance qualification","235","0.657038600553952","0.607377928045452","0.706699273062453"
"No","1987","16-34 y.","Other degree","181","0.914048532285777","0.874808321489225","0.95328874308233"
"No","1987","16-34 y.","no degree/no degree yet","91","0.897062982719402","0.836899591084189","0.957226374354616"
"No","1987","35-65 y.","lower secondary degree","1221","0.771709567258063","0.751033000332","0.792386134184125"
"No","1987","35-65 y.","secondary school degree","311","0.682215532750426","0.639758050396052","0.724673015104801"
"No","1987","35-65 y.","college entrance qualification","171","0.447544935126657","0.397550335384903","0.497539534868411"
"No","1987","35-65 y.","Other degree","538","0.879450530039411","0.85350522603287","0.905395834045951"
"No","1987","35-65 y.","no degree/no degree yet","298","0.888204106344316","0.854308113176897","0.922100099511735"
"No","1987","66 and older","lower secondary degree","10","","",""
"No","1987","66 and older","secondary school degree","3","","",""
"No","1987","66 and older","college entrance qualification","10","","",""
"No","1987","66 and older","Other degree","","","",""
"No","1987","66 and older","no degree/no degree yet","","","",""
"Yes","1988","16-34 y.","lower secondary degree","132","0.154136113327488","0.132641190335258","0.175631036319718"
"Yes","1988","16-34 y.","secondary school degree","175","0.274808542175917","0.24035691904932","0.309260165302513"
"Yes","1988","16-34 y.","college entrance qualification","106","0.304887682134645","0.256519930400552","0.353255433868738"
"Yes","1988","16-34 y.","Other degree","10","","",""
"Yes","1988","16-34 y.","no degree/no degree yet","6","","",""
"Yes","1988","35-65 y.","lower secondary degree","346","0.228493281642346","0.20745506372438","0.249531499560312"
"Yes","1988","35-65 y.","secondary school degree","156","0.333697654011646","0.290885470277344","0.376509837745948"
"Yes","1988","35-65 y.","college entrance qualification","205","0.548191313221939","0.498414642948412","0.597967983495465"
"Yes","1988","35-65 y.","Other degree","63","0.119712563208053","0.0930628352587993","0.146362291157306"
"Yes","1988","35-65 y.","no degree/no degree yet","33","0.0977118704974501","0.0641681578774752","0.131255583117425"
"Yes","1988","66 and older","lower secondary degree","1","","",""
"Yes","1988","66 and older","secondary school degree","","","",""
"Yes","1988","66 and older","college entrance qualification","1","","",""
"Yes","1988","66 and older","Other degree","","","",""
"Yes","1988","66 and older","no degree/no degree yet","","","",""
"No","1988","16-34 y.","lower secondary degree","952","0.845863886672512","0.824368963680282","0.867358809664742"
"No","1988","16-34 y.","secondary school degree","470","0.725191457824083","0.690739834697487","0.75964308095068"
"No","1988","16-34 y.","college entrance qualification","242","0.695112317865355","0.646744566131262","0.743480069599448"
"No","1988","16-34 y.","Other degree","162","0.931935251360841","0.894296270131653","0.969574232590029"
"No","1988","16-34 y.","no degree/no degree yet","87","0.944591535248232","0.898095416697158","0.991087653799306"
