"pgoeffd","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1984","16-34 y.","(Married) couple without C. ","395","0.702288436165729","0.663828922605209","0.740747949726249","2"
"No","1984","16-34 y.","Single parent ","141","0.858835402616117","0.805545609630743","0.91212519560149","2"
"No","1984","35-65 y.","1-pers.-HH","263","0.699484242306857","0.651382814271936","0.747585670341779","2"
"No","1984","16-34 y.","1-pers.-HH","183","0.688950675546381","0.633003403794847","0.744897947297916","2"
"No","1984","16-34 y.","Couple + C. GT 16 ","394","0.80286382885321","0.767124308523987","0.838603349182433","2"
"No","1984","16-34 y.","Couple + C. LE and GT 16","346","0.878906132835938","0.846233733704691","0.911578531967184","2"
"No","1984","16-34 y.","Couple + C. LE 16 ","730","0.769283147759158","0.741743967203909","0.796822328314407","2"
"No","1984","35-65 y.","(Married) couple without C. ","601","0.722955462550297","0.692020425951456","0.753890499149139","2"
"No","1984","35-65 y.","Single parent ","119","0.705474205698887","0.635281364565264","0.77566704683251","2"
"No","1984","35-65 y.","Couple + C. LE 16 ","932","0.73781473694429","0.71268790929072","0.76294156459786","2"
"No","1984","66 and older","1-pers.-HH","12","","","","2"
"No","1984","66 and older","(Married) couple without C. ","27","","","","2"
"No","1984","35-65 y.","Couple + C. GT 16 ","602","0.762774442449472","0.732551651495521","0.792997233403424","2"
"No","1984","35-65 y.","Couple + C. LE and GT 16","542","0.750740655486456","0.718510252496906","0.782971058476006","2"
"No","1984","66 and older","Single parent ","","","","","2"
"No","1984","66 and older","Couple + C. LE 16 ","1","","","","2"
"No","1984","66 and older","Couple + C. GT 16 ","2","","","","2"
"No","1984","66 and older","Couple + C. LE and GT 16","","","","","2"
"Yes","1984","16-34 y.","1-pers.-HH","80","0.311049324453619","0.255102052702084","0.366996596205153","1"
"Yes","1984","16-34 y.","(Married) couple without C. ","148","0.297711563834271","0.259252050273751","0.336171077394791","1"
"Yes","1984","16-34 y.","Single parent ","23","","","","1"
"Yes","1984","16-34 y.","Couple + C. LE 16 ","169","0.230716852240842","0.203177671685593","0.258256032796091","1"
"Yes","1984","16-34 y.","Couple + C. GT 16 ","82","0.19713617114679","0.161396650817567","0.232875691476013","1"
"Yes","1984","16-34 y.","Couple + C. LE and GT 16","37","0.121093867164062","0.0884214680328164","0.153766266295309","1"
"Yes","1984","35-65 y.","1-pers.-HH","86","0.300515757693142","0.252414329658221","0.348617185728064","1"
"Yes","1984","35-65 y.","(Married) couple without C. ","203","0.277044537449703","0.246109500850861","0.307979574048544","1"
"Yes","1984","35-65 y.","Single parent ","43","0.294525794301113","0.22433295316749","0.364718635434736","1"
