"pgoeffd","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","1985","no migration background","Urban Area","935","0.285672813418631","0.270139779845547","0.301205846991716"
"Yes","1985","no migration background","Rural Area","231","0.227553395360248","0.201304505083814","0.253802285636683"
"Yes","1985","direct migration background","Urban Area","177","0.129117904359851","0.112858861336227","0.145376947383475"
"Yes","1985","direct migration background","Rural Area","18","","",""
"Yes","1985","indirect migration background","Urban Area","9","","",""
"Yes","1985","indirect migration background","Rural Area","","","",""
"No","1985","no migration background","Urban Area","2314","0.714327186581369","0.698794153008284","0.729860220154453"
"No","1985","no migration background","Rural Area","749","0.772446604639752","0.746197714363317","0.798695494916186"
"No","1985","direct migration background","Urban Area","1457","0.870882095640149","0.854623052616525","0.887141138663773"
"No","1985","direct migration background","Rural Area","204","0.837846667839098","0.789360616612227","0.886332719065969"
"No","1985","indirect migration background","Urban Area","45","0.6934345778646","0.570459942820781","0.81640921290842"
"No","1985","indirect migration background","Rural Area","8","","",""
"Yes","1986","no migration background","Urban Area","889","0.2896603659863","0.273572770568204","0.305747961404395"
"Yes","1986","no migration background","Rural Area","231","0.238796441196695","0.211380411355316","0.266212471038073"
"Yes","1986","direct migration background","Urban Area","150","0.128113697479179","0.111183387838808","0.14504400711955"
"Yes","1986","direct migration background","Rural Area","22","","",""
"Yes","1986","indirect migration background","Urban Area","11","","",""
"Yes","1986","indirect migration background","Rural Area","2","","",""
"No","1986","no migration background","Urban Area","2165","0.7103396340137","0.694252038595605","0.726427229431796"
"No","1986","no migration background","Rural Area","698","0.761203558803305","0.733787528961927","0.788619588644684"
"No","1986","direct migration background","Urban Area","1347","0.871886302520821","0.85495599288045","0.888816612161192"
"No","1986","direct migration background","Rural Area","192","0.822034577367047","0.770789274719974","0.87327988001412"
"No","1986","indirect migration background","Urban Area","51","0.670229440119901","0.553206787763008","0.787252092476795"
"No","1986","indirect migration background","Rural Area","12","","",""
