"pgoeffd","year","education","sex","n","percent","lower_confidence","upper_confidence"
"No","1984","college entrance qualification","Female","128","0.476360312363756","0.416114038614385","0.536606586113126"
"No","1984","college entrance qualification","Male","317","0.584320108962415","0.542675203818436","0.625965014106395"
"No","1984","lower secondary degree","Female","960","0.796552585906395","0.773699582923678","0.819405588889112"
"No","1984","lower secondary degree","Male","1724","0.813737625698518","0.797070634046479","0.830404617350556"
"No","1984","no degree/no degree yet","Female","232","0.844494246666478","0.800863089391567","0.888125403941389"
"No","1984","no degree/no degree yet","Male","376","0.910573956822078","0.882850938857138","0.938296974787017"
"No","1984","Other degree","Female","261","0.810156399683659","0.766429240293529","0.85388355907379"
"No","1984","Other degree","Male","716","0.908189511352432","0.887925044597404","0.92845397810746"
"No","1984","secondary school degree","Female","420","0.692225104270811","0.655414759016875","0.729035449524747"
"No","1984","secondary school degree","Male","445","0.712923092527041","0.677370328574732","0.748475856479351"
"Yes","1984","college entrance qualification","Female","136","0.523639687636244","0.463393413886874","0.583885961385615"
"Yes","1984","college entrance qualification","Male","221","0.415679891037584","0.374034985893605","0.457324796181564"
"Yes","1984","lower secondary degree","Female","232","0.203447414093605","0.180594411110888","0.226300417076322"
"Yes","1984","lower secondary degree","Male","372","0.186262374301482","0.169595382649444","0.202929365953521"
"Yes","1984","no degree/no degree yet","Female","33","0.155505753333522","0.111874596058611","0.199136910608433"
"Yes","1984","no degree/no degree yet","Male","31","0.0894260431779224","0.0617030252129827","0.117149061142862"
"Yes","1984","Other degree","Female","48","0.18984360031634","0.14611644092621","0.233570759706471"
"Yes","1984","Other degree","Male","64","0.0918104886475679","0.0715460218925401","0.112074955402596"
"Yes","1984","secondary school degree","Female","184","0.307774895729189","0.270964550475253","0.344585240983125"
"Yes","1984","secondary school degree","Male","177","0.287076907472959","0.251524143520649","0.322629671425268"
"No","1985","college entrance qualification","Female","109","0.453591196279217","0.390209323054351","0.516973069504084"
"No","1985","college entrance qualification","Male","288","0.592571455722059","0.548751633069063","0.636391278375055"
"No","1985","lower secondary degree","Female","796","0.780441432063465","0.754874494606922","0.806008369520009"
"No","1985","lower secondary degree","Male","1481","0.803323898764332","0.785062521194314","0.82158527633435"
"No","1985","no degree/no degree yet","Female","176","0.840786519662601","0.790455832475895","0.891117206849307"
"No","1985","no degree/no degree yet","Male","285","0.929658611161231","0.901006634058389","0.958310588264074"
"No","1985","Other degree","Female","209","0.808897243630531","0.760160305655767","0.857634181605296"
"No","1985","Other degree","Male","581","0.910231065214544","0.887997961650047","0.932464168779041"
"No","1985","secondary school degree","Female","385","0.702566483030493","0.664466551762322","0.740666414298663"
"No","1985","secondary school degree","Male","406","0.693610138358908","0.656189712541464","0.731030564176353"
"Yes","1985","college entrance qualification","Female","128","0.546408803720782","0.483026930495916","0.609790676945649"
"Yes","1985","college entrance qualification","Male","195","0.407428544277941","0.363608721624945","0.451248366930937"
"Yes","1985","lower secondary degree","Female","211","0.219558567936535","0.193991630479991","0.245125505393078"
"Yes","1985","lower secondary degree","Male","339","0.196676101235668","0.17841472366565","0.214937478805686"
"Yes","1985","no degree/no degree yet","Female","27","","",""
"Yes","1985","no degree/no degree yet","Male","21","","",""
"Yes","1985","Other degree","Female","41","0.191102756369469","0.142365818394704","0.239839694344233"
"Yes","1985","Other degree","Male","54","0.089768934785456","0.0675358312209591","0.112002038349953"
"Yes","1985","secondary school degree","Female","168","0.297433516969507","0.259333585701337","0.335533448237678"
"Yes","1985","secondary school degree","Male","177","0.306389861641092","0.268969435823647","0.343810287458536"
"No","1986","college entrance qualification","Female","115","0.469841813429831","0.406434671104944","0.533248955754717"
"No","1986","college entrance qualification","Male","283","0.586814521346613","0.542718106112041","0.630910936581184"
"No","1986","lower secondary degree","Female","727","0.767945166576181","0.740814089713496","0.795076243438866"
"No","1986","lower secondary degree","Male","1403","0.802724906040222","0.783913136435844","0.8215366756446"
"No","1986","no degree/no degree yet","Female","146","0.839257569631534","0.784045181915292","0.894469957347776"
"No","1986","no degree/no degree yet","Male","245","0.903391360510925","0.867822405709961","0.938960315311888"
"No","1986","Other degree","Female","192","0.832055153980273","0.782992045832136","0.88111826212841"
"No","1986","Other degree","Male","548","0.917005779953864","0.894820504310452","0.939191055597276"
"No","1986","secondary school degree","Female","372","0.709179353592433","0.67069697929351","0.747661727891355"
"No","1986","secondary school degree","Male","375","0.682187680236993","0.643167279247073","0.721208081226913"
"Yes","1986","college entrance qualification","Female","123","0.530158186570169","0.466751044245283","0.593565328895056"
"Yes","1986","college entrance qualification","Male","196","0.413185478653387","0.369089063418816","0.457281893887959"
"Yes","1986","lower secondary degree","Female","203","0.232054833423819","0.204923756561134","0.259185910286504"
"Yes","1986","lower secondary degree","Male","316","0.197275093959778","0.1784633243554","0.216086863564156"
"Yes","1986","no degree/no degree yet","Female","24","","",""
"Yes","1986","no degree/no degree yet","Male","20","","",""
"Yes","1986","Other degree","Female","31","0.167944846019727","0.11888173787159","0.217007954167864"
"Yes","1986","Other degree","Male","46","0.082994220046136","0.0608089444027243","0.105179495689548"
"Yes","1986","secondary school degree","Female","163","0.290820646407567","0.252338272108644","0.32930302070649"
"Yes","1986","secondary school degree","Male","172","0.317812319763007","0.278791918773087","0.356832720752927"
"No","1987","college entrance qualification","Female","122","0.469486242590231","0.408231776130638","0.530740709049825"
"No","1987","college entrance qualification","Male","294","0.596333698552167","0.552713676575476","0.639953720528859"
"No","1987","lower secondary degree","Female","753","0.77271100456271","0.74614557161901","0.79927643750641"
"No","1987","lower secondary degree","Male","1419","0.807890232946259","0.789304546890743","0.826475919001775"
"No","1987","no degree/no degree yet","Female","154","0.844780160537981","0.791433538359981","0.898126782715982"
"No","1987","no degree/no degree yet","Male","235","0.916977910434508","0.88297907062277","0.950976750246246"
"No","1987","Other degree","Female","192","0.835059831316328","0.786780952451947","0.88333871018071"
"No","1987","Other degree","Male","527","0.908981493904492","0.885450811775938","0.932512176033046"
"No","1987","secondary school degree","Female","385","0.69612359213539","0.657996484950179","0.734250699320601"
"No","1987","secondary school degree","Male","383","0.683636142491144","0.644980167299464","0.722292117682823"
"Yes","1987","college entrance qualification","Female","133","0.530513757409769","0.469259290950175","0.591768223869362"
"Yes","1987","college entrance qualification","Male","192","0.403666301447833","0.360046279471141","0.447286323424524"
"Yes","1987","lower secondary degree","Female","203","0.22728899543729","0.20072356249359","0.25385442838099"
"Yes","1987","lower secondary degree","Male","307","0.192109767053741","0.173524080998225","0.210695453109257"
"Yes","1987","no degree/no degree yet","Female","23","","",""
"Yes","1987","no degree/no degree yet","Male","18","","",""
"Yes","1987","Other degree","Female","35","0.164940168683672","0.11666128981929","0.213219047548053"
"Yes","1987","Other degree","Male","47","0.091018506095508","0.0674878239669539","0.114549188224062"
"Yes","1987","secondary school degree","Female","174","0.30387640786461","0.265749300679399","0.342003515049821"
"Yes","1987","secondary school degree","Male","173","0.316363857508856","0.277707882317177","0.355019832700536"
"No","1988","college entrance qualification","Female","137","0.51056874795742","0.450153970592015","0.570983525322826"
"No","1988","college entrance qualification","Male","295","0.60730847034185","0.563666335293322","0.650950605390377"
"No","1988","lower secondary degree","Female","765","0.774548107893066","0.748155270116657","0.800940945669476"
"No","1988","lower secondary degree","Male","1381","0.810564185604342","0.791725207934453","0.829403163274232"
"No","1988","no degree/no degree yet","Female","141","0.886376665691759","0.83765779520936","0.935095536174157"
"No","1988","no degree/no degree yet","Male","214","0.934433361602873","0.902513740478747","0.966352982726999"
"No","1988","Other degree","Female","181","0.821636538028943","0.770584388324701","0.872688687733186"
"No","1988","Other degree","Male","488","0.921822246232851","0.898880820451467","0.944763672014234"
"No","1988","secondary school degree","Female","388","0.700009240982955","0.662088878036626","0.737929603929284"
"No","1988","secondary school degree","Male","397","0.701873817422112","0.663817112758669","0.739930522085555"
"Yes","1988","college entrance qualification","Female","126","0.489431252042579","0.429016474677174","0.549846029407985"
"Yes","1988","college entrance qualification","Male","186","0.39269152965815","0.349049394609623","0.436333664706678"
"Yes","1988","lower secondary degree","Female","198","0.225451892106934","0.199059054330524","0.251844729883343"
"Yes","1988","lower secondary degree","Male","281","0.189435814395658","0.170596836725768","0.208274792065547"
"Yes","1988","no degree/no degree yet","Female","22","","",""
"Yes","1988","no degree/no degree yet","Male","17","","",""
"Yes","1988","Other degree","Female","35","0.178363461971057","0.127311312266814","0.229415611675299"
"Yes","1988","Other degree","Male","38","0.0781777537671495","0.0552363279857657","0.101119179548533"
"Yes","1988","secondary school degree","Female","173","0.299990759017045","0.262070396070716","0.337911121963374"
"Yes","1988","secondary school degree","Male","158","0.298126182577888","0.260069477914445","0.336182887241331"
"No","1989","college entrance qualification","Female","158","0.527129014793184","0.469468084952035","0.584789944634334"
"No","1989","college entrance qualification","Male","332","0.644220919935243","0.602832947872102","0.685608891998385"
"No","1989","lower secondary degree","Female","797","0.780071389123133","0.754399600315914","0.805743177930353"
"No","1989","lower secondary degree","Male","1358","0.812950451890355","0.79404302477315","0.83185787900756"
"No","1989","no degree/no degree yet","Female","138","0.823578653122056","0.765592786221479","0.881564520022632"
"No","1989","no degree/no degree yet","Male","212","0.929223492795383","0.896008435669245","0.962438549921521"
"No","1989","Other degree","Female","201","0.864679809070263","0.820758114207559","0.908601503932967"
"No","1989","Other degree","Male","477","0.912029503843695","0.887542283106742","0.936516724580649"
"No","1989","secondary school degree","Female","408","0.697493321022369","0.660365715719722","0.734620926325017"
"No","1989","secondary school degree","Male","402","0.709466757067447","0.671729125814609","0.747204388320284"
"Yes","1989","college entrance qualification","Female","130","0.472870985206816","0.415210055365666","0.530531915047965"
"Yes","1989","college entrance qualification","Male","182","0.355779080064757","0.314391108001615","0.397167052127898"
"Yes","1989","lower secondary degree","Female","203","0.219928610876867","0.194256822069647","0.245600399684086"
"Yes","1989","lower secondary degree","Male","276","0.187049548109645","0.16814212099244","0.20595697522685"
"Yes","1989","no degree/no degree yet","Female","28","","",""
"Yes","1989","no degree/no degree yet","Male","17","","",""
"Yes","1989","Other degree","Female","32","0.135320190929737","0.0913984960670331","0.179241885792441"
"Yes","1989","Other degree","Male","37","0.0879704961563048","0.0634832754193513","0.112457716893258"
"Yes","1989","secondary school degree","Female","180","0.302506678977631","0.265379073674983","0.339634284280278"
"Yes","1989","secondary school degree","Male","154","0.290533242932553","0.252795611679716","0.328270874185391"
"No","1990","college entrance qualification","Female","235","0.517427199721064","0.471812620237718","0.56304177920441"
"No","1990","college entrance qualification","Male","488","0.642556815378773","0.608640420216749","0.676473210540798"
"No","1990","lower secondary degree","Female","1113","0.745434443996168","0.723308322604304","0.767560565388033"
"No","1990","lower secondary degree","Male","1764","0.809057362525467","0.792451246297072","0.825663478753862"
"No","1990","no degree/no degree yet","Female","133","0.834101033069087","0.775913568325952","0.892288497812222"
"No","1990","no degree/no degree yet","Male","204","0.927055809034006","0.892693285814138","0.961418332253874"
"No","1990","Other degree","Female","197","0.819628689352998","0.770573563321808","0.868683815384188"
"No","1990","Other degree","Male","472","0.923726044157086","0.900621157564827","0.946830930749346"
"No","1990","secondary school degree","Female","866","0.634021363944209","0.609150211251995","0.658892516636424"
"No","1990","secondary school degree","Male","1049","0.730639355247896","0.707426003209938","0.753852707285854"
"Yes","1990","college entrance qualification","Female","226","0.482572800278936","0.43695822079559","0.528187379762282"
"Yes","1990","college entrance qualification","Male","279","0.357443184621227","0.323526789459202","0.391359579783251"
"Yes","1990","lower secondary degree","Female","376","0.254565556003832","0.232439434611967","0.276691677395696"
"Yes","1990","lower secondary degree","Male","388","0.190942637474533","0.174336521246138","0.207548753702928"
"Yes","1990","no degree/no degree yet","Female","24","","",""
"Yes","1990","no degree/no degree yet","Male","16","","",""
"Yes","1990","Other degree","Female","39","0.180371310647002","0.131316184615812","0.229426436678192"
"Yes","1990","Other degree","Male","35","0.0762739558429136","0.0531690692506536","0.0993788424351736"
"Yes","1990","secondary school degree","Female","575","0.365978636055791","0.341107483363576","0.390849788748005"
"Yes","1990","secondary school degree","Male","354","0.269360644752104","0.246147292714146","0.292573996790062"
"No","1991","college entrance qualification","Female","242","0.525608347379976","0.480124494961603","0.571092199798349"
"No","1991","college entrance qualification","Male","517","0.653247546586591","0.619953856884143","0.686541236289039"
"No","1991","lower secondary degree","Female","1041","0.750114770869256","0.72718910497782","0.773040436760692"
"No","1991","lower secondary degree","Male","1690","0.809952265084589","0.792960277740755","0.826944252428424"
"No","1991","no degree/no degree yet","Female","140","0.770094465526218","0.706656177723286","0.83353275332915"
"No","1991","no degree/no degree yet","Male","204","0.920561013005684","0.884988484055174","0.956133541956193"
"No","1991","Other degree","Female","207","0.797010722360905","0.747151360269134","0.846870084452677"
"No","1991","Other degree","Male","458","0.910207355438137","0.884997220619664","0.93541749025661"
"No","1991","secondary school degree","Female","824","0.642206320356683","0.616851155280239","0.667561485433126"
"No","1991","secondary school degree","Male","1025","0.746402865774105","0.723073459740994","0.769732271807215"
"Yes","1991","college entrance qualification","Female","221","0.474391652620024","0.428907800201651","0.519875505038397"
"Yes","1991","college entrance qualification","Male","268","0.346752453413409","0.313458763710961","0.380046143115857"
"Yes","1991","lower secondary degree","Female","329","0.249885229130744","0.226959563239308","0.27281089502218"
"Yes","1991","lower secondary degree","Male","358","0.190047734915411","0.173055747571576","0.207039722259246"
"Yes","1991","no degree/no degree yet","Female","29","","",""
"Yes","1991","no degree/no degree yet","Male","18","","",""
"Yes","1991","Other degree","Female","43","0.202989277639095","0.153129915547323","0.252848639730866"
"Yes","1991","Other degree","Male","36","0.0897926445618632","0.0645825097433901","0.115002779380336"
"Yes","1991","secondary school degree","Female","549","0.357793679643317","0.332438514566874","0.383148844719761"
"Yes","1991","secondary school degree","Male","311","0.253597134225895","0.230267728192784","0.276926540259006"
"No","1992","college entrance qualification","Female","207","0.443166132562963","0.396697281623281","0.489634983502644"
"No","1992","college entrance qualification","Male","496","0.650467016994257","0.616522454944557","0.684411579043957"
