"pgoeffd","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"No","1984","Employed","5470","0.750741436437108","0.740569124276211","0.760913748598005","2"
"No","1984","Not Employed","157","0.858892409298344","0.808314954845495","0.909469863751194","2"
"Yes","1984","Employed","1477","0.249258563562892","0.239086251401995","0.259430875723789","1"
"Yes","1984","Not Employed","25","","","","1"
"No","1985","Employed","4701","0.742715281422842","0.731701088216861","0.753729474628823","2"
"No","1985","Not Employed","76","0.774033897164213","0.690374619139817","0.857693175188608","2"
"Yes","1985","Employed","1350","0.257284718577158","0.246270525371177","0.268298911783139","1"
"Yes","1985","Not Employed","20","","","","1"
"No","1986","Employed","4414","0.738228384156029","0.726819240413091","0.749637527898967","2"
"No","1986","Not Employed","51","0.709879830395308","0.601214233615563","0.818545427175052","2"
"Yes","1986","Employed","1289","0.261771615843971","0.250362472101033","0.273180759586909","1"
"Yes","1986","Not Employed","16","","","","1"
"No","1987","Employed","4474","0.739541820312466","0.728219503592454","0.750864137032477","2"
"No","1987","Not Employed","62","0.678603589827213","0.579322344665688","0.777884834988738","2"
"Yes","1987","Employed","1298","0.260458179687534","0.249135862967523","0.271780496407546","1"
"Yes","1987","Not Employed","23","","","","1"
"No","1988","Employed","4400","0.743157625596053","0.731747496049721","0.754567755142385","2"
"No","1988","Not Employed","75","0.74990465169181","0.664597326568124","0.835211976815496","2"
"Yes","1988","Employed","1232","0.256842374403947","0.245432244857615","0.268252503950279","1"
"Yes","1988","Not Employed","24","","","","1"
"No","1989","Employed","4487","0.74945283086206","0.73822414274095","0.760681518983169","2"
"No","1989","Not Employed","96","0.752260338401132","0.67502086209937","0.829499814702894","2"
"Yes","1989","Employed","1234","0.25054716913794","0.239318481016831","0.261775857259049","1"
"Yes","1989","Not Employed","24","","","","1"
"No","1990","Employed","4345","0.747396117868196","0.735966839997215","0.758825395739176","2"
"No","1990","Not Employed","63","0.809920723190981","0.724474234103156","0.895367212278805","2"
"Yes","1990","Employed","1207","0.252603882131804","0.241174604260824","0.264033160002785","1"
"Yes","1990","Not Employed","18","","","","1"
"No","1991","Employed","4426","0.743746178309837","0.732409846987073","0.7550825096326","2"
"No","1991","Not Employed","109","0.827400486740327","0.762933288695607","0.891867684785047","2"
"Yes","1991","Employed","1271","0.256253821690163","0.2449174903674","0.267590153012927","1"
"Yes","1991","Not Employed","23","","","","1"
"No","1992","Employed","5780","0.718456770553224","0.7085404069377","0.728373134168747","2"
"No","1992","Not Employed","89","0.673254457062225","0.590027765591209","0.756481148533241","2"
"Yes","1992","Employed","2122","0.281543229446776","0.271626865831252","0.291459593062299","1"
"Yes","1992","Not Employed","33","0.326745542937775","0.243518851466759","0.409972234408791","1"
"No","1993","Employed","5682","0.72817419855391","0.718236314785048","0.738112082322771","2"
"No","1993","Not Employed","128","0.703281264429863","0.635600372184368","0.770962156675358","2"
"Yes","1993","Employed","2017","0.27182580144609","0.261887917677229","0.281763685214952","1"
"Yes","1993","Not Employed","47","0.296718735570137","0.229037843324642","0.364399627815632","1"
"No","1994","Employed","5333","0.722213784157005","0.711912100699045","0.732515467614965","2"
"No","1994","Not Employed","106","0.793914432323011","0.724910830046075","0.862918034599947","2"
"Yes","1994","Employed","1929","0.277786215842995","0.267484532385035","0.288087899300955","1"
"Yes","1994","Not Employed","26","","","","1"
"No","1995","Employed","5692","0.724954175523178","0.714960891865423","0.734947459180933","2"
"No","1995","Not Employed","154","0.812199639212862","0.756222990366795","0.86817628805893","2"
"Yes","1995","Employed","1978","0.275045824476822","0.265052540819067","0.285039108134577","1"
"Yes","1995","Not Employed","33","0.187800360787138","0.13182371194107","0.243777009633205","1"
"No","1996","Employed","5451","0.72572860481586","0.715522785918716","0.735934423713005","2"
"No","1996","Not Employed","100","0.763655789709596","0.689180124183406","0.838131455235785","2"
"Yes","1996","Employed","1890","0.27427139518414","0.264065576286995","0.284477214081284","1"
"Yes","1996","Not Employed","25","","","","1"
"No","1997","Employed","5397","0.729718299806496","0.719506172466861","0.739930427146132","2"
"No","1997","Not Employed","96","0.856404852435431","0.793398541495097","0.919411163375766","2"
"Yes","1997","Employed","1868","0.270281700193504","0.260069572853869","0.280493827533139","1"
"Yes","1997","Not Employed","23","","","","1"
"No","1998","Employed","5949","0.734842262167939","0.725158559535732","0.744525964800146","2"
"No","1998","Not Employed","95","0.61772468668348","0.535138412081203","0.700310961285758","2"
"Yes","1998","Employed","2033","0.265157737832061","0.255474035199854","0.274841440464268","1"
"Yes","1998","Not Employed","38","0.38227531331652","0.299689038714242","0.464861587918797","1"
"No","1999","Employed","5525","0.738531391024748","0.72850638259775","0.748556399451745","2"
"No","1999","Not Employed","82","0.72450225800632","0.638222608503774","0.810781907508865","2"
"Yes","1999","Employed","1856","0.261468608975252","0.251443600548255","0.271493617402249","1"
"Yes","1999","Not Employed","21","","","","1"
"No","2000","Employed","10271","0.762724381684471","0.755559896480275","0.769888866888667","2"
"No","2000","Not Employed","209","0.817660047698064","0.77108284151068","0.864237253885447","2"
"Yes","2000","Employed","3273","0.237275618315529","0.230111133111333","0.244440103519725","1"
"Yes","2000","Not Employed","55","0.182339952301936","0.135762746114553","0.22891715848932","1"
"No","2001","Employed","8819","0.760742473087373","0.753002720317524","0.768482225857221","2"
"No","2001","Not Employed","154","0.843150102950187","0.791304520647427","0.894995685252946","2"
"Yes","2001","Employed","2853","0.239257526912627","0.231517774142779","0.246997279682476","1"
"Yes","2001","Not Employed","35","0.156849897049813","0.105004314747054","0.208695479352573","1"
