"pgoeffd","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1996","indirect migration background","West Germany","34","0.124206972765978","0.0866339647110028","0.161779980820953"
"Yes","1996","indirect migration background","East Germany","1","","",""
"No","1996","no migration background","West Germany","2705","0.714469831501725","0.699998311541473","0.728941351461977"
"No","1996","no migration background","East Germany","1384","0.686724606367987","0.666477765296732","0.706971447439242"
"No","1996","direct migration background","West Germany","1158","0.825024736882382","0.804764606808913","0.84528486695585"
"No","1996","direct migration background","East Germany","33","0.667521643205516","0.538227941833425","0.796815344577606"
"No","1996","indirect migration background","West Germany","262","0.875793027234022","0.838220019179047","0.913366035288997"
"No","1996","indirect migration background","East Germany","9","","",""
"Yes","1997","no migration background","West Germany","1015","0.27509660300018","0.260730903141977","0.289462302858383"
"Yes","1997","no migration background","East Germany","621","0.308360647600439","0.288126082760749","0.328595212440128"
"Yes","1997","direct migration background","West Germany","190","0.190168872146644","0.168645040287464","0.211692704005824"
"Yes","1997","direct migration background","East Germany","15","","",""
"Yes","1997","indirect migration background","West Germany","46","0.192931858457208","0.150926439769477","0.234937277144939"
"Yes","1997","indirect migration background","East Germany","4","","",""
"No","1997","no migration background","West Germany","2697","0.72490339699982","0.710537697141617","0.739269096858023"
"No","1997","no migration background","East Germany","1380","0.691639352399561","0.671404787559872","0.711873917239251"
"No","1997","direct migration background","West Germany","1087","0.809831127853356","0.788307295994176","0.831354959712536"
"No","1997","direct migration background","East Germany","29","","",""
"No","1997","indirect migration background","West Germany","293","0.807068141542792","0.765062722855061","0.849073560230523"
"No","1997","indirect migration background","East Germany","7","","",""
"Yes","1998","no migration background","West Germany","1179","0.273398898815919","0.260196385360882","0.286601412270956"
"Yes","1998","no migration background","East Germany","640","0.31154073499588","0.291775301412198","0.331306168579561"
"Yes","1998","direct migration background","West Germany","182","0.187497576798361","0.165746868537204","0.209248285059518"
"Yes","1998","direct migration background","East Germany","12","","",""
"Yes","1998","indirect migration background","West Germany","53","0.207967862665374","0.165017132907905","0.250918592422842"
"Yes","1998","indirect migration background","East Germany","5","","",""
"No","1998","no migration background","West Germany","3199","0.726601101184081","0.713398587729044","0.739803614639118"
"No","1998","no migration background","East Germany","1469","0.68845926500412","0.668693831420439","0.708224698587802"
"No","1998","direct migration background","West Germany","1055","0.812502423201639","0.790751714940482","0.834253131462796"
"No","1998","direct migration background","East Germany","23","","",""
"No","1998","indirect migration background","West Germany","290","0.792032137334626","0.749081407577158","0.834982867092095"
"No","1998","indirect migration background","East Germany","8","","",""
"Yes","1999","no migration background","West Germany","1061","0.267137059189224","0.253499992372601","0.280774126005847"
"Yes","1999","no migration background","East Germany","600","0.306014038356672","0.285797171995177","0.326230904718168"
"Yes","1999","direct migration background","West Germany","153","0.184742728383542","0.161510989617603","0.207974467149481"
"Yes","1999","direct migration background","East Germany","16","","",""
"Yes","1999","indirect migration background","West Germany","43","0.186899641789617","0.144647325183786","0.229151958395448"
"Yes","1999","indirect migration background","East Germany","4","","",""
"No","1999","no migration background","West Germany","2983","0.732862940810776","0.719225873994153","0.746500007627399"
"No","1999","no migration background","East Germany","1396","0.693985961643328","0.673769095281832","0.714202828004823"
"No","1999","direct migration background","West Germany","919","0.815257271616458","0.792025532850519","0.838489010382397"
"No","1999","direct migration background","East Germany","18","","",""
"No","1999","indirect migration background","West Germany","284","0.813100358210383","0.770848041604552","0.855352674816214"
"No","1999","indirect migration background","East Germany","7","","",""
"Yes","2000","no migration background","West Germany","2110","0.245095497350477","0.235875460568204","0.254315534132749"
"Yes","2000","no migration background","East Germany","861","0.266184995336664","0.25074366197898","0.281626328694348"
"Yes","2000","direct migration background","West Germany","277","0.170702502391437","0.15311461092618","0.188290393856694"
"Yes","2000","direct migration background","East Germany","11","","",""
"Yes","2000","indirect migration background","West Germany","65","0.131142868435105","0.10110122092415","0.16118451594606"
"Yes","2000","indirect migration background","East Germany","5","","",""
"No","2000","no migration background","West Germany","6251","0.754904502649523","0.745684465867251","0.764124539431796"
"No","2000","no migration background","East Germany","2286","0.733815004663336","0.718373671305652","0.74925633802102"
"No","2000","direct migration background","West Germany","1481","0.829297497608563","0.811709606143306","0.84688538907382"
"No","2000","direct migration background","East Germany","35","0.740434428667229","0.613746270870859","0.8671225864636"
"No","2000","indirect migration background","West Germany","420","0.868857131564895","0.83881548405394","0.89889877907585"
"No","2000","indirect migration background","East Germany","8","","",""
"Yes","2001","no migration background","West Germany","1819","0.245882670446643","0.235895280757546","0.25587006013574"
"Yes","2001","no migration background","East Germany","769","0.271469909464596","0.254902689278387","0.288037129650805"
"Yes","2001","direct migration background","West Germany","229","0.163151659692541","0.144383578664749","0.181919740720333"
"Yes","2001","direct migration background","East Germany","8","","",""
"Yes","2001","indirect migration background","West Germany","61","0.173225109152863","0.137075292058919","0.209374926246807"
"Yes","2001","indirect migration background","East Germany","2","","",""
"No","2001","no migration background","West Germany","5322","0.754117329553357","0.74412993986426","0.764104719242454"
"No","2001","no migration background","East Germany","1999","0.728530090535404","0.711962870349195","0.745097310721613"
"No","2001","direct migration background","West Germany","1260","0.836848340307459","0.818080259279667","0.855616421335251"
"No","2001","direct migration background","East Germany","24","","",""
"No","2001","indirect migration background","West Germany","360","0.826774890847137","0.790625073753193","0.862924707941081"
"No","2001","indirect migration background","East Germany","8","","",""
"Yes","2002","no migration background","West Germany","2294","0.248792178777568","0.239585461688276","0.25799889586686"
"Yes","2002","no migration background","East Germany","805","0.255498099971457","0.239597045977742","0.271399153965171"
"Yes","2002","direct migration background","West Germany","234","0.145484085974132","0.127635036343749","0.163333135604515"
"Yes","2002","direct migration background","East Germany","8","","",""
"Yes","2002","indirect migration background","West Germany","71","0.184998170785301","0.149514202367218","0.220482139203384"
"Yes","2002","indirect migration background","East Germany","4","","",""
"No","2002","no migration background","West Germany","6176","0.751207821222432","0.74200110413314","0.760414538311724"
"No","2002","no migration background","East Germany","2085","0.744501900028543","0.728600846034829","0.760402954022258"
"No","2002","direct migration background","West Germany","1265","0.854515914025868","0.836666864395485","0.872364963656251"
"No","2002","direct migration background","East Germany","20","","",""
"No","2002","indirect migration background","West Germany","389","0.815001829214699","0.779517860796616","0.850485797632782"
"No","2002","indirect migration background","East Germany","11","","",""
"Yes","2003","no migration background","West Germany","2075","0.260368235944663","0.250449191735127","0.270287280154199"
"Yes","2003","no migration background","East Germany","753","0.270840096061053","0.253675746782632","0.288004445339475"
"Yes","2003","direct migration background","West Germany","203","0.159296936444806","0.139241235478055","0.179352637411558"
"Yes","2003","direct migration background","East Germany","6","","",""
"Yes","2003","indirect migration background","West Germany","69","0.223106179515671","0.183289954781368","0.262922404249974"
"Yes","2003","indirect migration background","East Germany","4","","",""
"No","2003","no migration background","West Germany","5444","0.739631764055337","0.729712719845801","0.749550808264873"
"No","2003","no migration background","East Germany","1822","0.729159903938947","0.711995554660525","0.746324253217369"
"No","2003","direct migration background","West Germany","1076","0.840703063555194","0.820647362588442","0.860758764521945"
"No","2003","direct migration background","East Germany","17","","",""
"No","2003","indirect migration background","West Germany","351","0.776893820484329","0.737077595750026","0.816710045218633"
"No","2003","indirect migration background","East Germany","7","","",""
"Yes","2004","no migration background","West Germany","2079","0.250435022679306","0.240759591745802","0.260110453612811"
"Yes","2004","no migration background","East Germany","751","0.258839054342893","0.242336340825123","0.275341767860662"
"Yes","2004","direct migration background","West Germany","203","0.172278576966642","0.151501951271837","0.193055202661446"
"Yes","2004","direct migration background","East Germany","7","","",""
"Yes","2004","indirect migration background","West Germany","74","0.216318286849723","0.178360983784183","0.254275589915264"
"Yes","2004","indirect migration background","East Germany","1","","",""
"No","2004","no migration background","West Germany","5624","0.749564977320694","0.739889546387189","0.759240408254198"
"No","2004","no migration background","East Germany","1955","0.741160945657107","0.724658232139338","0.757663659174877"
"No","2004","direct migration background","West Germany","1066","0.827721423033358","0.806944797338554","0.848498048728163"
"No","2004","direct migration background","East Germany","18","","",""
"No","2004","indirect migration background","West Germany","378","0.783681713150277","0.745724410084737","0.821639016215817"
"No","2004","indirect migration background","East Germany","14","","",""
"Yes","2005","no migration background","West Germany","1887","0.254235025048514","0.243970626780379","0.264499423316649"
"Yes","2005","no migration background","East Germany","683","0.271852756151064","0.254060211487609","0.28964530081452"
"Yes","2005","direct migration background","West Germany","186","0.173974753384134","0.151663596328568","0.1962859104397"
"Yes","2005","direct migration background","East Germany","4","","",""
"Yes","2005","indirect migration background","West Germany","65","0.161142886037607","0.125379828702751","0.196905943372464"
"Yes","2005","indirect migration background","East Germany","1","","",""
"No","2005","no migration background","West Germany","5026","0.745764974951486","0.73550057668335","0.756029373219621"
"No","2005","no migration background","East Germany","1719","0.728147243848936","0.71035469918548","0.745939788512391"
"No","2005","direct migration background","West Germany","923","0.826025246615866","0.8037140895603","0.848336403671432"
"No","2005","direct migration background","East Germany","17","","",""
"No","2005","indirect migration background","West Germany","341","0.838857113962393","0.803094056627536","0.874620171297249"
"No","2005","indirect migration background","East Germany","18","","",""
"Yes","2006","no migration background","West Germany","2002","0.257373548423246","0.247265399148787","0.267481697697704"
"Yes","2006","no migration background","East Germany","688","0.269881252341728","0.252278950415827","0.28748355426763"
"Yes","2006","direct migration background","West Germany","181","0.162600776461597","0.140774758640976","0.184426794282217"
"Yes","2006","direct migration background","East Germany","5","","",""
"Yes","2006","indirect migration background","West Germany","66","0.168297279261284","0.131769928369319","0.204824630153249"
"Yes","2006","indirect migration background","East Germany","3","","",""
"No","2006","no migration background","West Germany","5184","0.742626451576754","0.732518302302296","0.752734600851213"
"No","2006","no migration background","East Germany","1755","0.730118747658272","0.71251644573237","0.747721049584173"
"No","2006","direct migration background","West Germany","917","0.837399223538403","0.815573205717783","0.859225241359024"
"No","2006","direct migration background","East Germany","18","","",""
"No","2006","indirect migration background","West Germany","337","0.831702720738716","0.795175369846751","0.868230071630681"
"No","2006","indirect migration background","East Germany","13","","",""
"Yes","2007","no migration background","West Germany","1947","0.246905575180899","0.237048114710924","0.256763035650873"
"Yes","2007","no migration background","East Germany","665","0.253036308110386","0.236247636703069","0.269824979517703"
"Yes","2007","direct migration background","West Germany","178","0.152067939447847","0.130399820051184","0.17373605884451"
"Yes","2007","direct migration background","East Germany","6","","",""
"Yes","2007","indirect migration background","West Germany","87","0.160626847737397","0.127606024875086","0.193647670599708"
"Yes","2007","indirect migration background","East Germany","6","","",""
"No","2007","no migration background","West Germany","5404","0.753094424819101","0.743236964349127","0.762951885289076"
"No","2007","no migration background","East Germany","1911","0.746963691889614","0.730175020482297","0.763752363296931"
"No","2007","direct migration background","West Germany","877","0.847932060552153","0.82626394115549","0.869600179948816"
"No","2007","direct migration background","East Germany","17","","",""
"No","2007","indirect migration background","West Germany","388","0.839373152262603","0.806352329400292","0.872393975124914"
"No","2007","indirect migration background","East Germany","23","","",""
"Yes","2008","no migration background","West Germany","1787","0.248172841711637","0.237794144920547","0.258551538502728"
"Yes","2008","no migration background","East Germany","600","0.245657558211554","0.228304593168937","0.263010523254172"
"Yes","2008","direct migration background","West Germany","161","0.147857440062385","0.125250029512677","0.170464850612092"
"Yes","2008","direct migration background","East Germany","5","","",""
"Yes","2008","indirect migration background","West Germany","69","0.127483047338766","0.0960694771042406","0.158896617573292"
"Yes","2008","indirect migration background","East Germany","8","","",""
"No","2008","no migration background","West Germany","4867","0.751827158288363","0.741448461497272","0.762205855079453"
"No","2008","no migration background","East Germany","1764","0.754342441788446","0.736989476745828","0.771695406831064"
"No","2008","direct migration background","West Germany","786","0.852142559937615","0.829535149387908","0.874749970487323"
"No","2008","direct migration background","East Germany","17","","",""
"No","2008","indirect migration background","West Germany","364","0.872516952661234","0.841103382426708","0.903930522895759"
"No","2008","indirect migration background","East Germany","20","","",""
"Yes","2009","no migration background","West Germany","1722","0.239933812618648","0.229572154303064","0.250295470934232"
"Yes","2009","no migration background","East Germany","584","0.239791047497356","0.222590909378981","0.256991185615731"
"Yes","2009","direct migration background","West Germany","161","0.172554368898203","0.147211728035736","0.197897009760671"
"Yes","2009","direct migration background","East Germany","8","","",""
"Yes","2009","indirect migration background","West Germany","74","0.141176502440537","0.108417068068833","0.173935936812241"
"Yes","2009","indirect migration background","East Germany","5","","",""
"No","2009","no migration background","West Germany","4803","0.760066187381352","0.749704529065768","0.770427845696936"
"No","2009","no migration background","East Germany","1783","0.760208952502644","0.743008814384269","0.777409090621019"
"No","2009","direct migration background","West Germany","693","0.827445631101797","0.80210299023933","0.852788271964264"
"No","2009","direct migration background","East Germany","16","","",""
"No","2009","indirect migration background","West Germany","360","0.858823497559463","0.826064063187759","0.891582931931167"
"No","2009","indirect migration background","East Germany","17","","",""
"Yes","2010","no migration background","West Germany","2222","0.249612794727505","0.240454684030666","0.258770905424344"
"Yes","2010","no migration background","East Germany","649","0.245991549513742","0.230174469950536","0.261808629076948"
"Yes","2010","direct migration background","West Germany","211","0.156860938383601","0.137831487126459","0.175890389640744"
"Yes","2010","direct migration background","East Germany","7","","",""
"Yes","2010","indirect migration background","West Germany","105","0.188415028398749","0.156807961455174","0.220022095342325"
"Yes","2010","indirect migration background","East Germany","8","","",""
"No","2010","no migration background","West Germany","6357","0.750387205272495","0.741229094575657","0.759545315969334"
"No","2010","no migration background","East Germany","2199","0.754008450486258","0.738191370923052","0.769825530049464"
"No","2010","direct migration background","West Germany","1192","0.843139061616399","0.824109610359256","0.862168512873541"
"No","2010","direct migration background","East Germany","33","0.876611620556541","0.77469175613962","0.978531484973463"
"No","2010","indirect migration background","West Germany","483","0.811584971601251","0.779977904657675","0.843192038544826"
"No","2010","indirect migration background","East Germany","31","0.908320621421077","0.817753366414419","0.998887876427734"
"Yes","2011","no migration background","West Germany","2746","0.2560443993897","0.247636082608777","0.264452716170624"
"Yes","2011","no migration background","East Germany","800","0.23960669511266","0.225087328682304","0.254126061543015"
"Yes","2011","direct migration background","West Germany","245","0.162726490374559","0.144801854040155","0.180651126708963"
"Yes","2011","direct migration background","East Germany","6","","",""
"Yes","2011","indirect migration background","West Germany","141","0.20008674268769","0.171203566365303","0.228969919010077"
"Yes","2011","indirect migration background","East Germany","8","","",""
"No","2011","no migration background","West Germany","7604","0.7439556006103","0.735547283829376","0.752363917391223"
"No","2011","no migration background","East Germany","2520","0.76039330488734","0.745873938456985","0.774912671317696"
"No","2011","direct migration background","West Germany","1384","0.837273509625441","0.819348873291037","0.855198145959845"
"No","2011","direct migration background","East Germany","38","0.951736264822338","0.888409029796211","1.01506349984847"
"No","2011","indirect migration background","West Germany","596","0.79991325731231","0.771030080989923","0.828796433634697"
"No","2011","indirect migration background","East Germany","42","0.871430160660431","0.778651321798762","0.9642089995221"
"Yes","2012","no migration background","West Germany","2677","0.262844627877779","0.254224606871865","0.271464648883693"
"Yes","2012","no migration background","East Germany","774","0.244205220775867","0.229425941723832","0.258984499827902"
"Yes","2012","direct migration background","West Germany","255","0.161353858529988","0.143599016301764","0.179108700758212"
"Yes","2012","direct migration background","East Germany","7","","",""
"Yes","2012","indirect migration background","West Germany","137","0.170245869663191","0.143418665049219","0.197073074277162"
"Yes","2012","indirect migration background","East Germany","10","","",""
"No","2012","no migration background","West Germany","7340","0.737155372122221","0.728535351116307","0.745775393128135"
"No","2012","no migration background","East Germany","2472","0.755794779224133","0.741015500172098","0.770574058276168"
"No","2012","direct migration background","West Germany","1394","0.838646141470012","0.820891299241788","0.856400983698236"
"No","2012","direct migration background","East Germany","48","0.93292538673798","0.866815061984944","0.999035711491015"
"No","2012","indirect migration background","West Germany","617","0.829754130336809","0.802926925722838","0.85658133495078"
"No","2012","indirect migration background","East Germany","38","0.820937895072204","0.712474182225525","0.929401607918883"
"Yes","2013","no migration background","West Germany","2605","0.274282949400999","0.265247410018694","0.283318488783303"
"Yes","2013","no migration background","East Germany","756","0.257157633438235","0.241441532560669","0.272873734315801"
"Yes","2013","direct migration background","West Germany","490","0.154792085020491","0.14285829437912","0.166725875661861"
"Yes","2013","direct migration background","East Germany","38","0.149373408112245","0.100696766888948","0.198050049335543"
"Yes","2013","indirect migration background","West Germany","207","0.185001128399451","0.163318674608621","0.20668358219028"
"Yes","2013","indirect migration background","East Germany","12","","",""
"No","2013","no migration background","West Germany","6761","0.725717050599001","0.716681511216697","0.734752589981306"
"No","2013","no migration background","East Germany","2215","0.742842366561765","0.727126265684199","0.758558467439331"
"No","2013","direct migration background","West Germany","3039","0.845207914979509","0.833274124338139","0.85714170562088"
"No","2013","direct migration background","East Germany","168","0.850626591887755","0.801949950664457","0.899303233111052"
"No","2013","indirect migration background","West Germany","1025","0.814998871600549","0.79331641780972","0.836681325391379"
"No","2013","indirect migration background","East Germany","56","0.879381110121499","0.801972394006522","0.956789826236475"
"Yes","2014","no migration background","West Germany","2442","0.280925473921104","0.271400333913907","0.2904506139283"
"Yes","2014","no migration background","East Germany","656","0.24408254375341","0.227877425804984","0.260287661701837"
"Yes","2014","direct migration background","West Germany","417","0.174235853386401","0.160334347461085","0.188137359311717"
"Yes","2014","direct migration background","East Germany","24","","",""
"Yes","2014","indirect migration background","West Germany","203","0.222942822682436","0.197992137630163","0.247893507734709"
"Yes","2014","indirect migration background","East Germany","12","","",""
