"pgoeffd","year","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1984","Female","2018","0.730457951341809","0.713573368355574","0.747342534328044","2"
"No","1984","Male","3609","0.767575795532191","0.755201959284938","0.779949631779443","2"
"Yes","1984","Female","635","0.269542048658191","0.252657465671956","0.286426631644426","1"
"Yes","1984","Male","867","0.232424204467809","0.220050368220557","0.244798040715061","1"
"No","1985","Female","1703","0.72050134988756","0.702089495661613","0.738913204113507","2"
"No","1985","Male","3074","0.757228292404038","0.743711121820855","0.77074546298722","2"
"Yes","1985","Female","579","0.27949865011244","0.261086795886493","0.297910504338387","1"
"Yes","1985","Male","791","0.242771707595962","0.22925453701278","0.256288878179145","1"
"No","1986","Female","1578","0.715330620856449","0.696153291314262","0.734507950398636","2"
"No","1986","Male","2887","0.75174948539511","0.737721343379882","0.765777627410339","2"
"Yes","1986","Female","549","0.284669379143551","0.265492049601364","0.303846708685738","1"
"Yes","1986","Male","756","0.24825051460489","0.234222372589661","0.262278656620118","1"
"No","1987","Female","1637","0.711871809350756","0.692998445907954","0.730745172793557","2"
"No","1987","Male","2899","0.755781399301221","0.741834206850831","0.769728591751612","2"
"Yes","1987","Female","575","0.288128190649244","0.269254827206443","0.307001554092046","1"
"Yes","1987","Male","746","0.244218600698779","0.230271408248388","0.258165793149169","1"
"No","1988","Female","1646","0.715071811886813","0.696261410314876","0.73388221345875","2"
"No","1988","Male","2829","0.761679361387696","0.747602514768028","0.775756208007365","2"
"Yes","1988","Female","566","0.284928188113187","0.26611778654125","0.303738589685124","1"
"Yes","1988","Male","690","0.238320638612304","0.224243791992635","0.252397485231972","1"
"No","1989","Female","1743","0.719770347284737","0.7015189022214","0.738021792348074","2"
"No","1989","Male","2840","0.769895974731967","0.755981604372198","0.783810345091737","2"
"Yes","1989","Female","583","0.280229652715263","0.261978207651926","0.2984810977786","1"
"Yes","1989","Male","675","0.230104025268033","0.216189654908263","0.244018395627802","1"
"No","1990","Female","2589","0.677481235026609","0.662694742630512","0.692267727422705","2"
"No","1990","Male","4043","0.765541966683163","0.753947552723045","0.777136380643281","2"
"Yes","1990","Female","1250","0.322518764973391","0.307732272577295","0.337305257369488","1"
"Yes","1990","Male","1086","0.234458033316837","0.222863619356719","0.246052447276956","1"
"No","1991","Female","2510","0.679591856785232","0.664552111074162","0.694631602496301","2"
"No","1991","Male","3976","0.76962853572285","0.757939722152005","0.781317349293695","2"
"Yes","1991","Female","1188","0.320408143214768","0.305368397503699","0.335447888925838","1"
"Yes","1991","Male","1009","0.23037146427715","0.218682650706305","0.242060277847995","1"
"No","1992","Female","2204","0.65198963861869","0.635921583742402","0.668057693494978","2"
"No","1992","Male","3665","0.764177254167098","0.751973177406058","0.776381330928138","2"
