"pgoeffd","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Yes","1984","16-34 y.","no migration background","494","0.242931611528189","0.224131896515276","0.261731326541103"
"Yes","1984","16-34 y.","direct migration background","73","0.113894457612384","0.0926746942154195","0.135114221009349"
"Yes","1984","16-34 y.","indirect migration background","","","",""
"Yes","1984","35-65 y.","no migration background","757","0.275660871467391","0.258917281501281","0.292404461433501"
"Yes","1984","35-65 y.","direct migration background","169","0.159557496619996","0.140510937477863","0.178604055762129"
"Yes","1984","35-65 y.","indirect migration background","","","",""
"Yes","1984","66 and older","no migration background","","","",""
"Yes","1984","66 and older","direct migration background","","","",""
"Yes","1984","66 and older","indirect migration background","","","",""
"No","1984","16-34 y.","no migration background","1505","0.757068388471811","0.738268673458897","0.775868103484724"
"No","1984","16-34 y.","direct migration background","788","0.886105542387616","0.864885778990651","0.90732530578458"
"No","1984","16-34 y.","indirect migration background","46","0.757334040362487","0.640815620152872","0.873852460572103"
"No","1984","35-65 y.","no migration background","1979","0.724339128532609","0.707595538566499","0.74108271849872"
"No","1984","35-65 y.","direct migration background","1251","0.840442503380004","0.821395944237871","0.859489062522137"
"No","1984","35-65 y.","indirect migration background","","","",""
"No","1984","66 and older","no migration background","43","0.938866838156407","0.868869381051478","1.00886429526133"
"No","1984","66 and older","direct migration background","","","",""
"No","1984","66 and older","indirect migration background","","","",""
"Yes","1985","16-34 y.","no migration background","442","0.248653168746695","0.228413739149579","0.268892598343811"
"Yes","1985","16-34 y.","direct migration background","54","0.094807978193784","0.0724922071141432","0.117123749273425"
"Yes","1985","16-34 y.","indirect migration background","","","",""
"Yes","1985","35-65 y.","no migration background","723","0.292238087127839","0.274214888583509","0.310261285672169"
"Yes","1985","35-65 y.","direct migration background","141","0.154710732560926","0.134190098874461","0.175231366247391"
"Yes","1985","35-65 y.","indirect migration background","","","",""
"Yes","1985","66 and older","no migration background","","","",""
"Yes","1985","66 and older","direct migration background","","","",""
"Yes","1985","66 and older","indirect migration background","","","",""
"No","1985","16-34 y.","no migration background","1310","0.751346831253305","0.731107401656189","0.771586260850421"
"No","1985","16-34 y.","direct migration background","608","0.905192021806216","0.882876250726575","0.927507792885857"
"No","1985","16-34 y.","indirect migration background","44","0.719743515086384","0.59767233730896","0.841814692863808"
"No","1985","35-65 y.","no migration background","1723","0.707761912872161","0.689738714327831","0.725785111416491"
"No","1985","35-65 y.","direct migration background","1052","0.845289267439074","0.824768633752609","0.865809901125539"
"No","1985","35-65 y.","indirect migration background","","","",""
"No","1985","66 and older","no migration background","30","0.957955937246124","0.887309161043093","1.02860271344915"
