"pgoeffd","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"No","1984","Not Employed","no migration background","104","0.864026938178106","0.803205280065803","0.924848596290409","2"
"No","1984","Not Employed","indirect migration background","6","","","","2"
"No","1984","Not Employed","direct migration background","47","0.879884226202869","0.791523514150987","0.968244938254752","2"
"No","1984","Employed","no migration background","3423","0.737072167064893","0.724429996778537","0.749714337351249","2"
"No","1984","Employed","direct migration background","1993","0.856487516187926","0.841936242185881","0.87103879018997","2"
"No","1984","Employed","indirect migration background","54","0.83421227737945","0.739318757387139","0.929105797371761","2"
"Yes","1984","Not Employed","no migration background","18","","","","1"
"Yes","1984","Not Employed","direct migration background","5","","","","1"
"Yes","1984","Not Employed","indirect migration background","2","","","","1"
"Yes","1984","Employed","no migration background","1235","0.262927832935107","0.25028566264875","0.275570003221463","1"
"Yes","1984","Employed","direct migration background","237","0.143512483812074","0.12896120981003","0.158063757814119","1"
"Yes","1984","Employed","indirect migration background","5","","","","1"
"No","1985","Not Employed","no migration background","47","0.757072315930763","0.651174987478483","0.862969644383044","2"
"No","1985","Not Employed","direct migration background","28","","","","2"
"No","1985","Not Employed","indirect migration background","1","","","","2"
"No","1985","Employed","no migration background","3016","0.727679684255179","0.714162114968544","0.741197253541814","2"
"No","1985","Employed","direct migration background","1633","0.865886779976552","0.850248030465628","0.881525529487475","2"
"No","1985","Employed","indirect migration background","52","0.740676251869069","0.63069503295382","0.850657470784319","2"
"Yes","1985","Not Employed","no migration background","16","","","","1"
"Yes","1985","Not Employed","direct migration background","4","","","","1"
"Yes","1985","Not Employed","indirect migration background","","","","","1"
"Yes","1985","Employed","no migration background","1150","0.272320315744821","0.258802746458186","0.285837885031456","1"
"Yes","1985","Employed","direct migration background","191","0.134113220023448","0.118474470512525","0.149751969534372","1"
"Yes","1985","Employed","indirect migration background","9","","","","1"
"No","1986","Not Employed","direct migration background","19","","","","2"
"No","1986","Not Employed","no migration background","31","0.701118444767295","0.565859185028284","0.836377704506306","2"
"No","1986","Employed","no migration background","2832","0.72271603332079","0.708736221532329","0.736695845109251","2"
"No","1986","Not Employed","indirect migration background","1","","","","2"
"No","1986","Employed","direct migration background","1520","0.866186613640707","0.849950249579433","0.882422977701981","2"
"No","1986","Employed","indirect migration background","62","0.658777676770133","0.551476220965613","0.766079132574654","2"
"Yes","1986","Not Employed","no migration background","13","","","","1"
"Yes","1986","Not Employed","direct migration background","3","","","","1"
"Yes","1986","Not Employed","indirect migration background","","","","","1"
"Yes","1986","Employed","no migration background","1107","0.27728396667921","0.263304154890749","0.291263778467671","1"
"Yes","1986","Employed","direct migration background","169","0.133813386359293","0.117577022298019","0.150049750420567","1"
"Yes","1986","Employed","indirect migration background","13","","","","1"
"No","1987","Not Employed","no migration background","43","0.703111669039809","0.584502194987771","0.821721143091847","2"
"No","1987","Not Employed","direct migration background","19","","","","2"
