"pgoeffd","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence","value"
"No","1984","Schleswig-Holstein","Employed","165","0.741894127190126","0.68393845551924","0.799849798861011","2"
"No","1984","Hamburg","Employed","126","0.727101989796181","0.661104575943643","0.79309940364872","2"
"No","1984","Schleswig-Holstein","Not Employed","8","","","","2"
"No","1984","Hamburg","Not Employed","2","","","","2"
"No","1984","Lower Saxony","Not Employed","13","","","","2"
"No","1984","Lower Saxony","Employed","493","0.729313093774916","0.695208339659953","0.763417847889879","2"
"No","1984","Bremen","Not Employed","2","","","","2"
"No","1984","Bremen","Employed","43","0.811578111174866","0.704254854630077","0.918901367719654","2"
"No","1984","North Rhine-Westphalia","Not Employed","40","0.772546112525935","0.656355249761719","0.888736975290151","2"
"No","1984","Baden-Württemberg","Not Employed","29","","","","2"
"No","1984","Baden-Württemberg","Employed","1180","0.788836348520167","0.767540859236715","0.810131837803619","2"
"No","1984","North Rhine-Westphalia","Employed","1393","0.745559104078836","0.72526845430578","0.765849753851893","2"
"No","1984","Bavaria","Not Employed","21","","","","2"
"No","1984","Hesse","Not Employed","29","","","","2"
"No","1984","Bavaria","Employed","997","0.776640149088421","0.753504808901261","0.799775489275582","2"
"No","1984","Hesse","Employed","555","0.725758789472492","0.693194397819659","0.758323181125325","2"
"No","1984","Rhineland-Palatinate,Saarland","Not Employed","8","","","","2"
"No","1984","Berlin","Not Employed","5","","","","2"
"No","1984","Rhineland-Palatinate,Saarland","Employed","347","0.757764623603073","0.717958120018464","0.797571127187682","2"
"No","1984","Berlin","Employed","171","0.615041818480811","0.555667677689365","0.674415959272258","2"
"No","1984","Brandenburg","Not Employed","","","","","2"
"No","1984","Brandenburg","Employed","","","","","2"
"No","1984","Saxony","Not Employed","","","","","2"
"No","1984","Mecklenburg-Western Pomerania","Not Employed","","","","","2"
"No","1984","Mecklenburg-Western Pomerania","Employed","","","","","2"
"No","1984","Saxony","Employed","","","","","2"
"No","1984","Saxony-Anhalt","Not Employed","","","","","2"
"No","1984","Saxony-Anhalt","Employed","","","","","2"
"No","1984","Thuringia","Not Employed","","","","","2"
"No","1984","Thuringia","Employed","","","","","2"
"Yes","1984","Schleswig-Holstein","Not Employed","","","","","1"
"Yes","1984","Schleswig-Holstein","Employed","54","0.258105872809875","0.200150201138989","0.31606154448076","1"
"Yes","1984","Hamburg","Not Employed","1","","","","1"
"Yes","1984","Hamburg","Employed","49","0.272898010203819","0.20690059635128","0.338895424056357","1"
"Yes","1984","Lower Saxony","Not Employed","4","","","","1"
"Yes","1984","Lower Saxony","Employed","159","0.270686906225084","0.236582152110121","0.304791660340047","1"
"Yes","1984","Bremen","Not Employed","1","","","","1"
"Yes","1984","Bremen","Employed","8","","","","1"
"Yes","1984","North Rhine-Westphalia","Not Employed","10","","","","1"
"Yes","1984","North Rhine-Westphalia","Employed","377","0.254440895921164","0.234150246148107","0.27473154569422","1"
"Yes","1984","Hesse","Not Employed","1","","","","1"
"Yes","1984","Hesse","Employed","166","0.274241210527508","0.241676818874675","0.306805602180341","1"
"Yes","1984","Rhineland-Palatinate,Saarland","Not Employed","1","","","","1"
"Yes","1984","Rhineland-Palatinate,Saarland","Employed","98","0.242235376396927","0.202428872812318","0.282041879981536","1"
"Yes","1984","Baden-Württemberg","Not Employed","3","","","","1"
"Yes","1984","Baden-Württemberg","Employed","231","0.211163651479833","0.189868162196381","0.232459140763286","1"
"Yes","1984","Bavaria","Not Employed","3","","","","1"
"Yes","1984","Bavaria","Employed","248","0.223359850911579","0.200224510724419","0.246495191098739","1"
"Yes","1984","Berlin","Not Employed","1","","","","1"
"Yes","1984","Berlin","Employed","87","0.384958181519189","0.325584040727742","0.444332322310636","1"
"Yes","1984","Brandenburg","Not Employed","","","","","1"
"Yes","1984","Brandenburg","Employed","","","","","1"
"Yes","1984","Mecklenburg-Western Pomerania","Not Employed","","","","","1"
"Yes","1984","Mecklenburg-Western Pomerania","Employed","","","","","1"
"Yes","1984","Saxony","Not Employed","","","","","1"
"Yes","1984","Saxony","Employed","","","","","1"
"Yes","1984","Saxony-Anhalt","Not Employed","","","","","1"
"Yes","1984","Saxony-Anhalt","Employed","","","","","1"
"Yes","1984","Thuringia","Not Employed","","","","","1"
"Yes","1984","Thuringia","Employed","","","","","1"
"No","1985","Schleswig-Holstein","Employed","146","0.73151634357054","0.669154611398431","0.79387807574265","2"
"No","1985","Hamburg","Not Employed","1","","","","2"
"No","1985","Hamburg","Employed","113","0.737322069373708","0.668482416042549","0.806161722704867","2"
"No","1985","Schleswig-Holstein","Not Employed","","","","","2"
"No","1985","Lower Saxony","Not Employed","10","","","","2"
"No","1985","Lower Saxony","Employed","398","0.713918728894014","0.675801588463592","0.752035869324437","2"
"No","1985","Bremen","Not Employed","","","","","2"
"No","1985","Bremen","Employed","30","0.738161456595098","0.600183960970364","0.876138952219832","2"
"No","1985","North Rhine-Westphalia","Not Employed","17","","","","2"
"No","1985","Baden-Württemberg","Not Employed","24","","","","2"
"No","1985","North Rhine-Westphalia","Employed","1206","0.734111579629764","0.712201784055077","0.756021375204451","2"
"No","1985","Baden-Württemberg","Employed","1032","0.789027316530488","0.766318401705687","0.811736231355289","2"
"No","1985","Bavaria","Not Employed","13","","","","2"
"No","1985","Bavaria","Employed","865","0.775508763749103","0.750681647788903","0.800335879709303","2"
"No","1985","Hesse","Employed","474","0.723020088452367","0.687936225938175","0.75810395096656","2"
"No","1985","Hesse","Not Employed","8","","","","2"
"No","1985","Rhineland-Palatinate,Saarland","Not Employed","1","","","","2"
"No","1985","Rhineland-Palatinate,Saarland","Employed","309","0.734156899639325","0.690970976904711","0.777342822373938","2"
"No","1985","Berlin","Not Employed","2","","","","2"
"No","1985","Berlin","Employed","128","0.579180489346403","0.511926536732471","0.646434441960334","2"
"No","1985","Brandenburg","Not Employed","","","","","2"
"No","1985","Saxony","Not Employed","","","","","2"
"No","1985","Brandenburg","Employed","","","","","2"
"No","1985","Saxony","Employed","","","","","2"
"No","1985","Mecklenburg-Western Pomerania","Not Employed","","","","","2"
"No","1985","Mecklenburg-Western Pomerania","Employed","","","","","2"
"No","1985","Saxony-Anhalt","Not Employed","","","","","2"
"No","1985","Saxony-Anhalt","Employed","","","","","2"
"No","1985","Thuringia","Not Employed","","","","","2"
"No","1985","Thuringia","Employed","","","","","2"
"Yes","1985","Hesse","Not Employed","2","","","","1"
