"pgoeffd","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1985","(Married) couple without C. ","Rural Area","165","0.742903868670773","0.684486372085865","0.801321365255681","2"
"No","1985","(Married) couple without C. ","Urban Area","722","0.700641922932105","0.672228315851243","0.729055530012968","2"
"No","1985","1-pers.-HH","Rural Area","55","0.77602912506017","0.678365271860337","0.873692978260003","2"
"No","1985","1-pers.-HH","Urban Area","317","0.643439821303093","0.599810547692858","0.687069094913327","2"
"No","1985","Couple + C. GT 16 ","Rural Area","173","0.767288013753195","0.711951389078729","0.822624638427661","2"
"No","1985","Couple + C. GT 16 ","Urban Area","767","0.766653608542591","0.740063807040532","0.793243410044651","2"
"No","1985","Couple + C. LE 16 ","Rural Area","278","0.760350879228698","0.715437234448815","0.80526452400858","2"
"No","1985","Couple + C. LE 16 ","Urban Area","1095","0.75800720197568","0.735369380616811","0.780645023334549","2"
"No","1985","Couple + C. LE and GT 16","Rural Area","157","0.786671522623002","0.729466243464106","0.843876801781899","2"
"No","1985","Couple + C. LE and GT 16","Urban Area","548","0.79690509273982","0.766236052942962","0.827574132536678","2"
"No","1985","Single parent ","Rural Area","60","0.920808756659321","0.855161782387818","0.986455730930825","2"
"No","1985","Single parent ","Urban Area","177","0.739208492278674","0.68246522101469","0.795951763542658","2"
"Yes","1985","(Married) couple without C. ","Rural Area","50","0.257096131329227","0.198678634744319","0.315513627914134","1"
"Yes","1985","(Married) couple without C. ","Urban Area","276","0.299358077067895","0.270944469987032","0.327771684148757","1"
"Yes","1985","1-pers.-HH","Rural Area","15","","","","1"
"Yes","1985","Couple + C. LE 16 ","Urban Area","280","0.24199279802432","0.219354976665451","0.264630619383189","1"
"Yes","1985","1-pers.-HH","Urban Area","146","0.356560178696907","0.312930905086673","0.400189452307142","1"
"Yes","1985","Couple + C. GT 16 ","Rural Area","51","0.232711986246805","0.177375361572339","0.288048610921271","1"
"Yes","1985","Couple + C. GT 16 ","Urban Area","205","0.233346391457409","0.206756589955349","0.259936192959468","1"
"Yes","1985","Couple + C. LE 16 ","Rural Area","69","0.239649120771302","0.19473547599142","0.284562765551185","1"
"Yes","1985","Couple + C. LE and GT 16","Rural Area","40","0.213328477376998","0.156123198218101","0.270533756535894","1"
"Yes","1985","Couple + C. LE and GT 16","Urban Area","113","0.20309490726018","0.172425867463322","0.233763947057038","1"
"Yes","1985","Single parent ","Rural Area","5","","","","1"
"Yes","1985","Single parent ","Urban Area","53","0.260791507721326","0.204048236457342","0.317534778985311","1"
"No","1986","(Married) couple without C. ","Rural Area","150","0.738893873870465","0.677558002200265","0.800229745540665","2"
"No","1986","(Married) couple without C. ","Urban Area","740","0.717012184646449","0.689204491579831","0.744819877713067","2"
"No","1986","1-pers.-HH","Rural Area","44","0.718652076710125","0.605811740131251","0.831492413288998","2"
"No","1986","1-pers.-HH","Urban Area","297","0.635353720891082","0.5901215799336","0.680585861848564","2"
"No","1986","Couple + C. GT 16 ","Rural Area","199","0.797242217565285","0.747203501094684","0.847280934035885","2"
"No","1986","Couple + C. GT 16 ","Urban Area","763","0.768309189890417","0.741661635001611","0.794956744779222","2"
"No","1986","Couple + C. LE 16 ","Rural Area","240","0.741976955469676","0.693426282936384","0.790527628002968","2"
"No","1986","Couple + C. LE 16 ","Urban Area","957","0.7508260569895","0.726353550721769","0.775298563257231","2"
"No","1986","Couple + C. LE and GT 16","Rural Area","138","0.736949385480853","0.672983135951329","0.800915635010377","2"
"No","1986","Couple + C. LE and GT 16","Urban Area","483","0.776933309731991","0.743341661195084","0.810524958268898","2"
"No","1986","Single parent ","Rural Area","62","0.868759175361573","0.789657943211943","0.947860407511202","2"
"No","1986","Single parent ","Urban Area","149","0.7150333624741","0.652629679162333","0.777437045785866","2"
"Yes","1986","(Married) couple without C. ","Rural Area","47","0.261106126129535","0.199770254459335","0.322441997799735","1"
"Yes","1986","(Married) couple without C. ","Urban Area","268","0.282987815353551","0.255180122286933","0.310795508420168","1"
"Yes","1986","1-pers.-HH","Rural Area","17","","","","1"
"Yes","1986","1-pers.-HH","Urban Area","138","0.364646279108918","0.319414138151436","0.4098784200664","1"
"Yes","1986","Couple + C. GT 16 ","Rural Area","49","0.202757782434715","0.152719065964115","0.252796498905316","1"
"Yes","1986","Couple + C. LE 16 ","Urban Area","243","0.2491739430105","0.224701436742769","0.273646449278231","1"
"Yes","1986","Couple + C. GT 16 ","Urban Area","200","0.231690810109583","0.205043255220778","0.258338364998389","1"
"Yes","1986","Couple + C. LE and GT 16","Rural Area","44","0.263050614519147","0.199084364989623","0.327016864048671","1"
"Yes","1986","Couple + C. LE 16 ","Rural Area","72","0.258023044530324","0.209472371997032","0.306573717063616","1"
"Yes","1986","Couple + C. LE and GT 16","Urban Area","107","0.223066690268009","0.189475041731102","0.256658338804916","1"
"Yes","1986","Single parent ","Rural Area","8","","","","1"
"Yes","1986","Single parent ","Urban Area","52","0.2849666375259","0.222562954214134","0.347370320837667","1"
"No","1987","Couple + C. GT 16 ","Rural Area","222","0.768821165570847","0.719440632297748","0.818201698843946","2"
"No","1987","Couple + C. GT 16 ","Urban Area","777","0.750355253020452","0.723583555204853","0.777126950836051","2"
"No","1987","Couple + C. LE 16 ","Rural Area","248","0.776889696470614","0.730766922784105","0.823012470157124","2"
"No","1987","Couple + C. LE 16 ","Urban Area","942","0.755934995919176","0.731427323384064","0.780442668454287","2"
"No","1987","Couple + C. LE and GT 16","Rural Area","131","0.715947538007776","0.648941591579501","0.78295348443605","2"
"No","1987","Couple + C. LE and GT 16","Urban Area","468","0.79338701976581","0.76003199849537","0.82674204103625","2"
"No","1987","(Married) couple without C. ","Rural Area","163","0.733393459023668","0.674287294635449","0.792499623411888","2"
"No","1987","(Married) couple without C. ","Urban Area","733","0.719600618420632","0.691647739417819","0.747553497423445","2"
"No","1987","1-pers.-HH","Rural Area","47","0.708051803485464","0.596662492111998","0.819441114858929","2"
"No","1987","1-pers.-HH","Urban Area","314","0.652032552454656","0.607776565196669","0.696288539712642","2"
"No","1987","Single parent ","Rural Area","68","0.882704600834691","0.810834060111765","0.954575141557617","2"
"No","1987","Single parent ","Urban Area","154","0.731772509601811","0.670676605682934","0.792868413520688","2"
"Yes","1987","(Married) couple without C. ","Rural Area","52","0.266606540976331","0.207500376588112","0.325712705364551","1"
"Yes","1987","(Married) couple without C. ","Urban Area","259","0.280399381579368","0.252446502576554","0.308352260582181","1"
"Yes","1987","1-pers.-HH","Urban Area","131","0.347967447545344","0.303711460287358","0.392223434803331","1"
"Yes","1987","1-pers.-HH","Rural Area","17","","","","1"
"Yes","1987","Couple + C. LE 16 ","Urban Area","238","0.244065004080824","0.219557331545713","0.268572676615936","1"
"Yes","1987","Couple + C. GT 16 ","Rural Area","58","0.231178834429153","0.181798301156054","0.280559367702252","1"
"Yes","1987","Couple + C. GT 16 ","Urban Area","227","0.249644746979548","0.222873049163949","0.276416444795147","1"
