"pgoeffd","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"No","1985","(Married) couple without C. ","no migration background","646","0.690826736778871","0.661282709346256","0.720370764211486"
"No","1985","(Married) couple without C. ","direct migration background","239","0.892107680430559","0.855033133261507","0.929182227599612"
"No","1985","(Married) couple without C. ","indirect migration background","2","","",""
"No","1985","Single parent ","no migration background","164","0.777036664585699","0.721007049027648","0.83306628014375"
"No","1985","Single parent ","direct migration background","66","0.879038534626897","0.805240476216512","0.952836593037283"
"No","1985","Single parent ","indirect migration background","7","","",""
"No","1985","Couple + C. LE 16 ","no migration background","795","0.739690402953789","0.713532355337437","0.765848450570141"
"No","1985","Couple + C. LE 16 ","direct migration background","569","0.864326230099198","0.837628376655724","0.891024083542671"
"No","1985","Couple + C. LE 16 ","indirect migration background","9","","",""
"No","1985","Couple + C. GT 16 ","no migration background","677","0.757253338548859","0.729381643566072","0.785125033531645"
"No","1985","Couple + C. GT 16 ","direct migration background","249","0.922672479078415","0.890692989992234","0.954651968164595"
"No","1985","Couple + C. GT 16 ","indirect migration background","14","","",""
"No","1985","Couple + C. LE and GT 16","no migration background","372","0.78036863410788","0.743485952118488","0.817251316097273"
"No","1985","Couple + C. LE and GT 16","direct migration background","317","0.869150110508776","0.8342167269241","0.904083494093451"
"No","1985","Couple + C. LE and GT 16","indirect migration background","16","","",""
"Yes","1986","1-pers.-HH","no migration background","137","0.369705872252361","0.320385767929579","0.419025976575142"
"Yes","1986","1-pers.-HH","direct migration background","17","","",""
"Yes","1986","1-pers.-HH","indirect migration background","1","","",""
"Yes","1986","(Married) couple without C. ","no migration background","289","0.298384499355621","0.269243072099249","0.327525926611992"
"Yes","1986","(Married) couple without C. ","direct migration background","23","","",""
"Yes","1986","(Married) couple without C. ","indirect migration background","3","","",""
"Yes","1986","Single parent ","no migration background","49","0.237509079756566","0.178531012022169","0.296487147490963"
"Yes","1986","Single parent ","direct migration background","8","","",""
"Yes","1986","Single parent ","indirect migration background","3","","",""
"Yes","1986","Couple + C. LE 16 ","no migration background","259","0.271364920206333","0.242984152744846","0.29974568766782"
"Yes","1986","Couple + C. LE 16 ","direct migration background","55","0.144053557766985","0.11497054677431","0.17313656875966"
"Yes","1986","Couple + C. LE 16 ","indirect migration background","1","","",""
"Yes","1986","Couple + C. GT 16 ","no migration background","225","0.236836232289141","0.208920939810998","0.264751524767284"
"Yes","1986","Couple + C. GT 16 ","direct migration background","19","","",""
"Yes","1986","Couple + C. GT 16 ","indirect migration background","5","","",""
"Yes","1986","Couple + C. LE and GT 16","no migration background","113","0.253319854344419","0.212496680824008","0.294143027864831"
"Yes","1986","Couple + C. LE and GT 16","direct migration background","38","0.143200753892869","0.104762385961884","0.181639121823854"
"Yes","1986","Couple + C. LE and GT 16","indirect migration background","","","",""
"No","1986","1-pers.-HH","no migration background","231","0.630294127747639","0.580974023424858","0.679614232070421"
"No","1986","1-pers.-HH","direct migration background","106","0.776006862080525","0.702327531219335","0.849686192941715"
"No","1986","1-pers.-HH","indirect migration background","4","","",""
"No","1986","(Married) couple without C. ","no migration background","658","0.701615500644379","0.672474073388008","0.73075692790075"
"No","1986","(Married) couple without C. ","direct migration background","228","0.916758465234796","0.882583448636245","0.950933481833346"
"No","1986","(Married) couple without C. ","indirect migration background","4","","",""
"No","1986","Single parent ","no migration background","151","0.762490920243434","0.703512852509037","0.821468987977831"
