"pgoeffd","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"No","1984","Employed","Female","1943","0.726528982959993","0.709279084968138","0.743778880951847"
"No","1984","Employed","Male","3527","0.765455010943287","0.752909602101865","0.77800041978471"
"No","1984","Not Employed","Female","75","0.853306370776982","0.779385874215742","0.927226867338223"
"No","1984","Not Employed","Male","82","0.863819230914398","0.794484076087901","0.933154385740896"
"Yes","1984","Employed","Female","622","0.273471017040007","0.256221119048153","0.290720915031862"
"Yes","1984","Employed","Male","855","0.234544989056713","0.22199958021529","0.247090397898135"
"Yes","1984","Not Employed","Female","13","","",""
"Yes","1984","Not Employed","Male","12","","",""
"No","1985","Employed","Female","1663","0.719396706392373","0.700757320458659","0.738036092326087"
"No","1985","Employed","Male","3038","0.75710273960499","0.743502017127753","0.770703462082227"
"No","1985","Not Employed","Female","40","0.776248166469361","0.660730958389923","0.8917653745488"
"No","1985","Not Employed","Male","36","0.771053016175892","0.64963622290109","0.892469809450694"
"Yes","1985","Employed","Female","569","0.280603293607627","0.261963907673913","0.299242679541341"
"Yes","1985","Employed","Male","781","0.24289726039501","0.229296537917773","0.256497982872247"
"Yes","1985","Not Employed","Female","10","","",""
"Yes","1985","Not Employed","Male","10","","",""
"No","1986","Employed","Female","1552","0.714498384301834","0.695153565638318","0.73384320296535"
"No","1986","Employed","Male","2862","0.752634341087823","0.738557138231409","0.766711543944237"
"No","1986","Not Employed","Female","26","","",""
"No","1986","Not Employed","Male","25","","",""
"Yes","1986","Employed","Female","542","0.285501615698166","0.26615679703465","0.304846434361683"
"Yes","1986","Employed","Male","747","0.247365658912177","0.233288456055763","0.261442861768591"
"Yes","1986","Not Employed","Female","7","","",""
"Yes","1986","Not Employed","Male","9","","",""
"No","1987","Employed","Female","1594","0.71215613238116","0.693035980338811","0.731276284423509"
"No","1987","Employed","Male","2880","0.756727871659915","0.742747141543946","0.770708601775883"
"No","1987","Not Employed","Female","43","0.699342182298818","0.581333161464633","0.817351203133002"
"No","1987","Not Employed","Male","19","","",""
"Yes","1987","Employed","Female","560","0.28784386761884","0.268723715576491","0.306964019661189"
"Yes","1987","Employed","Male","738","0.243272128340085","0.229291398224117","0.257252858456054"
"Yes","1987","Not Employed","Female","15","","",""
"Yes","1987","Not Employed","Male","8","","",""
"No","1988","Employed","Female","1606","0.715679816783323","0.696625678791522","0.734733954775124"
"No","1988","Employed","Male","2794","0.760831388267111","0.746656580477283","0.77500619605694"
"No","1988","Not Employed","Female","40","0.691888224998364","0.574074957006896","0.809701492989833"
"No","1988","Not Employed","Male","35","0.838090455797283","0.723934186340738","0.952246725253827"
"Yes","1988","Employed","Female","547","0.284320183216677","0.265266045224876","0.303374321208478"
"Yes","1988","Employed","Male","685","0.239168611732889","0.22499380394306","0.253343419522717"
"Yes","1988","Not Employed","Female","19","","",""
"Yes","1988","Not Employed","Male","5","","",""
"No","1989","Employed","Female","1697","0.720253448351781","0.701759448148626","0.738747448554936"
"No","1989","Employed","Male","2790","0.769220791566154","0.755177806193828","0.783263776938479"
"No","1989","Not Employed","Female","46","0.702753291349923","0.589893878200497","0.815612704499348"
"No","1989","Not Employed","Male","50","0.812988841656473","0.711764090977323","0.914213592335623"
"Yes","1989","Employed","Female","566","0.279746551648219","0.261252551445064","0.298240551851374"
"Yes","1989","Employed","Male","668","0.230779208433846","0.216736223061521","0.244822193806172"
"Yes","1989","Not Employed","Female","17","","",""
"Yes","1989","Not Employed","Male","7","","",""
"No","1990","Employed","Female","1645","0.709974089208828","0.691081004913074","0.728867173504582"
"No","1990","Employed","Male","2700","0.772840107036269","0.758621870866994","0.787058343205545"
"No","1990","Not Employed","Female","34","0.829428138865487","0.718289562508406","0.940566715222568"
"No","1990","Not Employed","Male","29","","",""
"Yes","1990","Employed","Female","571","0.290025910791172","0.271132826495418","0.308918995086926"
"Yes","1990","Employed","Male","636","0.227159892963731","0.212941656794456","0.241378129133006"
"Yes","1990","Not Employed","Female","10","","",""
"Yes","1990","Not Employed","Male","8","","",""
"No","1991","Employed","Female","1701","0.707260932375574","0.688697410847295","0.725824453903852"
"No","1991","Employed","Male","2725","0.76945261972562","0.755272387483048","0.783632851968192"
"No","1991","Not Employed","Female","56","0.793766246594249","0.699654224817334","0.887878268371164"
"No","1991","Not Employed","Male","53","0.859376496049721","0.772138864370914","0.946614127728527"
"Yes","1991","Employed","Female","607","0.292739067624426","0.274175546096148","0.311302589152705"
"Yes","1991","Employed","Male","664","0.23054738027438","0.216367148031808","0.244727612516952"
"Yes","1991","Not Employed","Female","15","","",""
"Yes","1991","Not Employed","Male","8","","",""
"No","1992","Employed","Female","2151","0.650043874864582","0.63378312781891","0.666304621910255"
"No","1992","Employed","Male","3629","0.766076255442203","0.753839000903067","0.778313509981339"
"No","1992","Not Employed","Female","53","0.748631721359756","0.647727748742996","0.849535693976516"
"No","1992","Not Employed","Male","36","0.559271560281447","0.423014219584138","0.695528900978755"
"Yes","1992","Employed","Female","1154","0.349956125135417","0.333695378089745","0.36621687218109"
"Yes","1992","Employed","Male","968","0.233923744557797","0.221686490018661","0.246160999096933"
"Yes","1992","Not Employed","Female","18","","",""
"Yes","1992","Not Employed","Male","15","","",""
"No","1993","Employed","Female","2158","0.669013048540397","0.652822428867046","0.685203668213748"
"No","1993","Employed","Male","3524","0.769729723656307","0.757365665063998","0.782093782248617"
"No","1993","Not Employed","Female","80","0.662825269264069","0.57642278910111","0.749227749427029"
"No","1993","Not Employed","Male","48","0.788635762189113","0.685329546371132","0.891941978007095"
"Yes","1993","Employed","Female","1087","0.330986951459603","0.314796331786252","0.347177571132954"
"Yes","1993","Employed","Male","930","0.230270276343693","0.217906217751383","0.242634334936002"
"Yes","1993","Not Employed","Female","35","0.33717473073593","0.250772250572971","0.42357721089889"
"Yes","1993","Not Employed","Male","12","","",""
"No","1994","Employed","Female","2031","0.660458697225206","0.643731915730513","0.677185478719899"
"No","1994","Employed","Male","3302","0.765768949685414","0.752934558625768","0.77860334074506"
"No","1994","Not Employed","Female","58","0.7493644646365","0.651930771342375","0.846798157930625"
"No","1994","Not Employed","Male","48","0.834266141051125","0.736876669836672","0.931655612265579"
"Yes","1994","Employed","Female","1048","0.339541302774794","0.322814521280101","0.356268084269487"
"Yes","1994","Employed","Male","881","0.234231050314586","0.22139665925494","0.247065441374232"
"Yes","1994","Not Employed","Female","18","","",""
"Yes","1994","Not Employed","Male","8","","",""
"No","1995","Employed","Female","2146","0.65267310994906","0.636336700191217","0.669009519706904"
"No","1995","Employed","Male","3546","0.775410081751669","0.763089324076152","0.787730839427185"
"No","1995","Not Employed","Female","87","0.785123878026908","0.708713953061979","0.861533802991836"
"No","1995","Not Employed","Male","67","0.84707356456131","0.766155936842233","0.927991192280388"
"Yes","1995","Employed","Female","1117","0.34732689005094","0.330990480293096","0.363663299808783"
"Yes","1995","Employed","Male","861","0.224589918248331","0.212269160572815","0.236910675923848"
"Yes","1995","Not Employed","Female","24","","",""
"Yes","1995","Not Employed","Male","9","","",""
"No","1996","Employed","Female","2064","0.654264645735531","0.637623997356796","0.670905294114266"
"No","1996","Employed","Male","3387","0.77601550010982","0.763411378734122","0.788619621485517"
"No","1996","Not Employed","Female","54","0.659164411203908","0.551892306174475","0.766436516233341"
"No","1996","Not Employed","Male","46","0.923685335779138","0.850093588887473","0.997277082670802"
"Yes","1996","Employed","Female","1074","0.345735354264469","0.329094705885734","0.362376002643204"
"Yes","1996","Employed","Male","816","0.22398449989018","0.211380378514483","0.236588621265877"
"Yes","1996","Not Employed","Female","21","","",""
"Yes","1996","Not Employed","Male","4","","",""
"No","1997","Employed","Female","2068","0.666119642377685","0.649566456542628","0.682672828212742"
"No","1997","Employed","Male","3329","0.774655856912511","0.761939619865146","0.787372093959876"
"No","1997","Not Employed","Female","57","0.823660450966245","0.736828171756072","0.910492730176418"
"No","1997","Not Employed","Male","39","0.911808288787515","0.828955432157647","0.994661145417383"
"Yes","1997","Employed","Female","1050","0.333880357622315","0.317327171787258","0.350433543457372"
"Yes","1997","Employed","Male","818","0.225344143087489","0.212627906040124","0.238060380134854"
"Yes","1997","Not Employed","Female","17","","",""
"Yes","1997","Not Employed","Male","6","","",""
"No","1998","Employed","Female","2263","0.657872372267602","0.642007023723239","0.673737720811964"
"No","1998","Employed","Male","3686","0.788971716388859","0.777111662440298","0.800831770337419"
"No","1998","Not Employed","Female","45","0.528448852189111","0.412334795241284","0.644562909136939"
"No","1998","Not Employed","Male","50","0.708444278571669","0.595317380474314","0.821571176669025"
"Yes","1998","Employed","Female","1172","0.342127627732398","0.326262279188035","0.357992976276761"
"Yes","1998","Employed","Male","861","0.211028283611141","0.199168229662581","0.222888337559702"
"Yes","1998","Not Employed","Female","26","","",""
"Yes","1998","Not Employed","Male","12","","",""
"No","1999","Employed","Female","2130","0.664885616582268","0.648515542741588","0.681255690422948"
"No","1999","Employed","Male","3395","0.791054372051937","0.77873988228229","0.803368861821584"
"No","1999","Not Employed","Female","50","0.687392589884379","0.574700490405934","0.800084689362824"
"No","1999","Not Employed","Male","32","0.787829698403484","0.657838255737575","0.917821141069392"
"Yes","1999","Employed","Female","1064","0.335114383417732","0.318744309577052","0.351484457258412"
"Yes","1999","Employed","Male","792","0.208945627948063","0.196631138178416","0.22126011771771"
"Yes","1999","Not Employed","Female","15","","",""
"Yes","1999","Not Employed","Male","6","","",""
"No","2000","Employed","Female","4156","0.707019115651051","0.695457584051771","0.718580647250331"
"No","2000","Employed","Male","6115","0.803862735637583","0.794930306069579","0.812795165205587"
"No","2000","Not Employed","Female","127","0.796905418064807","0.735706096799962","0.858104739329652"
"No","2000","Not Employed","Male","82","0.853097279846886","0.783008378800791","0.923186180892982"
"Yes","2000","Employed","Female","1797","0.292980884348949","0.28141935274967","0.304542415948229"
"Yes","2000","Employed","Male","1476","0.196137264362417","0.187204834794413","0.205069693930421"
"Yes","2000","Not Employed","Female","39","0.203094581935193","0.141895260670348","0.264293903200038"
"Yes","2000","Not Employed","Male","16","","",""
"No","2001","Employed","Female","3611","0.708179002352212","0.695813534836289","0.720544469868134"
"No","2001","Employed","Male","5208","0.800030522048243","0.790291940112459","0.809769103984028"
"No","2001","Not Employed","Female","103","0.839845285967359","0.775808087185358","0.903882484749359"
"No","2001","Not Employed","Male","51","0.849461503676918","0.76115891120801","0.937764096145825"
"Yes","2001","Employed","Female","1581","0.291820997647788","0.279455530131866","0.304186465163711"
"Yes","2001","Employed","Male","1272","0.199969477951756","0.190230896015972","0.209708059887541"
"Yes","2001","Not Employed","Female","23","","",""
"Yes","2001","Not Employed","Male","12","","",""
"No","2002","Employed","Female","4099","0.714526956252969","0.703072352954274","0.725981559551663"
"No","2002","Employed","Male","5677","0.801149568230024","0.791918638152838","0.810380498307209"
"No","2002","Not Employed","Female","102","0.845736207981857","0.783405408221814","0.9080670077419"
"No","2002","Not Employed","Male","68","0.880212667873631","0.808609242453733","0.95181609329353"
"Yes","2002","Employed","Female","1873","0.285473043747031","0.274018440448337","0.296927647045726"
"Yes","2002","Employed","Male","1505","0.198850431769976","0.189619501692791","0.208081361847162"
"Yes","2002","Not Employed","Female","27","","",""
"Yes","2002","Not Employed","Male","11","","",""
"No","2003","Employed","Female","3620","0.698399017463368","0.686096278773952","0.710701756152785"
"No","2003","Employed","Male","4976","0.791630865219674","0.781628859119786","0.801632871319563"
"No","2003","Not Employed","Female","76","0.798169262735064","0.717031072408469","0.879307453061659"
"No","2003","Not Employed","Male","45","0.831587067790728","0.730835517297279","0.932338618284177"
"Yes","2003","Employed","Female","1726","0.301600982536632","0.289298243847215","0.313903721226048"
"Yes","2003","Employed","Male","1358","0.208369134780326","0.198367128680437","0.218371140880214"
"Yes","2003","Not Employed","Female","18","","",""
"Yes","2003","Not Employed","Male","8","","",""
"No","2004","Employed","Female","3816","0.713097563445007","0.701204093839787","0.724991033050227"
"No","2004","Employed","Male","5096","0.79573301819437","0.785883321692612","0.805582714696129"
"No","2004","Not Employed","Female","88","0.838272099180841","0.767507442845109","0.909036755516573"
"No","2004","Not Employed","Male","55","0.733587197699862","0.63286257521814","0.834311820181584"
"Yes","2004","Employed","Female","1740","0.286902436554993","0.275008966949773","0.298795906160213"
"Yes","2004","Employed","Male","1340","0.20426698180563","0.194417285303871","0.214116678307388"
"Yes","2004","Not Employed","Female","16","","",""
"Yes","2004","Not Employed","Male","19","","",""
"No","2005","Employed","Female","3414","0.705719212208421","0.693103953419973","0.718334470996869"
"No","2005","Employed","Male","4507","0.795488665097601","0.785027797613931","0.80594953258127"
"No","2005","Not Employed","Female","58","0.838086971072495","0.754718295432379","0.921455646712612"
"No","2005","Not Employed","Male","65","0.912299435059847","0.846505052588171","0.978093817531524"
"Yes","2005","Employed","Female","1599","0.294280787791579","0.281665529003131","0.306896046580027"
"Yes","2005","Employed","Male","1204","0.204511334902399","0.19405046741873","0.214972202386069"
"Yes","2005","Not Employed","Female","17","","",""
"Yes","2005","Not Employed","Male","6","","",""
"No","2006","Employed","Female","3494","0.704353413168227","0.691901184893667","0.716805641442786"
"No","2006","Employed","Male","4574","0.796312755275918","0.785953385672739","0.806672124879097"
"No","2006","Not Employed","Female","85","0.747700196569791","0.667618904292706","0.827781488846877"
"No","2006","Not Employed","Male","71","0.811923390806254","0.731635081145134","0.892211700467374"
"Yes","2006","Employed","Female","1665","0.295646586831773","0.283194358557214","0.308098815106333"
"Yes","2006","Employed","Male","1232","0.203687244724082","0.193327875120903","0.214046614327261"
"Yes","2006","Not Employed","Female","28","","",""
"Yes","2006","Not Employed","Male","20","","",""
"No","2007","Employed","Female","3717","0.723343787975255","0.711318424943496","0.735369151007015"
"No","2007","Employed","Male","4735","0.800643123117739","0.790518940127382","0.810767306108096"
"No","2007","Not Employed","Female","109","0.806458837735414","0.740543524079905","0.872374151390923"
"No","2007","Not Employed","Male","59","0.862848561080728","0.783934547047012","0.941762575114444"
"Yes","2007","Employed","Female","1599","0.276656212024745","0.264630848992985","0.288681575056504"
"Yes","2007","Employed","Male","1247","0.199356876882261","0.189232693891904","0.209481059872618"
