"pgoeffd","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","1985","Schleswig-Holstein","Urban Area","30","0.333352149176515","0.240957257121883","0.425747041231147"
"Yes","1985","Schleswig-Holstein","Rural Area","20","","",""
"Yes","1985","Hamburg","Urban Area","43","0.259420735368929","0.190417356212736","0.328424114525121"
"Yes","1985","Hamburg","Rural Area","1","","",""
"Yes","1985","Lower Saxony","Urban Area","85","0.342070418712158","0.287842630398374","0.396298207025941"
"Yes","1985","Lower Saxony","Rural Area","59","0.224368293127304","0.173464897117147","0.275271689137461"
"Yes","1985","Bremen","Urban Area","9","","",""
"Yes","1985","Bremen","Rural Area","","","",""
"Yes","1985","North Rhine-Westphalia","Urban Area","352","0.266698969198875","0.244640454841289","0.288757483556462"
"Yes","1985","North Rhine-Westphalia","Rural Area","10","","",""
"Yes","1985","Hesse","Urban Area","131","0.261643933106439","0.225337619729741","0.297950246483137"
"Yes","1985","Hesse","Rural Area","22","","",""
"Yes","1985","Rhineland-Palatinate,Saarland","Urban Area","75","0.265055575619991","0.218141371358071","0.311969779881912"
"Yes","1985","Rhineland-Palatinate,Saarland","Rural Area","19","","",""
"Yes","1985","Baden-Württemberg","Urban Area","182","0.211018449338764","0.186784299502091","0.235252599175438"
"Yes","1985","Baden-Württemberg","Rural Area","28","","",""
"Yes","1985","Bavaria","Urban Area","134","0.24589217508154","0.21152225574697","0.280262094416109"
"Yes","1985","Bavaria","Rural Area","90","0.202862422946311","0.167579442542616","0.238145403350005"
"Yes","1985","Berlin","Urban Area","80","0.41994268765926","0.353189976638033","0.486695398680487"
"Yes","1985","Berlin","Rural Area","","","",""
"Yes","1985","Brandenburg","Urban Area","","","",""
"Yes","1985","Brandenburg","Rural Area","","","",""
"Yes","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Yes","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Yes","1985","Saxony","Urban Area","","","",""
"Yes","1985","Saxony","Rural Area","","","",""
"Yes","1985","Saxony-Anhalt","Urban Area","","","",""
"Yes","1985","Saxony-Anhalt","Rural Area","","","",""
"Yes","1985","Thuringia","Urban Area","","","",""
"Yes","1985","Thuringia","Rural Area","","","",""
"No","1985","Schleswig-Holstein","Urban Area","70","0.666647850823485","0.574252958768853","0.759042742878117"
"No","1985","Schleswig-Holstein","Rural Area","76","0.782820336264593","0.700339491115782","0.865301181413405"
"No","1985","Hamburg","Urban Area","112","0.740579264631071","0.671575885474879","0.809582643787264"
"No","1985","Hamburg","Rural Area","2","","",""
"No","1985","Lower Saxony","Urban Area","209","0.657929581287843","0.603701792974059","0.712157369601626"
"No","1985","Lower Saxony","Rural Area","199","0.775631706872696","0.724728310862539","0.826535102882853"
"No","1985","Bremen","Urban Area","30","0.738161456595098","0.600183960970364","0.876138952219832"
"No","1985","Bremen","Rural Area","","","",""
"No","1985","North Rhine-Westphalia","Urban Area","1192","0.733301030801125","0.711242516443538","0.755359545158711"
"No","1985","North Rhine-Westphalia","Rural Area","31","0.782129193920394","0.655773466833298","0.90848492100749"
"No","1985","Hesse","Urban Area","432","0.738356066893561","0.702049753516863","0.774662380270259"
"No","1985","Hesse","Rural Area","50","0.642647330483518","0.531955208732578","0.753339452234459"
"No","1985","Rhineland-Palatinate,Saarland","Urban Area","265","0.734944424380009","0.688030220118088","0.781858628641929"
"No","1985","Rhineland-Palatinate,Saarland","Rural Area","45","0.722871119725481","0.613215868409185","0.832526371041777"
"No","1985","Baden-Württemberg","Urban Area","907","0.788981550661236","0.764747400824562","0.813215700497909"
"No","1985","Baden-Württemberg","Rural Area","149","0.801244224829357","0.742454179873862","0.860034269784852"
"No","1985","Bavaria","Urban Area","469","0.75410782491846","0.719737905583891","0.78847774425303"
"No","1985","Bavaria","Rural Area","409","0.797137577053689","0.761854596649995","0.832420557457384"
"No","1985","Berlin","Urban Area","130","0.58005731234074","0.513304601319513","0.646810023361967"
"No","1985","Berlin","Rural Area","","","",""
"No","1985","Brandenburg","Urban Area","","","",""
"No","1985","Brandenburg","Rural Area","","","",""
"No","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"No","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"No","1985","Saxony","Urban Area","","","",""
"No","1985","Saxony","Rural Area","","","",""
"No","1985","Saxony-Anhalt","Urban Area","","","",""
"No","1985","Saxony-Anhalt","Rural Area","","","",""
"No","1985","Thuringia","Urban Area","","","",""
"No","1985","Thuringia","Rural Area","","","",""
"Yes","1986","Schleswig-Holstein","Urban Area","27","","",""
"Yes","1986","Schleswig-Holstein","Rural Area","19","","",""
"Yes","1986","Hamburg","Urban Area","35","0.265363515482397","0.188573795648656","0.342153235316137"
"Yes","1986","Hamburg","Rural Area","1","","",""
"Yes","1986","Lower Saxony","Urban Area","79","0.325144730285264","0.271690661938752","0.378598798631777"
"Yes","1986","Lower Saxony","Rural Area","61","0.228833557058319","0.17767336970137","0.279993744415269"
"Yes","1986","Bremen","Urban Area","6","","",""
"Yes","1986","Bremen","Rural Area","","","",""
"Yes","1986","North Rhine-Westphalia","Urban Area","338","0.269172868697403","0.246224854342672","0.292120883052134"
"Yes","1986","North Rhine-Westphalia","Rural Area","10","","",""
"Yes","1986","Hesse","Urban Area","117","0.278677154990103","0.239612107179816","0.31774220280039"
"Yes","1986","Hesse","Rural Area","23","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","Urban Area","68","0.241589425969623","0.195545727638084","0.287633124301162"
"Yes","1986","Rhineland-Palatinate,Saarland","Rural Area","19","","",""
"Yes","1986","Baden-Württemberg","Urban Area","179","0.22779879926467","0.20219763536666","0.253399963162681"
"Yes","1986","Baden-Württemberg","Rural Area","30","0.21317361177237","0.152667682250467","0.273679541294272"
"Yes","1986","Bavaria","Urban Area","127","0.261756587549245","0.225118387835259","0.29839478726323"
"Yes","1986","Bavaria","Rural Area","92","0.216724612322892","0.17919544289371","0.254253781752075"
"Yes","1986","Berlin","Urban Area","74","0.408974971369576","0.341007460707757","0.476942482031396"
"Yes","1986","Berlin","Rural Area","","","",""
"Yes","1986","Brandenburg","Urban Area","","","",""
"Yes","1986","Brandenburg","Rural Area","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Yes","1986","Saxony","Urban Area","","","",""
