"pgoeffd","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1984","Schleswig-Holstein","in school","","","",""
"Yes","1984","Schleswig-Holstein","inadequately","","","",""
"Yes","1984","Schleswig-Holstein","general elemantary","3","","",""
"Yes","1984","Schleswig-Holstein","middle vocational","37","0.246959574909506","0.177246939105752","0.31667221071326"
"Yes","1984","Schleswig-Holstein","vocational + Abi","1","","",""
"Yes","1984","Schleswig-Holstein","higher vocational","7","","",""
"Yes","1984","Schleswig-Holstein","higher education","6","","",""
"Yes","1984","Hamburg","in school","","","",""
"Yes","1984","Hamburg","inadequately","7","","",""
"Yes","1984","Hamburg","general elemantary","8","","",""
"Yes","1984","Hamburg","middle vocational","22","","",""
"Yes","1984","Hamburg","vocational + Abi","6","","",""
"Yes","1984","Hamburg","higher vocational","4","","",""
"Yes","1984","Hamburg","higher education","2","","",""
"Yes","1984","Lower Saxony","in school","","","",""
"Yes","1984","Lower Saxony","inadequately","","","",""
"Yes","1984","Lower Saxony","general elemantary","26","","",""
"Yes","1984","Lower Saxony","middle vocational","79","0.232134935350117","0.189057720636627","0.275212150063606"
"Yes","1984","Lower Saxony","vocational + Abi","3","","",""
"Yes","1984","Lower Saxony","higher vocational","18","","",""
"Yes","1984","Lower Saxony","higher education","36","0.563355085369196","0.440884123408352","0.685826047330039"
"Yes","1984","Bremen","in school","","","",""
"Yes","1984","Bremen","inadequately","","","",""
"Yes","1984","Bremen","general elemantary","3","","",""
"Yes","1984","Bremen","middle vocational","4","","",""
"Yes","1984","Bremen","vocational + Abi","","","",""
"Yes","1984","Bremen","higher vocational","1","","",""
"Yes","1984","Bremen","higher education","1","","",""
"Yes","1984","North Rhine-Westphalia","in school","","","",""
"Yes","1984","North Rhine-Westphalia","inadequately","11","","",""
"Yes","1984","North Rhine-Westphalia","general elemantary","59","0.195564864436944","0.156888259917942","0.234241468955945"
"Yes","1984","North Rhine-Westphalia","middle vocational","165","0.199521392136037","0.17329519857663","0.225747585695444"
"Yes","1984","North Rhine-Westphalia","vocational + Abi","8","","",""
"Yes","1984","North Rhine-Westphalia","higher vocational","47","0.436209582509751","0.343535521500266","0.528883643519237"
"Yes","1984","North Rhine-Westphalia","higher education","97","0.542063073382966","0.470268772477925","0.613857374288007"
"Yes","1984","Hesse","in school","","","",""
"Yes","1984","Hesse","inadequately","9","","",""
"Yes","1984","Hesse","general elemantary","28","","",""
"Yes","1984","Hesse","middle vocational","77","0.234736470522131","0.191550466352808","0.277922474691453"
"Yes","1984","Hesse","vocational + Abi","3","","",""
"Yes","1984","Hesse","higher vocational","15","","",""
"Yes","1984","Hesse","higher education","35","0.524702650636295","0.406007504387317","0.643397796885272"
"Yes","1984","Rhineland-Palatinate,Saarland","in school","1","","",""
"Yes","1984","Rhineland-Palatinate,Saarland","inadequately","6","","",""
"Yes","1984","Rhineland-Palatinate,Saarland","general elemantary","16","","",""
"Yes","1984","Rhineland-Palatinate,Saarland","middle vocational","54","0.247033530559468","0.192240492175596","0.301826568943339"
"Yes","1984","Rhineland-Palatinate,Saarland","vocational + Abi","1","","",""
"Yes","1984","Rhineland-Palatinate,Saarland","higher vocational","5","","",""
"Yes","1984","Rhineland-Palatinate,Saarland","higher education","15","","",""
"Yes","1984","Baden-Württemberg","in school","","","",""
"Yes","1984","Baden-Württemberg","inadequately","15","","",""
"Yes","1984","Baden-Württemberg","general elemantary","48","0.16320102018034","0.125748219824595","0.200653820536085"
"Yes","1984","Baden-Württemberg","middle vocational","97","0.183498069030403","0.153809732950366","0.21318640511044"
"Yes","1984","Baden-Württemberg","vocational + Abi","4","","",""
"Yes","1984","Baden-Württemberg","higher vocational","24","","",""
"Yes","1984","Baden-Württemberg","higher education","45","0.429113177499676","0.333528030233435","0.524698324765918"
"Yes","1984","Bavaria","in school","","","",""
"Yes","1984","Bavaria","inadequately","4","","",""
"Yes","1984","Bavaria","general elemantary","35","0.140604828014262","0.10066573776912","0.180543918259404"
"Yes","1984","Bavaria","middle vocational","124","0.20161763333773","0.170962382882935","0.232272883792524"
"Yes","1984","Bavaria","vocational + Abi","9","","",""
"Yes","1984","Bavaria","higher vocational","25","","",""
"Yes","1984","Bavaria","higher education","54","0.488329695094835","0.397365439430946","0.579293950758724"
"Yes","1984","Berlin","in school","","","",""
"Yes","1984","Berlin","inadequately","6","","",""
"Yes","1984","Berlin","general elemantary","13","","",""
"Yes","1984","Berlin","middle vocational","42","0.353187900063046","0.270708553428949","0.435667246697143"
"Yes","1984","Berlin","vocational + Abi","","","",""
"Yes","1984","Berlin","higher vocational","11","","",""
"Yes","1984","Berlin","higher education","16","","",""
"Yes","1984","Brandenburg","in school","","","",""
"Yes","1984","Brandenburg","inadequately","","","",""
"Yes","1984","Brandenburg","general elemantary","","","",""
"Yes","1984","Brandenburg","middle vocational","","","",""
"Yes","1984","Brandenburg","vocational + Abi","","","",""
"Yes","1984","Brandenburg","higher vocational","","","",""
"Yes","1984","Brandenburg","higher education","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","in school","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","inadequately","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","general elemantary","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","middle vocational","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","higher vocational","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","higher education","","","",""
"Yes","1984","Saxony","in school","","","",""
"Yes","1984","Saxony","inadequately","","","",""
"Yes","1984","Saxony","general elemantary","","","",""
"Yes","1984","Saxony","middle vocational","","","",""
"Yes","1984","Saxony","vocational + Abi","","","",""
"Yes","1984","Saxony","higher vocational","","","",""
"Yes","1984","Saxony","higher education","","","",""
"Yes","1984","Saxony-Anhalt","in school","","","",""
"Yes","1984","Saxony-Anhalt","inadequately","","","",""
"Yes","1984","Saxony-Anhalt","general elemantary","","","",""
"Yes","1984","Saxony-Anhalt","middle vocational","","","",""
"Yes","1984","Saxony-Anhalt","vocational + Abi","","","",""
"Yes","1984","Saxony-Anhalt","higher vocational","","","",""
"Yes","1984","Saxony-Anhalt","higher education","","","",""
"Yes","1984","Thuringia","in school","","","",""
"Yes","1984","Thuringia","inadequately","","","",""
"Yes","1984","Thuringia","general elemantary","","","",""
"Yes","1984","Thuringia","middle vocational","","","",""
