"pgoeffd","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1984","Not Employed","East Germany","","","","","2"
"No","1984","Not Employed","West Germany","157","0.858892409298344","0.808314954845495","0.909469863751194","2"
"No","1984","Employed","West Germany","5470","0.750741436437108","0.740569124276211","0.760913748598005","2"
"No","1984","Employed","East Germany","","","","","2"
"Yes","1984","Not Employed","West Germany","25","","","","1"
"Yes","1984","Not Employed","East Germany","","","","","1"
"Yes","1984","Employed","West Germany","1477","0.249258563562892","0.239086251401995","0.259430875723789","1"
"Yes","1984","Employed","East Germany","","","","","1"
"No","1985","Not Employed","East Germany","","","","","2"
"No","1985","Employed","East Germany","","","","","2"
"No","1985","Not Employed","West Germany","76","0.774033897164213","0.690374619139817","0.857693175188608","2"
"No","1985","Employed","West Germany","4701","0.742715281422842","0.731701088216861","0.753729474628823","2"
"Yes","1985","Not Employed","West Germany","20","","","","1"
"Yes","1985","Not Employed","East Germany","","","","","1"
"Yes","1985","Employed","West Germany","1350","0.257284718577158","0.246270525371177","0.268298911783139","1"
"Yes","1985","Employed","East Germany","","","","","1"
"No","1986","Not Employed","East Germany","","","","","2"
"No","1986","Employed","East Germany","","","","","2"
"No","1986","Not Employed","West Germany","51","0.709879830395308","0.601214233615563","0.818545427175052","2"
"No","1986","Employed","West Germany","4414","0.738228384156029","0.726819240413091","0.749637527898967","2"
"Yes","1986","Not Employed","East Germany","","","","","1"
"Yes","1986","Employed","West Germany","1289","0.261771615843971","0.250362472101033","0.273180759586909","1"
"Yes","1986","Employed","East Germany","","","","","1"
"Yes","1986","Not Employed","West Germany","16","","","","1"
"No","1987","Not Employed","East Germany","","","","","2"
"No","1987","Employed","East Germany","","","","","2"
"No","1987","Not Employed","West Germany","62","0.678603589827213","0.579322344665688","0.777884834988738","2"
"No","1987","Employed","West Germany","4474","0.739541820312466","0.728219503592454","0.750864137032477","2"
"Yes","1987","Not Employed","East Germany","","","","","1"
"Yes","1987","Employed","West Germany","1298","0.260458179687534","0.249135862967523","0.271780496407546","1"
"Yes","1987","Employed","East Germany","","","","","1"
"Yes","1987","Not Employed","West Germany","23","","","","1"
"No","1988","Not Employed","East Germany","","","","","2"
"No","1988","Employed","East Germany","","","","","2"
"No","1988","Not Employed","West Germany","75","0.74990465169181","0.664597326568124","0.835211976815496","2"
