"pgoeffd","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"No","1984","Full Time","Female","1179","0.722421048415236","0.700084662520252","0.74475743431022"
"No","1984","Full Time","Male","3123","0.757575865855677","0.744129483686318","0.771022248025035"
"No","1984","Not Working","Female","75","0.853306370776982","0.779385874215742","0.927226867338223"
"No","1984","Not Working","Male","82","0.863819230914398","0.794484076087901","0.933154385740896"
"No","1984","Part Time","Female","764","0.732039905325294","0.704873157005564","0.759206653645024"
"No","1984","Part Time","Male","404","0.825805680620357","0.79187571657481","0.859735644665903"
"Yes","1984","Full Time","Female","365","0.277578951584764","0.25524256568978","0.299915337479748"
"Yes","1984","Full Time","Male","779","0.242424134144323","0.228977751974965","0.255870516313682"
"Yes","1984","Not Working","Female","13","","",""
"Yes","1984","Not Working","Male","12","","",""
"Yes","1984","Part Time","Female","257","0.267960094674706","0.240793346354976","0.295126842994436"
"Yes","1984","Part Time","Male","76","0.174194319379643","0.140264355334097","0.20812428342519"
"No","1985","Full Time","Female","1000","0.693838129073968","0.669288587225997","0.718387670921939"
"No","1985","Full Time","Male","2691","0.756154229570278","0.741686655309861","0.770621803830694"
"No","1985","Not Working","Female","40","0.776248166469361","0.660730958389923","0.8917653745488"
"No","1985","Not Working","Male","36","0.771053016175892","0.64963622290109","0.892469809450694"
"No","1985","Part Time","Female","663","0.755403331657717","0.726970798804901","0.783835864510534"
"No","1985","Part Time","Male","347","0.764509313256441","0.724636055441553","0.80438257107133"
"Yes","1985","Full Time","Female","354","0.306161870926032","0.281612329078061","0.330711412774003"
"Yes","1985","Full Time","Male","693","0.243845770429722","0.229378196169306","0.258313344690139"
"Yes","1985","Not Working","Female","10","","",""
"Yes","1985","Not Working","Male","10","","",""
"Yes","1985","Part Time","Female","215","0.244596668342283","0.216164135489466","0.273029201195099"
"Yes","1985","Part Time","Male","88","0.235490686743559","0.19561742892867","0.275363944558447"
"No","1986","Full Time","Female","972","0.712617516248841","0.68795103376788","0.737283998729802"
"No","1986","Full Time","Male","2578","0.749748312593665","0.73487690192917","0.76461972325816"
"No","1986","Not Working","Female","26","","",""
"No","1986","Not Working","Male","25","","",""
"No","1986","Part Time","Female","580","0.717382906449085","0.686200720432548","0.748565092465623"
"No","1986","Part Time","Male","284","0.779951450337672","0.736549713524744","0.8233531871506"
"Yes","1986","Full Time","Female","321","0.287382483751159","0.262716001270198","0.31204896623212"
"Yes","1986","Full Time","Male","681","0.250251687406335","0.23538027674184","0.26512309807083"
"Yes","1986","Not Working","Female","7","","",""
"Yes","1986","Not Working","Male","9","","",""
"Yes","1986","Part Time","Female","221","0.282617093550915","0.251434907534377","0.313799279567452"
"Yes","1986","Part Time","Male","66","0.220048549662328","0.1766468128494","0.263450286475256"
"No","1987","Full Time","Female","980","0.718963101985272","0.694414592262607","0.743511611707936"
"No","1987","Full Time","Male","2567","0.750233346209341","0.735346404416091","0.765120288002592"
"No","1987","Not Working","Female","43","0.699342182298818","0.581333161464633","0.817351203133002"
"No","1987","Not Working","Male","19","","",""
"No","1987","Part Time","Female","614","0.702615213561368","0.672170822404656","0.73305960471808"
"No","1987","Part Time","Male","313","0.815647989030419","0.776136576717369","0.855159401343469"
"Yes","1987","Full Time","Female","308","0.281036898014728","0.256488388292064","0.305585407737393"
"Yes","1987","Full Time","Male","681","0.249766653790659","0.234879711997408","0.26465359558391"
"Yes","1987","Not Working","Female","15","","",""
"Yes","1987","Not Working","Male","8","","",""
"Yes","1987","Part Time","Female","252","0.297384786438632","0.26694039528192","0.327829177595344"
"Yes","1987","Part Time","Male","57","0.184352010969581","0.144840598656531","0.223863423282631"
"No","1988","Full Time","Female","938","0.705500226628687","0.680180764441228","0.730819688816146"
"No","1988","Full Time","Male","2481","0.75745949239997","0.742383388004702","0.772535596795238"
"No","1988","Not Working","Female","40","0.691888224998364","0.574074957006896","0.809701492989833"
"No","1988","Not Working","Male","35","0.838090455797283","0.723934186340738","0.952246725253827"
"No","1988","Part Time","Female","668","0.728859748945303","0.699944685655339","0.757774812235267"
"No","1988","Part Time","Male","313","0.791075929803254","0.749874184403676","0.832277675202831"
"Yes","1988","Full Time","Female","307","0.294499773371313","0.269180311183854","0.319819235558772"
"Yes","1988","Full Time","Male","624","0.24254050760003","0.227464403204762","0.257616611995298"
"Yes","1988","Not Working","Female","19","","",""
"Yes","1988","Not Working","Male","5","","",""
"Yes","1988","Part Time","Female","240","0.271140251054697","0.242225187764733","0.300055314344661"
"Yes","1988","Part Time","Male","61","0.208924070196746","0.167722324797169","0.250125815596324"
"No","1989","Full Time","Female","1003","0.718752552983419","0.694451829189142","0.743053276777696"
"No","1989","Full Time","Male","2503","0.765921851037477","0.751028584707881","0.780815117367073"
"No","1989","Not Working","Female","46","0.702753291349923","0.589893878200497","0.815612704499348"
"No","1989","Not Working","Male","50","0.812988841656473","0.711764090977323","0.914213592335623"
"No","1989","Part Time","Female","694","0.722220728996252","0.693708654708611","0.750732803283893"
