"pgoeffd","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Yes","1984","(0) in school","Male","1","","",""
"Yes","1984","(0) in school","Female","","","",""
"Yes","1984","(1a) inadequately completed","Male","29","","",""
"Yes","1984","(1a) inadequately completed","Female","33","0.157812972766369","0.113752836000696","0.201873109532042"
"Yes","1984","(1b) general elementary school","Male","69","0.121400832773395","0.0980739434131542","0.144727722133636"
"Yes","1984","(1b) general elementary school","Female","113","0.192867299456151","0.162834687964622","0.222899910947681"
"Yes","1984","(1c) basic vocational qualification","Male","333","0.19068028905902","0.173257810887992","0.208102767230048"
"Yes","1984","(1c) basic vocational qualification","Female","152","0.206813811357518","0.178516963112595","0.235110659602441"
"Yes","1984","(2b) intermediate general qualification","Male","16","","",""
"Yes","1984","(2b) intermediate general qualification","Female","42","0.318836556174057","0.240800101852531","0.396873010495583"
"Yes","1984","(2a) intermediate vocational","Male","151","0.303391026548379","0.262810233553787","0.34397181954297"
"Yes","1984","(2a) intermediate vocational","Female","135","0.300664812503804","0.258344992422128","0.34298463258548"
"Yes","1984","(2c_gen) general maturity certificate","Male","19","","",""
"Yes","1984","(2c_gen) general maturity certificate","Female","14","","",""
"Yes","1984","(2c_voc) vocational maturity certificate","Male","49","0.295302479954959","0.231600945093011","0.359004014816907"
"Yes","1984","(2c_voc) vocational maturity certificate","Female","35","0.36112263565717","0.270111966298189","0.452133305016151"
"Yes","1984","(3a) lower tertiary education","Male","36","0.23940059432586","0.172223247877463","0.306577940774257"
"Yes","1984","(3a) lower tertiary education","Female","23","","",""
"Yes","1984","(3b) higher tertiary education","Male","162","0.571205705934216","0.515203100674489","0.627208311193943"
"Yes","1984","(3b) higher tertiary education","Female","86","0.728171592970918","0.64889961547098","0.807443570470856"
"No","1984","(0) in school","Male","1","","",""
"No","1984","(0) in school","Female","2","","",""
"No","1984","(1a) inadequately completed","Male","375","0.92221028901495","0.896092676815376","0.948327901214524"
"No","1984","(1a) inadequately completed","Female","230","0.842187027233631","0.798126890467958","0.886247163999304"
"No","1984","(1b) general elementary school","Male","684","0.878599167226605","0.855272277866364","0.901926056586846"
"No","1984","(1b) general elementary school","Female","550","0.807132700543849","0.777100089052319","0.837165312035378"
"No","1984","(1c) basic vocational qualification","Male","1620","0.80931971094098","0.791897232769952","0.826742189112007"
"No","1984","(1c) basic vocational qualification","Female","635","0.793186188642482","0.764889340397559","0.821483036887405"
