"pgoeffd","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1985","Rural Area","961","0.777340545162123","0.75389924819136","0.800781842132885","2"
"No","1985","Urban Area","3816","0.733214642806952","0.720877542756237","0.745551742857667","2"
"Yes","1985","Rural Area","249","0.222659454837877","0.199218157867115","0.24610075180864","1"
"Yes","1985","Urban Area","1121","0.266785357193048","0.254448257142333","0.279122457243763","1"
"No","1986","Rural Area","902","0.76455433167861","0.740107029503973","0.789001633853247","2"
"No","1986","Urban Area","3563","0.730083736046219","0.71727349718763","0.742893974904807","2"
"Yes","1986","Rural Area","255","0.23544566832139","0.210998366146753","0.259892970496027","1"
"Yes","1986","Urban Area","1050","0.269916263953781","0.257106025095192","0.28272650281237","1"
"No","1987","Rural Area","947","0.761619456716525","0.737621158977884","0.785617754455166","2"
"No","1987","Urban Area","3589","0.731836421142485","0.719098006117443","0.744574836167527","2"
"Yes","1987","Rural Area","264","0.238380543283475","0.214382245544834","0.262378841022116","1"
"Yes","1987","Urban Area","1057","0.268163578857515","0.255425163832473","0.280901993882557","1"
"No","1988","Rural Area","902","0.766065338017098","0.741491337706893","0.790639338327303","2"
"No","1988","Urban Area","3573","0.736836050077368","0.724098289671377","0.74957381048336","2"
"Yes","1988","Rural Area","238","0.233934661982902","0.209360661672698","0.258508662293107","1"
"Yes","1988","Urban Area","1018","0.263163949922632","0.25042618951664","0.275901710328623","1"
"No","1989","Rural Area","897","0.75737824059172","0.732581281090575","0.782175200092866","2"
"No","1989","Urban Area","3686","0.747333054055846","0.734900678378803","0.75976542973289","2"
"Yes","1989","Rural Area","251","0.24262175940828","0.217824799907134","0.267418718909425","1"
"Yes","1989","Urban Area","1007","0.252666945944153","0.24023457026711","0.265099321621197","1"
"No","1990","Rural Area","2339","0.7255975367318","0.710240178342744","0.740954895120857","2"
"No","1990","Urban Area","4244","0.729968897087765","0.718399410826218","0.741538383349313","2"
"Yes","1990","Rural Area","904","0.274402463268199","0.259045104879143","0.289759821657255","1"
"Yes","1990","Urban Area","1413","0.270031102912235","0.258461616650687","0.281600589173782","1"
"No","1991","Rural Area","2178","0.727027940463698","0.711068069283896","0.742987811643501","2"
"No","1991","Urban Area","4264","0.733852134657252","0.722305994602567","0.745398274711936","2"
"Yes","1991","Rural Area","815","0.272972059536302","0.257012188356499","0.288931930716105","1"
"Yes","1991","Urban Area","1364","0.266147865342748","0.254601725288064","0.277694005397433","1"
"No","1992","Rural Area","1840","0.701246671664464","0.683800138181388","0.71869320514754","2"
"No","1992","Urban Area","3971","0.724634990868194","0.712608908239575","0.736661073496813","2"
"Yes","1992","Rural Area","804","0.298753328335536","0.28130679485246","0.316199861818612","1"
"Yes","1992","Urban Area","1329","0.275365009131806","0.263338926503187","0.287391091760425","1"
"No","1993","Rural Area","1831","0.713085221003739","0.695655234367149","0.730515207640328","2"
"No","1993","Urban Area","3979","0.733666863180267","0.721751549226007","0.745582177134527","2"
"Yes","1993","Rural Area","756","0.286914778996262","0.269484792359672","0.304344765632851","1"
"Yes","1993","Urban Area","1308","0.266333136819733","0.254417822865473","0.278248450773993","1"
"No","1994","Rural Area","1740","0.706622878571451","0.688623226077783","0.72462253106512","2"
"No","1994","Urban Area","3699","0.730389044302462","0.718009450110756","0.742768638494167","2"
"Yes","1994","Rural Area","718","0.293377121428549","0.275377468934881","0.311376773922217","1"
"Yes","1994","Urban Area","1237","0.269610955697538","0.257231361505833","0.281990549889244","1"
"No","1995","Rural Area","1906","0.711356177326977","0.694136224394017","0.728576130259938","2"
"No","1995","Urban Area","3940","0.733760577450928","0.721743880707063","0.745777274194792","2"
"Yes","1995","Rural Area","754","0.288643822673023","0.271423869740062","0.305863775605983","1"
"Yes","1995","Urban Area","1257","0.266239422549072","0.254222725805208","0.278256119292937","1"
"No","1996","Rural Area","1826","0.72762528617158","0.710223142920001","0.745027429423159","2"
"No","1996","Urban Area","3725","0.725755045968622","0.713329309810155","0.738180782127089","2"
"Yes","1996","Rural Area","688","0.27237471382842","0.254972570576841","0.289776857079999","1"
"Yes","1996","Urban Area","1227","0.274244954031378","0.261819217872911","0.286670690189845","1"
"No","1997","Rural Area","1817","0.731665477522277","0.714313907265003","0.74901704777955","2"
"No","1997","Urban Area","3676","0.731668037294424","0.719235037475554","0.744101037113294","2"
"Yes","1997","Rural Area","688","0.268334522477723","0.25098295222045","0.285686092734997","1"
"Yes","1997","Urban Area","1203","0.268331962705576","0.255898962886706","0.280764962524446","1"
"No","1998","Rural Area","1992","0.720292358711019","0.703525505795484","0.737059211626555","2"
"No","1998","Urban Area","4052","0.737762193012408","0.725989101053048","0.749535284971768","2"
"Yes","1998","Rural Area","761","0.279707641288981","0.262940788373445","0.296474494204516","1"
"Yes","1998","Urban Area","1310","0.262237806987592","0.250464715028232","0.274010898946952","1"
"No","1999","Rural Area","1858","0.725969668362762","0.708675041560912","0.743264295164612","2"
"No","1999","Urban Area","3749","0.743323405124021","0.73112927793915","0.755517532308892","2"
"Yes","1999","Rural Area","697","0.274030331637238","0.256735704835388","0.291324958439088","1"
"Yes","1999","Urban Area","1180","0.256676594875979","0.244482467691108","0.26887072206085","1"
"No","2000","Rural Area","3513","0.757659563357015","0.745414404258117","0.769904722455914","2"
"No","2000","Urban Area","6968","0.766472508559867","0.757782872927235","0.775162144192499","2"
"Yes","2000","Rural Area","1191","0.242340436642985","0.230095277544086","0.254585595741883","1"
"Yes","2000","Urban Area","2138","0.233527491440133","0.224837855807501","0.242217127072765","1"
"No","2001","Rural Area","2978","0.758651272740302","0.745382422236984","0.771920123243621","2"
"No","2001","Urban Area","5995","0.763445377908535","0.754054075527936","0.772836680289133","2"
"Yes","2001","Rural Area","1017","0.241348727259698","0.228079876756379","0.254617577763016","1"
"Yes","2001","Urban Area","1871","0.236554622091465","0.227163319710867","0.245945924472064","1"
"No","2002","Rural Area","3141","0.759843481463487","0.747081408586398","0.772605554340575","2"
"No","2002","Urban Area","6805","0.767149128652834","0.758445291344657","0.775852965961011","2"
"Yes","2002","Rural Area","1163","0.240156518536513","0.227394445659425","0.252918591413601","1"
"Yes","2002","Urban Area","2253","0.232850871347166","0.224147034038989","0.241554708655343","1"
"No","2003","Rural Area","2733","0.747398094081624","0.733542938121515","0.761253250041734","2"
"No","2003","Urban Area","5984","0.753344994683183","0.743927854240083","0.762762135126282","2"
"Yes","2003","Rural Area","1045","0.252601905918376","0.238746749958266","0.266457061878485","1"
"Yes","2003","Urban Area","2065","0.246655005316817","0.237237864873718","0.256072145759917","1"
"No","2004","Rural Area","2922","0.768721882697594","0.755554271508178","0.781889493887009","2"
"No","2004","Urban Area","6133","0.755484723424181","0.746199601037949","0.764769845810414","2"
"Yes","2004","Rural Area","1017","0.231278117302406","0.218110506112991","0.244445728491822","1"
"Yes","2004","Urban Area","2098","0.244515276575819","0.235230154189586","0.253800398962051","1"
"No","2005","Rural Area","2594","0.759553152708315","0.745417322983782","0.773688982432847","2"
"No","2005","Urban Area","5450","0.75566098943546","0.745843541736619","0.7654784371343","2"
"Yes","2005","Rural Area","917","0.240446847291685","0.226311017567153","0.254582677016218","1"
"Yes","2005","Urban Area","1909","0.244339010564541","0.2345215628657","0.254156458263381","1"
"No","2006","Rural Area","2715","0.760738361336443","0.746954262564137","0.774522460108749","2"
"No","2006","Urban Area","5509","0.753990242042681","0.744235962328929","0.763744521756433","2"
"Yes","2006","Rural Area","965","0.239261638663557","0.225477539891251","0.253045737435863","1"
"Yes","2006","Urban Area","1980","0.246009757957319","0.236255478243567","0.255764037671071","1"
"No","2007","Rural Area","2933","0.783389240409425","0.770373784863929","0.796404695954921","2"
"No","2007","Urban Area","5687","0.760059541309587","0.750496832975495","0.769622249643679","2"
"Yes","2007","Rural Area","915","0.216610759590575","0.203595304045079","0.229626215136071","1"
"Yes","2007","Urban Area","1974","0.239940458690413","0.230377750356321","0.249503167024505","1"
"No","2008","Rural Area","2625","0.776781189472912","0.762922464014255","0.790639914931568","2"
"No","2008","Urban Area","5193","0.767444843734982","0.757534083889226","0.777355603580737","2"
"Yes","2008","Rural Area","843","0.223218810527088","0.209360085068432","0.237077535985745","1"
"Yes","2008","Urban Area","1787","0.232555156265018","0.222644396419263","0.242465916110774","1"
