"pgoeffd","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1984","Full Time","West Germany","4302","0.747646668030298","0.736110488786857","0.75918284727374","2"
"No","1984","Part Time","West Germany","1168","0.760914280999118","0.739336716159423","0.782491845838812","2"
"No","1984","Full Time","East Germany","","","","","2"
"No","1984","Part Time","East Germany","","","","","2"
"No","1984","Not Working","West Germany","157","0.858892409298344","0.808314954845495","0.909469863751194","2"
"No","1984","Not Working","East Germany","","","","","2"
"Yes","1984","Full Time","West Germany","1144","0.252353331969701","0.24081715272626","0.263889511213143","1"
"Yes","1984","Full Time","East Germany","","","","","1"
"Yes","1984","Part Time","West Germany","333","0.239085719000883","0.217508154161188","0.260663283840577","1"
"Yes","1984","Part Time","East Germany","","","","","1"
"Yes","1984","Not Working","West Germany","25","","","","1"
"Yes","1984","Not Working","East Germany","","","","","1"
"No","1985","Full Time","West Germany","3691","0.738126166567852","0.725607389192538","0.750644943943166","2"
"No","1985","Full Time","East Germany","","","","","2"
"No","1985","Part Time","West Germany","1010","0.75819977165084","0.735039912921461","0.781359630380218","2"
"No","1985","Part Time","East Germany","","","","","2"
"No","1985","Not Working","West Germany","76","0.774033897164213","0.690374619139817","0.857693175188608","2"
"No","1985","Not Working","East Germany","","","","","2"
"Yes","1985","Full Time","West Germany","1047","0.261873833432148","0.249355056056834","0.274392610807462","1"
"Yes","1985","Full Time","East Germany","","","","","1"
"Yes","1985","Part Time","West Germany","303","0.24180022834916","0.218640369619782","0.264960087078539","1"
"Yes","1985","Part Time","East Germany","","","","","1"
"Yes","1985","Not Working","West Germany","20","","","","1"
"Yes","1985","Not Working","East Germany","","","","","1"
"No","1986","Full Time","East Germany","","","","","2"
"No","1986","Full Time","West Germany","3550","0.739020869895423","0.726262998926972","0.751778740863875","2"
"No","1986","Part Time","East Germany","","","","","2"
"No","1986","Part Time","West Germany","864","0.735220974912963","0.709731483932003","0.760710465893923","2"
"No","1986","Not Working","West Germany","51","0.709879830395308","0.601214233615563","0.818545427175052","2"
"No","1986","Not Working","East Germany","","","","","2"
"Yes","1986","Full Time","West Germany","1002","0.260979130104577","0.248221259136125","0.273737001073028","1"
"Yes","1986","Full Time","East Germany","","","","","1"
"Yes","1986","Part Time","West Germany","287","0.264779025087037","0.239289534106077","0.290268516067997","1"
"Yes","1986","Part Time","East Germany","","","","","1"
"Yes","1986","Not Working","West Germany","16","","","","1"
"Yes","1986","Not Working","East Germany","","","","","1"
"No","1987","Full Time","West Germany","3547","0.741193817359323","0.728448085268137","0.753939549450509","2"
"No","1987","Full Time","East Germany","","","","","2"
"No","1987","Part Time","East Germany","","","","","2"
"No","1987","Part Time","West Germany","927","0.733737285814016","0.709095945455989","0.758378626172043","2"
"No","1987","Not Working","West Germany","62","0.678603589827213","0.579322344665688","0.777884834988738","2"
"No","1987","Not Working","East Germany","","","","","2"
"Yes","1987","Full Time","West Germany","989","0.258806182640677","0.246060450549491","0.271551914731863","1"
"Yes","1987","Full Time","East Germany","","","","","1"
"Yes","1987","Part Time","West Germany","309","0.266262714185984","0.241621373827956","0.290904054544011","1"
"Yes","1987","Part Time","East Germany","","","","","1"
"Yes","1987","Not Working","West Germany","23","","","","1"
"Yes","1987","Not Working","East Germany","","","","","1"
"No","1988","Full Time","West Germany","3419","0.742524932324861","0.729531419678212","0.75551844497151","2"
"No","1988","Full Time","East Germany","","","","","2"
"No","1988","Part Time","West Germany","981","0.745256530266553","0.721405425314332","0.769107635218774","2"
"No","1988","Part Time","East Germany","","","","","2"
"No","1988","Not Working","West Germany","75","0.74990465169181","0.664597326568124","0.835211976815496","2"
"No","1988","Not Working","East Germany","","","","","2"
"Yes","1988","Full Time","West Germany","931","0.257475067675139","0.24448155502849","0.270468580321788","1"
"Yes","1988","Full Time","East Germany","","","","","1"
"Yes","1988","Part Time","West Germany","301","0.254743469733447","0.230892364781226","0.278594574685668","1"
"Yes","1988","Part Time","East Germany","","","","","1"
