"pgoeffd","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","1984","lower secondary degree","1-pers.-HH","51","0.243067495858502","0.185463805099832","0.300671186617172"
"Yes","1984","lower secondary degree","(Married) couple without C. ","143","0.222117925062926","0.190187383639038","0.254048466486813"
"Yes","1984","lower secondary degree","Single parent ","28","","",""
"Yes","1984","lower secondary degree","Couple + C. LE 16 ","167","0.2035338427703","0.1763868506981","0.2306808348425"
"Yes","1984","lower secondary degree","Couple + C. GT 16 ","109","0.179592678399365","0.149992733030434","0.209192623768295"
"Yes","1984","lower secondary degree","Couple + C. LE and GT 16","82","0.160876018185205","0.130225538686002","0.191526497684408"
"Yes","1984","secondary school degree","1-pers.-HH","40","0.29319935056944","0.213712957431053","0.372685743707828"
"Yes","1984","secondary school degree","(Married) couple without C. ","97","0.352681747333884","0.29568938912588","0.409674105541888"
"Yes","1984","secondary school degree","Single parent ","19","","",""
"Yes","1984","secondary school degree","Couple + C. LE 16 ","80","0.26827933422136","0.21895814785929","0.317600520583429"
"Yes","1984","secondary school degree","Couple + C. GT 16 ","70","0.291621935289682","0.234592926401721","0.348650944177643"
"Yes","1984","secondary school degree","Couple + C. LE and GT 16","40","0.258069965738073","0.190895457311813","0.325244474164333"
"Yes","1984","college entrance qualification","1-pers.-HH","64","0.505951049872019","0.418305004442452","0.593597095301586"
"Yes","1984","college entrance qualification","(Married) couple without C. ","80","0.404707131977099","0.336851510735787","0.472562753218411"
"Yes","1984","college entrance qualification","Single parent ","9","","",""
"Yes","1984","college entrance qualification","Couple + C. LE 16 ","108","0.487886749057577","0.422428166028002","0.553345332087152"
"Yes","1984","college entrance qualification","Couple + C. GT 16 ","42","0.346958651069417","0.260707607029334","0.4332096951095"
"Yes","1984","college entrance qualification","Couple + C. LE and GT 16","30","0.505247660310525","0.380796677647711","0.629698642973338"
"Yes","1984","Other degree","1-pers.-HH","10","","",""
"Yes","1984","Other degree","(Married) couple without C. ","19","","",""
"Yes","1984","Other degree","Single parent ","6","","",""
"Yes","1984","Other degree","Couple + C. LE 16 ","41","0.0937684241885395","0.0668947667091632","0.120642081667916"
"Yes","1984","Other degree","Couple + C. GT 16 ","12","","",""
"Yes","1984","Other degree","Couple + C. LE and GT 16","16","","",""
"Yes","1984","no degree/no degree yet","1-pers.-HH","3","","",""
"Yes","1984","no degree/no degree yet","(Married) couple without C. ","11","","",""
"Yes","1984","no degree/no degree yet","Single parent ","4","","",""
"Yes","1984","no degree/no degree yet","Couple + C. LE 16 ","17","","",""
"Yes","1984","no degree/no degree yet","Couple + C. GT 16 ","7","","",""
"Yes","1984","no degree/no degree yet","Couple + C. LE and GT 16","18","","",""
"No","1984","lower secondary degree","1-pers.-HH","162","0.756932504141498","0.699328813382828","0.814536194900168"
"No","1984","lower secondary degree","(Married) couple without C. ","508","0.777882074937074","0.745951533513187","0.809812616360962"
"No","1984","lower secondary degree","Single parent ","157","0.850012828279664","0.79856085626426","0.901464800295069"
"No","1984","lower secondary degree","Couple + C. LE 16 ","678","0.7964661572297","0.7693191651575","0.8236131493019"
"No","1984","lower secondary degree","Couple + C. GT 16 ","537","0.820407321600635","0.790807376231705","0.850007266969566"
"No","1984","lower secondary degree","Couple + C. LE and GT 16","470","0.839123981814795","0.808473502315592","0.869774461313998"
"No","1984","secondary school degree","1-pers.-HH","86","0.70680064943056","0.627314256292172","0.786287042568947"
"No","1984","secondary school degree","(Married) couple without C. ","173","0.647318252666116","0.590325894458112","0.70431061087412"
"No","1984","secondary school degree","Single parent ","36","0.644695834730701","0.518209290337199","0.771182379124203"
"No","1984","secondary school degree","Couple + C. LE 16 ","230","0.73172066577864","0.682399479416571","0.78104185214071"
"No","1984","secondary school degree","Couple + C. GT 16 ","174","0.708378064710318","0.651349055822357","0.765407073598279"
"No","1984","secondary school degree","Couple + C. LE and GT 16","123","0.741930034261927","0.674755525835667","0.809104542688187"
"No","1984","college entrance qualification","1-pers.-HH","61","0.494048950127981","0.406402904698414","0.581694995557548"
"No","1984","college entrance qualification","(Married) couple without C. ","121","0.595292868022901","0.527437246781589","0.663148489264213"
"No","1984","college entrance qualification","Single parent ","14","","",""
"No","1984","college entrance qualification","Couple + C. LE 16 ","116","0.512113250942423","0.446654667912848","0.577571833971998"
"No","1984","college entrance qualification","Couple + C. GT 16 ","75","0.653041348930583","0.5667903048905","0.739292392970666"
"No","1984","college entrance qualification","Couple + C. LE and GT 16","32","0.494752339689475","0.370301357026662","0.619203322352289"
"No","1984","Other degree","1-pers.-HH","88","0.873146005719805","0.807254328510245","0.939037682929365"
"No","1984","Other degree","(Married) couple without C. ","138","0.862889303810228","0.809085686425266","0.91669292119519"
"No","1984","Other degree","Single parent ","28","","",""
"No","1984","Other degree","Couple + C. LE 16 ","411","0.906231575811461","0.879357918332084","0.933105233290837"
"No","1984","Other degree","Couple + C. GT 16 ","116","0.92495691440607","0.879315488992931","0.970598339819208"
"No","1984","Other degree","Couple + C. LE and GT 16","143","0.911369658238955","0.867193491987436","0.955545824490474"
"No","1984","no degree/no degree yet","1-pers.-HH","57","0.967641337885306","0.922867435195088","1.01241524057552"
"No","1984","no degree/no degree yet","(Married) couple without C. ","77","0.807111637831047","0.724673803835756","0.889549471826338"
"No","1984","no degree/no degree yet","Single parent ","23","","",""
"No","1984","no degree/no degree yet","Couple + C. LE 16 ","205","0.91622198123371","0.879777061335504","0.952666901131917"
"No","1984","no degree/no degree yet","Couple + C. GT 16 ","90","0.90267452091873","0.843689587835634","0.961659454001827"
"No","1984","no degree/no degree yet","Couple + C. LE and GT 16","114","0.870994433894334","0.81381063023443","0.928178237554238"
"Yes","1985","lower secondary degree","1-pers.-HH","47","0.273426135296275","0.207388887560601","0.33946338303195"
"Yes","1985","lower secondary degree","(Married) couple without C. ","139","0.243208180812102","0.208413010108666","0.278003351515539"
"Yes","1985","lower secondary degree","Single parent ","26","","",""
"Yes","1985","lower secondary degree","Couple + C. LE 16 ","134","0.193748304823883","0.164385485873106","0.22311112377466"
"Yes","1985","lower secondary degree","Couple + C. GT 16 ","119","0.201047569866486","0.169551035233787","0.232544104499186"
"Yes","1985","lower secondary degree","Couple + C. LE and GT 16","63","0.165390950079086","0.130026852640329","0.200755047517844"
"Yes","1985","secondary school degree","1-pers.-HH","39","0.336495963217238","0.248195402284274","0.424796524150202"
"Yes","1985","secondary school degree","(Married) couple without C. ","92","0.360184542403769","0.300914161245191","0.419454923562346"
"Yes","1985","secondary school degree","Single parent ","17","","",""
"Yes","1985","secondary school degree","Couple + C. LE 16 ","71","0.260019254579332","0.208269712146267","0.311768797012396"
"Yes","1985","secondary school degree","Couple + C. GT 16 ","74","0.268509720876604","0.214326375522605","0.322693066230603"
"Yes","1985","secondary school degree","Couple + C. LE and GT 16","35","0.270288381254076","0.193351881247561","0.34722488126059"
"Yes","1985","college entrance qualification","1-pers.-HH","63","0.529876265283056","0.441311393591232","0.618441136974879"
"Yes","1985","college entrance qualification","(Married) couple without C. ","70","0.416061946654956","0.341527704955427","0.490596188354485"
"Yes","1985","college entrance qualification","Single parent ","8","","",""
"Yes","1985","college entrance qualification","Couple + C. LE 16 ","94","0.474223055321195","0.405020011873263","0.543426098769126"
"Yes","1985","college entrance qualification","Couple + C. GT 16 ","47","0.364145281134626","0.279107517996031","0.449183044273221"
"Yes","1985","college entrance qualification","Couple + C. LE and GT 16","23","","",""
"Yes","1985","Other degree","1-pers.-HH","8","","",""
"Yes","1985","Other degree","(Married) couple without C. ","17","","",""
"Yes","1985","Other degree","Single parent ","4","","",""
"Yes","1985","Other degree","Couple + C. LE 16 ","37","0.110523308139553","0.0778152348511493","0.143231381427957"
"Yes","1985","Other degree","Couple + C. GT 16 ","9","","",""
"Yes","1985","Other degree","Couple + C. LE and GT 16","14","","",""
"Yes","1985","no degree/no degree yet","1-pers.-HH","4","","",""
"Yes","1985","no degree/no degree yet","(Married) couple without C. ","5","","",""
"Yes","1985","no degree/no degree yet","Single parent ","1","","",""
"Yes","1985","no degree/no degree yet","Couple + C. LE 16 ","13","","",""
"Yes","1985","no degree/no degree yet","Couple + C. GT 16 ","4","","",""
"Yes","1985","no degree/no degree yet","Couple + C. LE and GT 16","17","","",""
"No","1985","lower secondary degree","1-pers.-HH","128","0.726573864703725","0.66053661696805","0.792611112439399"
"No","1985","lower secondary degree","(Married) couple without C. ","445","0.756791819187898","0.721996648484461","0.791586989891334"
"No","1985","lower secondary degree","Single parent ","136","0.844195507114394","0.788348218811045","0.900042795417742"
"No","1985","lower secondary degree","Couple + C. LE 16 ","562","0.806251695176117","0.77688887622534","0.835614514126894"
