"pgoeffd","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1984","1-pers.-HH","West Germany","458","0.700615648636092","0.664738709056545","0.73649258821564","2"
"No","1984","1-pers.-HH","East Germany","","","","","2"
"No","1984","Couple + C. LE 16 ","East Germany","","","","","2"
"No","1984","(Married) couple without C. ","East Germany","","","","","2"
"No","1984","(Married) couple without C. ","West Germany","1023","0.721932891049863","0.698242187966398","0.745623594133329","2"
"No","1984","Single parent ","West Germany","260","0.779555609625957","0.734555624789236","0.824555594462679","2"
"No","1984","Single parent ","East Germany","","","","","2"
"No","1984","Couple + C. LE 16 ","West Germany","1663","0.751373849701067","0.732785908777402","0.769961790624732","2"
"No","1984","Couple + C. GT 16 ","West Germany","998","0.778909156850561","0.755802281556201","0.802016032144921","2"
"No","1984","Couple + C. GT 16 ","East Germany","","","","","2"
"No","1984","Couple + C. LE and GT 16","West Germany","888","0.796611665214137","0.772549749008038","0.820673581420236","2"
"No","1984","Couple + C. LE and GT 16","East Germany","","","","","2"
"Yes","1984","1-pers.-HH","West Germany","168","0.299384351363908","0.26350741178436","0.335261290943455","1"
"Yes","1984","1-pers.-HH","East Germany","","","","","1"
"Yes","1984","(Married) couple without C. ","West Germany","351","0.278067108950137","0.254376405866671","0.301757812033602","1"
"Yes","1984","(Married) couple without C. ","East Germany","","","","","1"
"Yes","1984","Single parent ","West Germany","66","0.220444390374043","0.175444405537321","0.265444375210764","1"
"Yes","1984","Single parent ","East Germany","","","","","1"
"Yes","1984","Couple + C. LE 16 ","West Germany","414","0.248626150298933","0.230038209375268","0.267214091222598","1"
"Yes","1984","Couple + C. LE 16 ","East Germany","","","","","1"
"Yes","1984","Couple + C. GT 16 ","West Germany","241","0.221090843149439","0.197983967855079","0.244197718443799","1"
"Yes","1984","Couple + C. GT 16 ","East Germany","","","","","1"
"Yes","1984","Couple + C. LE and GT 16","West Germany","187","0.203388334785863","0.179326418579764","0.227450250991962","1"
"Yes","1984","Couple + C. LE and GT 16","East Germany","","","","","1"
"No","1985","1-pers.-HH","West Germany","372","0.661009565771373","0.620822890243694","0.701196241299052","2"
"No","1985","1-pers.-HH","East Germany","","","","","2"
"No","1985","(Married) couple without C. ","West Germany","887","0.708784642499117","0.683217512648725","0.734351772349509","2"
"No","1985","(Married) couple without C. ","East Germany","","","","","2"
"No","1985","Couple + C. LE 16 ","East Germany","","","","","2"
"No","1985","Single parent ","West Germany","237","0.785707061252549","0.7388827560917","0.832531366413398","2"
"No","1985","Single parent ","East Germany","","","","","2"
"No","1985","Couple + C. LE 16 ","West Germany","1373","0.758552548326528","0.738339320718563","0.778765775934494","2"
"No","1985","Couple + C. GT 16 ","West Germany","940","0.766793495564184","0.742827689479617","0.790759301648751","2"
"No","1985","Couple + C. GT 16 ","East Germany","","","","","2"
"No","1985","Couple + C. LE and GT 16","West Germany","705","0.793775965464239","0.766703796053364","0.820848134875114","2"
"No","1985","Couple + C. LE and GT 16","East Germany","","","","","2"
"Yes","1985","1-pers.-HH","West Germany","161","0.338990434228627","0.298803758700948","0.379177109756306","1"
"Yes","1985","1-pers.-HH","East Germany","","","","","1"
"Yes","1985","(Married) couple without C. ","West Germany","326","0.291215357500883","0.265648227650492","0.316782487351275","1"
"Yes","1985","(Married) couple without C. ","East Germany","","","","","1"
"Yes","1985","Single parent ","West Germany","58","0.214292938747451","0.167468633586602","0.2611172439083","1"
"Yes","1985","Single parent ","East Germany","","","","","1"
"Yes","1985","Couple + C. LE 16 ","West Germany","349","0.241447451673472","0.221234224065506","0.261660679281437","1"
"Yes","1985","Couple + C. LE 16 ","East Germany","","","","","1"
"Yes","1985","Couple + C. GT 16 ","West Germany","256","0.233206504435816","0.209240698351249","0.257172310520383","1"
"Yes","1985","Couple + C. GT 16 ","East Germany","","","","","1"
"Yes","1985","Couple + C. LE and GT 16","West Germany","153","0.206224034535761","0.179151865124886","0.233296203946636","1"
"Yes","1985","Couple + C. LE and GT 16","East Germany","","","","","1"
"No","1986","1-pers.-HH","West Germany","341","0.646469743313942","0.604397598876847","0.688541887751036","2"
"No","1986","1-pers.-HH","East Germany","","","","","2"
"No","1986","Couple + C. LE 16 ","East Germany","","","","","2"
"No","1986","(Married) couple without C. ","West Germany","890","0.720861526846136","0.695534142518262","0.74618891117401","2"
"No","1986","(Married) couple without C. ","East Germany","","","","","2"
"No","1986","Single parent ","West Germany","211","0.759645928598758","0.70877205642808","0.810519800769436","2"
"No","1986","Single parent ","East Germany","","","","","2"
"No","1986","Couple + C. LE 16 ","West Germany","1197","0.748733427542515","0.726870759297224","0.770596095787805","2"
"No","1986","Couple + C. GT 16 ","West Germany","962","0.775138968076551","0.751625163504679","0.798652772648422","2"
"No","1986","Couple + C. GT 16 ","East Germany","","","","","2"
"No","1986","Couple + C. LE and GT 16","West Germany","621","0.764331562721795","0.734392992985549","0.794270132458041","2"
"No","1986","Couple + C. LE and GT 16","East Germany","","","","","2"
"Yes","1986","Single parent ","West Germany","60","0.240354071401242","0.189480199230565","0.29122794357192","1"
"Yes","1986","Single parent ","East Germany","","","","","1"
"Yes","1986","Couple + C. LE 16 ","West Germany","315","0.251266572457485","0.229403904212195","0.273129240702776","1"
"Yes","1986","Couple + C. LE 16 ","East Germany","","","","","1"
