"pgoeffd","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1984","inadequately","West Germany","538","0.894475698045792","0.869810450527723","0.919140945563861","2"
"No","1984","inadequately","East Germany","","","","","2"
"No","1984","higher education","West Germany","313","0.492862194311675","0.453509180952197","0.532215207671153","2"
"No","1984","higher education","East Germany","","","","","2"
"No","1984","in school","East Germany","","","","","2"
"No","1984","general elemantary","West Germany","1392","0.817907235474558","0.799178024565266","0.836636446383849","2"
"No","1984","higher vocational","East Germany","","","","","2"
"No","1984","general elemantary","East Germany","","","","","2"
"No","1984","in school","West Germany","2","","","","2"
"No","1984","higher vocational","West Germany","296","0.65527739859243","0.611510430374338","0.699044366810521","2"
"No","1984","middle vocational","West Germany","2874","0.782863196982842","0.769348082585476","0.796378311380208","2"
"No","1984","middle vocational","East Germany","","","","","2"
"No","1984","vocational + Abi","West Germany","178","0.825938200602764","0.77501873931451","0.876857661891018","2"
"No","1984","vocational + Abi","East Germany","","","","","2"
"Yes","1984","in school","West Germany","1","","","","1"
"Yes","1984","in school","East Germany","","","","","1"
"Yes","1984","inadequately","West Germany","58","0.105524301954208","0.080859054436139","0.130189549472277","1"
"Yes","1984","inadequately","East Germany","","","","","1"
"Yes","1984","general elemantary","West Germany","239","0.182092764525443","0.163363553616151","0.200821975434734","1"
"Yes","1984","general elemantary","East Germany","","","","","1"
"Yes","1984","middle vocational","West Germany","701","0.217136803017158","0.203621688619792","0.230651917414524","1"
"Yes","1984","middle vocational","East Germany","","","","","1"
"Yes","1984","vocational + Abi","West Germany","35","0.174061799397236","0.123142338108982","0.22498126068549","1"
"Yes","1984","vocational + Abi","East Germany","","","","","1"
"Yes","1984","higher vocational","West Germany","157","0.34472260140757","0.300955633189479","0.388489569625662","1"
"Yes","1984","higher vocational","East Germany","","","","","1"
"Yes","1984","higher education","West Germany","307","0.507137805688325","0.467784792328847","0.546490819047803","1"
"Yes","1984","higher education","East Germany","","","","","1"
"No","1985","general elemantary","West Germany","1155","0.816275323804341","0.79571631169417","0.836834335914511","2"
"No","1985","general elemantary","East Germany","","","","","2"
"No","1985","inadequately","East Germany","","","","","2"
"No","1985","inadequately","West Germany","415","0.901274275389116","0.873985414907122","0.92856313587111","2"
"No","1985","in school","East Germany","","","","","2"
"No","1985","in school","West Germany","2","","","","2"
"No","1985","higher vocational","East Germany","","","","","2"
"No","1985","higher education","West Germany","287","0.497186425747904","0.456140146872671","0.538232704623137","2"
"No","1985","higher vocational","West Germany","265","0.641482678785775","0.595231734534979","0.687733623036571","2"
"No","1985","higher education","East Germany","","","","","2"
"No","1985","middle vocational","West Germany","2462","0.769828458433076","0.75504616361548","0.784610753250672","2"
"No","1985","middle vocational","East Germany","","","","","2"
"No","1985","vocational + Abi","West Germany","145","0.814038655718134","0.755892940049972","0.872184371386296","2"
"No","1985","vocational + Abi","East Germany","","","","","2"
"Yes","1985","in school","West Germany","","","","","1"
"Yes","1985","in school","East Germany","","","","","1"
"Yes","1985","inadequately","West Germany","44","0.0987257246108841","0.07143686412889","0.126014585092878","1"
"Yes","1985","inadequately","East Germany","","","","","1"
"Yes","1985","general elemantary","West Germany","208","0.183724676195659","0.163165664085489","0.20428368830583","1"
"Yes","1985","general elemantary","East Germany","","","","","1"
"Yes","1985","middle vocational","West Germany","653","0.230171541566924","0.215389246749328","0.24495383638452","1"
"Yes","1985","middle vocational","East Germany","","","","","1"
"Yes","1985","vocational + Abi","West Germany","27","","","","1"
"Yes","1985","vocational + Abi","East Germany","","","","","1"
"Yes","1985","higher vocational","West Germany","148","0.358517321214225","0.312266376963429","0.404768265465021","1"
"Yes","1985","higher vocational","East Germany","","","","","1"
"Yes","1985","higher education","West Germany","283","0.502813574252096","0.461767295376863","0.543859853127329","1"
"Yes","1985","higher education","East Germany","","","","","1"
"No","1986","in school","East Germany","","","","","2"
"No","1986","inadequately","West Germany","352","0.884757386562393","0.85310704799049","0.916407725134296","2"
"No","1986","higher education","East Germany","","","","","2"
"No","1986","inadequately","East Germany","","","","","2"
"No","1986","higher vocational","East Germany","","","","","2"
"No","1986","general elemantary","West Germany","1087","0.806469487364742","0.784868916895852","0.828070057833633","2"
"No","1986","general elemantary","East Germany","","","","","2"
"No","1986","higher education","West Germany","280","0.500744075193142","0.459071048059027","0.542417102327257","2"
"No","1986","in school","West Germany","2","","","","2"
"No","1986","higher vocational","West Germany","237","0.640864604467416","0.591981421465371","0.689747787469461","2"
"No","1986","middle vocational","West Germany","2316","0.765412571142697","0.750100747447261","0.780724394838132","2"
"No","1986","middle vocational","East Germany","","","","","2"
"No","1986","vocational + Abi","West Germany","144","0.80399263703691","0.744666496499658","0.863318777574161","2"
"No","1986","vocational + Abi","East Germany","","","","","2"
"Yes","1986","in school","West Germany","","","","","1"
"Yes","1986","in school","East Germany","","","","","1"
"Yes","1986","inadequately","West Germany","39","0.115242613437607","0.0835922748657041","0.14689295200951","1"
"Yes","1986","inadequately","East Germany","","","","","1"
"Yes","1986","general elemantary","West Germany","198","0.193530512635258","0.171929942166367","0.215131083104148","1"
"Yes","1986","general elemantary","East Germany","","","","","1"
"Yes","1986","middle vocational","West Germany","626","0.234587428857303","0.219275605161868","0.249899252552739","1"
"Yes","1986","middle vocational","East Germany","","","","","1"
"Yes","1986","vocational + Abi","West Germany","28","","","","1"
"Yes","1986","vocational + Abi","East Germany","","","","","1"
"Yes","1986","higher vocational","West Germany","133","0.359135395532584","0.310252212530539","0.408018578534629","1"
"Yes","1986","higher vocational","East Germany","","","","","1"
"Yes","1986","higher education","West Germany","273","0.499255924806858","0.457582897672743","0.540928951940973","1"
"Yes","1986","higher education","East Germany","","","","","1"
"No","1987","inadequately","West Germany","344","0.89003207203505","0.858618201286035","0.921445942784066","2"
"No","1987","in school","East Germany","","","","","2"
"No","1987","higher education","East Germany","","","","","2"
"No","1987","inadequately","East Germany","","","","","2"
"No","1987","higher vocational","East Germany","","","","","2"
"No","1987","general elemantary","East Germany","","","","","2"
"No","1987","higher education","West Germany","287","0.514261984404622","0.472643480286244","0.555880488523001","2"
"No","1987","general elemantary","West Germany","1106","0.802883899750065","0.781365837886648","0.824401961613482","2"
"No","1987","in school","West Germany","5","","","","2"
"No","1987","higher vocational","West Germany","226","0.63528926325388","0.585635230975509","0.68494329553225","2"
"No","1987","middle vocational","West Germany","2368","0.766782910977119","0.751650648649589","0.781915173304648","2"
"No","1987","middle vocational","East Germany","","","","","2"
"No","1987","vocational + Abi","West Germany","147","0.771787520893268","0.710306630855556","0.833268410930979","2"
"No","1987","vocational + Abi","East Germany","","","","","2"
"Yes","1987","in school","West Germany","","","","","1"
"Yes","1987","in school","East Germany","","","","","1"
"Yes","1987","inadequately","West Germany","37","0.109967927964949","0.0785540572159341","0.141381798713965","1"
"Yes","1987","inadequately","East Germany","","","","","1"
"Yes","1987","general elemantary","West Germany","207","0.197116100249935","0.175598038386518","0.218634162113352","1"
"Yes","1987","general elemantary","East Germany","","","","","1"
"Yes","1987","middle vocational","West Germany","632","0.233217089022881","0.218084826695352","0.248349351350411","1"
"Yes","1987","middle vocational","East Germany","","","","","1"
