"pgoeffd","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1984","in school","1","","",""
"Yes","1984","inadequately","58","0.105524301954208","0.080859054436139","0.130189549472277"
"Yes","1984","general elemantary","239","0.182092764525443","0.163363553616151","0.200821975434734"
"Yes","1984","middle vocational","701","0.217136803017158","0.203621688619792","0.230651917414524"
"Yes","1984","vocational + Abi","35","0.174061799397236","0.123142338108982","0.22498126068549"
"Yes","1984","higher vocational","157","0.34472260140757","0.300955633189479","0.388489569625662"
"Yes","1984","higher education","307","0.507137805688325","0.467784792328847","0.546490819047803"
"No","1984","in school","2","","",""
"No","1984","inadequately","538","0.894475698045792","0.869810450527723","0.919140945563861"
"No","1984","general elemantary","1392","0.817907235474558","0.799178024565266","0.836636446383849"
"No","1984","middle vocational","2874","0.782863196982842","0.769348082585476","0.796378311380208"
"No","1984","vocational + Abi","178","0.825938200602764","0.77501873931451","0.876857661891018"
"No","1984","higher vocational","296","0.65527739859243","0.611510430374338","0.699044366810521"
"No","1984","higher education","313","0.492862194311675","0.453509180952197","0.532215207671153"
"Yes","1985","in school","","","",""
"Yes","1985","inadequately","44","0.0987257246108841","0.07143686412889","0.126014585092878"
"Yes","1985","general elemantary","208","0.183724676195659","0.163165664085489","0.20428368830583"
"Yes","1985","middle vocational","653","0.230171541566924","0.215389246749328","0.24495383638452"
"Yes","1985","vocational + Abi","27","","",""
"Yes","1985","higher vocational","148","0.358517321214225","0.312266376963429","0.404768265465021"
"Yes","1985","higher education","283","0.502813574252096","0.461767295376863","0.543859853127329"
"No","1985","in school","2","","",""
"No","1985","inadequately","415","0.901274275389116","0.873985414907122","0.92856313587111"
"No","1985","general elemantary","1155","0.816275323804341","0.79571631169417","0.836834335914511"
"No","1985","middle vocational","2462","0.769828458433076","0.75504616361548","0.784610753250672"
"No","1985","vocational + Abi","145","0.814038655718134","0.755892940049972","0.872184371386296"
"No","1985","higher vocational","265","0.641482678785775","0.595231734534979","0.687733623036571"
"No","1985","higher education","287","0.497186425747904","0.456140146872671","0.538232704623137"
"Yes","1986","in school","","","",""
"Yes","1986","inadequately","39","0.115242613437607","0.0835922748657041","0.14689295200951"
"Yes","1986","general elemantary","198","0.193530512635258","0.171929942166367","0.215131083104148"
"Yes","1986","middle vocational","626","0.234587428857303","0.219275605161868","0.249899252552739"
"Yes","1986","vocational + Abi","28","","",""
"Yes","1986","higher vocational","133","0.359135395532584","0.310252212530539","0.408018578534629"
"Yes","1986","higher education","273","0.499255924806858","0.457582897672743","0.540928951940973"
"No","1986","in school","2","","",""
"No","1986","inadequately","352","0.884757386562393","0.85310704799049","0.916407725134296"
"No","1986","general elemantary","1087","0.806469487364742","0.784868916895852","0.828070057833633"
"No","1986","middle vocational","2316","0.765412571142697","0.750100747447261","0.780724394838132"
"No","1986","vocational + Abi","144","0.80399263703691","0.744666496499658","0.863318777574161"
"No","1986","higher vocational","237","0.640864604467416","0.591981421465371","0.689747787469461"
"No","1986","higher education","280","0.500744075193142","0.459071048059027","0.542417102327257"
"Yes","1987","in school","","","",""
"Yes","1987","inadequately","37","0.109967927964949","0.0785540572159341","0.141381798713965"
"Yes","1987","general elemantary","207","0.197116100249935","0.175598038386518","0.218634162113352"
"Yes","1987","middle vocational","632","0.233217089022881","0.218084826695352","0.248349351350411"
"Yes","1987","vocational + Abi","32","0.228212479106732","0.166731589069021","0.289693369144443"
"Yes","1987","higher vocational","135","0.36471073674612","0.31505670446775","0.414364769024491"
"Yes","1987","higher education","267","0.485738015595377","0.444119511476999","0.527356519713756"
"No","1987","in school","5","","",""
"No","1987","inadequately","344","0.89003207203505","0.858618201286035","0.921445942784066"
"No","1987","general elemantary","1106","0.802883899750065","0.781365837886648","0.824401961613482"
"No","1987","middle vocational","2368","0.766782910977119","0.751650648649589","0.781915173304648"
"No","1987","vocational + Abi","147","0.771787520893268","0.710306630855556","0.833268410930979"
"No","1987","higher vocational","226","0.63528926325388","0.585635230975509","0.68494329553225"
"No","1987","higher education","287","0.514261984404622","0.472643480286244","0.555880488523001"
"Yes","1988","in school","","","",""
"Yes","1988","inadequately","35","0.0827705307279135","0.0539863661593612","0.111554695296466"
"Yes","1988","general elemantary","201","0.18889851535965","0.167854070634373","0.209942960084928"
"Yes","1988","middle vocational","603","0.232220237765149","0.216849583774405","0.247590891755893"
"Yes","1988","vocational + Abi","27","","",""
"Yes","1988","higher vocational","129","0.358938635808855","0.309524214764321","0.40835305685339"
"Yes","1988","higher education","247","0.466535059749253","0.424340541521066","0.508729577977439"
"No","1988","in school","6","","",""
"No","1988","inadequately","317","0.917229469272086","0.888445304703534","0.946013633840639"
"No","1988","general elemantary","1128","0.81110148464035","0.790057039915072","0.832145929365627"
"No","1988","middle vocational","2296","0.767779762234851","0.752409108244107","0.783150416225595"
"No","1988","vocational + Abi","139","0.784478851682201","0.721928520529843","0.847029182834559"
"No","1988","higher vocational","233","0.641061364191145","0.59164694314661","0.690475785235679"
