"pgoeffd","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1984","lower secondary degree","in school","","","",""
"Yes","1984","lower secondary degree","inadequately","","","",""
"Yes","1984","lower secondary degree","general elemantary","137","0.170519402019938","0.145783279424279","0.195255524615598"
"Yes","1984","lower secondary degree","middle vocational","401","0.191508855279049","0.174937770897062","0.208079939661036"
"Yes","1984","lower secondary degree","vocational + Abi","","","",""
"Yes","1984","lower secondary degree","higher vocational","57","0.259915267499942","0.200876568517244","0.318953966482639"
"Yes","1984","lower secondary degree","higher education","9","","",""
"Yes","1984","secondary school degree","in school","","","",""
"Yes","1984","secondary school degree","inadequately","","","",""
"Yes","1984","secondary school degree","general elemantary","58","0.273542535457319","0.215424436406424","0.331660634508213"
"Yes","1984","secondary school degree","middle vocational","237","0.296096512807609","0.264480650050091","0.327712375565126"
"Yes","1984","secondary school degree","vocational + Abi","1","","",""
"Yes","1984","secondary school degree","higher vocational","49","0.33561659686128","0.258491104936483","0.412742088786077"
"Yes","1984","secondary school degree","higher education","16","","",""
"Yes","1984","college entrance qualification","in school","","","",""
"Yes","1984","college entrance qualification","inadequately","","","",""
"Yes","1984","college entrance qualification","general elemantary","","","",""
"Yes","1984","college entrance qualification","middle vocational","25","","",""
"Yes","1984","college entrance qualification","vocational + Abi","23","","",""
"Yes","1984","college entrance qualification","higher vocational","47","0.555855816868498","0.452043275790208","0.659668357946788"
"Yes","1984","college entrance qualification","higher education","262","0.53052766711246","0.48682698171613","0.574228352508789"
"Yes","1984","Other degree","in school","","","",""
"Yes","1984","Other degree","inadequately","1","","",""
"Yes","1984","Other degree","general elemantary","44","0.0706582862624391","0.0485694881966256","0.0927470843282525"
"Yes","1984","Other degree","middle vocational","34","0.115741050414816","0.0852542849957034","0.146227815833928"
"Yes","1984","Other degree","vocational + Abi","11","","",""
"Yes","1984","Other degree","higher vocational","3","","",""
"Yes","1984","Other degree","higher education","19","","",""
"Yes","1984","no degree/no degree yet","in school","1","","",""
"Yes","1984","no degree/no degree yet","inadequately","57","0.108031165124462","0.0828764427647894","0.133185887484135"
"Yes","1984","no degree/no degree yet","general elemantary","","","",""
"Yes","1984","no degree/no degree yet","middle vocational","4","","",""
"Yes","1984","no degree/no degree yet","vocational + Abi","","","",""
"Yes","1984","no degree/no degree yet","higher vocational","1","","",""
"Yes","1984","no degree/no degree yet","higher education","1","","",""
"No","1984","lower secondary degree","in school","","","",""
"No","1984","lower secondary degree","inadequately","","","",""
"No","1984","lower secondary degree","general elemantary","751","0.829480597980062","0.804744475384402","0.854216720575721"
"No","1984","lower secondary degree","middle vocational","1765","0.808491144720951","0.791920060338964","0.825062229102938"
"No","1984","lower secondary degree","vocational + Abi","5","","",""
"No","1984","lower secondary degree","higher vocational","155","0.740084732500058","0.681046033517361","0.799123431482756"
"No","1984","lower secondary degree","higher education","8","","",""
"No","1984","secondary school degree","in school","","","",""
"No","1984","secondary school degree","inadequately","","","",""
"No","1984","secondary school degree","general elemantary","168","0.726457464542681","0.668339365491787","0.784575563593576"
"No","1984","secondary school degree","middle vocational","564","0.703903487192391","0.672287624434874","0.735519349949909"
"No","1984","secondary school degree","vocational + Abi","1","","",""
"No","1984","secondary school degree","higher vocational","95","0.66438340313872","0.587257911213923","0.741508895063517"
"No","1984","secondary school degree","higher education","37","0.692186866394686","0.567917121547205","0.816456611242166"
"No","1984","college entrance qualification","in school","","","",""
"No","1984","college entrance qualification","inadequately","","","",""
"No","1984","college entrance qualification","general elemantary","","","",""
"No","1984","college entrance qualification","middle vocational","66","0.721941558424812","0.629886754278977","0.813996362570647"
"No","1984","college entrance qualification","vocational + Abi","99","0.82081158387029","0.752758959257508","0.888864208483071"
"No","1984","college entrance qualification","higher vocational","41","0.444144183131502","0.340331642053212","0.547956724209792"
"No","1984","college entrance qualification","higher education","239","0.46947233288754","0.425771647491211","0.51317301828387"
"No","1984","Other degree","in school","","","",""
"No","1984","Other degree","inadequately","10","","",""
"No","1984","Other degree","general elemantary","473","0.929341713737561","0.907252915671747","0.951430511803374"
"No","1984","Other degree","middle vocational","389","0.884258949585184","0.853772184166072","0.914745715004297"
"No","1984","Other degree","vocational + Abi","73","0.86122908353048","0.787299711040192","0.935158456020769"
"No","1984","Other degree","higher vocational","3","","",""
"No","1984","Other degree","higher education","29","","",""
"No","1984","no degree/no degree yet","in school","2","","",""
"No","1984","no degree/no degree yet","inadequately","528","0.891968834875538","0.866814112515865","0.91712355723521"
"No","1984","no degree/no degree yet","general elemantary","","","",""
"No","1984","no degree/no degree yet","middle vocational","77","0.953596821510858","0.907786657804552","0.999406985217165"
"No","1984","no degree/no degree yet","vocational + Abi","","","",""
"No","1984","no degree/no degree yet","higher vocational","1","","",""
"No","1984","no degree/no degree yet","higher education","","","",""
"Yes","1985","lower secondary degree","in school","","","",""
"Yes","1985","lower secondary degree","inadequately","","","",""
"Yes","1985","lower secondary degree","general elemantary","124","0.181499904745182","0.153729654134859","0.209270155355505"
"Yes","1985","lower secondary degree","middle vocational","364","0.204551372960704","0.186278685058288","0.222824060863121"
"Yes","1985","lower secondary degree","vocational + Abi","","","",""
"Yes","1985","lower secondary degree","higher vocational","53","0.260302060107252","0.198713962051761","0.321890158162742"
"Yes","1985","lower secondary degree","higher education","9","","",""
"Yes","1985","secondary school degree","in school","","","",""
"Yes","1985","secondary school degree","inadequately","","","",""
"Yes","1985","secondary school degree","general elemantary","48","0.235672254883667","0.177855067715057","0.293489442052277"
"Yes","1985","secondary school degree","middle vocational","236","0.308611610278004","0.275575014161399","0.341648206394609"
"Yes","1985","secondary school degree","vocational + Abi","1","","",""
"Yes","1985","secondary school degree","higher vocational","46","0.362592623679517","0.279632142793872","0.445553104565161"
