"pgoeffd","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1984","Full Time","in school","1","","",""
"Yes","1984","Full Time","inadequately","48","0.118652758254121","0.0901362031155878","0.147169313392655"
"Yes","1984","Full Time","general elemantary","152","0.177888563988864","0.155381353249394","0.200395774728334"
"Yes","1984","Full Time","middle vocational","582","0.23135516899125","0.215807529165361","0.246902808817139"
"Yes","1984","Full Time","vocational + Abi","27","","",""
"Yes","1984","Full Time","higher vocational","117","0.324453685914734","0.275752690835682","0.373154680993787"
"Yes","1984","Full Time","higher education","215","0.480256801321589","0.434699470332107","0.525814132311071"
"Yes","1984","Part Time","in school","","","",""
"Yes","1984","Part Time","inadequately","10","","",""
"Yes","1984","Part Time","general elemantary","80","0.195860850539212","0.159633460283942","0.232088240794483"
"Yes","1984","Part Time","middle vocational","114","0.175850576921552","0.147152709741133","0.204548444101971"
"Yes","1984","Part Time","vocational + Abi","8","","",""
"Yes","1984","Part Time","higher vocational","36","0.426685395150414","0.322755890758434","0.530614899542393"
"Yes","1984","Part Time","higher education","83","0.600450931229349","0.519889394558087","0.681012467900612"
"Yes","1984","Not Working","in school","","","",""
"Yes","1984","Not Working","inadequately","","","",""
"Yes","1984","Not Working","general elemantary","7","","",""
"Yes","1984","Not Working","middle vocational","5","","",""
"Yes","1984","Not Working","vocational + Abi","","","",""
"Yes","1984","Not Working","higher vocational","4","","",""
"Yes","1984","Not Working","higher education","9","","",""
"No","1984","Full Time","in school","","","",""
"No","1984","Full Time","inadequately","446","0.881347241745879","0.852830686607345","0.909863796884412"
"No","1984","Full Time","general elemantary","957","0.822111436011136","0.799604225271666","0.844618646750606"
"No","1984","Full Time","middle vocational","2244","0.76864483100875","0.753097191182861","0.784192470834639"
"No","1984","Full Time","vocational + Abi","142","0.812130656617959","0.753240101269923","0.871021211965994"
"No","1984","Full Time","higher vocational","238","0.675546314085266","0.626845319006213","0.724247309164318"
"No","1984","Full Time","higher education","247","0.519743198678411","0.474185867688929","0.565300529667893"
"No","1984","Part Time","in school","1","","",""
"No","1984","Part Time","inadequately","84","0.930499172532248","0.879090410300663","0.981907934763834"
"No","1984","Part Time","general elemantary","381","0.804139149460787","0.767911759205517","0.840366539716058"
"No","1984","Part Time","middle vocational","562","0.824149423078448","0.795451555898029","0.852847290258867"
"No","1984","Part Time","vocational + Abi","26","","",""
"No","1984","Part Time","higher vocational","51","0.573314604849586","0.469385100457607","0.677244109241566"
"No","1984","Part Time","higher education","59","0.399549068770651","0.318987532099388","0.480110605441913"
"No","1984","Not Working","in school","1","","",""
"No","1984","Not Working","inadequately","8","","",""
"No","1984","Not Working","general elemantary","54","0.874148147357255","0.790913239939449","0.957383054775061"
"No","1984","Not Working","middle vocational","68","0.939910887866886","0.885394396821448","0.994427378912325"
"No","1984","Not Working","vocational + Abi","10","","",""
"No","1984","Not Working","higher vocational","7","","",""
"No","1984","Not Working","higher education","7","","",""
"Yes","1985","Full Time","in school","","","",""
"Yes","1985","Full Time","inadequately","38","0.0895858742754642","0.0612785399465652","0.117893208604363"
"Yes","1985","Full Time","general elemantary","123","0.168888246496721","0.144886679750458","0.192889813242985"
"Yes","1985","Full Time","middle vocational","534","0.241483840343711","0.224550709370514","0.258416971316908"
"Yes","1985","Full Time","vocational + Abi","20","","",""
"Yes","1985","Full Time","higher vocational","117","0.349763962829636","0.298542848518758","0.400985077140514"
"Yes","1985","Full Time","higher education","212","0.486673748785888","0.440390399215666","0.532957098356109"
"Yes","1985","Part Time","in school","","","",""
"Yes","1985","Part Time","inadequately","4","","",""
"Yes","1985","Part Time","general elemantary","78","0.207343323716111","0.167313141311001","0.24737350612122"
"Yes","1985","Part Time","middle vocational","113","0.190979774675118","0.159964267532979","0.221995281817257"
"Yes","1985","Part Time","vocational + Abi","7","","",""
"Yes","1985","Part Time","higher vocational","31","0.405389548605831","0.296433001220226","0.514346095991436"
"Yes","1985","Part Time","higher education","66","0.571426145295038","0.480182682352242","0.662669608237834"
"Yes","1985","Not Working","in school","","","",""
"Yes","1985","Not Working","inadequately","2","","",""
"Yes","1985","Not Working","general elemantary","7","","",""
"Yes","1985","Not Working","middle vocational","6","","",""
"Yes","1985","Not Working","vocational + Abi","","","",""
"Yes","1985","Not Working","higher vocational","","","",""
"Yes","1985","Not Working","higher education","5","","",""
"No","1985","Full Time","in school","","","",""
"No","1985","Full Time","inadequately","353","0.910414125724536","0.882106791395637","0.938721460053435"
"No","1985","Full Time","general elemantary","813","0.831111753503279","0.807110186757015","0.855113320249542"
"No","1985","Full Time","middle vocational","1920","0.758516159656289","0.741583028683092","0.775449290629486"
"No","1985","Full Time","vocational + Abi","121","0.80221485700282","0.736467133826691","0.867962580178948"
"No","1985","Full Time","higher vocational","216","0.650236037170364","0.599014922859486","0.701457151481242"
"No","1985","Full Time","higher education","236","0.513326251214112","0.467042901643891","0.559609600784333"
"No","1985","Part Time","in school","1","","",""
"No","1985","Part Time","inadequately","59","0.911487172532813","0.841348716100696","0.98162562896493"
"No","1985","Part Time","general elemantary","316","0.792656676283889","0.75262649387878","0.832686858688999"
"No","1985","Part Time","middle vocational","504","0.809020225324882","0.778004718182743","0.840035732467021"
"No","1985","Part Time","vocational + Abi","24","","",""
"No","1985","Part Time","higher vocational","47","0.594610451394169","0.485653904008565","0.703566998779774"
"No","1985","Part Time","higher education","47","0.428573854704962","0.337330391762166","0.519817317647758"
"No","1985","Not Working","in school","1","","",""
"No","1985","Not Working","inadequately","3","","",""
"No","1985","Not Working","general elemantary","26","","",""
"No","1985","Not Working","middle vocational","38","0.848519312424037","0.742586317120872","0.954452307727201"
"No","1985","Not Working","vocational + Abi","","","",""
"No","1985","Not Working","higher vocational","2","","",""
"No","1985","Not Working","higher education","4","","",""
"Yes","1986","Full Time","in school","","","",""
"Yes","1986","Full Time","inadequately","30","0.0840340010832662","0.0542802274229488","0.113787774743584"
"Yes","1986","Full Time","general elemantary","119","0.166359010883426","0.14234720629865","0.190370815468201"
"Yes","1986","Full Time","middle vocational","507","0.240791596221367","0.223530456580735","0.258052735861999"
"Yes","1986","Full Time","vocational + Abi","21","","",""
"Yes","1986","Full Time","higher vocational","109","0.359074678863968","0.305058621481603","0.413090736246334"
"Yes","1986","Full Time","higher education","211","0.479049930583564","0.432944905675484","0.525154955491645"
"Yes","1986","Part Time","in school","","","",""
"Yes","1986","Part Time","inadequately","7","","",""
"Yes","1986","Part Time","general elemantary","76","0.25335871576362","0.207263169885236","0.299454261642003"
"Yes","1986","Part Time","middle vocational","112","0.206343111469779","0.17273594664431","0.239950276295248"
"Yes","1986","Part Time","vocational + Abi","6","","",""
"Yes","1986","Part Time","higher vocational","24","","",""
"Yes","1986","Part Time","higher education","59","0.615567499288762","0.517746030903321","0.713388967674203"
"Yes","1986","Not Working","in school","","","",""
"Yes","1986","Not Working","inadequately","2","","",""
"Yes","1986","Not Working","general elemantary","3","","",""
"Yes","1986","Not Working","middle vocational","7","","",""
"Yes","1986","Not Working","vocational + Abi","1","","",""
"Yes","1986","Not Working","higher vocational","","","",""
"Yes","1986","Not Working","higher education","3","","",""
"No","1986","Full Time","in school","","","",""
"No","1986","Full Time","inadequately","304","0.915965998916734","0.886212225256416","0.945719772577051"
"No","1986","Full Time","general elemantary","805","0.833640989116574","0.809629184531799","0.85765279370135"
"No","1986","Full Time","middle vocational","1850","0.759208403778633","0.741947264138001","0.776469543419265"
"No","1986","Full Time","vocational + Abi","121","0.804321649693043","0.739070196624884","0.869573102761203"
"No","1986","Full Time","higher vocational","194","0.640925321136032","0.586909263753666","0.694941378518397"
"No","1986","Full Time","higher education","240","0.520950069416436","0.474845044508355","0.567055094324516"
"No","1986","Part Time","in school","","","",""
"No","1986","Part Time","inadequately","45","0.774167416654757","0.660520628904632","0.887814204404882"
"No","1986","Part Time","general elemantary","266","0.74664128423638","0.700545738357997","0.792736830114764"
"No","1986","Part Time","middle vocational","445","0.793656888530221","0.760049723704752","0.82726405335569"
"No","1986","Part Time","vocational + Abi","22","","",""
"No","1986","Part Time","higher vocational","41","0.628730659035131","0.511276533580156","0.746184784490107"
"No","1986","Part Time","higher education","36","0.384432500711238","0.286611032325797","0.482253969096678"
