"pgoeffd","year","migback","n","percent","lower_confidence","upper_confidence"
"No","1984","direct migration background","2040","0.857012554476845","0.842649962703127","0.871375146250564"
"No","1984","indirect migration background","60","0.793963797265847","0.697117547410115","0.89081004712158"
"No","1984","no migration background","3527","0.740276302648981","0.727845852543916","0.752706752754046"
"Yes","1984","direct migration background","242","0.142987445523155","0.128624853749436","0.157350037296873"
"Yes","1984","indirect migration background","","","",""
"Yes","1984","no migration background","1253","0.259723697351019","0.247293247245954","0.272154147456084"
"No","1985","direct migration background","1661","0.866570650469332","0.851100776431727","0.882040524506937"
"No","1985","indirect migration background","53","0.741182703462327","0.632161359256902","0.850204047667753"
"No","1985","no migration background","3063","0.728066497652333","0.714655961842959","0.741477033461706"
"Yes","1985","direct migration background","195","0.133429349530668","0.117959475493063","0.148899223568273"
"Yes","1985","indirect migration background","","","",""
"Yes","1985","no migration background","1166","0.271933502347667","0.258522966538294","0.285344038157041"
"No","1986","direct migration background","1539","0.864979716067186","0.848786781671919","0.881172650462454"
"No","1986","indirect migration background","63","0.660982061955518","0.554556127844557","0.76740799606648"
"No","1986","no migration background","2863","0.722492175268985","0.708586338461815","0.736398012076155"
"Yes","1986","direct migration background","172","0.135020283932813","0.118827349537546","0.151213218328081"
"Yes","1986","indirect migration background","","","",""
"Yes","1986","no migration background","1120","0.277507824731015","0.263601987923845","0.291413661538184"
"No","1987","direct migration background","1536","0.858599232030426","0.842142156990921","0.87505630706993"
"No","1987","indirect migration background","66","0.724381953199587","0.626468868297196","0.822295038101978"
"No","1987","no migration background","2934","0.723316356788044","0.709547161878458","0.73708555169763"
"Yes","1987","direct migration background","186","0.141400767969574","0.12494369293007","0.157857843009079"
"Yes","1987","indirect migration background","","","",""
"Yes","1987","no migration background","1121","0.276683643211956","0.26291444830237","0.290452838121542"
"No","1988","direct migration background","1490","0.860911061532008","0.844294696177083","0.877527426886934"
"No","1988","indirect migration background","98","0.840295772917779","0.772752334662943","0.907839211172615"
"No","1988","no migration background","2887","0.727978418781626","0.71410445502065","0.741852382542602"
"Yes","1988","direct migration background","176","0.139088938467991","0.122472573113066","0.155705303822917"
"Yes","1988","indirect migration background","","","",""
"Yes","1988","no migration background","1065","0.272021581218374","0.258147617457398","0.28589554497935"
"No","1989","direct migration background","1492","0.834030230117288","0.816239292280245","0.85182116795433"
"No","1989","indirect migration background","118","0.841864926791688","0.780316562294965","0.903413291288411"
"No","1989","no migration background","2973","0.737956878608295","0.724373335030862","0.751540422185727"
"Yes","1989","direct migration background","188","0.165969769882712","0.14817883204567","0.183760707719755"
"Yes","1989","indirect migration background","","","",""
"Yes","1989","no migration background","1053","0.262043121391705","0.248459577814273","0.275626664969138"
"No","1990","direct migration background","1502","0.829614303589786","0.811810036857336","0.847418570322236"
"No","1990","indirect migration background","140","0.884025813163354","0.83425638279237","0.933795243534338"
"No","1990","no migration background","4990","0.716139166507023","0.705648749853128","0.726629583160917"
"Yes","1990","direct migration background","211","0.170385696410214","0.152581429677764","0.188189963142664"
"Yes","1990","indirect migration background","","","",""
"Yes","1990","no migration background","2106","0.283860833492977","0.273370416839083","0.294351250146872"
"No","1991","direct migration background","1508","0.835313900796549","0.817841487949316","0.852786313643781"
"No","1991","indirect migration background","184","0.88339234433429","0.840086430136717","0.926698258531863"
"No","1991","no migration background","4794","0.717218611262687","0.706467902071836","0.727969320453538"
"Yes","1991","direct migration background","223","0.164686099203451","0.147213686356219","0.182158512050684"
"Yes","1991","indirect migration background","","","",""
"Yes","1991","no migration background","1947","0.282781388737313","0.272030679546462","0.293532097928164"
"No","1992","direct migration background","1375","0.82214359558173","0.803336079790718","0.840951111372743"
"No","1992","indirect migration background","190","0.8332690809483","0.784673746306889","0.881864415589711"
"No","1992","no migration background","4304","0.702632482272741","0.691263720496343","0.714001244049138"
"Yes","1992","direct migration background","213","0.17785640441827","0.159048888627257","0.196663920209282"
"Yes","1992","indirect migration background","36","0.1667309190517","0.118135584410289","0.215326253693111"
"Yes","1992","no migration background","1906","0.297367517727259","0.285998755950862","0.308736279503657"
"No","1993","direct migration background","1327","0.826273033256361","0.807245015527641","0.84530105098508"
"No","1993","indirect migration background","247","0.847558898415746","0.806045543706961","0.889072253124531"
"No","1993","no migration background","4236","0.711466179671943","0.700061586435742","0.722870772908143"
"Yes","1993","direct migration background","196","0.173726966743639","0.15469894901492","0.192754984472359"
"Yes","1993","indirect migration background","41","0.152441101584254","0.110927746875469","0.193954456293039"
"Yes","1993","no migration background","1827","0.288533820328057","0.277129227091857","0.299938413564258"
"No","1994","direct migration background","1164","0.83110261475439","0.8110049200116","0.85120030949718"
"No","1994","indirect migration background","236","0.772641314916415","0.723981506013795","0.821301123819036"
"No","1994","no migration background","4039","0.707612836492407","0.695880440749576","0.719345232235237"
"Yes","1994","direct migration background","171","0.16889738524561","0.14879969050282","0.1889950799884"
"Yes","1994","indirect migration background","49","0.227358685083585","0.178698876180964","0.276018493986205"
"Yes","1994","no migration background","1735","0.292387163507593","0.280654767764762","0.304119559250424"
"No","1995","direct migration background","1330","0.810432540081644","0.790963519003726","0.829901561159561"
"No","1995","indirect migration background","265","0.823617658002909","0.781189163578826","0.866046152426992"
"No","1995","no migration background","4251","0.711605728927863","0.700133502444971","0.723077955410756"
"Yes","1995","direct migration background","227","0.189567459918356","0.170098438840439","0.209036480996274"
"Yes","1995","indirect migration background","45","0.176382341997091","0.133953847573008","0.218810836421174"
"Yes","1995","no migration background","1739","0.288394271072137","0.276922044589244","0.299866497555029"
"No","1996","direct migration background","1191","0.818078128202103","0.797884519666205","0.838271736738"
"No","1996","indirect migration background","271","0.877535828028108","0.840805540215519","0.914266115840698"
"No","1996","no migration background","4089","0.708755769910391","0.697020604118852","0.72049093570193"
"Yes","1996","direct migration background","211","0.181921871797897","0.161728263262","0.202115480333795"
"Yes","1996","indirect migration background","35","0.122464171971892","0.0857338841593016","0.159194459784482"
"Yes","1996","no migration background","1669","0.291244230089609","0.27950906429807","0.302979395881148"
"No","1997","direct migration background","1116","0.803587328695598","0.782163456279605","0.825011201111591"
"No","1997","indirect migration background","300","0.805182625080311","0.763689598927688","0.846675651232934"
"No","1997","no migration background","4077","0.718061384595508","0.70639398569453","0.729728783496486"
"Yes","1997","direct migration background","205","0.196412671304402","0.174988798888409","0.217836543720395"
"Yes","1997","indirect migration background","50","0.194817374919689","0.153324348767066","0.236310401072312"
"Yes","1997","no migration background","1636","0.281938615404492","0.270271216503514","0.29360601430547"
"No","1998","direct migration background","1078","0.809608120005784","0.788032356449444","0.831183883562125"
"No","1998","indirect migration background","298","0.79068694692328","0.748427526852511","0.832946366994049"
"No","1998","no migration background","4668","0.71868264469844","0.707740738593849","0.72962455080303"
"Yes","1998","direct migration background","194","0.190391879994216","0.168816116437875","0.211967643550556"
"Yes","1998","indirect migration background","58","0.20931305307672","0.167053633005951","0.251572473147489"
"Yes","1998","no migration background","1819","0.28131735530156","0.27037544919697","0.292259261406151"
