"pgoeffd","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"Yes","1984","16-34 y.","Full Time","419","0.240006644610362","0.221761867116326","0.258251422104398"
"Yes","1984","16-34 y.","Part Time","132","0.213444076152212","0.182510865513394","0.24437728679103"
"Yes","1984","16-34 y.","Not Working","22","","",""
"Yes","1984","35-65 y.","Full Time","725","0.26204884908311","0.247099491885402","0.276998206280817"
"Yes","1984","35-65 y.","Part Time","199","0.267337784974992","0.236669805245989","0.298005764703996"
"Yes","1984","35-65 y.","Not Working","3","","",""
"Yes","1984","66 and older","Full Time","","","",""
"Yes","1984","66 and older","Part Time","2","","",""
"Yes","1984","66 and older","Not Working","","","",""
"No","1984","16-34 y.","Full Time","1686","0.759993355389638","0.741748577895602","0.778238132883674"
"No","1984","16-34 y.","Part Time","542","0.786555923847788","0.75562271320897","0.817489134486606"
"No","1984","16-34 y.","Not Working","111","0.837404437908079","0.774693363210058","0.900115512606099"
"No","1984","35-65 y.","Full Time","2599","0.73795115091689","0.723001793719183","0.752900508114598"
"No","1984","35-65 y.","Part Time","601","0.732662215025008","0.701994235296004","0.763330194754011"
"No","1984","35-65 y.","Not Working","43","0.909283494718925","0.826286573059967","0.992280416377883"
"No","1984","66 and older","Full Time","17","","",""
"No","1984","66 and older","Part Time","25","","",""
"No","1984","66 and older","Not Working","3","","",""
"Yes","1985","16-34 y.","Full Time","359","0.230708781510258","0.211343286538827","0.25007427648169"
"Yes","1985","16-34 y.","Part Time","127","0.24096189026222","0.206096852232374","0.275826928292065"
"Yes","1985","16-34 y.","Not Working","18","","",""
"Yes","1985","35-65 y.","Full Time","688","0.284293226878195","0.267898593472179","0.30068786028421"
"Yes","1985","35-65 y.","Part Time","175","0.250364136946741","0.218631744475791","0.282096529417691"
"Yes","1985","35-65 y.","Not Working","2","","",""
"Yes","1985","66 and older","Full Time","","","",""
"Yes","1985","66 and older","Part Time","1","","",""
"Yes","1985","66 and older","Not Working","","","",""
"No","1985","16-34 y.","Full Time","1459","0.769291218489742","0.74992572351831","0.788656713461173"
"No","1985","16-34 y.","Part Time","451","0.75903810973778","0.724173071707935","0.793903147767625"
"No","1985","16-34 y.","Not Working","52","0.709254002423678","0.602874772755958","0.815633232091398"
"No","1985","35-65 y.","Full Time","2220","0.715706773121805","0.69931213971579","0.732101406527821"
"No","1985","35-65 y.","Part Time","541","0.749635863053259","0.717903470582309","0.781368255524209"
"No","1985","35-65 y.","Not Working","22","","",""
"No","1985","66 and older","Full Time","12","","",""
"No","1985","66 and older","Part Time","18","","",""
"No","1985","66 and older","Not Working","2","","",""
"Yes","1986","16-34 y.","Full Time","356","0.230770381947564","0.211252188913571","0.250288574981558"
"Yes","1986","16-34 y.","Part Time","115","0.248548646109917","0.210967296576936","0.286129995642897"
"Yes","1986","16-34 y.","Not Working","11","","",""
"Yes","1986","35-65 y.","Full Time","646","0.282678201991826","0.26585734340722","0.299499060576433"
"Yes","1986","35-65 y.","Part Time","171","0.281646888673282","0.246551110293913","0.31674266705265"
"Yes","1986","35-65 y.","Not Working","5","","",""
"Yes","1986","66 and older","Full Time","","","",""
"Yes","1986","66 and older","Part Time","1","","",""
"Yes","1986","66 and older","Not Working","","","",""
"No","1986","16-34 y.","Full Time","1434","0.769229618052436","0.749711425018442","0.788747811086429"
"No","1986","16-34 y.","Part Time","393","0.751451353890084","0.713870004357103","0.789032703423064"
"No","1986","16-34 y.","Not Working","43","0.749854984373054","0.634340676787554","0.865369291958553"
"No","1986","35-65 y.","Full Time","2107","0.717321798008174","0.700500939423567","0.73414265659278"
"No","1986","35-65 y.","Part Time","460","0.718353111326718","0.68325733294735","0.753448889706087"
"No","1986","35-65 y.","Not Working","8","","",""
"No","1986","66 and older","Full Time","9","","",""
"No","1986","66 and older","Part Time","11","","",""
"No","1986","66 and older","Not Working","","","",""
"Yes","1987","16-34 y.","Full Time","342","0.224997729941761","0.205598761104716","0.244396698778807"
"Yes","1987","16-34 y.","Part Time","131","0.257257470059924","0.2222518460881","0.292263094031748"
"Yes","1987","16-34 y.","Not Working","21","","",""
"Yes","1987","35-65 y.","Full Time","647","0.28295965948465","0.266100014604444","0.299819304364857"
"Yes","1987","35-65 y.","Part Time","176","0.275877503142218","0.240864844639657","0.31089016164478"
"Yes","1987","35-65 y.","Not Working","2","","",""
"Yes","1987","66 and older","Full Time","","","",""
"Yes","1987","66 and older","Part Time","2","","",""
"Yes","1987","66 and older","Not Working","","","",""
"No","1987","16-34 y.","Full Time","1438","0.775002270058239","0.755603301221193","0.794401238895284"
"No","1987","16-34 y.","Part Time","468","0.742742529940076","0.707736905968252","0.7777481539119"
"No","1987","16-34 y.","Not Working","38","0.559212301260235","0.432527306938982","0.685897295581488"
"No","1987","35-65 y.","Full Time","2095","0.71704034051535","0.700180695635143","0.733899985395556"
"No","1987","35-65 y.","Part Time","450","0.724122496857782","0.68910983835522","0.759135155360343"
"No","1987","35-65 y.","Not Working","24","","",""
"No","1987","66 and older","Full Time","14","","",""
"No","1987","66 and older","Part Time","9","","",""
"No","1987","66 and older","Not Working","","","",""
"Yes","1988","16-34 y.","Full Time","323","0.219028402886509","0.199836479383155","0.238220326389863"
"Yes","1988","16-34 y.","Part Time","109","0.219830681135797","0.185713082030443","0.253948280241152"
"Yes","1988","16-34 y.","Not Working","16","","",""
"Yes","1988","35-65 y.","Full Time","608","0.285721303717879","0.268194088631031","0.303248518804727"
"Yes","1988","35-65 y.","Part Time","190","0.283907868367619","0.250553501575438","0.3172622351598"
"Yes","1988","35-65 y.","Not Working","8","","",""
"Yes","1988","66 and older","Full Time","","","",""
"Yes","1988","66 and older","Part Time","2","","",""
"Yes","1988","66 and older","Not Working","","","",""
"No","1988","16-34 y.","Full Time","1461","0.780971597113491","0.761779673610137","0.800163520616845"
"No","1988","16-34 y.","Part Time","457","0.780169318864203","0.746051719758849","0.814286917969557"
"No","1988","16-34 y.","Not Working","52","0.788970404421964","0.691987391008008","0.885953417835921"
"No","1988","35-65 y.","Full Time","1944","0.714278696282121","0.696751481195273","0.73180591136897"
"No","1988","35-65 y.","Part Time","512","0.716092131632381","0.6827377648402","0.749446498424562"
"No","1988","35-65 y.","Not Working","23","","",""
"No","1988","66 and older","Full Time","14","","",""
"No","1988","66 and older","Part Time","12","","",""
"No","1988","66 and older","Not Working","","","",""
"Yes","1989","16-34 y.","Full Time","338","0.212745500273838","0.194236282532604","0.231254718015073"
"Yes","1989","16-34 y.","Part Time","124","0.217497394588062","0.184237239025649","0.250757550150475"
"Yes","1989","16-34 y.","Not Working","14","","",""
"Yes","1989","35-65 y.","Full Time","575","0.274636549530028","0.257230972754155","0.2920421263059"
"Yes","1989","35-65 y.","Part Time","192","0.29276876692233","0.25889023664316","0.326647297201499"
"Yes","1989","35-65 y.","Not Working","8","","",""
"Yes","1989","66 and older","Full Time","1","","",""
"Yes","1989","66 and older","Part Time","4","","",""
"Yes","1989","66 and older","Not Working","2","","",""
"No","1989","16-34 y.","Full Time","1540","0.787254499726162","0.768745281984927","0.805763717467396"
"No","1989","16-34 y.","Part Time","467","0.782502605411938","0.749242449849525","0.815762760974351"
"No","1989","16-34 y.","Not Working","71","0.797018671865164","0.711511819249359","0.882525524480968"
