"pgoeffd","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1984","Lower Saxony","Single parent ","22","","","","2"
"No","1984","North Rhine-Westphalia","1-pers.-HH","128","0.682846880364336","0.614094472023147","0.751599288705524","2"
"No","1984","Schleswig-Holstein","Single parent ","7","","","","2"
"No","1984","Bremen","(Married) couple without C. ","12","","","","2"
"No","1984","Schleswig-Holstein","(Married) couple without C. ","30","0.758794679554358","0.624527035797636","0.89306232331108","2"
"No","1984","Hamburg","Single parent ","7","","","","2"
"No","1984","Bremen","Couple + C. GT 16 ","6","","","","2"
"No","1984","Bremen","Couple + C. LE and GT 16","8","","","","2"
"No","1984","Lower Saxony","(Married) couple without C. ","83","0.644149493548357","0.559881165470904","0.72841782162581","2"
"No","1984","Lower Saxony","Couple + C. LE 16 ","154","0.776504508755096","0.717578930829505","0.835430086680687","2"
"No","1984","Schleswig-Holstein","Couple + C. LE 16 ","51","0.698434027770196","0.590146756903628","0.806721298636765","2"
"No","1984","Lower Saxony","Couple + C. LE and GT 16","64","0.771760097998284","0.678619775767675","0.864900420228893","2"
"No","1984","Bremen","1-pers.-HH","4","","","","2"
"No","1984","Bremen","Single parent ","","","","","2"
"No","1984","Bremen","Couple + C. LE 16 ","14","","","","2"
"No","1984","Hesse","Single parent ","18","","","","2"
"No","1984","Hesse","Couple + C. LE 16 ","162","0.799696663502094","0.743522382926504","0.855870944077684","2"
"No","1984","Schleswig-Holstein","1-pers.-HH","24","","","","2"
"No","1984","Hesse","Couple + C. LE and GT 16","84","0.702063702608089","0.618108882853489","0.786018522362689","2"
"No","1984","Lower Saxony","Couple + C. GT 16 ","106","0.746766428728657","0.674732499317743","0.81880035813957","2"
"No","1984","North Rhine-Westphalia","Single parent ","56","0.714646878505621","0.612446024764949","0.816847732246293","2"
"No","1984","North Rhine-Westphalia","Couple + C. LE 16 ","416","0.716879620684762","0.678811131957847","0.754948109411676","2"
"No","1984","North Rhine-Westphalia","Couple + C. GT 16 ","261","0.822337052271901","0.77922804908806","0.865446055455742","2"
"No","1984","North Rhine-Westphalia","Couple + C. LE and GT 16","219","0.783176278074731","0.733747984196193","0.832604571953268","2"
"No","1984","Hesse","1-pers.-HH","45","0.688612800590615","0.572408795417355","0.804816805763875","2"
