"pgoeffd","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1984","(0) in school","1","","",""
"Yes","1984","(1a) inadequately completed","62","0.106878397593023","0.0834314972250379","0.130325297961007"
"Yes","1984","(1b) general elementary school","182","0.159530414580255","0.140458283968763","0.178602545191748"
"Yes","1984","(1c) basic vocational qualification","485","0.195371913275468","0.180526186326967","0.21021764022397"
"Yes","1984","(2b) intermediate general qualification","58","0.273542535457319","0.215424436406424","0.331660634508213"
"Yes","1984","(2a) intermediate vocational","286","0.302095768495614","0.272804894492665","0.331386642498563"
"Yes","1984","(2c_gen) general maturity certificate","33","0.258268156511697","0.189585879430433","0.326950433592962"
"Yes","1984","(2c_voc) vocational maturity certificate","84","0.320892246337387","0.268416302879468","0.373368189795305"
"Yes","1984","(3a) lower tertiary education","59","0.305475849054012","0.24147972535077","0.369471972757253"
"Yes","1984","(3b) higher tertiary education","248","0.615656224423326","0.569190136862854","0.662122311983797"
"No","1984","(0) in school","3","","",""
"No","1984","(1a) inadequately completed","605","0.893121602406977","0.869674702038993","0.916568502774962"
"No","1984","(1b) general elementary school","1234","0.840469585419745","0.821397454808252","0.859541716031237"
"No","1984","(1c) basic vocational qualification","2255","0.804628086724532","0.78978235977603","0.819473813673033"
"No","1984","(2b) intermediate general qualification","168","0.726457464542681","0.668339365491787","0.784575563593576"
"No","1984","(2a) intermediate vocational","658","0.697904231504386","0.668613357501437","0.727195105507335"
"No","1984","(2c_gen) general maturity certificate","123","0.741731843488303","0.673049566407038","0.810414120569567"
"No","1984","(2c_voc) vocational maturity certificate","220","0.679107753662613","0.626631810204694","0.731583697120532"
"No","1984","(3a) lower tertiary education","140","0.694524150945988","0.630528027242747","0.75852027464923"
"No","1984","(3b) higher tertiary education","173","0.384343775576674","0.337877688016203","0.430809863137146"
"Yes","1985","(0) in school","","","",""
"Yes","1985","(1a) inadequately completed","47","0.103888001232494","0.0773030006490159","0.130473001815973"
"Yes","1985","(1b) general elementary school","161","0.168866787918404","0.147391041104216","0.190342534732591"
