"pgoeffd","year","bula_h","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1984","Schleswig-Holstein","Female","72","0.780666517788054","0.695648174407142","0.865684861168965","2"
"No","1984","Hamburg","Female","52","0.700317687742473","0.596637550725307","0.80399782475964","2"
"No","1984","Schleswig-Holstein","Male","101","0.729026632206081","0.654327829945556","0.803725434466605","2"
"No","1984","Hamburg","Male","76","0.743389101208001","0.659041036528204","0.827737165887797","2"
"No","1984","Lower Saxony","Male","321","0.724743641224222","0.682330134756111","0.767157147692333","2"
"No","1984","Lower Saxony","Female","185","0.738480663034823","0.683226319767671","0.793735006301974","2"
"No","1984","Bremen","Male","28","","","","2"
"No","1984","Bremen","Female","17","","","","2"
"No","1984","North Rhine-Westphalia","Male","984","0.779328866598916","0.755904492688219","0.802753240509613","2"
"No","1984","Baden-Württemberg","Male","781","0.815329133171441","0.790062366699301","0.840595899643581","2"
"No","1984","Baden-Württemberg","Female","428","0.755499371344394","0.719148234972612","0.791850507716177","2"
"No","1984","North Rhine-Westphalia","Female","449","0.685630590759727","0.648968015496055","0.7222931660234","2"
"No","1984","Bavaria","Male","608","0.77782649122757","0.748173936421454","0.807479046033687","2"
"No","1984","Hesse","Male","382","0.764600185870656","0.726326759006022","0.802873612735289","2"
"No","1984","Bavaria","Female","410","0.782096720712425","0.746408191766171","0.81778524965868","2"
"No","1984","Hesse","Female","202","0.684768192712184","0.630251086537106","0.739285298887262","2"
"No","1984","Rhineland-Palatinate,Saarland","Male","233","0.782387964836765","0.734898024058696","0.829877905614834","2"
"No","1984","Berlin","Male","95","0.565202111260385","0.486133298390542","0.644270924130227","2"
"No","1984","Rhineland-Palatinate,Saarland","Female","122","0.72647008838645","0.658246046035586","0.794694130737314","2"
"No","1984","Berlin","Female","81","0.688840816032532","0.603479791798257","0.774201840266808","2"
"No","1984","Brandenburg","Male","","","","","2"
"No","1984","Brandenburg","Female","","","","","2"
"No","1984","Saxony","Male","","","","","2"
"No","1984","Mecklenburg-Western Pomerania","Male","","","","","2"
"No","1984","Mecklenburg-Western Pomerania","Female","","","","","2"
"No","1984","Saxony","Female","","","","","2"
"No","1984","Saxony-Anhalt","Male","","","","","2"
"No","1984","Saxony-Anhalt","Female","","","","","2"
"No","1984","Thuringia","Male","","","","","2"
"No","1984","Thuringia","Female","","","","","2"
