"pgoeffd","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence","value"
"No","1984","Schleswig-Holstein","Part Time","43","0.784530553567627","0.674870364583735","0.894190742551518","2"
"No","1984","Hamburg","Not Working","2","","","","2"
"No","1984","Lower Saxony","Full Time","367","0.715743805703025","0.675724279030873","0.755763332375177","2"
"No","1984","Bremen","Part Time","11","","","","2"
"No","1984","Hamburg","Part Time","24","","","","2"
"No","1984","North Rhine-Westphalia","Part Time","286","0.738030840920436","0.693586496259604","0.782475185581268","2"
"No","1984","Hesse","Full Time","442","0.728186584690048","0.691534670930974","0.764838498449122","2"
"No","1984","Bremen","Not Working","2","","","","2"
"No","1984","Hesse","Part Time","113","0.71866618949685","0.647878650659222","0.789453728334478","2"
"No","1984","Hesse","Not Working","29","","","","2"
"No","1984","North Rhine-Westphalia","Full Time","1107","0.747784620068191","0.724986934918913","0.770582305217469","2"
"No","1984","Bremen","Full Time","32","0.847717424204629","0.731946929002098","0.963487919407161","2"
"No","1984","Lower Saxony","Part Time","126","0.766939197734775","0.702233689470263","0.831644705999287","2"
"No","1984","Rhineland-Palatinate,Saarland","Full Time","280","0.748582775274152","0.703706345790708","0.793459204757596","2"
"No","1984","Lower Saxony","Not Working","13","","","","2"
"No","1984","Rhineland-Palatinate,Saarland","Not Working","8","","","","2"
"No","1984","Schleswig-Holstein","Full Time","122","0.728359416381478","0.660489655986761","0.796229176776196","2"
"No","1984","Rhineland-Palatinate,Saarland","Part Time","67","0.794980947006997","0.709656332059682","0.880305561954312","2"
"No","1984","North Rhine-Westphalia","Not Working","40","0.772546112525935","0.656355249761719","0.888736975290151","2"
"No","1984","Schleswig-Holstein","Not Working","8","","","","2"
"No","1984","Hamburg","Full Time","102","0.730431957170368","0.656928433553241","0.803935480787495","2"
"No","1984","Baden-Württemberg","Full Time","944","0.788817019355794","0.765019786344196","0.812614252367391","2"
"No","1984","Baden-Württemberg","Part Time","236","0.788907164531908","0.7411932961853","0.836621032878516","2"
"No","1984","Baden-Württemberg","Not Working","29","","","","2"
"No","1984","Bavaria","Full Time","778","0.774046467927365","0.747701146822249","0.80039178903248","2"
"No","1984","Bavaria","Part Time","219","0.784835617862053","0.736442595235953","0.833228640488152","2"
"No","1984","Bavaria","Not Working","21","","","","2"
"No","1984","Berlin","Full Time","128","0.583964226969352","0.515481662945401","0.652446790993303","2"
"No","1984","Berlin","Part Time","43","0.723796702704224","0.609707429163285","0.837885976245163","2"
"No","1984","Brandenburg","Full Time","","","","","2"
"No","1984","Brandenburg","Part Time","","","","","2"
"No","1984","Brandenburg","Not Working","","","","","2"
"No","1984","Mecklenburg-Western Pomerania","Not Working","","","","","2"
"No","1984","Saxony","Full Time","","","","","2"
"No","1984","Berlin","Not Working","5","","","","2"
"No","1984","Mecklenburg-Western Pomerania","Full Time","","","","","2"
"No","1984","Mecklenburg-Western Pomerania","Part Time","","","","","2"
"No","1984","Saxony","Part Time","","","","","2"
"No","1984","Saxony","Not Working","","","","","2"
"No","1984","Saxony-Anhalt","Full Time","","","","","2"
"No","1984","Saxony-Anhalt","Part Time","","","","","2"
"No","1984","Saxony-Anhalt","Not Working","","","","","2"
"No","1984","Thuringia","Full Time","","","","","2"
"No","1984","Thuringia","Part Time","","","","","2"
"No","1984","Thuringia","Not Working","","","","","2"
"Yes","1984","Schleswig-Holstein","Full Time","43","0.271640583618522","0.203770823223804","0.339510344013239","1"
"Yes","1984","Schleswig-Holstein","Part Time","11","","","","1"
"Yes","1984","Schleswig-Holstein","Not Working","","","","","1"
"Yes","1984","Hamburg","Full Time","38","0.269568042829632","0.196064519212505","0.343071566446759","1"
"Yes","1984","Hamburg","Part Time","11","","","","1"
"Yes","1984","Hamburg","Not Working","1","","","","1"
"Yes","1984","Lower Saxony","Full Time","121","0.284256194296975","0.244236667624822","0.324275720969127","1"
"Yes","1984","Lower Saxony","Part Time","38","0.233060802265225","0.168355294000713","0.297766310529736","1"
"Yes","1984","Lower Saxony","Not Working","4","","","","1"
"Yes","1984","Bremen","Full Time","5","","","","1"
"Yes","1984","Bremen","Part Time","3","","","","1"
